nif	year	inmovilizado_mat
"A04413340"	2009	3.047
"A28023422"	2017	3.256
"A82485335"	2010	3.68
"A48840359"	2017	4
"A61713301"	2009	4
"B97389209"	2017	4.017
"A58394941"	2015	4.122
"A81410227"	2007	4.34
"A82485335"	2009	4.728
"A48840359"	2016	5
"A31180060"	2017	5.07
"A08646143"	2012	5.175
"A28505402"	2015	5.235
"A28505402"	2017	5.367
"B97389209"	2016	5.574
"V48566475"	2016	5.788
"A48840359"	2015	6
"A61713301"	2012	6
"B33602707"	2017	6.061
"A26018119"	2014	6.182
"B33602707"	2015	6.298
"A48050728"	2014	6.379
"A33373622"	2017	6.82
"A28505402"	2014	7.097
"A62400718"	2010	7.099
"A81410227"	2009	7.248
"B97389209"	2015	7.419
"A28164374"	2017	7.668
"A74255282"	2016	7.791
"A01035807"	2014	8
"A29027901"	2013	8.385
"B97389209"	2014	8.482
"A28128486"	2010	8.89
"A01035807"	2013	9
"B18547281"	2013	9
"A61713301"	2011	9
"A47438262"	2008	9.206
"A45562329"	2012	9.249
"B37015526"	2016	9.547
"B91629634"	2015	9.653
"A45562329"	2013	9.802
"A81410227"	2008	9.917
"A28505402"	2013	10.104
"A28612620"	2011	10.746
"V57525560"	2017	10.893
"A28164374"	2016	10.959
"A01035807"	2010	11
"A80959612"	2014	11
"B79945150"	2009	11.049
"B28250090"	2017	11.38
"A33202474"	2017	11.425
"B81248361"	2011	11.493
"A62400718"	2009	11.55
"A26297663"	2009	11.669
"V57525560"	2015	11.843
"A01035807"	2012	12
"A61713301"	2010	12
"V57525560"	2016	12.216
"A28612620"	2010	12.648
"A03057221"	2017	12.683
"B08573909"	2013	12.694
"A01035807"	2011	13
"A61797536"	2017	13
"B03101748"	2014	13.084
"B95422721"	2016	13.366
"B03101748"	2013	13.79
"A28164374"	2015	13.792
"B18547281"	2012	14
"A33202474"	2015	14.075
"A50029800"	2014	14.167
"A48050728"	2013	14.282
"B83393223"	2009	14.764
"B96683347"	2010	14.835
"A33202474"	2016	14.893
"A09022963"	2007	15.241
"B18547281"	2017	15.283
"B07650112"	2015	15.442
"B04348579"	2008	15.452
"B96683347"	2009	15.5
"A45562329"	2017	15.737
"A31180060"	2016	15.806
"B07650112"	2016	15.934
"A45562329"	2014	16.209
"A01035807"	2009	17
"A17006792"	2009	17.203
"B96683347"	2008	17.39
"B84311760"	2013	17.717
"B07650112"	2014	17.845
"B03101748"	2012	18.018
"A48050728"	2011	18.103
"A79259404"	2008	18.265
"B84311760"	2012	18.575
"A81261430"	2011	18.875
"A28612620"	2009	18.988
"B83156745"	2009	19.234
"B29682135"	2010	19.327
"A63746275"	2012	19.354
"B84311760"	2014	19.664
"A28111342"	2011	19.915
"A80959612"	2007	20
"A01035807"	2017	20
"A80959612"	2008	20
"B84871607"	2016	20
"A01035807"	2015	20
"A33055138"	2017	20.026
"B21365630"	2015	20.359
"A48050728"	2012	20.373
"A45562329"	2015	20.508
"A45562329"	2016	20.611
"B28072205"	2012	20.808
"A29027901"	2011	20.891
"B47506811"	2015	20.913
"A80959612"	2010	21
"B18547281"	2010	21
"B84603935"	2017	21.086
"B03101748"	2011	21.104
"A29027901"	2012	21.161
"A28612620"	2008	21.299
"A28562908"	2017	21.792
"A80959612"	2013	22
"A61797536"	2016	22
"A33055138"	2016	22.102
"B17229675"	2007	22.936
"A03057221"	2016	23.128
"A08098576"	2017	23.204
"B03101748"	2010	23.454
"A79259362"	2008	23.522
"A28637502"	2011	23.636
"A28574044"	2010	23.774
"A08200032"	2017	23.88
"A74136060"	2014	23.955
"A80959612"	2009	24
"A41695149"	2013	24
"B84871607"	2017	24
"A28475770"	2017	24.363
"A48050728"	2015	24.408
"B47506811"	2014	24.619
"B48841282"	2010	24.778
"A01035807"	2008	25
"B18547281"	2011	25
"A28111342"	2010	25.406
"B37015526"	2017	25.459
"B84603935"	2016	25.505
"B62111018"	2014	25.924
"A01035807"	2016	26
"B83185140"	2016	26
"A41695149"	2011	26
"B60653466"	2009	26.436
"A08098576"	2016	26.459
"A26297663"	2013	26.482
"B47506811"	2013	26.491
"A08737249"	2016	26.62
"A41008640"	2014	27
"A79259404"	2007	27.23
"A08063372"	2015	27.904
"A78831369"	2017	28
"A28086858"	2015	28.062
"A62400718"	2008	28.316
"A33055138"	2015	28.318
"B08195653"	2016	28.745
"A41695149"	2012	29
"B59886531"	2017	29
"A28058725"	2016	29.197
"A96974340"	2014	29.443
"A28475770"	2016	29.532
"A26297663"	2010	30.124
"A63746275"	2013	30.25
"A58061383"	2008	30.44
"A08563769"	2017	30.495
"A78831369"	2016	31
"A80959612"	2012	31
"A28574044"	2009	31.005
"A58061383"	2007	31.016
"B28072205"	2016	31.075
"A28058725"	2015	31.075
"B60653466"	2011	31.202
"B60241437"	2009	31.385
"A28111342"	2012	31.597
"B28072205"	2014	31.636
"B31067697"	2017	31.879
"B60653466"	2015	31.909
"B83826230"	2017	32
"A11000288"	2017	32.707
"A79259362"	2009	32.785
"A08098576"	2014	33.09
"B08463424"	2017	33.493
"B83211318"	2017	34
"A31180060"	2015	34.015
"A28562908"	2016	34.084
"A08737249"	2017	34.127
"B03101748"	2009	34.217
"A03057221"	2015	34.217
"A28674968"	2012	34.294
"B28072205"	2011	34.876
"A25529074"	2012	34.951
"A62400718"	2013	35.065
"A26297663"	2012	35.097
"A25529074"	2011	35.247
"A26297663"	2011	35.367
"A08528648"	2011	35.498
"B60653466"	2014	35.662
"A08117806"	2012	35.683
"A08397119"	2017	35.824
"A79259362"	2007	35.86
"A08404212"	2012	35.984
"A41008640"	2013	36
"A78831369"	2015	36
"A07427081"	2008	36.061
"A01035807"	2007	36.28
"A08404212"	2014	36.478
"B60653466"	2010	36.625
"A28494896"	2009	36.842
"B60653466"	2008	36.856
"A28505402"	2010	36.919
"F50561091"	2007	36.99
"B63031660"	2017	37
"A61797536"	2015	37
"B04348579"	2012	37.152
"B62059498"	2007	37.23
"A28111342"	2009	37.694
"A41695149"	2014	38
"A06008361"	2011	38.086
"B08195653"	2015	38.089
"B28072205"	2013	38.527
"B04348579"	2016	38.726
"B08194276"	2010	38.782
"B28072205"	2015	38.971
"A08098576"	2015	39.223
"A08186074"	2010	39.403
"A53242152"	2016	39.482
"A28527158"	2017	39.762
"A28612620"	2017	39.777
"A80959612"	2011	40
"A25529074"	2010	40.061
"B07650112"	2017	40.171
"B48441497"	2014	40.381
"B31072705"	2011	40.402
"B78908605"	2016	41.578
"A07427081"	2009	41.598
"B04348579"	2015	41.62
"B48841282"	2017	41.622
"A31003304"	2014	41.896
"B83211318"	2016	42
"A78831369"	2009	42
"B85036887"	2017	42.192
"A78831369"	2007	42.24
"A08404212"	2015	42.773
"A47438262"	2009	42.808
"B33029729"	2007	42.982
"B63149637"	2017	43
"A26297663"	2014	43.184
"A08737249"	2015	43.321
"B60241437"	2010	43.4
"B29682135"	2011	43.401
"A28111342"	2008	43.525
"A07427081"	2010	43.546
"A78831369"	2008	43.61
"A28086858"	2012	43.82
"B85036887"	2016	43.974
"B83826230"	2015	44
"A08200032"	2016	44.162
"B48441497"	2015	44.27
"B60653466"	2013	44.271
"A11000288"	2016	44.47
"B97307086"	2012	44.474
"A28562908"	2015	44.572
"B29212644"	2010	44.714
"B33029729"	2008	44.805
"A28446995"	2017	44.866
"B03101748"	2008	44.979
"A78831369"	2013	45
"B79863288"	2017	45.084
"B83766485"	2017	45.267
"A08563769"	2016	45.319
"B46055448"	2017	45.348
"A08029951"	2017	45.412
"B28072205"	2010	45.571
"A62400718"	2012	45.691
"A28475770"	2015	45.869
"A78831369"	2014	46
"A28086858"	2013	46.191
"A28070167"	2007	46.379
"A03734514"	2014	46.473
"A30041719"	2008	46.731
"A79203568"	2012	47
"A09022963"	2009	47.506
"A08737249"	2014	47.589
"B07029465"	2017	47.928
"B31067697"	2009	47.968
"B59886531"	2016	48
"B59886531"	2015	48
"B63031660"	2016	48
"A30018147"	2014	48.787
"B60653466"	2012	48.96
"A33609587"	2007	49.275
"A28651370"	2010	49.611
"B41441387"	2017	50.232
"B85036887"	2014	50.379
"A06141345"	2011	50.4
"A50066562"	2008	50.898
"A28058725"	2017	51.186
"A28574044"	2017	51.377
"B83766485"	2015	51.928
"B48841282"	2015	52.142
"A28070167"	2008	52.282
"A53242152"	2015	52.436
"A79259388"	2008	52.597
"A08404212"	2013	52.626
"F50561091"	2008	52.73
"A08300774"	2013	52.799
"B04348579"	2013	52.857
"A81117798"	2013	52.909
"A08404212"	2016	52.946
"A08200032"	2015	53.541
"B39026604"	2017	54
"A78831369"	2010	54
"A08186074"	2016	54.077
"A08117806"	2011	54.266
"B79945150"	2013	54.645
"B83393223"	2016	55.121
"A46074647"	2010	55.161
"B48841282"	2014	55.188
"B29212644"	2009	55.198
"A28446995"	2016	55.293
"A28612620"	2016	55.301
"A08689796"	2011	55.348
"A28053080"	2013	55.632
"A08689796"	2010	55.68
"A08689796"	2009	55.756
"A50066562"	2007	55.78
"A78831369"	2011	56
"A41008640"	2012	56
"A28086858"	2016	56.067
"B81542813"	2017	56.661
"A50034024"	2008	56.679
"A61797536"	2014	57
"A46074647"	2009	57.013
"A82405788"	2016	57.055
"A46035770"	2008	57.229
"A47438262"	2010	57.387
"A74255282"	2017	57.463
"A28612620"	2013	57.566
"B81542813"	2016	57.726
"B83481002"	2013	57.89
"A50066562"	2009	57.963
"B63149637"	2016	58
"A08029951"	2016	58.02
"B28250090"	2016	58.078
"B62725320"	2016	58.222
"A28086858"	2011	58.28
"A09022963"	2008	58.288
"B45493707"	2017	58.735
"A41059445"	2016	58.769
"A08397119"	2016	59.071
"A15010994"	2012	59.113
"A28172476"	2017	59.152
"A35008168"	2017	59.343
"B82529017"	2013	59.525
"A08186074"	2014	59.84
"B31067697"	2016	59.952
"A28128486"	2016	60.576
"A79259404"	2009	60.673
"B83211318"	2015	61
"A08563769"	2015	61.002
"A28086858"	2014	61.136
"B48841282"	2016	61.581
"A07427081"	2011	61.607
"A28505402"	2008	61.969
"B08194359"	2012	62
"A08409948"	2013	62.122
"A28381234"	2014	62.38
"A33614082"	2017	62.392
"B07029465"	2016	62.734
"B48841282"	2012	62.895
"B60241437"	2008	62.974
"B59886531"	2014	63
"B78908605"	2015	63.025
"B81542813"	2015	63.037
"B62725320"	2014	63.059
"A81117798"	2014	63.088
"B82841552"	2010	63.322
"B79945150"	2012	63.505
"A08528648"	2013	63.599
"A28086858"	2017	63.903
"B85036887"	2015	63.95
"A79259339"	2007	64.09
"A50017334"	2013	64.386
"B60241437"	2007	64.405
"A46074647"	2008	64.5
"A48117881"	2017	64.743
"B31067697"	2008	64.978
"A28128486"	2012	65.244
"B31072705"	2010	65.904
"B63031660"	2015	66
"B41441387"	2016	66.2
"A08202582"	2014	66.213
"A08425902"	2010	66.512
"A28086858"	2010	66.717
"B38025920"	2015	66.952
"B62725320"	2015	67.01
"B48841282"	2013	67.099
"A06141345"	2013	67.207
"A28612620"	2012	67.495
"A08300774"	2014	67.617
"B06422877"	2012	67.99
"A46074647"	2012	68.289
"B08573909"	2014	68.445
"A08409948"	2012	68.758
"B39026604"	2016	70
"A03734514"	2015	70.096
"A79290565"	2008	70.395
"A28051597"	2016	70.439
"A28505402"	2007	70.46
"A28446995"	2015	70.831
"A41059445"	2012	70.98
"A28612620"	2015	71.09
"A48050728"	2017	71.127
"A08425902"	2009	71.314
"A28475770"	2014	71.384
"A33614082"	2014	72.133
"A08689796"	2008	72.77
"A43110337"	2009	72.839
"A78355278"	2008	72.944
"A07068430"	2007	73.07
"A08687204"	2011	73.149
"A03734514"	2012	73.5
"B39026604"	2012	73.659
"A28128486"	2011	73.837
"A46074647"	2007	73.842
"A28128486"	2015	74.372
"A78355278"	2007	74.474
"B39026604"	2013	74.641
"A08202582"	2013	74.817
"A28051597"	2017	75.221
"B31637069"	2017	75.562
"A35008168"	2016	75.795
"B63149637"	2014	76
"A58132606"	2013	76.018
"B84348622"	2017	76.268
"A79259388"	2007	76.35
"A41059445"	2015	76.859
"A08425902"	2008	76.955
"B63149637"	2015	77
"A06141345"	2012	77.431
"A28046431"	2017	77.625
"A08425902"	2007	78.069
"A08206419"	2013	78.264
"A41088493"	2017	78.277
"A28128486"	2009	78.67
"A28381234"	2013	79.215
"A08186074"	2013	79.289
"A28612620"	2014	79.448
"A28172476"	2016	79.494
"A33614082"	2016	79.989
"B39026604"	2015	80
"A08508418"	2016	80.012
"A35008168"	2015	80.233
"B39026604"	2014	81
"A28446995"	2014	81.057
"A08117806"	2010	81.203
"B60241437"	2011	81.561
"A28674968"	2013	81.744
"A01007442"	2015	81.777
"A78355278"	2015	81.795
"B62725320"	2011	82.006
"A28128486"	2013	82.109
"B41441387"	2015	82.213
"A08687204"	2012	82.411
"B28138196"	2007	82.71
"B83393223"	2015	83.125
"A84780055"	2016	83.239
"A08507741"	2008	83.36
"A08508418"	2017	83.548
"A41059445"	2011	83.57
"A28128486"	2014	83.675
"A08186074"	2015	84.091
"A41059445"	2013	84.22
"A28070167"	2017	84.492
"A28574044"	2016	84.61
"A28117026"	2017	85
"A08409948"	2011	85.194
"A28674968"	2014	85.639
"B39026604"	2008	85.798
"A82405788"	2015	86.368
"A78355278"	2010	86.541
"A84430107"	2012	86.635
"A78097656"	2017	87.167
"A08514028"	2009	87.286
"A78355278"	2011	87.546
"A30041719"	2007	87.927
"A08029951"	2015	87.938
"A58132606"	2008	87.939
"A43110337"	2008	87.955
"B63149637"	2013	88
"A33614082"	2015	88.062
"A20028676"	2012	88.286
"A28329480"	2017	88.399
"B48841282"	2011	88.472
"A48121826"	2012	88.658
"A35008168"	2014	88.921
"B41002619"	2008	88.972
"B82435371"	2017	89
"A41008640"	2011	89
"B31067697"	2007	89.063
"B39026604"	2010	89.198
"A38031233"	2014	89.369
"B39026604"	2011	89.558
"A08206419"	2012	89.696
"B33029729"	2011	89.803
"B79863288"	2016	90.198
"B62725320"	2012	90.427
"B79945150"	2014	90.467
"A58132606"	2010	90.539
"B62725320"	2013	90.827
"A48117881"	2016	91.201
"A08354441"	2007	91.423
"A43110337"	2010	91.743
"A28070167"	2016	92.279
"B41002619"	2007	92.631
"A48121826"	2014	92.906
"A06008361"	2012	93.023
"B28138196"	2008	93.31
"A23014871"	2014	93.378
"A15590904"	2012	93.49
"B45493707"	2016	93.815
"A79259404"	2012	93.909
"A61797536"	2013	94
"A08126492"	2016	94.046
"B57487159"	2017	94.286
"A08397119"	2015	94.356
"A28053080"	2014	94.357
"A15016595"	2017	94.569
"B63149637"	2012	95
"A41008640"	2010	95
"A46332995"	2008	95.017
"A28195147"	2012	95.109
"B39026604"	2009	95.124
"A41059445"	2014	95.225
"A58132606"	2012	95.513
"A31003304"	2015	95.606
"A61401857"	2014	95.993
"A15590904"	2011	96.03
"A79259404"	2010	96.244
"A08514028"	2011	96.259
"A35008168"	2013	96.68
"A48080881"	2007	96.792
"A30018147"	2013	96.821
"B08194276"	2012	96.919
"A58132606"	2009	96.933
"A08182206"	2016	97.031
"A08563769"	2014	97.717
"B60653466"	2017	97.785
"A08906208"	2008	98.061
"A08551061"	2011	98.102
"A48121826"	2013	98.571
"A78355278"	2009	98.865
"B84570803"	2017	99.147
"A08354441"	2009	99.165
"B31067697"	2015	99.294
"A15016595"	2016	99.397
"A27014430"	2010	99.415
"B33029729"	2017	99.505
"A33614082"	2013	99.584
"A08186074"	2012	99.593
"A97628242"	2017	99.944
"A08202582"	2009	100.118
"B33607649"	2012	100.129
"B39026604"	2007	100.41
"B84348622"	2014	100.538
"A28219541"	2013	100.673
"A23010200"	2010	100.839
"B33029729"	2012	100.917
"B63078075"	2017	100.953
"B31684020"	2010	100.981
"A78355278"	2014	101.195
"A79259404"	2011	101.266
"A59382762"	2011	101.451
"B46055448"	2016	101.741
"A20028676"	2016	101.746
"B79863288"	2008	101.755
"A50034024"	2017	101.765
"A08203887"	2007	101.944
"A08393571"	2017	102
"B07029465"	2015	103.188
"A28333490"	2009	103.65
"A08452500"	2017	103.954
"B79863288"	2009	103.987
"A48114151"	2015	104.076
"A08029951"	2010	104.37
"A33019720"	2013	104.671
"A28668580"	2014	104.772
"A15010994"	2008	104.796
"B84768761"	2015	104.86
"A08551061"	2014	105.212
"A39020805"	2016	105.889
"A41008640"	2009	106
"A78526811"	2012	106.112
"A58132606"	2007	106.287
"A48114151"	2016	106.455
"A08354441"	2008	106.508
"A15590904"	2010	106.63
"A23014871"	2013	106.93
"A30041719"	2009	107.219
"A28435931"	2015	107.237
"A08075293"	2012	107.289
"B08194276"	2011	107.371
"A41088493"	2016	107.412
"A28051597"	2011	107.57
"A38485827"	2017	107.652
"B84348622"	2013	107.744
"A58394941"	2010	107.884
"B79945150"	2017	107.95
"A23014871"	2012	108.035
"B81248361"	2015	108.216
"B17229675"	2008	108.297
"A08186074"	2017	108.484
"A33614082"	2012	108.844
"A39020805"	2017	108.877
"B83393223"	2014	109.009
"A08514028"	2010	109.049
"A08551061"	2010	109.115
"A48119143"	2017	109.305
"A28195147"	2013	109.421
"A08202582"	2008	109.58
"A08689796"	2012	109.78
"A08452500"	2013	109.796
"A62332580"	2010	109.835
"A41059445"	2010	109.94
"B60241437"	2012	110.147
"A08452500"	2014	110.288
"A33019720"	2014	110.458
"A08203887"	2008	110.477
"A15590904"	2009	110.59
"A59382762"	2017	110.756
"A45012226"	2009	110.932
"A08425902"	2011	111.011
"A28051597"	2015	111.238
"A28381234"	2012	111.243
"A08202582"	2007	111.27
"B92963628"	2016	111.455
"A08452500"	2012	111.535
"B46055448"	2015	111.626
"A15010994"	2013	111.679
"A08999088"	2015	111.911
"A23010200"	2009	112
"B47014568"	2015	112.074
"A28051597"	2012	112.094
"A08186215"	2017	112.428
"A97628242"	2016	112.704
"A79259339"	2008	112.745
"A28329480"	2016	112.832
"A28332914"	2011	113.345
"A28172476"	2015	113.369
"B43579424"	2008	113.436
"B28460681"	2017	113.894
"A78521168"	2014	113.911
"B47009626"	2015	114.259
"A08489007"	2007	114.518
"A08428658"	2007	114.684
"A20557294"	2007	115.346
"A45013620"	2011	115.391
"B31066798"	2017	115.495
"A08029951"	2014	115.611
"B96990015"	2009	115.701
"A08182206"	2015	115.859
"B08407322"	2009	115.91
"A41008640"	2007	116
"A33024852"	2013	116.015
"A08906208"	2009	116.128
"A79290565"	2007	116.15
"B47009626"	2016	116.201
"A28117026"	2016	116.483
"A08952012"	2017	116.83
"A48031140"	2017	117
"B33029729"	2013	117.326
"A81117798"	2017	117.578
"A08551061"	2009	117.775
"B61395497"	2008	117.823
"A46170080"	2013	117.875
"A08507741"	2007	117.9
"A15590904"	2008	118.2
"A28329480"	2015	118.246
"A15016595"	2015	118.315
"B28460681"	2016	118.724
"B33607649"	2011	118.895
"A23010200"	2013	118.903
"B84348622"	2016	119.071
"A28475770"	2013	119.117
"A58394941"	2007	119.16
"A41088493"	2014	119.563
"A08354441"	2012	119.624
"A08452500"	2015	119.831
"B47009626"	2017	119.852
"B62263272"	2012	119.953
"A27014430"	2008	119.975
"B78908605"	2017	119.988
"A23010200"	2008	120
"A48117881"	2015	120.159
"A81896375"	2007	120.32
"A28219541"	2014	120.68
"A08642886"	2014	120.798
"B83541912"	2013	120.919
"A33126244"	2012	121.057
"A33008921"	2017	121.302
"A08508418"	2015	121.337
"A78526811"	2014	121.36
"A08687204"	2010	121.535
"A08278293"	2012	121.631
"A41008640"	2008	122
"A28314995"	2017	122.324
"A08604159"	2017	122.349
"A50066562"	2012	122.376
"A96646880"	2010	122.538
"B08988149"	2007	122.651
"A79203568"	2013	123
"A80352750"	2014	123
"A08551061"	2013	123.066
"A48121826"	2017	123.105
"A33024852"	2012	123.15
"A28172476"	2011	123.298
"B36684157"	2011	123.383
"A48121826"	2015	124.091
"B62263272"	2011	124.093
"A28172476"	2014	124.138
"A81117798"	2016	124.151
"A28637502"	2016	124.476
"B81009151"	2009	124.527
"A28314995"	2015	124.609
"B83680322"	2017	124.662
"A28670636"	2014	124.724
"A50066562"	2011	125.154
"A28574044"	2015	125.278
"A28440576"	2017	125.653
"A28046431"	2016	126.026
"B79863288"	2012	126.167
"A08507741"	2012	126.462
"A08514028"	2008	126.514
"A79259339"	2009	126.52
"A45013620"	2012	127.004
"A97628242"	2015	127.201
"B08195653"	2007	127.3
"A08273898"	2014	127.592
"A84534627"	2014	127.782
"A35008168"	2012	127.818
"B50029263"	2007	128.303
"B50029263"	2009	128.593
"A28172476"	2012	128.666
"B61395497"	2009	128.749
"A28172476"	2013	128.783
"B46151411"	2017	129.766
"B36684157"	2010	129.923
"B62263272"	2010	129.933
"A85426971"	2017	130
"B50029263"	2008	130.461
"A50057421"	2015	130.47
"A23014871"	2016	130.535
"B27013556"	2007	130.807
"A08126492"	2015	130.896
"A28333490"	2014	131.005
"A33373622"	2016	131.047
"A08452500"	2011	131.061
"A28128486"	2008	131.07
"A08514028"	2012	131.466
"A33008921"	2016	131.474
"B33607649"	2007	131.64
"A48116420"	2017	132.28
"A28292084"	2008	132.298
"A46151973"	2015	132.379
"A08304628"	2015	132.385
"A41059445"	2009	132.4
"A28070167"	2015	132.496
"A28427516"	2007	133.281
"A08934168"	2008	133.289
"A08607988"	2012	133.836
"A48117881"	2012	134.151
"B79945150"	2016	134.328
"A28333490"	2012	134.545
"A28333490"	2011	134.721
"A28420602"	2012	134.968
"B28460681"	2015	135.004
"A08689796"	2014	135.274
"A58394941"	2008	135.38
"A09354176"	2011	135.441
"A28637502"	2015	135.754
"A78355278"	2013	135.757
"A01016591"	2009	135.868
"A28487601"	2017	136.279
"A17012626"	2017	136.312
"V83443390"	2014	136.798
"B08463424"	2016	137.153
"B08463424"	2013	137.185
"A78526811"	2011	137.349
"B97307086"	2013	137.661
"A08737249"	2013	137.938
"B36684157"	2008	138.363
"A48403927"	2017	138.557
"A15010994"	2007	138.617
"A80433519"	2007	138.68
"A79203568"	2017	138.713
"A80433519"	2010	138.722
"A01008069"	2017	138.726
"A28649879"	2014	139.106
"A08278293"	2011	139.301
"A08507741"	2009	139.358
"A41059445"	2008	139.36
"A07002645"	2014	139.39
"A08278293"	2010	139.782
"A08452500"	2016	139.816
"A43110337"	2011	139.956
"B28460681"	2014	140.048
"A28670636"	2013	140.208
"A25026139"	2017	140.42
"A08689796"	2013	140.597
"A78831369"	2012	141
"A28292084"	2007	141.65
"B79863288"	2015	141.699
"A78526811"	2008	142.22
"B08407322"	2007	142.351
"A28046431"	2015	142.554
"A27014430"	2011	142.643
"A78526811"	2009	142.664
"A08551061"	2012	143.135
"A28333490"	2013	143.404
"A08577215"	2013	143.558
"A28295806"	2016	143.848
"A28051597"	2013	143.906
"A33126244"	2013	144.053
"A28435931"	2014	144.075
"A38031233"	2015	144.661
"A78097656"	2016	144.739
"A48031140"	2016	145
"A08952012"	2011	145.141
"A41088493"	2015	145.219
"A08604159"	2016	145.38
"A07068430"	2008	145.383
"A08260663"	2012	145.592
"A80732142"	2012	146.048
"A97628242"	2014	146.302
"A41088493"	2013	146.463
"B27007897"	2011	146.727
"B20049615"	2016	146.741
"A63746275"	2016	146.875
"A46074647"	2014	146.934
"A80352750"	2013	147
"B31083488"	2013	147.343
"A28070167"	2009	147.376
"B08407322"	2008	147.43
"A01019702"	2007	147.475
"B64555980"	2017	147.997
"B84886837"	2017	148.116
"A78990603"	2008	148.18
"A84780055"	2017	148.255
"A03036373"	2017	148.929
"B97861843"	2017	149
"A46406930"	2010	149.104
"A03001948"	2007	149.321
"A58061383"	2010	149.447
"A58394941"	2009	149.787
"A08029951"	2011	149.873
"A28724219"	2010	150.059
"A08952012"	2010	150.259
"B83680322"	2016	150.503
"A48117881"	2013	150.812
"B31066798"	2016	150.973
"B83680322"	2013	151
"A48080147"	2009	151.058
"B58779018"	2016	151.294
"B62293113"	2013	151.5
"A08358442"	2016	152.271
"A80433519"	2009	152.778
"A09015256"	2012	152.839
"A59382762"	2010	152.844
"A23010200"	2012	153.042
"A79290565"	2009	153.559
"A08393571"	2016	154
"B82435371"	2016	154
"A08029951"	2013	154.061
"B61425682"	2010	154.247
"A80732142"	2011	154.804
"A59382762"	2016	154.881
"A78990603"	2007	155.08
"A28487601"	2016	155.292
"A36619476"	2017	155.705
"B01015221"	2017	155.807
"B27007897"	2012	156.054
"A46074647"	2017	156.515
"A78355278"	2012	156.707
"A50057421"	2013	156.888
"A80352750"	2017	157
"A61797536"	2012	157
"A08466187"	2016	157.201
"A35115856"	2016	157.31
"A14530497"	2011	157.526
"A41088493"	2012	157.596
"A29050572"	2009	157.933
"A59382762"	2012	157.94
"B82435371"	2015	158
"C28863686"	2017	158.009
"A79259362"	2010	158.175
"A48117881"	2014	158.228
"A08934168"	2007	158.285
"A28435931"	2013	158.323
"B28250090"	2015	158.323
"A03036373"	2015	158.478
"A61587358"	2012	158.617
"A08358442"	2015	158.903
"B80146517"	2016	159
"A59382762"	2009	159.003
"A50057421"	2014	159.028
"A41014986"	2017	159.172
"A28440576"	2016	159.313
"A80732142"	2010	159.722
"A08691503"	2011	160.011
"A08131112"	2016	160.096
"A11902814"	2016	160.191
"A08354441"	2013	160.411
"A81896375"	2012	160.416
"B61395497"	2010	160.93
"A28642122"	2007	160.99
"B27013556"	2011	161.107
"A08952012"	2016	161.189
"A08304628"	2011	161.313
"A17012626"	2011	161.382
"A48080881"	2009	161.396
"A08029951"	2012	161.503
"A08514028"	2017	161.539
"A30041883"	2016	161.597
"A45013620"	2015	161.608
"A28054211"	2017	161.77
"B36684157"	2007	161.802
