nif	year	amortizacion
"A96945530"	2017	-13502.82
"A20031076"	2012	-13500
"B01218932"	2015	-13471
"B08243693"	2013	-13467
"B95087482"	2013	-13416
"A08046799"	2010	-13160
"A58816554"	2015	-13104.12
"A07326473"	2014	-12946.7
"A58816554"	2016	-12924.07
"A58816554"	2017	-12876.01
"A08008450"	2016	-12842
"B08100380"	2010	-12798
"A48547558"	2015	-12779.7
"A08008450"	2017	-12778
"A07326473"	2016	-12648.84
"A28985992"	2012	-12493.23
"A20031076"	2011	-12413
"A07326473"	2017	-12387.03
"B59886531"	2010	-12354
"B83814251"	2013	-12334.71
"A81944324"	2017	-12303
"A38666897"	2013	-12298.86
"A39000450"	2015	-12273
"A08023145"	2014	-12255
"A08016255"	2016	-12224
"A39000450"	2016	-12214
"A96945530"	2016	-12186.95
"A48547558"	2016	-12178.44
"A81944324"	2015	-12148
"A81944324"	2016	-12139
"A38666897"	2015	-12082
"A48114318"	2011	-12027.76
"A81944324"	2014	-12017
"A20031076"	2010	-11955
"A09092305"	2013	-11940.2
"V48566475"	2010	-11937.33
"A08431090"	2017	-11935
"A48547558"	2014	-11855.86
"A11355526"	2008	-11854.04
"A61713301"	2013	-11821
"A07326473"	2015	-11742.97
"B83325076"	2016	-11697
"A08046799"	2009	-11659
"B59886531"	2008	-11591
"A82335746"	2010	-11568.11
"A08008450"	2015	-11529
"A08016255"	2015	-11371
"A28078202"	2008	-11358
"B58836321"	2013	-11303
"A22174932"	2011	-11301
"A08046799"	2017	-11272
"A38666897"	2011	-11220.55
"A08016255"	2017	-11187
"A48547558"	2017	-11179.08
"A81593808"	2017	-11158.24
"A38666897"	2010	-11108
"A20038915"	2010	-11028.25
"A96945530"	2015	-10967.18
"A28220606"	2017	-10944
"A41050113"	2017	-10861.06
"A79259362"	2012	-10848.38
"B83616920"	2017	-10798
"A62415641"	2017	-10754.51
"A41461856"	2009	-10729.32
"B83325076"	2015	-10677
"B59886531"	2009	-10659
"A62415641"	2014	-10647.97
"A38666897"	2012	-10627.18
"A62415641"	2016	-10626.21
"A62415641"	2015	-10619.11
"B28757730"	2014	-10615.5
"F32001976"	2017	-10556
"A08008450"	2011	-10439
"A08016255"	2014	-10427
"A28642122"	2013	-10336.57
"A38666897"	2016	-10294.42
"B01292903"	2013	-10238
"B83325076"	2010	-10169.82
"A11355526"	2007	-10121.81
"A38666897"	2014	-10099.99
"A03681186"	2017	-10001.8
"A08046799"	2008	-9983
"A08008450"	2013	-9957
"B62916077"	2013	-9917.544
"A28642122"	2012	-9878.156
"A16009870"	2017	-9799.77
"B08243693"	2012	-9796
"A28002640"	2014	-9791.27
"A63776306"	2016	-9773
"A08008450"	2010	-9767
"A48114318"	2010	-9741.737
"A08999088"	2013	-9713.472
"A08008450"	2012	-9697
"A38666897"	2017	-9621.05
"A28985992"	2015	-9556.027
"B95087482"	2012	-9556
"A20038915"	2009	-9533.876
"A28693166"	2013	-9512.589
"A81496382"	2013	-9512.086
"A08008450"	2014	-9506
"B82207275"	2011	-9492
"A20031076"	2009	-9427
"A28198661"	2016	-9354
"A28985992"	2017	-9352.44
"V48566475"	2009	-9301.597
"A20038915"	2012	-9271.982
"B83616920"	2016	-9251
"A08008450"	2009	-9213
"A81593808"	2013	-9178.578
"B37014388"	2011	-9149.321
"A03681186"	2013	-9093.561
"B08243693"	2014	-8996
"A09092305"	2012	-8941.624
"A28198661"	2017	-8941
"A32015844"	2017	-8886.473
"A78320736"	2017	-8844
"B37014388"	2013	-8837.337
"A28198661"	2015	-8782
"A08274987"	2013	-8780.593
"A16009870"	2016	-8714.988
"A79259362"	2011	-8691.301
"A82335746"	2009	-8667.895
"A07919087"	2014	-8664.687
"A07052244"	2011	-8624.253
"B61441127"	2012	-8604
"B08100380"	2009	-8589
"B01292903"	2012	-8583
"A08332363"	2016	-8563.412
"A36036739"	2012	-8524.346
"A81496382"	2012	-8505.58
"A28642122"	2011	-8411.871
"A03681186"	2016	-8329.264
"A97789861"	2017	-8316
"A20038915"	2011	-8306.2
"A33006404"	2017	-8288.701
"A08046799"	2007	-8281
"B31744709"	2014	-8264
"B31744709"	2015	-8259
"A41461856"	2008	-8258.922
"A28220606"	2016	-8228
"B85294916"	2017	-8173
"A36036739"	2013	-8152.74
"A79259388"	2013	-8142.046
"A22174932"	2015	-8128
"V82171133"	2013	-8096.021
"B62916077"	2014	-8083
"A41050113"	2016	-8030.988
"B95087482"	2017	-8025
"A28693166"	2014	-7993.467
"A28985992"	2016	-7985.355
"B83814251"	2012	-7966.244
"A81593808"	2016	-7963.244
"A33006404"	2015	-7962.348
"A08274987"	2014	-7916.55
"A28220606"	2014	-7886
"B83616920"	2015	-7878
"A28078202"	2007	-7841
"A20031076"	2007	-7774.39
"A20031076"	2008	-7759
"B59886531"	2012	-7737
"A33006404"	2014	-7709.85
"B59886531"	2011	-7695
"A28893550"	2012	-7686
"A07919087"	2013	-7681.523
"V48566475"	2008	-7676.106
"B08243693"	2015	-7635
"B31744709"	2017	-7633
"A61427183"	2013	-7627.195
"A28893550"	2011	-7617
"A08503005"	2013	-7616
"A28220606"	2015	-7605
"A33006404"	2016	-7596.436
"B31009715"	2013	-7536.167
"B08243693"	2011	-7514
"A08136806"	2013	-7494
"A08136806"	2014	-7479
"A81496382"	2011	-7477.211
"A03681186"	2014	-7436.028
"A28077709"	2014	-7393
"A50018837"	2013	-7389.239
"B58836321"	2012	-7374
"B08100380"	2014	-7353
"B43110113"	2013	-7351.286
"V82171133"	2012	-7346.631
"A08008450"	2008	-7329
"A07919087"	2015	-7305.676
"B31744709"	2016	-7280
"B85294916"	2016	-7267.618
"A36036739"	2011	-7263.835
"A29005782"	2017	-7240.762
"A41017161"	2017	-7216.472
"A15010564"	2013	-7208.063
"B82207275"	2010	-7207
"A28456820"	2017	-7179.515
"A81593808"	2015	-7168.292
"A08136806"	2015	-7165
"A24020562"	2013	-7158.831
"A08274987"	2017	-7155.976
"A81408817"	2013	-7137.591
"A78320736"	2016	-7131
"A29005782"	2015	-7068.611
"A03681186"	2015	-7064.487
"A41461856"	2017	-7047.392
"B95087482"	2016	-7044
"A08023145"	2015	-7026
"A78320736"	2015	-7022
"A29005782"	2014	-7014.665
"A28077709"	2015	-6961
"A29005782"	2016	-6955.686
"A28642122"	2010	-6930.36
"A12003950"	2015	-6921.28
"A35023746"	2012	-6884
"A36036739"	2016	-6860.906
"A46078267"	2013	-6850.14
"A08503005"	2014	-6848
"A07919087"	2017	-6840.277
"A41461856"	2016	-6839.832
"A35023746"	2013	-6820
"A41461856"	2014	-6797.018
"A41461856"	2015	-6781.806
"A81408817"	2012	-6777.742
"A28693166"	2012	-6771.318
"B95087482"	2011	-6733
"A28077709"	2016	-6732
"B43110113"	2012	-6722.825
"A08250425"	2007	-6720.73
"A08703803"	2016	-6705.735
"A36036739"	2017	-6702.399
"A35023746"	2011	-6683
"V82171133"	2011	-6665.883
"A08332363"	2017	-6660.906
"A08136806"	2016	-6660
"A09092305"	2011	-6631.005
"A08439291"	2015	-6622.652
"A08023145"	2017	-6606
"B31009715"	2012	-6593.712
"A22174932"	2016	-6590
"B61441127"	2011	-6589
"F03842671"	2015	-6567.38
"A57277709"	2017	-6567.211
"A35023746"	2010	-6566
"A79259362"	2010	-6562.613
"A58415779"	2013	-6554.186
"B08100380"	2008	-6553
"A36036739"	2014	-6549.684
"V48566475"	2007	-6544.43
"A36036739"	2015	-6541.879
"A08023145"	2016	-6540
"A08136806"	2012	-6537
"A57277709"	2016	-6528.932
"A58415779"	2012	-6514.113
"A07919087"	2012	-6511.951
"A80245129"	2012	-6498.807
"A20031076"	2015	-6493
"B01292903"	2011	-6487
"A35023746"	2009	-6481
"A41461856"	2007	-6478.555
"A08274987"	2015	-6469.88
"A03681186"	2012	-6463.922
"A81496382"	2010	-6459.208
"A48083927"	2013	-6446.785
"A28693166"	2007	-6429.365
"A20031076"	2016	-6400
"A57277709"	2015	-6398.511
"A28273241"	2017	-6388.947
"A96945530"	2014	-6360.267
"A08250425"	2008	-6355.89
"A28077709"	2017	-6355
"A32015844"	2016	-6349.796
"A16009870"	2015	-6346.216
"A28893550"	2008	-6331
"A28893550"	2010	-6331
"A28893550"	2009	-6331
"A28893550"	2007	-6331
"A36036739"	2010	-6328.438
"A28273241"	2016	-6323.969
"A08703803"	2015	-6320.293
"A08250425"	2009	-6318.118
"A41017161"	2016	-6317.93
"A28074078"	2013	-6311.713
"A08274987"	2012	-6311.192
"A08274987"	2016	-6307.652
"A28456820"	2016	-6286.523
"A81593808"	2012	-6276.377
"B37014388"	2014	-6220.819
"A03402468"	2012	-6217.912
"A20038915"	2008	-6217.279
"B37014388"	2010	-6210.917
"A15009665"	2016	-6186.297
"A28985992"	2014	-6180.716
"A28057677"	2013	-6168.074
"B37014388"	2012	-6159.4
"A83932475"	2016	-6139.089
"A03402468"	2011	-6118.244
"A41087404"	2012	-6109.143
"A39000450"	2017	-6079
"B30020226"	2013	-6077.68
"A15009665"	2015	-6072.103
"B46039061"	2014	-6064.169
"A50018837"	2016	-6058.2
"A15009665"	2017	-6036.946
"A46406930"	2010	-6030.433
"A20806329"	2015	-6022.959
"A58415779"	2011	-6005.693
"A46052809"	2017	-5986.37
"F03842671"	2016	-5983.733
"A83932475"	2017	-5983.716
"A46078267"	2012	-5983.31
"A78320736"	2013	-5983
"A50018837"	2015	-5976.685
"B95087482"	2015	-5975
"A81408817"	2011	-5974.833
"A23016157"	2015	-5973.061
"A28352656"	2017	-5971.959
"A81041147"	2013	-5963
"B08243693"	2016	-5959
"A46052809"	2016	-5956.883
"A15010564"	2012	-5953.987
"V82171133"	2010	-5949.4
"A16009870"	2014	-5944.38
"A08503005"	2017	-5943
"B85294916"	2015	-5940
"B84309616"	2013	-5933.532
"A23016157"	2014	-5925.629
"A08332363"	2013	-5904.018
"A08703803"	2017	-5890.965
"A81593808"	2014	-5884.354
"A20806329"	2017	-5884.091
"A24022196"	2013	-5866.288
"A41050113"	2015	-5854.823
"A48002984"	2014	-5853.001
"A22174932"	2010	-5838
"A24022196"	2007	-5822.81
"A50018837"	2017	-5817.09
"A08116147"	2007	-5810.33
"A50018837"	2014	-5805.915
"B43110113"	2011	-5793.954
"A82335746"	2008	-5772.49
"A15506934"	2015	-5769.878
"B46020541"	2017	-5762.073
"A35023746"	2008	-5762
"A12363529"	2015	-5731.815
"F03842671"	2017	-5723.897
"A97617773"	2017	-5712.804
"A24022196"	2017	-5708.758
"A28456820"	2015	-5707.166
"V48566475"	2014	-5678.389
"A08503005"	2012	-5659
"B82612904"	2013	-5657.29
"A08503005"	2015	-5653
"B31009715"	2011	-5650.586
"A46078267"	2011	-5641.894
"B78459815"	2014	-5621.16
"A78320736"	2014	-5620
"B08100380"	2007	-5616.86
"A24022196"	2016	-5613.356
"A28642122"	2009	-5606.607
"A57277709"	2014	-5602.779
"A79259388"	2012	-5590.804
"A29661394"	2013	-5587.921
"A20806329"	2016	-5586.991
"A12003950"	2016	-5582.837
"A20031076"	2014	-5544
"A28011286"	2013	-5534
"B31049273"	2013	-5527.45
"A28074078"	2017	-5526.907
"A28259141"	2017	-5520.703
"B95087482"	2010	-5509
"A48083927"	2011	-5496.122
"B31049273"	2012	-5477.795
"A28341055"	2011	-5453.542
"A38015459"	2015	-5453.297
"A23016157"	2016	-5450.511
"A58415779"	2010	-5446.35
"A41087404"	2011	-5440.605
"A15010564"	2017	-5440.464
"A03402468"	2010	-5432.082
"A81496382"	2009	-5429.794
"A08503005"	2016	-5425
"A08999088"	2014	-5407.116
"B08243693"	2010	-5398
"B01213032"	2015	-5396.779
"A81041147"	2012	-5387
"A46052809"	2015	-5369.054
"A28700383"	2016	-5361.534
"A28693166"	2015	-5354.922
"A07919087"	2011	-5342.42
"A35023746"	2007	-5342
"A97617773"	2016	-5340.349
"A81864498"	2013	-5339.909
"A48083927"	2010	-5335.775
"A12461802"	2015	-5335.76
"B01213032"	2016	-5324.8
"A48002984"	2016	-5315.985
"A12023693"	2015	-5312.139
"A82198847"	2017	-5298.37
"A08016255"	2013	-5290
"A08439291"	2016	-5275.031
"A08116147"	2013	-5263
"A36036739"	2009	-5246.171
"A48002984"	2015	-5238.981
"A82198847"	2014	-5218.991
"A28074078"	2015	-5202.176
"A81864498"	2012	-5194.201
"B84227461"	2016	-5186
"A15010564"	2014	-5178.837
"A15009665"	2014	-5175.08
"B01218932"	2014	-5156
"A80245129"	2013	-5153.83
"B46020541"	2016	-5152.555
"A78320736"	2012	-5152
"A28074078"	2012	-5149.257
"B62385067"	2013	-5148.487
"A97789861"	2016	-5147
"A83932475"	2015	-5146.714
"B96246350"	2017	-5138.341
"B01213032"	2017	-5135.14
"V82171133"	2009	-5134.087
"A80245129"	2011	-5131.974
"A80245129"	2010	-5126.082
"A80245129"	2009	-5122.263
"A08136806"	2017	-5106
"A22174932"	2017	-5099
"A28456820"	2014	-5092.468
"A08257529"	2014	-5088.797
"A23016157"	2017	-5074.89
"A38015459"	2016	-5072.753
"A41087404"	2013	-5067.97
"B83814251"	2014	-5065.863
"B84227461"	2017	-5053
"A61713301"	2017	-5051
"A12023693"	2016	-5047.938
"A48084909"	2017	-5041
"A12461802"	2014	-5039.101
"A28023422"	2015	-5034.074
"A08439291"	2017	-5033.191
"A08384638"	2014	-5027.859
"A15010564"	2015	-5022.162
"B12457230"	2016	-5015.604
"A48084909"	2016	-5015
"A15010564"	2016	-5001.696
"B62409065"	2017	-5000.671
"A15010564"	2011	-4996.304
"A61713301"	2016	-4987
"A07052244"	2010	-4970.079
"A28359073"	2013	-4964
"A58415779"	2009	-4957.087
"A61713301"	2015	-4946
"B46020541"	2015	-4945.646
"B83814251"	2016	-4942.23
"A81933772"	2011	-4941.653
"A06244131"	2017	-4937.409
"A28700383"	2015	-4931.85
"A28057677"	2012	-4925.209
"A96945530"	2013	-4912.737
"B08243693"	2017	-4912
"B82612904"	2012	-4904.468
"A82335746"	2014	-4899.8
"A28074078"	2016	-4899.049
"A81944324"	2011	-4898
"A41017161"	2015	-4879.651
"A85280253"	2017	-4873
"A81041147"	2011	-4864
"B03002441"	2017	-4855.521
"A24022196"	2015	-4845.392
"A08332363"	2012	-4843.203
"A28259141"	2015	-4835.75
"A82198847"	2015	-4829.903
"A82501545"	2017	-4819.9
"B83814251"	2015	-4783.946
"B43579424"	2012	-4776.512
"A08026197"	2017	-4761
"A07059058"	2016	-4760.953
"A08026197"	2016	-4753
"A29661394"	2012	-4745.178
"B95087482"	2014	-4734
"B46039061"	2015	-4715.384
"A28023422"	2014	-4709.426
"A08008450"	2007	-4698.12
"B12457230"	2015	-4693.335
"B30020226"	2012	-4689.632
"B78459815"	2013	-4689.301
"A20038915"	2015	-4677.911
"A28259141"	2016	-4656.955
"B43110113"	2010	-4647.113
"A08703803"	2013	-4645.012
"A33601899"	2016	-4634.546
"A03402468"	2009	-4627.803
"B81335473"	2015	-4611.988
"A38015459"	2017	-4607.45
"A12003950"	2017	-4602.29
"A81864498"	2011	-4592.842
"A13008339"	2015	-4584.27
"A38015459"	2014	-4581.805
"A12019295"	2013	-4580.737
"A13008339"	2014	-4579.83
"A08721177"	2013	-4576.509
"A28138873"	2017	-4546
"A33601899"	2014	-4540.73
"A28985992"	2010	-4535.857
"A28359073"	2017	-4530.308
"A24022196"	2012	-4520.14
"B62385067"	2012	-4517.95
"A36006021"	2013	-4512.362
"A58415779"	2008	-4511.44
"A12023693"	2010	-4510.982
"A08703803"	2014	-4509.714
"A07059058"	2017	-4504.093
"A80245129"	2008	-4498.645
"B03002441"	2016	-4497.819
"A28693166"	2009	-4492.659
"A30021877"	2014	-4480.783
"A79259362"	2009	-4478.015
"A28642122"	2008	-4471.7
"A06244131"	2015	-4469.138
"B58836321"	2015	-4467
"B12541496"	2015	-4459.872
"A59736686"	2013	-4450.524
"B61441127"	2010	-4450
"B30558290"	2017	-4447.561
"A50049519"	2015	-4445.916
"A82198847"	2016	-4438.485
"A08999088"	2012	-4424.854
"B08243693"	2009	-4422
"A13008339"	2016	-4420.47
"A48084909"	2015	-4414.722
"A96945530"	2012	-4408.425
"A81408817"	2010	-4407.495
"A08384638"	2015	-4406.7
"B27013713"	2017	-4404.691
"A81041147"	2010	-4404
"A81496382"	2008	-4403.057
"A85125078"	2016	-4402
"A28023422"	2016	-4399.542
"A30009146"	2017	-4388.865
"A41087404"	2010	-4386.754
"A31071913"	2017	-4383.771
"A12363529"	2013	-4378.015
"B96246350"	2016	-4376.47
"B37014388"	2009	-4364.389
"B95087482"	2009	-4364
"A08157737"	2008	-4362.34
"A48083927"	2009	-4356.118
"A59736686"	2017	-4355.414
"V82171133"	2008	-4351.699
"A20031076"	2017	-4338
"B31009715"	2010	-4335.134
"A20038915"	2007	-4333.784
"B81335473"	2016	-4331.267
"A81593808"	2011	-4325.523
"A15685324"	2014	-4319.611
"A78320736"	2011	-4319
"A82501545"	2014	-4304.94
"A41035742"	2014	-4300.977
"A12011946"	2015	-4299.261
"A79259362"	2015	-4294.88
"A41050113"	2014	-4293.958
"A07919087"	2010	-4293.902
"A28341055"	2010	-4288.913
"A08026197"	2014	-4288
"A08384638"	2016	-4287.643
"B14008999"	2017	-4280.094
"A43028588"	2016	-4279.917
"A31071913"	2016	-4279.383
"B81335473"	2014	-4276.652
"A08384190"	2017	-4266.442
"A08116147"	2012	-4263
"A48002984"	2017	-4249.146
"A24020562"	2012	-4239.119
"A22008106"	2017	-4229.297
"A28693166"	2008	-4221.501
"B03002441"	2014	-4217.524
"A12363529"	2014	-4213
"A28057677"	2010	-4205.16
"A61713301"	2014	-4202
"B50561968"	2013	-4198.95
"A36006021"	2012	-4196.909
"B82612904"	2011	-4190.283
"A08026197"	2015	-4184
"A08663684"	2017	-4181.936
"B12457230"	2017	-4181.867
"A28259141"	2014	-4178.499
"A82501545"	2016	-4177.177
"A82501545"	2015	-4172.08
"A12512497"	2015	-4170.973
"A06008361"	2013	-4170.066
"B08100380"	2015	-4169.945
"B46020541"	2014	-4159.97
"A50018837"	2012	-4157.588
"B62409065"	2016	-4153.751
"A30009146"	2016	-4143.438
"A08222465"	2013	-4141.63
"B03002441"	2015	-4141.482
"B31798929"	2014	-4140.574
"A43028588"	2015	-4140.127
"A28700383"	2014	-4136.852
"A24020562"	2014	-4135.053
"A83932475"	2014	-4131.972
"B46012324"	2015	-4130.568
"B31049273"	2011	-4130.475
"A24022196"	2010	-4127.066
"A38023925"	2014	-4121.188
"A08766099"	2014	-4121.168
"A24020562"	2015	-4113.108
"A28106003"	2011	-4112.882
"B46039061"	2013	-4111.948
"A79259362"	2016	-4105.912
"A08192965"	2013	-4104.345
"A28359073"	2012	-4097
"B12541496"	2014	-4092.08
"A80245129"	2017	-4086.908
"A08766099"	2015	-4079.15
"A59736686"	2008	-4076.668
"A96773940"	2017	-4067
"A28400323"	2013	-4065.794
"A12363529"	2012	-4063.709
"B01292903"	2010	-4063
"A12003950"	2014	-4058.574
"A82683434"	2016	-4054.247
"A61713301"	2012	-4053
"A53817359"	2017	-4048.619
"B82207275"	2016	-4047
"B82207275"	2014	-4042
"A58415779"	2007	-4038.6
"A28023422"	2017	-4037.851
"A12011946"	2017	-4035.18
"A12023693"	2011	-4031.905
"A28011286"	2012	-4024
"B60420692"	2014	-4023.68
"A81041147"	2009	-4023
"B60420692"	2017	-4021.52
"B57362105"	2017	-4018.35
"A08384190"	2016	-4013.232
"A03681186"	2011	-4010.335
"A12023693"	2012	-4009.632
"A23016157"	2013	-4009.583
"A33601899"	2015	-4009.119
"A08721177"	2012	-3995.59
"A28126597"	2010	-3994.197
"A12011946"	2016	-3982.344
"A20038915"	2016	-3981.128
"B14008999"	2016	-3978.389
"B60420692"	2015	-3977.37
"A28011286"	2014	-3977
"B63149637"	2013	-3973
"A79259388"	2011	-3966.063
"B30020226"	2014	-3960
"B78459815"	2015	-3958.831
"B31049273"	2010	-3955.069
"A30009146"	2015	-3952.072
"A85125078"	2015	-3947
"A12512497"	2014	-3943.764
"B62409065"	2014	-3927.691
"A48016877"	2013	-3924.228
"A28012342"	2014	-3923
"A28985992"	2011	-3921.641
"A48016877"	2012	-3921.571
"A28642122"	2007	-3918.61
"B60420692"	2016	-3918.38
"A48114318"	2007	-3917.18
"A48016877"	2011	-3916.966
"A48016877"	2010	-3913.842
"A35023746"	2014	-3913
"A48016877"	2009	-3911.406
"A96773940"	2016	-3911
"B84227461"	2015	-3910
"B83325076"	2009	-3909.645
"A48016877"	2008	-3909.002
"B46132387"	2017	-3906.311
"A53817359"	2016	-3900.53
"A22174932"	2009	-3899.1
"B31049273"	2009	-3895.389
"A29661394"	2011	-3893.537
"B84309616"	2014	-3888.473
"A82683434"	2015	-3887.633
"A80245129"	2016	-3885.74
"A38023925"	2016	-3885.149
"B59886531"	2013	-3880
"A08031544"	2017	-3873.354
"A28074078"	2011	-3872.13
"A28273241"	2015	-3871.926
"B27013713"	2016	-3871.448
"A46078267"	2010	-3867.237
"A08209538"	2013	-3867.147
"A08999088"	2011	-3865.398
"A81864498"	2010	-3862.606
"A28228690"	2013	-3851.816
"A33601899"	2017	-3848.246
"B62409065"	2015	-3843.183
"B63100150"	2013	-3841.35
"A28712479"	2011	-3838.764
"A23016157"	2012	-3836.731
"A03402468"	2008	-3836.43
"A43020486"	2013	-3834.727
"A79259362"	2014	-3825.598
"B38318572"	2016	-3824.276
"A36006021"	2011	-3823.456
"A48031686"	2015	-3820
"B11469491"	2016	-3813.517
"A60362266"	2016	-3806.264
"A48865679"	2011	-3804.47
"A08703803"	2012	-3801.432
"A24022196"	2014	-3788.951
"B08243693"	2008	-3786
"A08291924"	2013	-3781.716
"A96773940"	2015	-3778
"A08116147"	2011	-3764
"A60362266"	2013	-3762.98
"A08146870"	2011	-3761.004
"B82207275"	2009	-3760
"A96773940"	2014	-3754
"A08274987"	2011	-3753.257
"A08106031"	2014	-3745
"A09092305"	2014	-3742
"A96966049"	2014	-3741
"A48084909"	2014	-3736.072
"B27015965"	2014	-3727.557
"A81957367"	2013	-3713.114
"A08513178"	2013	-3712.339
"A48031686"	2016	-3710
"B08125940"	2016	-3707.195
"A09092305"	2010	-3706.153
"A60362266"	2015	-3705.302
"B35110410"	2016	-3705.152
"A28491637"	2017	-3698.234
"A15685373"	2017	-3694.356
"A33013202"	2016	-3693.824
"A12023693"	2013	-3693.098
