nif	year	existencias
"A17012626"	2012	0
"B11469491"	2009	0
"A62415641"	2012	0
"V48566475"	2012	0
"B28403194"	2009	0
"B83541912"	2013	0
"B82435371"	2012	0
"A57082570"	2012	0
"A28749976"	2013	0
"A17006792"	2009	0
"A79259339"	2008	0
"A33778739"	2007	0
"B78908605"	2008	0
"A15169535"	2008	0
"A48081061"	2011	0
"A08452500"	2012	0
"A08147555"	2008	0
"B96990015"	2009	0
"A11010352"	2010	0
"B81009151"	2011	0
"A20028676"	2012	0
"A33603317"	2007	0
"A83150060"	2010	0
"B24013799"	2009	0
"B62916077"	2012	0
"A80959612"	2009	0
"A08365413"	2009	0
"B91139717"	2011	0
"A15685373"	2013	0
"A15685373"	2007	0
"A08365413"	2008	0
"A33603317"	2009	0
"A07035934"	2013	0
"A48547558"	2012	0
"A08301475"	2008	0
"B48948830"	2009	0
"A41762386"	2011	0
"A81593808"	2007	0
"B30020226"	2012	0
"A96966049"	2008	0
"A12012605"	2008	0
"A35026590"	2012	0
"A79092573"	2011	0
"A25010430"	2007	0
"A50615160"	2011	0
"A33202474"	2012	0
"B28403194"	2013	0
"A33202474"	2011	0
"B60544046"	2008	0
"A33202474"	2008	0
"A78389608"	2012	0
"A08405490"	2007	0
"A35115856"	2012	0
"A33055138"	2008	0
"A35026590"	2009	0
"A48050728"	2013	0
"B81335473"	2010	0
"B38484796"	2009	0
"B48948830"	2011	0
"A29453768"	2007	0
"B82435371"	2013	0
"A11010352"	2013	0
"A29453768"	2009	0
"A79290565"	2007	0
"V48566475"	2010	0
"A82501545"	2009	0
"B30037204"	2008	0
"A46463311"	2011	0
"A61831681"	2008	0
"A81864498"	2013	0
"A48802854"	2009	0
"A12012605"	2012	0
"A41191313"	2011	0
"B81907776"	2008	0
"B95271326"	2012	0
"A08147555"	2011	0
"B83211318"	2009	0
"A80959612"	2007	0
"A12012605"	2007	0
"A47091632"	2008	0
"A29955093"	2007	0
"B81231516"	2008	0
"V48566475"	2008	0
"A28381234"	2012	0
"A28228690"	2008	0
"A80897770"	2013	0
"A28259141"	2007	0
"A81864498"	2010	0
"B79863288"	2009	0
"B82899550"	2011	0
"A33055138"	2010	0
"A17012626"	2013	0
"A36040442"	2010	0
"A36608180"	2008	0
"A57277709"	2012	0
"A28381234"	2013	0
"A28505402"	2007	0
"A08145385"	2011	0
"B35023068"	2010	0
"A33778739"	2009	0
"B12462560"	2012	0
"B96952635"	2013	0
"A35115856"	2007	0
"A42000802"	2009	0
"A50615160"	2010	0
"B57208878"	2013	0
"A60045903"	2011	0
"A83048363"	2013	0
"B82529017"	2013	0
"A28023422"	2013	0
"A28332914"	2007	0
"A08005688"	2012	0
"B95271326"	2013	0
"B58836321"	2013	0
"A81536112"	2011	0
"A28923662"	2013	0
"A07035934"	2011	0
"B35023068"	2013	0
"A26297663"	2010	0
"B83616920"	2012	0
"A48031140"	2007	0
"A58534777"	2008	0
"A28058725"	2009	0
"A53817359"	2013	0
"A60045903"	2010	0
"G38004297"	2009	0
"B43587120"	2011	0
"A60850500"	2013	0
"A81957367"	2012	0
"G38004297"	2010	0
"A12021267"	2013	0
"A28086858"	2013	0
"B12462560"	2011	0
"A33008921"	2013	0
"B41441387"	2013	0
"A96966049"	2010	0
"B46043238"	2010	0
"A62035282"	2013	0
"A28987196"	2013	0
"A22174932"	2012	0
"A48073274"	2012	0
"A24010381"	2011	0
"A61587358"	2009	0
"A28814135"	2008	0
"B48948830"	2010	0
"A28138873"	2009	0
"A28505402"	2013	0
"A81864498"	2011	0
"B81009151"	2008	0
"A79259362"	2009	0
"A81944324"	2007	0
"B28127447"	2008	0
"A31194905"	2012	0
"B62916077"	2013	0
"B61967774"	2010	0
"B79863288"	2011	0
"B18547281"	2011	0
"A29661394"	2011	0
"A58534777"	2007	0
"A14580385"	2011	0
"A28126597"	2013	0
"A31194905"	2010	0
"A48073274"	2011	0
"B96952635"	2011	0
"B91139717"	2012	0
"A96785225"	2008	0
"A28023422"	2011	0
"A29955093"	2008	0
"B81009151"	2013	0
"B84348622"	2013	0
"A33202474"	2010	0
"B62059498"	2013	0
"A22174932"	2010	0
"A28332914"	2009	0
"B30037204"	2013	0
"A20008579"	2010	0
"B08156036"	2013	0
"A81841850"	2009	0
"A38013744"	2008	0
"B57208878"	2011	0
"A28400323"	2013	0
"B62263272"	2008	0
"A48547558"	2010	0
"A78688934"	2013	0
"A41089368"	2012	0
"A28923662"	2010	0
"A28143782"	2010	0
"A33202474"	2007	0
"B60024353"	2009	0
"A08250425"	2010	0
"A36040442"	2011	0
"A78831369"	2012	0
"A08999088"	2008	0
"A08999088"	2009	0
"A35735083"	2011	0
"B62916077"	2009	0
"A08224107"	2013	0
"A47438262"	2009	0
"A46463311"	2013	0
"G38004297"	2008	0
"A28228690"	2011	0
"A48050728"	2012	0
"A48047377"	2013	0
"A31194905"	2011	0
"A08005688"	2010	0
"A41057209"	2010	0
"B30037204"	2012	0
"A17017005"	2008	0
"A15685373"	2011	0
"V48566475"	2009	0
"A79092573"	2012	0
"A62977186"	2011	0
"A28749976"	2008	0
"A08405490"	2009	0
"B62263272"	2013	0
"A96773940"	2011	0
"A36611903"	2007	0
"A36611903"	2010	0
"B17016254"	2011	0
"A17017005"	2009	0
"A79259362"	2013	0
"B18547281"	2012	0
"A96966049"	2013	0
"A41112012"	2008	0
"A62415641"	2013	0
"B03072857"	2011	0
"B62263272"	2012	0
"B78908605"	2007	0
"A28814135"	2007	0
"B28127447"	2007	0
"A79092573"	2010	0
"A81047375"	2008	0
"B11469491"	2008	0
"A28058725"	2012	0
"B39551973"	2010	0
"A36643450"	2013	0
"B81308439"	2013	0
"B62409065"	2012	0
"B79863288"	2012	0
"A62703806"	2011	0
"A96785225"	2009	0
"A58534777"	2011	0
"A73350399"	2012	0
"A82843129"	2010	0
"B83616920"	2013	0
"B03072857"	2007	0
"A28332914"	2012	0
"A83932475"	2012	0
"B11469491"	2010	0
"A78400603"	2007	0
"A35735083"	2012	0
"A79259404"	2007	0
"A78020732"	2011	0
"A62704457"	2010	0
"A08257529"	2010	0
"A48081061"	2013	0
"A08257529"	2007	0
"A36608180"	2010	0
"A48114151"	2013	0
"B15596331"	2007	0
"A96785225"	2012	0
"A63414486"	2012	0
"A12012605"	2013	0
"A81957367"	2008	0
"A41061318"	2007	0
"A48547558"	2008	0
"B01015221"	2012	0
"A48081061"	2010	0
"A06141345"	2012	0
"A78020732"	2009	0
"A48073274"	2010	0
"A08290405"	2011	0
"A07013907"	2008	0
"B31065212"	2011	0
"A78526811"	2013	0
"A29453768"	2012	0
"A43035708"	2012	0
"A06008361"	2007	0
"B64055445"	2013	0
"A38013272"	2011	0
"A80732142"	2010	0
"A12363529"	2009	0
"A78389608"	2013	0
"A35610666"	2007	0
"A17017005"	2013	0
"A81957367"	2009	0
"B28617256"	2007	0
"A29453768"	2008	0
"A28294718"	2013	0
"B60544046"	2012	0
"A81593808"	2011	0
"B41666728"	2007	0
"A08323404"	2010	0
"A42000802"	2011	0
"B62409065"	2013	0
"A28637304"	2011	0
"A36611903"	2011	0
"A62415641"	2008	0
"B92091404"	2012	0
"A80352750"	2011	0
"A28058725"	2008	0
"B91235622"	2009	0
"A35115856"	2009	0
"A60045903"	2008	0
"A35610666"	2012	0
"A08405490"	2008	0
"A22174932"	2008	0
"A78990603"	2008	0
"A41061318"	2008	0
"A28058725"	2011	0
"A43020486"	2012	0
"A29661394"	2010	0
"B28118800"	2013	0
"A15685324"	2010	0
"B79863288"	2010	0
"B41031980"	2009	0
"B83616920"	2011	0
"A36611903"	2009	0
"G38004297"	2013	0
"B83045674"	2010	0
"B28403194"	2012	0
"B82207275"	2012	0
"A41112012"	2013	0
"A33603317"	2011	0
"A24020562"	2007	0
"B96952635"	2009	0
"A35115856"	2008	0
"A28058725"	2010	0
"A53552634"	2010	0
"B28118800"	2014	0
"B48969885"	2010	0
"A41057209"	2011	0
"A96773940"	2010	0
"A48073274"	2009	0
"A28058725"	2013	0
"B30037204"	2010	0
"A82843129"	2008	0
"A28357093"	2012	0
"A82683434"	2011	0
"B82612904"	2013	0
"B41441387"	2012	0
"A80632573"	2008	0
"B41666728"	2008	0
"B08156036"	2010	0
"A11010352"	2009	0
"A62977186"	2010	0
"B08156036"	2009	0
"A96785225"	2010	0
"B41031980"	2007	0
"A26297663"	2011	0
"B91139717"	2009	0
"A36608180"	2009	0
"A80652423"	2009	0
"B83616920"	2010	0
"A80732142"	2011	0
"A62415641"	2009	0
"B61425682"	2010	0
"B81864894"	2007	0
"A36608180"	2012	0
"A50615160"	2009	0
"B81762684"	2007	0
"A25010430"	2008	0
"A48802854"	2007	0
"A15506934"	2013	0
"A28637304"	2012	0
"B03046158"	2013	0
"A42000802"	2012	0
"A83826362"	2012	0
"A78020732"	2007	0
"A81593808"	2010	0
"A28749976"	2009	0
"A78020732"	2012	0
"A08431090"	2013	0
"B84309616"	2012	0
"A28487007"	2009	0
"A80959612"	2010	0
"A80959612"	2011	0
"A30418255"	2007	0
"A83150060"	2009	0
"A60850500"	2011	0
"B81907776"	2009	0
"A46105532"	2008	0
"A08514986"	2007	0
"A08005761"	2013	0
"A61831681"	2009	0
"A45445210"	2012	0
"B08156036"	2008	0
"A28668127"	2010	0
"B80146517"	2009	0
"B81762684"	2008	0
"A28228690"	2009	0
"B41031980"	2008	0
"B46043238"	2012	0
"B48969885"	2008	0
"A79203568"	2012	0
"B62850094"	2012	0
"A46105532"	2007	0
"B81335473"	2009	0
"B03072857"	2013	0
"B83814251"	2012	0
"B03072857"	2012	0
"A81593808"	2009	0
"A48047377"	2010	0
"A41392317"	2012	0
"A06141345"	2011	0
"B28403194"	2010	0
"A28138873"	2008	0
"A28637304"	2010	0
"B81335473"	2007	0
"B08552614"	2013	0
"A79259388"	2009	0
"A20008579"	2011	0
"A81593808"	2008	0
"A41049503"	2013	0
"A78831369"	2010	0
"B82612904"	2012	0
"A41010521"	2010	0
"A08145385"	2012	0
"A81410227"	2008	0
"A81808966"	2013	0
"B28403194"	2007	0
"A08431090"	2012	0
"A61713301"	2008	0
"A28801942"	2007	0
"A57277709"	2011	0
"A48802854"	2010	0
"A81410227"	2007	0
"A08431090"	2011	0
"A31194905"	2007	0
"B81009151"	2007	0
"A20008579"	2007	0
"A41392317"	2011	0
"B62236781"	2010	0
"A08005688"	2013	0
"B01015221"	2009	0
"A08604316"	2008	0
"B48969885"	2007	0
"A30418255"	2013	0
"A43035708"	2008	0
"B80146517"	2012	0
"B79945150"	2012	0
"B62916077"	2011	0
"B28127447"	2010	0
"A91291435"	2011	0
"A81944324"	2009	0
"A25010430"	2013	0
"B01015221"	2010	0
"B80146517"	2010	0
"B48969885"	2011	0
"B57208878"	2012	0
"B97389209"	2012	0
"B18551226"	2010	0
"B78908605"	2010	0
"B78908605"	2009	0
"A78831369"	2007	0
"B46043238"	2008	0
"B45493707"	2013	0
"B46043238"	2011	0
"A84430107"	2013	0
"A82307117"	2010	0
"A82307117"	2011	0
"A08005761"	2007	0
"A96785225"	2007	0
"A96966049"	2012	0
"A12363529"	2010	0
"B81335473"	2012	0
"A96966049"	2011	0
"A78018421"	2009	0
"A82307117"	2013	0
"B28218816"	2013	0
"A08131153"	2013	0
"A82198847"	2007	0
"A28219541"	2013	0
"A41049503"	2011	0
"A43035708"	2013	0
"B96990015"	2010	0
"A04006706"	2013	0
"A82683434"	2013	0
"A82854811"	2008	0
"A28086858"	2011	0
"B82435371"	2009	0
"B35023068"	2007	0
"A78389608"	2007	0
"A25418401"	2007	0
"A38645214"	2013	0
"B48969877"	2007	0
"B48969877"	2009	0
"A48802854"	2008	0
"B48969885"	2009	0
"A61713301"	2009	0
"A28023422"	2009	0
"A08005761"	2011	0
"A31194905"	2013	0
"A83048363"	2011	0
"A12012605"	2009	0
"B50047091"	2013	0
"A41057209"	2009	0
"B81335473"	2008	0
"A29955093"	2011	0
"A08514986"	2012	0
"B15862667"	2013	0
"B61967774"	2011	0
"A48050728"	2009	0
"A47438262"	2008	0
"A61713301"	2010	0
"B50561968"	2012	0
"A38645214"	2011	0
"A61587358"	2013	0
"A78020732"	2010	0
"B81335473"	2013	0
"A84430107"	2012	0
"A62332580"	2010	0
"A78831369"	2009	0
"A15169535"	2009	0
"B27321249"	2013	0
"A35610666"	2009	0
"A91291435"	2013	0
"A28400323"	2011	0
"B82207275"	2013	0
"B57175283"	2012	0
"A28668127"	2012	0
"A15685324"	2008	0
"B17019373"	2008	0
"B59737882"	2012	0
"B59737882"	2013	0
"A28332914"	2013	0
"A96785225"	2013	0
"A73093734"	2012	0
"B79863288"	2008	0
"B60544046"	2009	0
"A41049503"	2009	0
"B62409065"	2008	0
"A48802854"	2013	0
"B61252185"	2009	0
"B08156036"	2011	0
"A82501545"	2007	0
"A15685373"	2010	0
"B96952635"	2012	0
"A53288478"	2010	0
"A08257529"	2008	0
"A07009814"	2013	0
"B61882551"	2010	0
"A80352750"	2013	0
"A50615160"	2008	0
"B62059498"	2012	0
"A44004059"	2010	0
"A44004059"	2011	0
"A80482334"	2008	0
"B48108898"	2013	0
"A08224107"	2012	0
"B12462560"	2010	0
"A81593808"	2012	0
"A81864498"	2007	0
"A28985992"	2007	0
"B84654201"	2013	0
"A79259339"	2011	0
"B38484796"	2008	0
"A78831369"	2011	0
"A36040442"	2008	0
"A08147555"	2007	0
"A25010430"	2009	0
"A41762386"	2012	0
"A35115856"	2011	0
"A22174932"	2011	0
"B83045674"	2011	0
"B83211318"	2011	0
"B83211318"	2013	0
"A43020486"	2007	0
"B79863288"	2013	0
"A29453768"	2011	0
"A28138873"	2013	0
"B50561968"	2007	0
"A60045903"	2013	0
"A60045903"	2012	0
"V82171133"	2011	0
"A28668127"	2011	0
"A48031140"	2013	0
"A12021267"	2011	0
"A48073274"	2013	0
"V12465118"	2013	0
"A61587358"	2012	0
"A61713301"	2011	0
"A08145385"	2008	0
"A82843129"	2011	0
"B63031660"	2010	0
"B35023068"	2008	0
"A28392033"	2013	0
"A28487601"	2013	0
"A58816554"	2007	0
"A41010521"	2013	0
"A12021267"	2012	0
"A11010352"	2011	0
"A28749976"	2011	0
"A82307117"	2009	0
"A61831681"	2011	0
"A28357093"	2008	0
"B28127447"	2013	0
"A58534777"	2010	0
"V48566475"	2013	0
"B08619405"	2010	0
"A62035282"	2010	0
"A81487027"	2010	0
"A41112012"	2007	0
"A79259388"	2011	0
"A78990603"	2013	0
"A58534777"	2009	0
"B08619405"	2011	0
"A08131153"	2010	0
"A79259339"	2007	0
"A78526811"	2009	0
"A41010521"	2008	0
"A62415641"	2010	0
"A62415641"	2011	0
"A41010521"	2009	0
"B18551226"	2011	0
"A08514986"	2011	0
"A84534874"	2013	0
"A83741967"	2012	0
"A96862933"	2012	0
"A61427183"	2012	0
"A81864498"	2012	0
"A82026840"	2007	0
"A44004059"	2009	0
"B97526008"	2013	0
"A78831369"	2013	0
"A62704457"	2012	0
"A57082570"	2011	0
"A35610666"	2010	0
"A28200384"	2010	0
"B17016569"	2010	0
"A48802854"	2011	0
"A08405490"	2011	0
"A53552634"	2013	0
"A28332914"	2011	0
"A63796395"	2013	0
"A28427516"	2012	0
"A78020732"	2008	0
"A78389608"	2008	0
"A82198847"	2008	0
"A33202474"	2013	0
"A08514986"	2010	0
"A79290565"	2012	0
"A26297663"	2013	0
"B08619405"	2013	0
"A48547558"	2013	0
"A53283511"	2009	0
"A12363529"	2012	0
"A61713301"	2013	0
"A41010521"	2011	0
"V48566475"	2011	0
"A29661394"	2009	0
"A15169535"	2011	0
"B01015221"	2008	0
"A79259404"	2008	0
"A79290565"	2010	0
"A29661394"	2013	0
"A45445210"	2011	0
"B28127447"	2012	0
"B80146517"	2008	0
"A78990603"	2012	0
"B81248361"	2011	0
"B81907776"	2007	0
"B15862667"	2011	0
"A79259362"	2012	0
"B83045674"	2009	0
"A07013907"	2009	0
"A42000802"	2007	0
"B81907776"	2010	0
"A47438262"	2010	0
"A08131153"	2009	0
"A61831681"	2012	0
"A08005688"	2009	0
"A62035282"	2009	0
"A11010352"	2012	0
"B80146517"	2011	0
"A78018421"	2011	0
"A08257529"	2013	0
"A03734514"	2013	0
"A47091632"	2011	0
"A61587358"	2011	0
"B74148388"	2013	0
"A28138873"	2012	0
"A81957367"	2013	0
"A81410227"	2009	0
"A53552634"	2011	0
"B08912669"	2009	0
"A28923662"	2011	0
"B30020226"	2009	0
"A07265465"	2011	0
"A15685324"	2009	0
"A78018421"	2012	0
"A29009537"	2013	0
"A61831681"	2010	0
"B62850094"	2011	0
"B61882551"	2011	0
"A08514986"	2009	0
"A48080147"	2013	0
"B61882551"	2009	0
"A79203568"	2013	0
"A15685373"	2012	0
"A08952012"	2009	0
"A08131153"	2012	0
"A58534777"	2012	0
"B30020226"	2010	0
"A41057209"	2013	0
"A28228690"	2012	0
"B38484796"	2007	0
"A79092573"	2013	0
"B59737882"	2011	0
"B61914883"	2007	0
"B83481002"	2013	0
"A91291435"	2012	0
"A15685373"	2009	0
"A79092573"	2007	0
"A81944324"	2008	0
"A78018421"	2013	0
"A61427183"	2013	0
"B11469491"	2012	0
"A28228690"	2010	0
"B82435371"	2010	0
"B63533095"	2012	0
"B48969885"	2012	0
"A28668127"	2009	0
"A35510650"	2010	0
"A28400323"	2012	0
"A35026590"	2010	0
"A35026590"	2013	0
"A28138873"	2011	0
"B48969877"	2008	0
"A81957367"	2011	0
"B14030720"	2009	0
"V95436002"	2013	0
"B08292054"	2011	0
"A08290405"	2013	0
"A81841850"	2013	0
"A48031140"	2009	0
"B78496759"	2008	0
"A78831369"	2008	0
"B03046158"	2011	0
"B28403194"	2011	0
"B83782169"	2011	0
"A38013744"	2007	0
"B57175283"	2013	0
"B82899550"	2010	0
"B30037204"	2011	0
"B83814251"	2013	0
"A38013272"	2013	0
"B18547281"	2013	0
"B84537315"	2013	0
"A82405788"	2009	0
"A17017005"	2007	0
"V82171133"	2009	0
"B08619405"	2012	0
"A08377046"	2013	0
"A48080147"	2010	0
"A11010352"	2007	0
"A29453768"	2010	0
"A38645214"	2010	0
"B43587120"	2010	0
"A80959612"	2013	0
"A43020486"	2008	0
"B84598192"	2013	0
"A28923662"	2009	0
"A28357093"	2007	0
"B50561968"	2011	0
"A48050728"	2008	0
"A22174932"	2009	0
"A17017005"	2011	0
"A48050728"	2007	0
"A48547558"	2009	0
"A28668127"	2013	0
"A79259362"	2010	0
"A41057209"	2008	0
"A30418255"	2010	0
"A78389608"	2010	0
"A08452500"	2013	0
"B48948830"	2012	0
"A79259362"	2007	0
"B81009151"	2010	0
"A43020486"	2010	0
"A48802854"	2012	0
"A91369819"	2013	0
"A35610666"	2008	0
"A28749976"	2012	0
"A83826362"	2013	0
"A50615160"	2007	0
"B48948830"	2013	0
"A42000802"	2013	0
"A28086858"	2012	0
"A96966049"	2009	0
"A28198661"	2013	0
"A79290565"	2013	0
"A48547558"	2011	0
"A80482334"	2007	0
"B08552614"	2012	0
"A08514986"	2008	0
"A08131153"	2007	0
"A30418255"	2008	.001
"A82405788"	2011	.001
"A28485761"	2010	.007
"A36611622"	2017	.021
"B30365712"	2013	.034
"A33019720"	2013	.038
"A33019720"	2015	.038
"B92116979"	2014	.04
"A73093734"	2011	.073
"A96862933"	2010	.09
"A83048363"	2009	.094
"A80732142"	2015	.1
"A96862933"	2016	.1
"A28131274"	2017	.13
"A28814135"	2010	.167
"B30365712"	2017	.208
"A82405788"	2010	.211
"A58816554"	2015	.222
"B09417932"	2012	.271
"A28259141"	2010	.3
"A81841850"	2008	.301
"A80897770"	2011	.31
"A28485761"	2017	.349
"A28485761"	2016	.349
"A28814135"	2009	.36
"B38927463"	2016	.376
"A96862933"	2017	.4
"A28259141"	2011	.42
"A82198847"	2010	.431
"A28485761"	2008	.451
"A96862933"	2009	.451
"A03057486"	2009	.53
"B41666728"	2009	.533
"A08405490"	2012	.551
"B12023065"	2010	.571
"A28259141"	2012	.6
"A28259141"	2013	.6
"A28259141"	2014	.6
"B28138196"	2008	.6
"A96862933"	2015	.6
"B03045507"	2013	.631
"A58816554"	2014	.632
"B12023065"	2007	.633
"A84911825"	2015	.636
"A73093734"	2013	.645
"B30365712"	2014	.658
"A28184661"	2010	.66
"B12023065"	2011	.686
"A14000939"	2007	.691
"B12023065"	2012	.705
"A58816554"	2010	.743
"B12023065"	2009	.798
"B12023065"	2014	.84
"A12012605"	2016	.9
"B12023065"	2013	.938
"B38927463"	2015	.995
"B81864894"	2009	1
"A25010430"	2015	1
"A81041147"	2008	1
"A81041147"	2014	1
"B60024353"	2017	1
"A81041147"	2010	1
"A81041147"	2009	1
"A81041147"	2011	1
"A36611903"	2012	1
"A28184661"	2011	1.01
"A28485761"	2014	1.018
"A28058725"	2016	1.036
"A61427183"	2011	1.071
"A28494896"	2012	1.092
"A38013272"	2008	1.097
"B12023065"	2015	1.163
"B83209015"	2016	1.177
"B12023065"	2016	1.191
"A61587358"	2015	1.2
"A08139339"	2010	1.212
"B08284002"	2013	1.226
"A08604316"	2016	1.27
"B31637069"	2017	1.362
"A96862933"	2011	1.482
"A80897770"	2010	1.489
"B36853935"	2017	1.497
"A81041147"	2007	1.51
"A28693166"	2016	1.584
"B83209015"	2017	1.62
"B12023065"	2017	1.694
"A61587358"	2017	1.7
"A03057486"	2008	1.751
"B43587120"	2017	1.767
"B03046158"	2016	1.8
"B03046158"	2017	1.8
"A80732142"	2016	1.806
"A28198661"	2008	1.824
"V61861548"	2010	1.826
"A36605772"	2007	1.89
"A30005524"	2015	1.915
"B97307086"	2012	1.934
"A12012605"	2017	1.942
"A08626103"	2010	2
"A08626103"	2011	2
"B28360360"	2012	2.015
"A81117798"	2013	2.018
"A17006792"	2017	2.078
"A28693166"	2012	2.099
"A08604316"	2015	2.14
"A14530497"	2011	2.238
"A14530497"	2012	2.238
"B28376184"	2017	2.257
"A26297663"	2009	2.276
"B28376184"	2016	2.306
"A58816554"	2013	2.31
"A62332580"	2012	2.372
"A28485761"	2007	2.396
"B28376184"	2015	2.412
"B83209015"	2015	2.443
"B28376184"	2014	2.447
"A09354176"	2011	2.467
"A09354176"	2012	2.467
"A09354176"	2013	2.467
"A08243297"	2016	2.488
"A28131274"	2016	2.492
"A58664764"	2013	2.632
"V61861548"	2011	2.699
"A33014176"	2010	2.726
"A08703803"	2014	2.726
"A33014176"	2017	2.731
"A36615896"	2016	2.856
"A78343977"	2011	2.872
"A08409948"	2010	2.88
"A12021267"	2015	2.997
"A85125078"	2015	3
"A25010430"	2014	3
"A08514986"	2013	3
"A08626103"	2009	3
"A08409948"	2011	3.021
"B97307086"	2014	3.027
"B50561968"	2008	3.033
"A48080147"	2009	3.034
"A36605772"	2009	3.055
"A28131274"	2007	3.09
"B28127447"	2009	3.116
"B39021217"	2009	3.128
"A48095822"	2016	3.165
"B28376184"	2008	3.165
"A28198661"	2011	3.226
"A78343977"	2012	3.235
"B50047091"	2008	3.25
"A36611903"	2013	3.293
"A36611903"	2014	3.293
"A41087404"	2010	3.31
"B28376184"	2007	3.39
"B39021217"	2011	3.406
"A41191313"	2010	3.45
"A28523066"	2011	3.585
"A60963287"	2012	3.63
"A61427183"	2010	3.71
"A28184661"	2012	3.718
"A30017636"	2008	3.732
"A30017636"	2007	3.732
"A35046572"	2008	3.756
"V61861548"	2017	3.799
"A30017636"	2010	3.817
"A80897770"	2012	3.882
"A28198661"	2009	3.901
"A07244023"	2012	3.923
"A34169144"	2016	4
"A36611622"	2013	4
"A31194905"	2009	4
"B39021217"	2010	4.028
"A48073274"	2016	4.043
"A33014176"	2009	4.051
"A04007811"	2017	4.062
"B46043238"	2013	4.144
"A61427183"	2009	4.215
"B92116979"	2015	4.234
"B28934081"	2012	4.236
"B28934081"	2010	4.236
"B28934081"	2011	4.236
"B39021217"	2012	4.26
"A36621522"	2017	4.32
"A33014176"	2008	4.347
"A84911825"	2016	4.417
"A24010381"	2016	4.427
"A28386746"	2017	4.494
"B30020226"	2013	4.5
"A35046572"	2016	4.5
"A08527020"	2014	4.552
"A08527020"	2013	4.552
"A08527020"	2015	4.552
"A30017636"	2009	4.558
"A12021267"	2016	4.575
"A14530497"	2013	4.588
"A24020562"	2010	4.62
"A08243297"	2015	4.621
"A08703803"	2007	4.663
"A03057486"	2011	4.703
"B83541912"	2016	4.84
"A96569207"	2009	4.897
"B84894377"	2016	4.937
"B28644441"	2007	4.997
"B62173604"	2008	5
"B62173604"	2009	5
