nif	year	intereses
"A08131112"	2015	0
"A46105508"	2013	0
"A28435931"	2017	0
"B46054508"	2008	0
"A60850500"	2013	0
"A79259404"	2010	0
"A28579191"	2017	0
"A28579191"	2016	0
"A28579191"	2014	0
"A28579191"	2013	0
"A28078202"	2007	0
"A25022609"	2014	0
"A20036083"	2011	0
"A28111342"	2008	0
"A46109054"	2016	0
"A12016549"	2012	0
"A17010018"	2013	0
"A27199140"	2014	0
"A33025719"	2016	0
"A48034110"	2012	0
"B28241495"	2016	0
"A28574044"	2010	0
"A63414486"	2012	0
"A28106979"	2013	0
"A28562908"	2014	0
"A28562908"	2013	0
"F50561091"	2008	0
"A28458826"	2009	0
"B36853935"	2011	0
"A28579373"	2009	0
"A08115578"	2009	0
"A28556504"	2012	0
"A28556504"	2011	0
"A08135139"	2016	0
"A28273043"	2013	0
"A08136806"	2009	0
"A50011980"	2015	0
"A29018207"	2008	0
"A15000227"	2008	0
"A16008294"	2016	0
"A28229409"	2015	0
"A28101020"	2007	0
"A28548220"	2014	0
"A81944324"	2016	0
"A41461856"	2007	0
"A08296790"	2010	0
"A28543809"	2017	0
"A17012626"	2014	0
"A28543809"	2013	0
"A28427516"	2010	0
"A81931214"	2011	0
"A08431090"	2011	0
"A08139339"	2017	0
"A17013269"	2015	0
"A08141038"	2009	0
"A08438194"	2017	0
"B01003581"	2012	0
"A07052244"	2015	0
"A20049755"	2014	0
"A08141038"	2017	0
"A46070777"	2012	0
"B07039514"	2017	0
"A28893550"	2009	0
"B38025920"	2013	0
"A28375913"	2013	0
"A46332995"	2017	0
"A08514986"	2017	0
"B30721237"	2013	0
"B97526008"	2013	0
"A35014075"	2011	0
"A14026199"	2011	0
"A38024907"	2012	0
"A39013867"	2017	0
"A48031140"	2015	0
"B46055943"	2017	0
"B96324983"	2014	0
"B83257295"	2016	0
"A11609682"	2007	0
"A03046125"	2011	0
"A28574101"	2014	0
"A38348413"	2010	0
"A11000288"	2013	0
"A48110381"	2012	0
"B28044204"	2010	0
"A20017604"	2013	0
"A48175699"	2012	0
"A03066909"	2009	0
"A14000939"	2013	0
"A28505402"	2017	0
"A08637829"	2012	0
"A28505402"	2014	0
"A41059445"	2012	0
"A31070378"	2013	0
"B81762684"	2011	0
"A35018696"	2017	0
"A35023746"	2013	0
"A96773940"	2012	0
"B28934081"	2012	0
"A11682507"	2008	0
"A22008106"	2016	0
"A28494896"	2014	0
"B36880003"	2008	0
"B28545994"	2017	0
"A28494896"	2011	0
"A28491637"	2017	0
"A28491637"	2013	0
"A30016687"	2011	0
"B59737882"	2015	0
"A14580385"	2012	0
"A15016702"	2012	0
"A08157737"	2007	0
"B45007671"	2013	0
"A12007555"	2017	0
"B58613076"	2014	0
"A78100609"	2013	0
"A41053927"	2017	0
"A08128035"	2015	0
"A08029951"	2016	0
"A08257388"	2017	0
"A08387854"	2013	0
"B28218287"	2012	0
"B11605862"	2010	0
"A03066933"	2014	0
"A28711893"	2017	0
"A43025618"	2012	0
"A08170151"	2007	0
"B35065788"	2014	0
"A08170151"	2010	0
"A79290565"	2010	0
"A38024907"	2010	0
"A33605072"	2013	0
"A08401184"	2017	0
"A79203568"	2013	0
"A36605772"	2009	0
"A28485761"	2010	0
"A28485761"	2007	0
"B38318572"	2012	0
"A01014794"	2012	0
"A28049492"	2015	0
"A08046799"	2014	0
"A18484360"	2016	0
"B46090791"	2009	0
"A28579191"	2007	0
"B81762684"	2012	0
"A41461856"	2011	0
"A20038915"	2016	0
"A08396830"	2007	0
"A28485761"	2016	0
"A08186074"	2012	0
"B85692374"	2017	0
"A48102792"	2017	0
"A08414906"	2013	0
"B03020914"	2013	0
"A25007105"	2016	0
"B24014292"	2015	0
"B57208878"	2010	0
"B46084695"	2014	0
"B46051116"	2013	0
"A33202474"	2008	0
"A08191579"	2007	0
"A01006055"	2017	0
"A39000104"	2012	0
"A35004399"	2009	0
"A28040418"	2015	0
"A41022609"	2016	0
"A08576753"	2014	0
"B41063355"	2013	0
"A08192965"	2008	0
"A41050535"	2010	0
"A17004763"	2015	0
"A19011626"	2015	0
"B03072576"	2016	0
"A28070167"	2014	0
"A46111654"	2012	0
"A08192965"	2016	0
"A78020732"	2010	0
"A31024458"	2013	0
"B15862667"	2016	0
"A07016256"	2013	0
"A28448538"	2015	0
"B08619405"	2016	0
"A28399715"	2014	0
"B03072576"	2012	0
"B08195653"	2010	0
"A47005095"	2012	0
"B03072857"	2009	0
"A79259388"	2013	0
"A11355526"	2017	0
"A28440576"	2015	0
"A32002644"	2009	0
"B38318572"	2014	0
"A30023204"	2013	0
"A30418255"	2012	0
"A11019767"	2013	0
"B21259726"	2007	0
"A28440576"	2010	0
"A28435931"	2016	0
"A28435931"	2011	0
"A26011841"	2015	0
"A35397884"	2016	0
"A30047120"	2012	0
"A08197022"	2014	0
"A08197022"	2015	0
"A20062915"	2015	0
"A48081061"	2013	0
"A08513178"	2011	0
"A79259362"	2010	0
"A48033526"	2016	0
"A28427516"	2017	0
"A15169535"	2011	0
"A08513178"	2007	0
"A31068927"	2016	0
"A46160701"	2016	0
"A33614082"	2017	0
"A28427516"	2007	0
"B39026604"	2017	0
"B23357700"	2017	0
"B61425682"	2010	0
"A28167443"	2016	0
"B12008397"	2014	0
"A08199168"	2014	0
"B41042995"	2017	0
"A81410227"	2008	0
"A08097438"	2010	0
"B61441127"	2013	0
"A31003247"	2015	0
"A28167443"	2014	0
"A12011946"	2009	0
"A78400603"	2013	0
"A28049492"	2014	0
"B62293113"	2013	0
"A95249199"	2014	0
"A28412724"	2016	0
"B82612896"	2016	0
"A08021768"	2009	0
"A08520629"	2017	0
"A35028570"	2008	0
"A28193209"	2015	0
"A28923662"	2007	0
"A50038991"	2015	0
"A38024907"	2014	0
"A35004571"	2012	0
"A33603317"	2012	0
"B31083199"	2013	0
"B81231516"	2011	0
"A39023759"	2014	0
"A28404614"	2013	0
"A12011946"	2010	0
"B50030964"	2010	0
"A28294718"	2008	0
"A28399715"	2015	0
"A28049492"	2012	0
"B14468292"	2015	0
"A28399715"	2012	0
"A17014119"	2016	0
"A46021804"	2013	0
"A31031545"	2012	0
"A41050535"	2015	0
"A08228520"	2008	0
"A08008518"	2015	0
"A28399434"	2011	0
"A41022989"	2014	0
"A28579191"	2011	0
"A08203226"	2012	0
"A47010194"	2010	0
"A08646200"	2015	0
"A08484107"	2014	0
"A08203887"	2007	0
"A08203887"	2008	0
"A50030543"	2015	0
"A28396042"	2014	0
"A08203887"	2012	0
"B45020351"	2008	0
"A09010661"	2012	0
"A59320143"	2009	0
"B28557064"	2010	0
"A08276867"	2017	0
"B31027097"	2015	0
"B81907776"	2014	0
"A39003025"	2010	0
"A08209538"	2017	0
"B07039514"	2009	0
"B11630886"	2011	0
"A08414906"	2009	0
"A50034024"	2014	0
"A28019461"	2013	0
"A28273043"	2012	0
"A08105702"	2015	0
"A41057209"	2015	0
"A41022989"	2013	0
"A08576753"	2017	0
"A46072203"	2014	0
"A08213936"	2015	0
"A47024393"	2010	0
"A80732142"	2017	0
"B28118800"	2013	0
"A20017604"	2009	0
"A28375913"	2015	0
"A14000533"	2012	0
"A17014119"	2011	0
"A35101732"	2008	0
"A28375467"	2013	0
"A28435931"	2012	0
"A11606134"	2016	0
"A07016256"	2008	0
"B50030964"	2011	0
"A33013202"	2007	0
"A11902814"	2012	0
"A57277709"	2014	0
"A28167567"	2011	0
"A01006055"	2015	0
"B46149555"	2015	0
"B36007904"	2011	0
"A81864498"	2013	0
"A15169535"	2015	0
"A79047916"	2007	0
"A08136806"	2008	0
"B03039781"	2007	0
"A08181067"	2015	0
"A28368603"	2010	0
"B20193017"	2016	0
"B50067586"	2007	0
"B60544046"	2017	0
"A28435931"	2009	0
"A78018421"	2013	0
"A08220428"	2010	0
"A50034024"	2010	0
"A15506934"	2007	0
"A17014119"	2007	0
"A08220428"	2017	0
"A08484107"	2011	0
"A28715027"	2008	0
"A39000104"	2010	0
"B03044641"	2012	0
"A09092305"	2014	0
"A78393840"	2013	0
"A38017844"	2008	0
"A08513178"	2013	0
"A28352656"	2014	0
"A38013272"	2009	0
"A50038959"	2013	0
"A28054211"	2017	0
"A28352656"	2011	0
"A48040034"	2009	0
"B28218816"	2012	0
"B03072857"	2015	0
"B08424855"	2012	0
"A28345148"	2010	0
"A14026199"	2007	0
"B30000574"	2008	0
"B28376184"	2015	0
"A26013714"	2013	0
"B14484612"	2012	0
"A48802854"	2015	0
"B41063355"	2016	0
"A08527020"	2013	0
"A08713869"	2012	0
"A28571750"	2009	0
"A08291973"	2011	0
"A39000187"	2008	0
"A28137255"	2011	0
"A41089368"	2016	0
"A08276867"	2012	0
"B31072705"	2012	0
"A28399434"	2012	0
"A08225278"	2016	0
"A21006507"	2017	0
"A08439291"	2007	0
"A25022609"	2013	0
"B27008390"	2012	0
"A34003624"	2016	0
"B12008397"	2010	0
"A08197022"	2016	0
"A08199168"	2007	0
"B12541496"	2014	0
"A08358442"	2015	0
"A30036438"	2014	0
"A45010543"	2012	0
"A08013898"	2010	0
"A28025435"	2008	0
"A43035542"	2011	0
"B28623213"	2010	0
"A08244220"	2010	0
"A36603421"	2015	0
"A08560484"	2016	0
"A28294718"	2009	0
"A26022657"	2010	0
"A08238578"	2016	0
"A28293884"	2017	0
"A32002644"	2010	0
"A28101020"	2008	0
"A81117798"	2017	0
"A28293884"	2011	0
"A28192532"	2017	0
"B28044204"	2011	0
"A21006911"	2013	0
"A28143782"	2009	0
"B28545994"	2016	0
"A24010381"	2015	0
"A78018421"	2009	0
"A08243297"	2008	0
"A28649879"	2011	0
"A28290799"	2010	0
"A46070777"	2007	0
"A38003133"	2014	0
"A08244220"	2008	0
"A08244220"	2009	0
"A08244220"	2011	0
"A28112555"	2012	0
"A28615581"	2015	0
"B58613076"	2015	0
"A35251727"	2013	0
"V95436002"	2015	0
"A17006792"	2017	0
"A33018425"	2010	0
"B46037446"	2013	0
"B59737882"	2011	0
"A43702745"	2014	0
"A81200511"	2016	0
"B61425682"	2017	0
"B35011675"	2017	0
"A24010381"	2014	0
"A08520629"	2014	0
"B29901469"	2014	0
"B28341790"	2008	0
"B28757730"	2009	0
"A48057467"	2008	0
"B81864894"	2014	0
"A43110337"	2010	0
"A08257388"	2015	0
"A46146551"	2013	0
"A20056248"	2016	0
"A32006579"	2011	0
"A09022963"	2016	0
"V30558738"	2017	0
"B03044641"	2017	0
"B29901469"	2010	0
"A17010018"	2009	0
"A30034441"	2017	0
"B12014692"	2014	0
"A20062915"	2014	0
"A33618257"	2013	0
"B31798929"	2010	0
"B48714133"	2010	0
"A18020271"	2017	0
"A28029122"	2008	0
"A82683434"	2013	0
"A33025701"	2016	0
"A33202474"	2014	0
"B31027097"	2012	0
"A15021843"	2016	0
"B28376184"	2016	0
"A45014776"	2014	0
"B05004999"	2014	0
"A46146551"	2017	0
"A08687204"	2014	0
"A08637829"	2016	0
"A46068318"	2015	0
"A43035542"	2015	0
"A31096233"	2017	0
"A08522971"	2011	0
"A08098576"	2015	0
"A28562908"	2011	0
"A08270993"	2010	0
"A08270993"	2011	0
"A28220606"	2011	0
"A59382762"	2016	0
"A27007731"	2011	0
"A08721177"	2007	0
"A07059058"	2011	0
"B08407322"	2017	0
"A28452647"	2017	0
"A12007555"	2016	0
"A28458826"	2014	0
"A07089592"	2012	0
"B11606647"	2012	0
"A28167443"	2013	0
"B28044204"	2014	0
"A48031140"	2012	0
"B05004999"	2016	0
"A33015454"	2014	0
"B08424855"	2014	0
"A29035896"	2013	0
"A08275281"	2013	0
"A03066933"	2009	0
"A08276438"	2012	0
"A28200384"	2013	0
"A28200384"	2009	0
"A28172476"	2017	0
"A18484360"	2012	0
"A46137352"	2017	0
"A28128486"	2012	0
"A28198661"	2011	0
"A30034441"	2011	0
"B81365181"	2016	0
"A48547558"	2009	0
"B31009715"	2014	0
"B43032713"	2017	0
"A92030402"	2007	0
"A08277014"	2011	0
"B19001536"	2013	0
"A12019295"	2008	0
"A28198356"	2008	0
"B82175001"	2012	0
"A28171601"	2014	0
"B28205532"	2015	0
"A28191088"	2014	0
"A28193209"	2011	0
"A08409948"	2010	0
"A08436214"	2014	0
"A28192532"	2015	0
"A28193209"	2012	0
"A33026980"	2011	0
"A39020805"	2016	0
"A08514986"	2011	0
"A39003025"	2016	0
"B03035854"	2007	0
"A28189082"	2010	0
"B11009917"	2007	0
"A17010018"	2007	0
"A47010095"	2016	0
"A48031686"	2016	0
"A06003800"	2008	0
"A50040013"	2009	0
"A28078202"	2010	0
"A08091894"	2007	0
"A28491637"	2011	0
"A46014155"	2017	0
"A19011626"	2011	0
"A24010381"	2011	0
"C28863686"	2007	0
"A08452500"	2016	0
"A50005156"	2011	0
"A28172476"	2014	0
"A28172476"	2013	0
"A28171601"	2016	0
"A28171601"	2015	0
"A08278293"	2013	0
"A48040034"	2013	0
"A28171601"	2010	0
"A36643450"	2014	0
"A28171601"	2007	0
"B30604565"	2017	0
"B62785357"	2012	0
"A17014119"	2012	0
"A28019461"	2017	0
"B81907776"	2013	0
"A08290405"	2015	0
"A08290405"	2016	0
"A18006569"	2013	0
"A08414906"	2015	0
"A08170151"	2014	0
"A16010126"	2009	0
"A30007231"	2015	0
"A80433519"	2013	0
"A08533945"	2013	0
"A41008301"	2012	0
"A35515485"	2015	0
"A28505402"	2015	0
"A21102157"	2014	0
"A15506934"	2014	0
"A08291924"	2014	0
"B08359093"	2008	0
"A33014176"	2009	0
"B31027097"	2007	0
"A28985992"	2008	0
"B38017554"	2016	0
"B31001696"	2017	0
"A08291973"	2013	0
"A31000441"	2009	0
"A28749976"	2016	0
"A46055992"	2014	0
"B36010098"	2014	0
"A08311995"	2011	0
"A46126686"	2015	0
"A33608563"	2013	0
"A08105702"	2009	0
"A28458826"	2015	0
"B03002441"	2014	0
"B80146517"	2013	0
"A45013620"	2014	0
"A28146579"	2008	0
"B31009715"	2010	0
"A28435931"	2010	0
"A78097656"	2012	0
"B11630886"	2014	0
"A28145498"	2014	0
"A28034031"	2016	0
"B08271694"	2009	0
"A29056769"	2014	0
"A28145498"	2009	0
"A26004093"	2011	0
"B28118800"	2010	0
"A29018249"	2014	0
"A12012605"	2013	0
"A17045204"	2013	0
"B12457230"	2010	0
"A21006507"	2007	0
"A20574372"	2010	0
"B31018815"	2015	0
"A35046911"	2011	0
"A78753514"	2013	0
"B39008404"	2015	0
"A28138873"	2016	0
"A17021460"	2014	0
"A27005834"	2011	0
"B58836321"	2015	0
"A28138873"	2011	0
"A28138873"	2009	0
"A08273898"	2015	0
"A28138386"	2013	0
"A12323408"	2012	0
"A12019295"	2009	0
"A28577864"	2012	0
"B11605862"	2011	0
"A10011641"	2007	0
"A03028461"	2017	0
"B48108898"	2016	0
"A36621522"	2017	0
"A28137255"	2007	0
"A08332363"	2012	0
"A36643450"	2015	0
"A08421190"	2009	0
"B03045507"	2011	0
"B10005932"	2016	0
"A46023255"	2011	0
"A80959612"	2017	0
"A48050124"	2007	0
"A31189350"	2015	0
"A36619476"	2017	0
"B08195653"	2013	0
"A60853413"	2015	0
"B30603229"	2016	0
"A20056248"	2015	0
"A17011297"	2016	0
"A08135139"	2017	0
"A28128486"	2009	0
"A08097438"	2014	0
"A08496473"	2017	0
"A03018710"	2014	0
"A29661394"	2010	0
"A27005834"	2012	0
"A08021768"	2017	0
"B83209015"	2015	0
"A28049492"	2011	0
"B03158532"	2017	0
"A14580385"	2014	0
"A14020713"	2016	0
"A08332256"	2007	0
"A28125920"	2008	0
"B41591165"	2015	0
"A47002878"	2014	0
"F43393065"	2015	0
"A31000441"	2017	0
"A38348413"	2017	0
"A17009093"	2012	0
"A08141038"	2012	0
"A08029951"	2014	0
"F43393065"	2009	0
"A48050124"	2015	0
"A08198392"	2013	0
"A14000939"	2012	0
"A28112555"	2014	0
"A28112555"	2010	0
"A08393571"	2012	0
"A28111342"	2015	0
"A48093538"	2009	0
"B50030964"	2016	0
"B48969877"	2017	0
"A30017636"	2017	0
"A28637502"	2017	0
"A20574372"	2013	0
"A07161821"	2009	0
"A30047120"	2011	0
"A08347452"	2016	0
"B35980937"	2015	0
"B45006616"	2017	0
"A08128035"	2007	0
"A28106979"	2014	0
"A08467052"	2016	0
"A35515485"	2016	0
"A08484107"	2009	0
"B61428611"	2012	0
"A08296790"	2014	0
"A08358442"	2011	0
"A33008921"	2014	0
"A11000288"	2010	0
"A08620056"	2007	0
"B12007456"	2014	0
"A28101020"	2011	0
"B46108403"	2012	0
"A28586592"	2009	0
"A09028184"	2010	0
"A41277336"	2014	0
"A08576753"	2013	0
"A47005095"	2011	0
"A28128486"	2008	0
"A28002640"	2010	0
"A08361016"	2007	0
"A08361016"	2008	0
"A82275306"	2011	0
"A46463311"	2017	0
"A08576753"	2010	0
"A12012605"	2010	0
"A21006911"	2015	0
"B03072857"	2008	0
"A28111342"	2010	0
"A46165304"	2016	0
"A10011641"	2017	0
"A21006911"	2007	0
"A43011196"	2017	0
"B82956517"	2016	0
"A08005761"	2016	0
"A63796395"	2015	0
"B28361350"	2011	0
"A33605072"	2014	0
"A28085686"	2017	0
"A28085686"	2016	0
"A30004790"	2014	0
"A28085686"	2012	0
"A28138386"	2017	0
"A33202474"	2010	0
"A28189082"	2013	0
"B01013507"	2008	0
"A50038959"	2014	0
"A33126244"	2009	0
"A39000450"	2013	0
"B80146517"	2010	0
"B36007904"	2009	0
"B60544046"	2013	0
"A84434224"	2017	0
"A03027919"	2014	0
"A30036933"	2016	0
"B81907776"	2008	0
"A11019767"	2011	0
"A58394941"	2013	0
"A41002809"	2013	0
"A15010994"	2013	0
"A28077709"	2009	0
"B42001297"	2016	0
"A12012605"	2012	0
"B03032620"	2017	0
"A33611195"	2015	0
"A46070777"	2011	0
"A25010430"	2007	0
"B28084168"	2009	0
"F43393065"	2010	0
"A08377046"	2010	0
"A08377046"	2013	0
"A31030901"	2016	0
"A41050535"	2011	0
"A28074078"	2007	0
"A36615896"	2016	0
"B08078396"	2009	0
"A46146551"	2014	0
"A28070167"	2010	0
"A03032653"	2016	0
"A28060515"	2015	0
"A14009823"	2008	0
"A46131769"	2015	0
"A28060515"	2008	0
"A08274805"	2014	0
"A31624661"	2017	0
"A28126597"	2017	0
"B08229221"	2014	0
"A33605072"	2015	0
"A48057467"	2007	0
"A28058758"	2013	0
"B28270411"	2008	0
"A08687204"	2011	0
"A28051597"	2015	0
"B92709526"	2013	0
"A03028552"	2017	0
"A28057677"	2014	0
"A53552634"	2016	0
"A45019916"	2007	0
"A31001266"	2013	0
"B38318572"	2008	0
"A50011980"	2013	0
"A06017941"	2013	0
"A09028184"	2011	0
"A58394941"	2017	0
"A08630808"	2013	0
"B01003581"	2010	0
"A09010661"	2011	0
"B36606853"	2015	0
"B17016254"	2014	0
"A58816554"	2008	0
"B30000574"	2012	0
"A22009906"	2010	0
"B73070914"	2015	0
"B30010797"	2008	0
"A46052809"	2012	0
"A08396830"	2012	0
"A08396830"	2015	0
"A08721177"	2013	0
"A15044530"	2007	0
"A07013907"	2010	0
"B28617256"	2017	0
"A28040418"	2017	0
"A38348413"	2016	0
"A17004763"	2010	0
"B46131371"	2009	0
"B35007376"	2010	0
"A20574372"	2014	0
"A08397119"	2013	0
"A28101020"	2014	0
"A26004093"	2014	0
"A81722712"	2008	0
"A14481105"	2014	0
"A08401184"	2008	0
"A46066791"	2007	0
"A12001418"	2007	0
"A79259339"	2012	0
"A08401184"	2012	0
"A07161821"	2008	0
"B78077724"	2008	0
"A78100609"	2016	0
"A28029122"	2016	0
"A41059445"	2013	0
"A47022058"	2007	0
"A31138761"	2009	0
"A43036052"	2015	0
"A46043154"	2013	0
"A28054211"	2013	0
"A73350399"	2012	0
"A13010004"	2008	0
"A28025435"	2017	0
"A28025435"	2015	0
"A08405490"	2016	0
"A50066562"	2015	0
"A08663809"	2016	0
"B60653466"	2013	0
"A28025435"	2012	0
"A41027723"	2010	0
"A28024172"	2013	0
"A08409948"	2013	0
"B03044641"	2009	0
"A28024172"	2010	0
"A08413403"	2016	0
"A78521168"	2016	0
"B81009151"	2016	0
"B83257295"	2015	0
"A50029065"	2016	0
"A08607988"	2016	0
"B79863288"	2013	0
"A19011626"	2016	0
"A46131769"	2010	0
"A08421190"	2011	0
"B33119983"	2012	0
"A33034695"	2013	0
"A32006579"	2012	0
"A47010194"	2011	0
"A28054211"	2008	0
"A08008518"	2013	0
"A09281999"	2009	0
"A28440576"	2014	0
"A08023145"	2010	0
"A28078202"	2012	0
"A28198356"	2013	0
"A50040013"	2014	0
"A03167939"	2016	0
"A41084740"	2016	0
"A48119622"	2017	0
"B60024353"	2016	0
"A96773940"	2010	0
"A29012044"	2008	0
"B61425682"	2012	0
"A28025435"	2013	0
"B10005932"	2017	0
"A48016877"	2013	0
"A08507741"	2010	0
"B59737882"	2012	0
"A08291973"	2012	0
"A20012498"	2008	0
"A30036438"	2013	0
"A78343977"	2011	0
"B96246350"	2011	0
"A03032653"	2013	0
"A21007570"	2014	0
"F50561091"	2014	0
"A03017886"	2014	0
"B50021658"	2016	0
"B28341790"	2011	0
"A08409948"	2017	0
"A12011672"	2012	0
"A33606534"	2016	0
"A28075968"	2014	0
"B31744709"	2015	0
"A08291924"	2017	0
"B03036712"	2014	0
"A78400603"	2016	0
"A08438194"	2009	0
"A28101020"	2010	0
"A07052244"	2017	0
"A12001418"	2016	0
"A34003624"	2012	0
"A08199168"	2011	0
"A28039469"	2017	0
"B27008390"	2009	0
"A14025902"	2008	0
"A81408817"	2007	0
"A03046125"	2012	0
"B28757730"	2011	0
"B35329077"	2013	0
"A08439291"	2016	0
"A04001897"	2012	0
"A16010126"	2014	0
"A15017163"	2016	0
"A08257214"	2013	0
"A29056769"	2012	0
"A41088493"	2013	0
"A48175699"	2008	0
"A46115101"	2013	0
"A58907015"	2013	0
"A28070167"	2013	0
"B28270411"	2012	0
"A07427081"	2009	0
"A27007731"	2008	0
"A17014523"	2013	0
"A20574372"	2016	0
"A27005834"	2017	0
"A81593808"	2007	0
"A14000533"	2007	0
"A79203568"	2017	0
"B46012324"	2007	0
"A11019767"	2009	0
"B33029729"	2014	0
"A14025902"	2007	0
"B45020351"	2011	0
"B46164679"	2010	0
"A08452500"	2011	0
"A22008106"	2013	0
"A08452500"	2014	0
"A47010095"	2014	0
"A08288490"	2013	0
"A28138386"	2014	0
"A48025845"	2008	0
"A26022129"	2017	0
"B28934081"	2013	0
"A28581247"	2017	0
"A26021527"	2013	0
"A08460156"	2016	0
"A14336143"	2013	0
"A26018119"	2014	0
"A26017434"	2016	0
"A08091894"	2012	0
"A79201075"	2015	0
"A28668127"	2011	0
"A21006507"	2011	0
"A08513749"	2009	0
"A28923662"	2010	0
"A26014035"	2016	0
"A46131769"	2016	0
"A26014035"	2014	0
"A17013269"	2013	0
"A08436214"	2010	0
"A36604783"	2015	0
"B38017554"	2007	0
"A46048815"	2017	0
"B95388450"	2015	0
"A08436214"	2013	0
"A26011841"	2011	0
"A20574380"	2012	0
"A17044546"	2016	0
"A28126274"	2008	0
"B31077514"	2008	0
"A01007137"	2011	0
"A08439291"	2017	0
"A28131274"	2016	0
"A29009537"	2013	0
"A09354176"	2014	0
"B35329077"	2015	0
"A28386225"	2014	0
"A20073508"	2015	0
"A08358442"	2014	0
"A08304628"	2011	0
"A28058758"	2009	0
"B35011675"	2014	0
"A08999088"	2014	0
"A59202853"	2014	0
"A04202008"	2013	0
"A33018425"	2012	0
"A15017163"	2009	0
"A08934168"	2016	0
"A08384638"	2009	0
"A28675908"	2015	0
"A46131769"	2017	0
"B11605862"	2016	0
"A35144989"	2007	0
"B28227775"	2014	0
"A08484107"	2013	0
"B09019548"	2012	0
"A08507741"	2007	0
"A45012259"	2009	0
"A35018696"	2013	0
"B73456147"	2014	0
"A09354176"	2016	0
"A79290565"	2008	0
"A41050535"	2008	0
"A79492104"	2007	0
"A26000174"	2014	0
"A08431090"	2014	0
"A46134250"	2009	0
"A46078267"	2016	0
"A28057677"	2013	0
"A06017941"	2009	0
"A08493306"	2007	0
"B08463424"	2011	0
"A28148898"	2012	0
"A33605072"	2010	0
"G38004297"	2008	0
"A48050124"	2014	0
"A28658177"	2008	0
"A28145498"	2011	0
"A08663098"	2016	0
"B35027143"	2009	0
"B57551350"	2016	0
"A28987196"	2017	0
"A28494896"	2016	0
"A25026733"	2013	0
"A08277014"	2012	0
"A30017636"	2010	0
"A28172476"	2016	0
"B41441387"	2016	0
"A03167939"	2010	0
"B28044204"	2013	0
"B03002441"	2008	0
"A35031343"	2013	0
"B35054006"	2013	0
"A08503005"	2012	0
"B30035968"	2017	0
"A08503005"	2016	0
"A25529074"	2012	0
"A30041883"	2012	0
"A28555563"	2016	0
"B04028734"	2009	0
"B11606761"	2011	0
"B11606761"	2012	0
"A28190973"	2011	0
"B31744709"	2013	0
"B35015262"	2008	0
"A08433260"	2014	0
"A81000028"	2010	0
"A14018634"	2015	0
"A01012103"	2009	0
"B60024353"	2015	0
"A25010430"	2010	0
"A10011641"	2011	0
"A28091262"	2010	0
"A33605072"	2017	0
"B28341790"	2007	0
"A28293884"	2008	0
"A50011980"	2010	0
"B28304129"	2015	0
"F10017804"	2016	0
"F20025441"	2010	0
"A24056319"	2015	0
"A10011641"	2008	0
"A08013898"	2016	0
"A24056319"	2013	0
"A01014794"	2013	0
