nif	year	pasivo_liq
"B28218816"	2017	402.927
"A28191088"	2016	403.532
"A08479297"	2012	403.759
"B03045507"	2015	410.104
"A48050124"	2010	412.652
"A12105029"	2009	412.841
"B78908605"	2015	414.144
"V04509865"	2017	420.031
"B83680322"	2016	423.833
"A31024458"	2016	424.036
"B83588657"	2017	424.072
"A07086515"	2013	427.642
"A28023422"	2009	427.95
"A33614082"	2015	429.41
"B03045507"	2010	430.413
"B28120012"	2016	435.856
"B08552614"	2012	436.125
"A46068318"	2016	439.004
"A41008301"	2014	439.084
"B50938489"	2012	440.151
"A57346926"	2015	441.295
"B84654201"	2015	443.181
"B60024353"	2009	444.199
"A33014176"	2009	445.836
"A45019916"	2016	446.38
"A38645214"	2009	448.066
"A85450476"	2015	451
"A17019316"	2017	452
"A26016865"	2014	453.621
"A85450476"	2017	454
"A48050124"	2015	454.113
"A10010445"	2015	455.325
"A28128486"	2009	458.163
"A46115101"	2015	463.971
"B50938489"	2011	465.68
"B17016254"	2015	470.867
"A08667016"	2016	473.473
"A07035934"	2009	474.908
"A08460156"	2015	476.693
"B03006681"	2017	477.071
"A32006579"	2015	477.621
"A48050124"	2009	478.477
"A27005834"	2017	479.868
"B03072857"	2017	480.552
"A28173573"	2015	480.771
"A96966049"	2011	481
"B03036712"	2016	483.434
"A34129635"	2015	485.995
"B50938489"	2014	486.578
"A28368603"	2015	487.066
"A29063567"	2016	487.681
"B03036712"	2017	488.27
"A41008301"	2017	489.092
"A31024458"	2015	490.11
"A33014176"	2007	490.69
"A08192965"	2016	491.188
"A35610666"	2009	491.543
"A28128486"	2014	491.863
"A48016794"	2016	492.688
"A28191088"	2014	492.934
"A17019316"	2015	496
"B35642198"	2012	496.111
"B41063355"	2017	497.399
"A48016794"	2017	497.454
"A07024896"	2014	502.006
"A27005834"	2016	506.376
"A29063567"	2014	511.267
"B35006360"	2017	512.353
"B08688301"	2014	512.824
"A33614082"	2014	514.167
"A05007687"	2009	515.051
"A33014176"	2008	516.408
"A28711893"	2014	517.862
"A07035934"	2010	518.149
"A08121089"	2016	519.657
"B12023065"	2017	519.666
"A46063731"	2014	520.978
"V04509865"	2015	523.769
"B03045507"	2009	528.43
"A28128486"	2010	528.935
"A48080147"	2014	529.595
"A03003530"	2015	530.571
"A16007064"	2014	532.73
"A33614082"	2017	534.469
"A08128910"	2008	534.804
"A27005834"	2015	536.256
"A07086515"	2012	536.525
"A28711893"	2007	536.617
"A15033699"	2016	536.785
"B03091527"	2017	536.839
"A29018249"	2014	538.577
"B28218816"	2015	538.771
"A46068318"	2017	539.34
"A50060011"	2010	542.528
"B12023065"	2016	543.528
"B12023065"	2014	544.131
"A58253816"	2016	547.81
"B03101748"	2010	550.305
"A82026840"	2016	550.567
"A07086515"	2011	551.585
"A07033491"	2017	551.806
"A46070777"	2017	553.823
"A38013272"	2009	554.718
"A46068318"	2015	559.444
"B50938489"	2013	560.27
"A15033699"	2015	563.782
"A78526811"	2007	564.067
"A20060075"	2016	565.665
"A08128035"	2017	572.155
"B36009942"	2016	572.262
"B12023065"	2009	572.331
"A50011980"	2017	577.015
"A07010937"	2016	581.638
"A01007137"	2011	582.675
"A08679060"	2016	582.916
"B41042995"	2017	583.355
"A48050124"	2011	583.913
"A38645214"	2010	585.17
"B03026382"	2008	585.857
"A33614082"	2012	585.877
"B03028784"	2016	587.087
"A82026840"	2017	587.689
"B41063355"	2015	588.553
"A50034024"	2016	592.326
"A05007687"	2007	592.85
"A35014075"	2015	594.72
"A28138386"	2015	596.693
"A22009492"	2017	598.508
"A16007064"	2017	600.668
"A78100609"	2013	602.264
"A28485761"	2007	602.767
"B01015221"	2008	604.185
"B41063355"	2016	604.977
"A48050124"	2012	605.723
"B03045507"	2012	606.258
"A28505345"	2015	608.713
"A08479297"	2013	609.643
"A14336143"	2012	612.76
"B45018017"	2017	614.492
"A29018249"	2016	617.256
"B28120012"	2015	617.609
"A33014176"	2010	618.335
"B41441387"	2016	618.541
"B03026382"	2016	619.681
"A17019316"	2016	620
"B23014848"	2017	622.25
"A08479933"	2016	622.512
"A38013272"	2010	623.263
"A28191088"	2017	624.178
"B03036712"	2015	624.279
"A20060075"	2017	624.453
"A07024896"	2015	625.311
"B17016254"	2009	626.985
"A33614082"	2013	627.715
"A33014176"	2011	629.399
"A28711893"	2012	629.677
"A30014211"	2016	634.534
"B17016569"	2010	635.662
"A17019316"	2009	635.709
"A32006579"	2008	635.939
"A18020271"	2013	636.385
"A08679060"	2015	639.049
"A30007231"	2015	639.708
"A08278293"	2015	641.354
"B43587120"	2012	642.666
"A29063567"	2009	642.914
"A48016877"	2009	642.926
"A63645220"	2015	643.6
"A31024458"	2017	643.666
"A08479933"	2017	644.468
"A28412724"	2017	644.834
"A28172476"	2016	646.7
"B28218816"	2016	647.82
"B43587120"	2008	648.908
"B17016254"	2014	650.681
"B41441387"	2015	650.697
"A41008301"	2016	651.487
"A46063731"	2017	652.631
"A14336143"	2016	654
"B28361350"	2016	654.386
"A28253656"	2008	657.55
"A48016794"	2009	658.666
"A15033699"	2017	660.219
"A50060011"	2012	660.224
"A17019316"	2008	661.4
"A28485761"	2010	662.337
"A03003530"	2011	662.985
"A30016182"	2015	663.482
"A46131769"	2015	664.752
"A12016143"	2017	665.566
"B17016254"	2013	665.694
"A28412724"	2015	665.949
"B83495101"	2013	665.966
"A16007064"	2013	665.976
"B01015221"	2010	667.382
"A41002809"	2017	668.069
"A07010937"	2013	670.534
"A30016687"	2016	671.483
"B62916077"	2011	675.112
"B03026382"	2012	678.341
"A31737455"	2010	679.175
"A25026733"	2017	680.21
"B35054006"	2012	682.388
"A20017604"	2013	684.908
"A08479933"	2015	685.481
"B28193340"	2007	685.999
"A41059445"	2015	687.256
"A28229409"	2015	687.618
"A29063567"	2008	687.838
"A46146551"	2017	688.151
"A41059445"	2012	695.7
"A48050124"	2013	697.856
"A48050124"	2014	698.537
"B28193340"	2008	700.726
"A07010937"	2008	702.795
"B01015221"	2009	703.164
"B35027143"	2015	704.733
"A07086515"	2015	710.567
"B61252185"	2015	710.665
"B41441387"	2014	714.735
"A29018249"	2015	715.162
"A28192532"	2016	715.736
"A47016944"	2015	716.481
"A18020271"	2015	716.791
"A96966049"	2010	717
"A20017604"	2015	717.09
"A50060011"	2011	718.26
"B35027143"	2016	719.033
"B17016254"	2008	719.213
"A35610666"	2008	720.136
"A08311995"	2017	720.508
"A41027723"	2009	721.691
"A17019316"	2011	722
"B35005040"	2011	723.369
"A14336143"	2015	725
"B36606853"	2015	727.144
"A35031343"	2016	728.065
"B07025315"	2010	728.33
"A46146551"	2016	730.715
"B03078391"	2015	731.25
"A41002809"	2016	733.287
"A03003530"	2012	734.153
"A27007731"	2016	735.783
"A28229409"	2013	737.113
"A08460156"	2016	738.529
"A48081061"	2011	739.379
"B83680322"	2017	740.388
"A28023422"	2008	741.496
"A11301645"	2009	744.198
"A04001897"	2016	745.977
"B41063355"	2007	746.929
"A50060011"	2008	747.17
"A46063731"	2016	747.926
"B15010168"	2017	750.252
"A30016687"	2017	751.179
"A48080147"	2010	751.403
"B35054006"	2015	752.011
"A18020271"	2014	752.108
"A08218133"	2015	752.898
"A46131769"	2016	754.192
"A28192532"	2015	754.197
"A03066909"	2011	755.221
"A41027723"	2015	755.833
"A48050124"	2007	756.27
"A28118040"	2008	757.683
"A50060011"	2007	759.133
"A17019316"	2010	760
"A28368603"	2016	760.832
"A08147555"	2011	761.626
"B03072857"	2016	763.043
"A41027723"	2016	764.125
"B45018017"	2015	765.071
"B03101748"	2016	766.113
"B23014848"	2016	766.202
"B81231516"	2008	766.604
"A11902814"	2017	767.488
"A03003530"	2013	767.629
"A45017142"	2015	767.739
"A17051152"	2017	768.488
"A33014176"	2013	768.628
"A28556504"	2017	769.214
"A28518041"	2017	769.624
"A03003530"	2009	770.245
"A27005834"	2012	770.629
"A08404253"	2017	770.679
"B03028784"	2017	770.909
"A33014176"	2012	772.328
"B03078391"	2013	772.55
"A48016794"	2010	773.204
"B35005040"	2016	773.888
"A62035282"	2007	775.975
"A46115101"	2010	776.007
"B03091527"	2012	776.172
"A14336143"	2013	776.33
"B45018017"	2016	778.816
"B17014887"	2009	779.631
"B83588657"	2016	780.556
"A03003530"	2014	780.986
"A58534777"	2010	786.924
"B82988825"	2013	787.284
"B41063355"	2008	787.776
"A19011626"	2016	789.13
"A08123226"	2010	792.015
"A16007064"	2011	792.671
"A08363640"	2012	792.772
"B35005040"	2015	795.79
"B08552614"	2015	795.896
"B46016408"	2017	796.668
"A18020271"	2017	796.775
"A28138386"	2017	797.113
"A03003530"	2007	797.118
"B03035854"	2007	797.455
"A20060075"	2015	797.575
"B28376184"	2008	798.282
"A50052489"	2007	799.461
"B03026382"	2013	799.54
"B35054006"	2016	799.906
"A03003530"	2010	800.799
"A28253656"	2007	801.72
"A08460156"	2017	802.398
"B35005040"	2017	803.817
"B81335473"	2011	804.093
"A48050728"	2007	806.96
"B03028784"	2009	807.414
"A01016450"	2015	808.392
"A46105086"	2015	808.398
"B83257295"	2015	808.595
"B84894377"	2017	808.668
"A08667016"	2011	810.478
"B33614033"	2017	810.684
"B03101748"	2008	811.322
"A29063567"	2013	811.866
"A82683459"	2015	812.868
"B28361350"	2014	813.044
"B03078391"	2012	814.294
"B17014887"	2014	814.829
"A01035807"	2011	816
"V57525560"	2015	816.864
"A31194905"	2007	818.99
"B12014692"	2016	819.199
"A48016794"	2008	820.826
"A38003679"	2009	821.263
"A32006579"	2007	823.581
"A29063567"	2012	823.804
"B35054006"	2013	824.623
"B50030964"	2017	824.776
"B46039061"	2017	825.032
"B12023065"	2015	826.29
"A35028570"	2008	826.43
"A25026733"	2016	828.796
"A17051152"	2016	830.236
"B28120012"	2017	830.599
"B35054006"	2017	831.123
"A81410227"	2008	831.139
"A01007137"	2012	831.596
"B63031660"	2010	833
"A46169082"	2014	833.136
"A16007064"	2007	834.05
"B14819643"	2017	834.564
"A26011841"	2017	835.175
"A48016794"	2012	835.262
"B35054006"	2010	835.623
"A48840359"	2016	836
"B17014887"	2013	836.121
"A09205550"	2017	837.742
"B97389209"	2016	838.535
"A35028570"	2007	839.21
"B41033143"	2015	840.533
"A28229409"	2011	840.569
"A48081061"	2015	841.357
"A43019975"	2017	841.548
"B63533095"	2012	841.792
"A16007064"	2012	842.589
"A16007064"	2010	843.765
"B35005040"	2012	844.668
"A30007231"	2014	846.215
"A08196446"	2010	846.322
"A46068318"	2014	846.362
"A17006792"	2013	846.693
"B15027170"	2017	850.544
"A47017728"	2012	851.152
"B13004924"	2016	852.626
"A28485761"	2009	853.169
"B28120012"	2011	853.652
"A28711893"	2016	853.709
"B07025315"	2011	854.145
"A08121089"	2017	854.381
"A58534777"	2012	854.394
"B97389209"	2017	854.904
"B28023679"	2017	855.257
"A48016877"	2015	856.631
"A50034024"	2013	857.377
"A28392033"	2013	859.294
"B17014887"	2008	860.105
"B08229221"	2017	860.321
"A36603421"	2015	860.415
"A20005351"	2014	860.901
"A50016930"	2012	862.559
"B31077514"	2017	866.053
"A30016687"	2015	870.284
"B35054006"	2009	870.541
"A27005834"	2009	872.515
"A01035807"	2010	874
"A35046911"	2011	875
"A29018249"	2013	875.09
"A48016877"	2014	875.891
"A28518041"	2016	877.266
"A35014075"	2009	877.97
"A82026840"	2015	878.372
"B50030964"	2016	878.634
"A38013272"	2013	878.726
"B81335473"	2012	879.101
"B03091527"	2014	879.906
"A28128486"	2013	882.582
"A17019316"	2012	883
"B28205532"	2015	883.453
"A12016143"	2016	884.577
"A03167939"	2017	886.609
"A41008301"	2013	886.641
"A28485761"	2014	887.254
"B62916077"	2010	887.432
"A38356937"	2013	889.516
"A50016930"	2013	889.557
"A33618257"	2014	890.569
"B33614033"	2015	892.198
"A41008301"	2011	892.199
"B12029153"	2009	892.679
"A28485761"	2013	893.866
"A01007137"	2015	894.587
"A30014211"	2014	895.142
"B82612896"	2012	895.375
"A08667016"	2015	895.637
"A27007731"	2017	895.872
"A39013867"	2008	896.003
"A01035807"	2012	898
"B03045507"	2008	898.199
"A09354176"	2013	899.1
"A08139339"	2016	899.765
"B60544046"	2017	900.268
"B03078391"	2014	901.051
"A26011841"	2014	901.086
"A48016794"	2011	901.249
"A50011980"	2015	901.907
"A28412724"	2016	902.344
"A48016877"	2010	902.448
"A08218133"	2016	902.661
"A36603637"	2012	903.73
"A43035708"	2008	903.743
"A41008301"	2010	904.005
"A57346926"	2014	904.51
"A50052489"	2008	905.748
"A33618257"	2017	905.812
"B03072576"	2016	906.564
"A50060011"	2009	906.966
"A28271914"	2014	908.689
"B28701340"	2013	909.043
"A45019916"	2017	911.5
"A29063567"	2007	911.778
"A39013867"	2016	911.87
"A47016944"	2014	912.252
"A28143782"	2013	912.545
"B43590272"	2010	912.555
"B33614033"	2016	912.839
"A15020795"	2016	913.662
"A29063567"	2011	915.535
"A18024919"	2016	916.23
"B12026183"	2017	917.554
"A48081061"	2010	918.275
"A46115101"	2009	918.49
"B12523601"	2013	918.709
"A48081061"	2012	920.917
"A28143782"	2007	922.64
"A07244023"	2016	922.814
"A35610666"	2010	923.412
"A81896375"	2011	923.958
"A50016930"	2010	924.917
"A28557783"	2017	925.191
"A50060011"	2013	925.6
"A18024919"	2017	925.728
"A39013867"	2010	926.049
"A35014075"	2014	928.135
"A16007064"	2009	928.776
"B85160976"	2014	930.365
"A29063567"	2015	930.529
"A07244023"	2009	930.852
"A08192965"	2017	930.997
"A48081061"	2014	931.037
"B28120012"	2014	932.119
"B46051116"	2011	932.429
"A36010544"	2009	933.994
"A28138386"	2014	935.192
"B12523601"	2009	935.213
"B35006360"	2016	935.769
"A28711893"	2013	935.919
"A12007555"	2015	936.725
"A43035708"	2010	936.995
"A08278293"	2016	937.057
"A82026840"	2008	937.289
"B35027143"	2007	937.821
"A46137352"	2016	938.045
"A35014075"	2013	939.576
"A28271914"	2015	940.953
"A29018249"	2009	941.505
"B28934081"	2011	944.23
"A35031343"	2015	945.432
"A28143782"	2008	945.64
"B12029153"	2007	945.92
"A45010543"	2017	946.265
"B01376615"	2017	946.939
"B84894377"	2016	947.667
"B03036712"	2013	948.591
"A48005672"	2015	949.445
"A07244023"	2012	950.832
"A17004763"	2016	951.257
"A29018249"	2017	951.713
"A46072823"	2017	952.202
"B35005040"	2013	952.321
"A31003247"	2008	952.77
"A15020795"	2015	953.964
"A30014211"	2013	954.702
"A01007137"	2013	955.356
"A33014176"	2014	955.694
"A78018421"	2009	956
"A08145385"	2009	956.195
"A28485761"	2011	956.761
"A29018249"	2012	957.167
"A28729424"	2015	957.862
"A28128486"	2008	958.09
"A45017142"	2014	958.22
"B81231516"	2010	958.532
"A46048732"	2011	960.671
"A08121089"	2015	961.227
"A58534777"	2011	961.29
"A41008301"	2012	963.242
"A18017228"	2016	963.416
"A45017241"	2016	964.906
"B03028784"	2012	964.981
"A08128035"	2016	965.126
"A39030812"	2017	965.677
"A46146551"	2008	966.008
"B03006681"	2011	966.069
"A46169082"	2015	966.939
"B03026382"	2015	967.093
"A07010937"	2007	967.302
"A33600107"	2017	968.447
"A28229409"	2016	969.066
"A03066909"	2008	969.47
"A48847321"	2017	970.191
"A28814135"	2011	973.877
"A08363640"	2013	973.902
"A20036083"	2014	974.091
"A41089368"	2017	975.335
"A35014075"	2007	976.605
"A38013272"	2008	976.994
"B81308439"	2017	977.658
"A17007014"	2008	978.848
"A29018249"	2010	979.35
"A78905908"	2016	979.781
"B41063355"	2014	980.822
"A29063567"	2010	980.859
"B03036712"	2012	982.637
"A08667016"	2010	982.978
"A07086515"	2017	983.205
"A08139339"	2017	983.312
"A43020486"	2008	985.273
"A29018249"	2011	985.834
"B30016612"	2016	988.461
"B36009942"	2017	989.209
"A08145385"	2007	989.333
"B03032620"	2016	990.014
"A39013867"	2009	991.339
"B15027170"	2016	991.662
"B50561968"	2017	992.652
"A46068318"	2010	992.815
"B35027143"	2009	993.487
"A30011282"	2016	993.671
"A03167939"	2016	994.98
"B03045507"	2017	995.371
"B35027143"	2008	995.982
"A50029065"	2017	996.251
"A28368603"	2017	998.793
"B35027143"	2010	1000.263
"B01015221"	2012	1000.916
"A27005834"	2014	1001.949
"A07244023"	2010	1002.086
"A01007137"	2010	1002.327
"A28485761"	2017	1002.378
"A81864498"	2009	1007.033
"A45010543"	2016	1007.671
"A28229409"	2012	1009.489
"B28023679"	2016	1010.417
"B50938489"	2016	1011.265
"B03028784"	2014	1011.306
"B03006681"	2014	1012.845
"A46168795"	2015	1013.455
"A08242992"	2010	1015.692
"B12023065"	2007	1015.827
"A08667016"	2014	1016.701
"A08510364"	2017	1016.893
"A05007687"	2016	1018.022
"A48016794"	2013	1021.24
"A08278293"	2013	1022.089
"A28271914"	2016	1022.29
"B17014887"	2012	1022.417
"A78905908"	2017	1022.839
"A46146551"	2009	1023.036
"A04001897"	2017	1023.243
"A12029468"	2016	1023.805
"A46115101"	2013	1023.992
"B23011273"	2016	1025.056
"B20013983"	2012	1026.276
"A48295604"	2017	1027.122
"A31003247"	2009	1027.22
"A81722712"	2007	1028.338
"B38828687"	2012	1029.447
"A33014176"	2016	1030.188
"A58534777"	2016	1032.335
"A11609682"	2010	1035.248
"A08278293"	2012	1036.294
"A28412724"	2014	1039.024
"A08075954"	2011	1041.208
"A28027811"	2011	1041.901
"A46146551"	2015	1043.827
"A19011626"	2017	1043.871
"B12014692"	2017	1043.937
"A62520788"	2015	1044.195
"A08663098"	2016	1044.325
"B41063355"	2011	1045.189
"A31003247"	2007	1045.69
"A46115101"	2011	1046.13
"B28218287"	2016	1047.909
"A08202582"	2008	1048.24
"B38002655"	2017	1049.018
"A08218133"	2017	1049.132
"A17006792"	2009	1049.383
"A08273898"	2015	1050.082
"A28801942"	2009	1050.107
"A36603637"	2011	1050.924
"A11957792"	2008	1050.984
"A35014075"	2010	1051.082
"A48016877"	2017	1051.148
"A35014075"	2008	1053.077
"B23014848"	2015	1053.168
"A46068318"	2007	1053.772
"A08514135"	2017	1054.396
"A28138386"	2011	1054.601
"B03091527"	2011	1055.265
"B41441387"	2017	1056.171
"A28172476"	2017	1057.38
"B28379386"	2012	1058.14
"B03036712"	2009	1058.6
"B03028784"	2013	1059.636
"B41063355"	2009	1060.009
"A33014176"	2017	1060.019
"A03062619"	2014	1060.237
"A20017604"	2014	1062.038
"A08436214"	2011	1062.327
"A20036083"	2010	1063.563
"B20013983"	2010	1063.597
"A14336143"	2017	1064
"A25026733"	2010	1064.403
"A48050728"	2014	1064.638
"B17002049"	2007	1065.18
"A46005252"	2016	1065.386
"B08078396"	2014	1065.871
"A08278293"	2014	1068.237
"B43590272"	2011	1069.038
"A46072203"	2016	1069.251
"A28368603"	2014	1069.374
"A81722712"	2008	1070.006
"B12023065"	2012	1070.107
"B03072576"	2015	1071.873
"A19011626"	2015	1073.233
"B03072576"	2017	1073.507
"A41049503"	2017	1073.944
"A17004763"	2017	1074.793
"A31003247"	2012	1075.955
"A28087583"	2017	1076.452
"A18006569"	2015	1076.921
"A26011841"	2008	1077.993
"B03101748"	2015	1079.17
"A48016794"	2015	1079.851
"A28173573"	2014	1080.681
"B03101748"	2009	1082.273
"A08105371"	2017	1082.555
"B50938489"	2017	1083.719
"A82026840"	2012	1084.525
"A01006055"	2017	1084.537
"A79092573"	2011	1084.6
"A08145385"	2011	1084.864
"B84871607"	2016	1085
"A12012340"	2017	1085.362
"A26014035"	2016	1085.399
"A28412724"	2013	1085.696
"A36603421"	2016	1086.428
"B12029153"	2013	1087.017
"A12012340"	2015	1088.675
"A46115101"	2012	1089.175
"A45012259"	2009	1089.189
"A15020795"	2009	1089.608
"A28128486"	2012	1089.911
"A50012822"	2014	1090.015
"A35515485"	2012	1090.927
"B03091527"	2015	1091.056
"A39030812"	2016	1091.091
"A46068318"	2011	1091.467
"B46054508"	2016	1092.559
"A11902814"	2016	1092.992
"B36009942"	2015	1094.305
"A03026697"	2014	1094.822
"A08145385"	2012	1095.443
"A08197022"	2017	1095.447
"A46068318"	2013	1096.846
"A36603421"	2014	1097.351
"A08145385"	2008	1097.561
"B84871607"	2017	1100
"A08145385"	2010	1100.429
"B03101748"	2011	1102.494
"A38020905"	2017	1102.577
"A03066909"	2010	1102.814
"A08479297"	2011	1103.249
"A07123441"	2013	1104.035
"A15020795"	2008	1106.363
"B46045993"	2016	1106.42
"B46131371"	2017	1106.96
"B03091527"	2013	1107.167
"A27005834"	2008	1107.201
"B30034730"	2017	1107.392
"A41089368"	2016	1108.204
"A28128486"	2011	1108.915
"A10010445"	2014	1109.34
"A19011634"	2017	1111.212
"B28376184"	2007	1111.302
"A27005834"	2011	1112.085
"B84822832"	2016	1112.478
"A31003247"	2011	1112.632
"A30014211"	2017	1112.981
"B41063355"	2010	1113.148
"A11609682"	2007	1113.287
"A39013867"	2011	1114.002
"A45012259"	2007	1114.419
"B03072857"	2015	1114.473
"A31003247"	2010	1114.618
"B28361350"	2017	1115.856
"A81896375"	2007	1116.24
"B28701340"	2014	1117.28
"A29063567"	2017	1117.805
"B03032620"	2017	1118.018
"A33618257"	2012	1120.657
"A08280323"	2016	1122.149
"A08639643"	2017	1123.128
"B35054006"	2014	1123.254
"A03026697"	2017	1123.963
"A28518041"	2015	1124.105
"A17039140"	2017	1124.415
"A11902814"	2014	1124.985
"A08228520"	2010	1125.213
"A07035934"	2011	1126.03
"A08563769"	2017	1127.159
"A03197308"	2011	1128.038
"B43587120"	2014	1128.641
"B03072857"	2008	1130.567
"A12405577"	2016	1130.6
"A38013272"	2012	1131.318
"A18017228"	2017	1131.372
"B03026382"	2014	1132.641
"B03026382"	2010	1133.056
"A28143782"	2010	1135
"A22009492"	2016	1135.39
"A62520788"	2014	1136.18
"A48083927"	2016	1136.451
"B46043238"	2010	1136.643
"A18565705"	2016	1136.87
"B21259726"	2016	1137.062
"A50034024"	2017	1137.656
"B24014292"	2016	1138.019
"A24012692"	2016	1138.332
"B50938489"	2015	1139.076
"A35101732"	2015	1139.097
"B35027143"	2012	1139.208
"B07025315"	2009	1139.24
"A50060011"	2015	1139.54
"A07256100"	2012	1140.185
"A36605772"	2012	1141.074
"B03078391"	2009	1141.447
"B35005040"	2014	1141.631
"A48016877"	2016	1141.816
"A41027723"	2014	1142.136
"A28229409"	2010	1142.576
"B08229221"	2016	1142.917
"B12029153"	2012	1143.009
"A81896375"	2009	1143.252
"A17007014"	2011	1143.816
"A46105086"	2017	1144.873
"A79092573"	2007	1144.9
"A28192532"	2014	1145.631
"A25026733"	2015	1145.858
"A15033699"	2013	1145.912
"A41277336"	2016	1146.012
"B35027143"	2013	1148.755
"A48081061"	2013	1149.111
"A08075954"	2010	1149.903
"B17016569"	2009	1150.817
"A03066909"	2009	1151.349
"B31784895"	2010	1152.571
"B43587120"	2009	1152.968
"A28485761"	2012	1153.785
"B28218816"	2014	1154.227
"A11609682"	2008	1154.523
"B35006360"	2007	1154.633
