nif	year	total_activo
"B38017067"	2009	7047.577
"A33025701"	2015	7048.949
"B81308439"	2011	7049.449
"A28518819"	2009	7049.654
"A33060294"	2007	7049.705
"A12022224"	2016	7049.926
"A08244808"	2011	7049.941
"A27007731"	2007	7050.13
"A07059058"	2007	7050.34
"A08098576"	2014	7051.152
"A08147555"	2011	7052.24
"A14336143"	2013	7052.656
"A28057495"	2014	7053.921
"A08147357"	2014	7053.954
"B15018393"	2010	7054.029
"A48095822"	2011	7054.307
"A11957792"	2008	7055.16
"A02010510"	2008	7055.267
"A46023735"	2017	7055.29
"A28486090"	2017	7055.937
"A15032196"	2008	7055.94
"A12000071"	2007	7057.118
"B48070155"	2012	7057.607
"A50013671"	2010	7057.948
"A28582450"	2008	7058.475
"A08499568"	2012	7058.597
"A30037873"	2013	7059.081
"A28345148"	2007	7059.209
"B25436122"	2009	7059.617
"A23014871"	2012	7059.672
"B08142655"	2013	7060.405
"A03030350"	2011	7060.76
"A08200032"	2007	7061.138
"A46146551"	2012	7061.336
"A08537300"	2013	7061.51
"B60918141"	2017	7061.803
"A28724268"	2014	7061.807
"A08688095"	2009	7062.191
"B08111411"	2012	7063.827
"B46076287"	2015	7064.963
"A36010544"	2009	7065.162
"B33607649"	2011	7065.175
"B28118800"	2017	7065.624
"A04001897"	2009	7065.818
"A08213936"	2010	7066.207
"A84911825"	2015	7066.771
"A08195927"	2008	7066.93
"A31018799"	2007	7067.103
"A08290751"	2013	7067.118
"A50335918"	2011	7067.524
"B30015226"	2012	7067.668
"A08467052"	2016	7068
"B06320410"	2011	7068.411
"A08278293"	2010	7068.991
"A47091632"	2012	7069.091
"B16010464"	2010	7069.453
"A08482952"	2014	7069.925
"B39026265"	2013	7069.933
"F50011139"	2010	7070
"A03734514"	2012	7070.247
"A03062619"	2013	7070.286
"B61882551"	2011	7070.578
"B08488645"	2008	7070.736
"A08243297"	2012	7071.434
"A50000355"	2016	7071.498
"B08238263"	2016	7071.844
"A28646735"	2017	7072.625
"A28027811"	2014	7074.431
"A08623928"	2009	7074.49
"B46047817"	2013	7074.496
"A78688934"	2011	7075
"A46044962"	2009	7075.111
"A08021768"	2007	7075.17
"A08024317"	2008	7075.222
"B32008179"	2014	7075.658
"A46044962"	2007	7075.948
"A08556896"	2007	7075.99
"B20793956"	2015	7076.016
"B28379386"	2012	7076.16
"A36005684"	2013	7076.191
"A02012714"	2007	7076.2
"B60338290"	2016	7076.878
"A46068862"	2007	7076.914
"A06163851"	2017	7076.958
"A08527020"	2013	7077.031
"A46126439"	2012	7077.131
"A46044962"	2013	7077.446
"A08297509"	2015	7077.872
"A03059003"	2012	7078.145
"A24004426"	2013	7078.224
"A29025368"	2016	7078.25
"A36002285"	2014	7078.443
"A36012698"	2007	7079.225
"A28037240"	2012	7079.384
"A33024621"	2015	7079.418
"B39523956"	2014	7079.463
"B91139717"	2013	7079.585
"A01004548"	2010	7079.793
"A17001207"	2012	7079.951
"A15072622"	2008	7079.967
"A13029962"	2010	7080.116
"A08290751"	2008	7080.239
"A08709131"	2012	7080.252
"B08447948"	2013	7080.588
"A28458826"	2011	7081.003
"B28492841"	2009	7081.662
"A28189082"	2010	7081.673
"B08359705"	2015	7082.077
"A02011633"	2015	7082.205
"A32005548"	2017	7082.41
"A58132606"	2007	7082.427
"A22012223"	2008	7083.4
"A41028820"	2013	7083.423
"B30037204"	2007	7083.62
"A97163653"	2015	7084.09
"A02014165"	2016	7085.7
"A36604783"	2015	7086.016
"A33015728"	2008	7086.42
"A28670636"	2011	7086.606
"A48100002"	2016	7087.409
"A41057209"	2017	7087.409
"B12026183"	2017	7089.009
"A46074563"	2014	7089.028
"A08285363"	2009	7089.636
"A08346116"	2011	7090.011
"B46142246"	2015	7090.068
"A46070520"	2015	7090.212
"A28520757"	2012	7090.317
"A11010352"	2017	7090.99
"A08482952"	2013	7091.405
"A33604406"	2008	7091.531
"A82683459"	2015	7091.6
"A25022369"	2007	7091.688
"A28333490"	2009	7091.77
"A35019637"	2013	7091.945
"A26022129"	2016	7092.385
"A03011392"	2011	7093.651
"A29012044"	2008	7093.685
"A46332995"	2008	7093.694
"A08642886"	2014	7094.667
"B83541912"	2013	7094.936
"A30046379"	2017	7094.937
"B24013799"	2009	7095.695
"A08375537"	2008	7095.75
"A30004790"	2013	7096.225
"A30024798"	2011	7096.805
"A08105371"	2010	7097.47
"A31196983"	2009	7097.749
"A01012293"	2010	7098.136
"A41098237"	2010	7098.26
"A46126439"	2014	7098.898
"A31003247"	2008	7099.23
"A30046379"	2008	7099.766
"A31071756"	2012	7100.357
"A41277336"	2013	7101.199
"A07033491"	2008	7101.459
"A38225041"	2012	7102.413
"A20020038"	2007	7102.757
"A22009039"	2009	7103.544
"A15033699"	2009	7103.547
"A48121826"	2012	7103.688
"A58394941"	2007	7103.95
"B15077571"	2012	7104.443
"A35014414"	2012	7104.576
"A38008256"	2008	7104.657
"A28672624"	2007	7104.7
"B50938489"	2017	7104.73
"B50068105"	2010	7105.002
"A30610984"	2015	7105.657
"A46019204"	2009	7105.854
"A28147197"	2008	7106.065
"B16007551"	2013	7106.755
"A20018586"	2013	7106.793
"A30004790"	2016	7108.326
"A04006706"	2013	7108.465
"A15010994"	2012	7108.708
"A07089121"	2015	7109.204
"A08431678"	2009	7109.933
"A12019840"	2011	7110.279
"B11605862"	2015	7111.622
"A39013867"	2008	7111.761
"A01015510"	2017	7112.668
"B35065788"	2012	7112.718
"A35014414"	2014	7113.874
"A18008334"	2014	7113.927
"B38025920"	2013	7113.956
"A08636177"	2012	7114.364
"A46094207"	2011	7114.72
"A26014035"	2009	7114.987
"B35065788"	2017	7114.988
"A08363640"	2012	7115.561
"A01004993"	2015	7115.794
"B22004931"	2012	7115.811
"A08401820"	2017	7116.141
"B20759023"	2011	7116.45
"A28458826"	2010	7116.523
"A47011317"	2012	7116.688
"A08382491"	2017	7117.371
"A30022172"	2008	7117.424
"A50335918"	2012	7117.477
"A03017886"	2011	7117.922
"A07042088"	2008	7118.341
"A60401585"	2010	7118.74
"B46164091"	2012	7118.767
"A16000200"	2017	7119.019
"B46020541"	2008	7119.218
"A41018854"	2007	7120.476
"A03030509"	2014	7120.559
"B31066798"	2016	7122.104
"A14336143"	2015	7123
"B50043785"	2014	7123.07
"B03006681"	2011	7123.101
"A08062846"	2009	7123.335
"A41093733"	2015	7123.434
"A30016182"	2014	7123.46
"A28582450"	2011	7124.294
"A46105086"	2007	7124.465
"A81841850"	2011	7124.588
"A29025368"	2009	7125.272
"B36609485"	2013	7125.598
"A41088493"	2008	7125.753
"B03089471"	2013	7125.782
"A39030812"	2007	7126.264
"A24010217"	2011	7126.423
"B07762099"	2010	7126.897
"A03086931"	2015	7127.069
"B28623593"	2011	7127.969
"B79945150"	2013	7128.266
"A78521168"	2007	7128.585
"A04000881"	2010	7128.631
"B20332870"	2011	7128.72
"A08667016"	2010	7128.869
"A40002701"	2008	7128.991
"A46069456"	2007	7129.15
"A20042933"	2011	7129.254
"B14016315"	2015	7129.605
"F30587919"	2012	7129.716
"A47091632"	2010	7129.771
"B28350965"	2012	7131.319
"A08091894"	2008	7133.033
"A08273898"	2007	7133.35
"A32226037"	2008	7133.763
"B46056909"	2009	7134.106
"B46157533"	2010	7134.28
"A48059950"	2010	7135.029
"A50052950"	2011	7136.941
"A28255784"	2010	7137.285
"B03010634"	2017	7137.404
"B46016408"	2017	7137.579
"A33006644"	2008	7137.745
"A41028820"	2016	7137.831
"A35019637"	2012	7137.966
"A33560772"	2010	7138.084
"B06001143"	2014	7138.285
"A28087583"	2015	7138.522
"A33024621"	2017	7139.247
"A28724268"	2017	7139.494
"A33606682"	2010	7139.617
"A08285363"	2010	7139.833
"A28715183"	2017	7139.897
"A33018664"	2008	7140.147
"A25026139"	2017	7140.334
"A28683068"	2011	7140.922
"A08541021"	2010	7140.97
"A46137352"	2017	7141.28
"A46106928"	2012	7142.236
"A28550960"	2015	7142.301
"A08218133"	2016	7143.416
"B28281095"	2017	7143.768
"A41022989"	2010	7143.79
"A50008390"	2013	7144.236
"B15009566"	2013	7144.57
"B08359705"	2014	7144.997
"A08097180"	2016	7145.856
"A48100002"	2013	7146.104
"A33015728"	2009	7146.649
"A07036130"	2015	7147.449
"A43035708"	2009	7147.857
"A08533119"	2008	7147.965
"B03094455"	2017	7148.907
"B31001290"	2010	7149.019
"A28411585"	2013	7149.471
"A08479297"	2011	7149.615
"A46109054"	2007	7150.37
"B62119904"	2010	7151
"B03020997"	2017	7151.179
"B46148797"	2007	7151.979
"B19001536"	2015	7152.065
"A08200032"	2013	7152.747
"A09021833"	2008	7152.764
"A46105086"	2017	7153.603
"A08141038"	2007	7154.009
"A20018610"	2011	7154.065
"A12363529"	2008	7154.3
"V61861548"	2010	7155.451
"A31501901"	2008	7156.251
"A63746275"	2012	7158.884
"B46142071"	2016	7159.621
"B50030964"	2009	7160.081
"A28496438"	2009	7160.895
"A08710055"	2010	7161.31
"B61175725"	2008	7161.31
"A08568057"	2007	7161.39
"A08361644"	2013	7161.546
"A28049153"	2010	7161.609
"A09004813"	2009	7161.893
"B08660409"	2017	7162.075
"A22001721"	2007	7162.51
"A38026605"	2014	7162.677
"A46005252"	2009	7163.724
"A03026697"	2017	7163.889
"B27008408"	2011	7163.912
"B31018815"	2015	7164.159
"B50030964"	2007	7164.569
"B17616814"	2013	7165.01
"A28670636"	2014	7165.657
"A20005351"	2014	7165.918
"A28364487"	2010	7166.016
"A03030509"	2015	7166.077
"A08063372"	2008	7166.341
"B46163655"	2010	7166.803
"B46121000"	2015	7167.649
"A50013671"	2016	7168.575
"A08200040"	2014	7168.641
"A17009598"	2009	7168.942
"A48847321"	2017	7169.145
"A46126439"	2015	7170.107
"B08194276"	2015	7170.311
"A06163851"	2011	7170.449
"A08012601"	2008	7170.449
"A08290405"	2011	7171.062
"A08502635"	2015	7171.251
"A07042088"	2012	7171.477
"B09417932"	2012	7171.55
"A41018854"	2008	7171.802
"A50008937"	2016	7172.395
"A46105086"	2015	7173.846
"A08568826"	2010	7174.017
"A28017531"	2017	7174.311
"A92086479"	2017	7174.599
"A28375913"	2017	7175.113
"A03026697"	2014	7176.671
"B08359705"	2009	7176.913
"A28651222"	2008	7177.178
"A28724219"	2017	7177.28
"A33614082"	2012	7178.211
"A50057421"	2014	7178.26
"B32008625"	2013	7178.298
"B28499218"	2009	7178.379
"A43015965"	2011	7178.446
"A30012041"	2014	7179.202
"A28415487"	2008	7180.69
"B01013507"	2016	7180.954
"A43001684"	2014	7181.744
"A07078116"	2013	7181.796
"A08276867"	2011	7182.463
"B30035968"	2017	7182.716
"A50047505"	2009	7183.06
"A13012869"	2011	7183.181
"B36002913"	2007	7183.203
"A03084936"	2011	7183.774
"B35054006"	2009	7183.809
"A30018147"	2010	7184.108
"B30016612"	2016	7184.26
"A31404452"	2015	7185.194
"A08329831"	2011	7185.371
"A28235158"	2009	7186.039
"A43001684"	2015	7186.427
"B63149637"	2017	7187
"A24010217"	2016	7187.554
"A28060283"	2011	7187.736
"A48114151"	2009	7188.798
"A28060283"	2010	7189.196
"A08026627"	2011	7189.821
"A08296535"	2016	7190.77
"B28494797"	2017	7191.075
"B15009566"	2008	7191.461
"A08713869"	2009	7191.508
"A28801942"	2016	7192.058
"A92086479"	2016	7192.142
"A08149668"	2012	7192.303
"A08496473"	2007	7192.644
"A08709131"	2016	7193.19
"A39008305"	2015	7193.279
"B46155271"	2014	7194.066
"B08527194"	2016	7194.676
"A25022369"	2008	7195
"A23372832"	2012	7195.079
"A03734514"	2014	7195.9
"B03087293"	2008	7196.01
"A08026072"	2009	7196.782
"A01004548"	2012	7196.842
"A47022058"	2013	7197.487
"A39031406"	2014	7197.761
"A28674489"	2007	7198.072
"A09000308"	2008	7198.58
"A08329963"	2015	7198.785
"A35018027"	2015	7199.356
"A17001678"	2009	7199.482
"A48087126"	2015	7199.898
"A46036562"	2008	7200.057
"B38020020"	2009	7200.606
"B43009091"	2007	7200.842
"A11902814"	2010	7201.34
"A36002285"	2013	7201.388
"B17616814"	2017	7201.559
"A31394356"	2013	7201.586
"A20074167"	2012	7202.385
"A28058758"	2007	7202.542
"A03003530"	2015	7202.877
"A07026651"	2008	7203.39
"B08111411"	2014	7204.315
"A08280323"	2013	7204.497
"B15015274"	2010	7204.625
"B31066798"	2015	7205.21
"F30587919"	2010	7206.233
"B08113615"	2012	7206.423
"B26011361"	2012	7206.753
"A28172476"	2011	7206.83
"A41057209"	2013	7206.857
"A47017728"	2012	7207.601
"A28219541"	2014	7207.961
"A26014035"	2008	7208.18
"A28548220"	2017	7208.454
"A46036562"	2010	7208.598
"A08418030"	2013	7208.727
"A08231250"	2013	7208.98
"A92030402"	2009	7209.176
"A04017497"	2007	7209.323
"A08097438"	2007	7210.115
"A08290751"	2014	7210.399
"A28734432"	2009	7210.798
"A17038035"	2009	7210.828
"B63218440"	2013	7211.575
"A42004598"	2007	7211.811
"A29012044"	2011	7211.909
"A08489007"	2007	7212.137
"B59469296"	2016	7212.407
"A28046704"	2013	7212.695
"A08631517"	2009	7213.026
"A36611622"	2012	7213.091
"B50561968"	2009	7213.434
"A08560484"	2008	7214.659
"A08665374"	2014	7215.101
"A28734432"	2007	7215.511
"A41050063"	2014	7215.997
"A23008857"	2017	7216.377
"A19180108"	2010	7216.873
"A01010701"	2012	7217.554
"B18547281"	2017	7217.973
"A31018187"	2007	7219.172
"B43004852"	2012	7219.264
"B28350965"	2008	7219.515
"A28734432"	2014	7219.614
"A08255374"	2012	7219.705
"B03020997"	2014	7219.969
"A09021833"	2007	7220.009
"A28175412"	2011	7220.532
"A48083927"	2016	7220.747
"A26021527"	2010	7221.03
"A01012830"	2016	7221.169
"A29006343"	2011	7221.268
"A08123226"	2010	7221.338
"A48082085"	2017	7221.638
"A28649879"	2011	7221.848
"A23012719"	2011	7222.716
"A28086858"	2010	7223.293
"A28683068"	2007	7224.248
"A30031769"	2013	7224.495
"B30010797"	2008	7225.449
"A28184661"	2007	7225.522
"B80372220"	2017	7226.063
"A31194905"	2007	7226.34
"B03089471"	2015	7226.615
"A08099897"	2013	7227.541
"A08069809"	2007	7228.221
"A43019975"	2013	7228.294
"A08243297"	2017	7228.559
"A05000682"	2011	7229.325
"A46126439"	2016	7229.438
"A43035708"	2008	7229.515
"B83766485"	2015	7229.539
"A08541021"	2009	7229.588
"A09018730"	2011	7229.855
"B46163655"	2015	7230.277
"A08097180"	2015	7230.766
"B46037446"	2008	7231.07
"A24015802"	2017	7232.174
"A40163909"	2009	7233
"B28701340"	2013	7233.473
"B46139143"	2014	7233.704
"A15010994"	2015	7233.972
"B30023535"	2016	7234.401
"B36603629"	2013	7234.906
"A28518041"	2009	7235.212
"A28582450"	2010	7235.749
"B17462961"	2011	7236.082
"A36000073"	2012	7236.27
"B48771711"	2008	7236.383
"A41088493"	2007	7236.515
"A08122574"	2011	7237.14
"A15021843"	2012	7237.203
"A03061314"	2012	7237.24
"A47008487"	2007	7237.609
"A03088580"	2012	7237.613
"A08275281"	2014	7238.18
"A01016450"	2015	7238.527
"A50052489"	2007	7239.357
"A39027917"	2007	7239.76
"A08562431"	2014	7239.903
"A07019573"	2012	7240.023
"A46096343"	2015	7240.18
"A21010616"	2011	7240.317
"A48117188"	2014	7240.77
"A08304628"	2011	7240.96
"A07244023"	2012	7242.332
"B38020020"	2008	7242.399
"A08667123"	2009	7242.459
"A31018187"	2008	7242.77
"A12021267"	2016	7242.787
"A28675908"	2010	7243.432
"A08069809"	2017	7244.066
"B60031150"	2012	7244.104
"A35012012"	2007	7244.702
"B08367948"	2013	7244.975
"B38030045"	2013	7245.03
"A47022058"	2010	7246.807
"A20073169"	2009	7246.93
"B30010326"	2011	7247.834
"A07042088"	2016	7248.209
"A08621161"	2010	7248.249
"A30025555"	2016	7248.378
"A47091632"	2009	7248.392
"A81536112"	2011	7248.705
"A03026739"	2017	7249.008
"B17374893"	2016	7249.544
"A08630063"	2008	7249.558
"A06163851"	2015	7249.698
"A79184453"	2015	7249.735
"A33609587"	2011	7250.395
"A08723926"	2010	7250.904
"A08467052"	2017	7252
"B39026604"	2007	7253.01
"A08243297"	2015	7253.134
"A01161066"	2008	7253.339
"B30023535"	2017	7253.383
"A08098949"	2013	7253.693
"A41022989"	2009	7254.018
"B43032713"	2014	7254.186
"A33036807"	2008	7254.282
"A03030509"	2009	7254.976
"B24013856"	2011	7255.034
"B17016569"	2007	7255.453
"B03093713"	2011	7255.608
"A22271209"	2012	7256.066
"A31071756"	2009	7256.12
"A08098949"	2014	7256.405
"A08568057"	2008	7257.43
"B38030045"	2016	7257.522
"B08216202"	2007	7257.57
"A08013898"	2011	7257.667
"A28253656"	2007	7258.04
"A08466187"	2016	7258.22
"A33604182"	2013	7258.637
"A28049153"	2008	7259.232
"A28706091"	2016	7259.576
"A38000410"	2015	7259.696
"B04001848"	2010	7260.078
"A28106797"	2016	7260.565
"B08488645"	2010	7260.758
"A12022224"	2007	7260.77
"B03040789"	2008	7261.14
"A08514028"	2008	7261.507
"B06341333"	2016	7261.602
"A33015728"	2007	7261.66
"A28651222"	2011	7262.834
"A08592370"	2013	7264.178
"A28674489"	2009	7264.282
"B46045993"	2016	7264.426
"A14025142"	2016	7265.238
"A29009537"	2015	7265.462
"A41028820"	2015	7265.519
"B83680322"	2016	7265.933
"A48093421"	2008	7266.3
"A60850500"	2011	7267.074
"A17483124"	2014	7267.278
"A08511453"	2017	7268.046
"A07068422"	2015	7268.63
"A07042088"	2017	7269.202
"A01014794"	2010	7269.965
"A08388811"	2007	7270.346
"B03072576"	2011	7270.507
"B16007551"	2015	7270.766
"A47091632"	2011	7271.037
"A08244808"	2010	7271.062
"A81841850"	2010	7271.123
"A30016182"	2015	7271.745
"A01010701"	2011	7271.825
"B08102881"	2015	7272.126
"A08401820"	2010	7272.368
"B39019468"	2008	7272.449
"B31077514"	2007	7272.94
"A46084984"	2011	7273.309
"A08681264"	2009	7273.426
"A47022165"	2007	7274.968
"A08663809"	2011	7275.02
"B74102872"	2017	7275.713
"A07002645"	2014	7275.942
"A23025927"	2013	7276.498
"A28734432"	2012	7276.842
"A20042933"	2014	7276.902
"B48108898"	2014	7276.922
"A41028820"	2014	7277.507
"A31061385"	2015	7277.544
"A41112012"	2007	7277.695
"B08619405"	2017	7277.823
"A43037191"	2012	7278.387
"A33009630"	2016	7278.46
"B29042348"	2012	7279.691
"B06422877"	2012	7279.746
"A08691503"	2017	7280.175
"A12007555"	2015	7280.227
"A46170080"	2007	7280.466
"A08322067"	2015	7280.83
"A28612208"	2010	7281.029
"A20005351"	2011	7281.156
"A97163653"	2016	7281.208
"A08005696"	2009	7281.983
"B30035968"	2015	7282
"A46044962"	2017	7282.293
"B03100831"	2008	7282.576
"B12014692"	2009	7284.298
"B28188100"	2017	7284.636
"A04016952"	2007	7284.686
"A48045199"	2011	7285.739
"A08667016"	2011	7286.804
"A48009328"	2014	7287.171
"B50776657"	2015	7287.566
"A08646143"	2012	7287.641
"A08630063"	2009	7288.041
"A28458826"	2007	7288.638
"A08200032"	2012	7289.327
"B38024089"	2007	7289.878
"B21015474"	2011	7290.476
"A06141345"	2011	7290.599
"A07050420"	2009	7290.705
"A46010617"	2014	7291.179
"A25011180"	2008	7291.265
"B03032620"	2017	7291.771
"A08062846"	2017	7291.825
"A28411585"	2009	7292.247
"A62400718"	2015	7292.299
"A79235891"	2015	7293.578
"A78159241"	2008	7293.68
"A28175412"	2016	7293.981
"B30034730"	2009	7293.983
"A30610984"	2012	7294.139
"B12014692"	2013	7294.289
"B41002619"	2007	7295.186
"A27014430"	2008	7295.215
"A78905908"	2010	7295.831
"A95249199"	2010	7296.052
"B08275026"	2010	7296.856
"A09013947"	2007	7297.142
"A28448538"	2015	7297.599
"A08401820"	2011	7297.649
"A36561595"	2015	7299.333
"A20042933"	2012	7299.431
"A09018730"	2014	7299.589
"A20047726"	2010	7300.039
"A28670636"	2012	7300.829
"B20078598"	2008	7301.846
"A43019975"	2009	7301.935
"A12027488"	2017	7302.229
"B03094455"	2016	7303.221
"A28381564"	2016	7303.548
"B35065788"	2014	7303.672
"A46002697"	2009	7304.006
"A47091632"	2013	7304.27
"A08577215"	2015	7304.783
"A28518819"	2014	7304.915
"A08203226"	2011	7305.095
"A50057421"	2013	7305.247
"A50000355"	2015	7305.862
"A08989782"	2008	7306.679
"A50068923"	2007	7306.874
"A08659617"	2009	7306.982
"A11605409"	2009	7307.591
"B20070082"	2016	7307.618
"A28729424"	2015	7309.019
"A19163682"	2009	7309.601
"A58294166"	2012	7309.762
"A30018345"	2012	7309.915
"A15044530"	2016	7310.371
"A07042088"	2009	7311.086
"A49005861"	2012	7311.688
"A06008411"	2015	7311.974
"A01017557"	2013	7312.266
"A08393803"	2014	7312.534
"B31065980"	2010	7313.494
"A15020795"	2009	7313.681
"A46044962"	2010	7314.287
"B20013983"	2012	7315.335
"A04000881"	2009	7315.402
"A26017434"	2010	7315.66
"B08581951"	2014	7315.932
"A28649747"	2009	7315.988
"A08147357"	2017	7316.229
"A07244023"	2013	7316.24
"A08029951"	2010	7316.411
"A12012340"	2017	7316.574
"A28458826"	2013	7317.145
"B50030964"	2008	7317.212
"A08452500"	2011	7317.29
"A36010544"	2008	7317.381
"A08273898"	2014	7317.494
"B32008625"	2014	7317.86
"A39017058"	2008	7318
"A15010994"	2007	7318.082
"A42003368"	2013	7318.242
"A03062619"	2014	7318.66
"A22009690"	2016	7319.664
"A06007637"	2012	7319.741
"A03086931"	2016	7320.869
"A46169082"	2015	7322.233
"B48108898"	2016	7322.987
"A28412724"	2012	7323.799
"A31064561"	2016	7324.356
"A48040232"	2016	7324.628
"A08218133"	2017	7325.251
"B46164091"	2015	7325.427
"A03030509"	2007	7325.703
"B46051116"	2011	7325.77
"B46069654"	2007	7326.476
"A30022172"	2015	7326.668
"B46121000"	2013	7326.74
"A35047778"	2015	7326.925
"A03061314"	2010	7328.845
"A08273898"	2009	7329.181
"A46036562"	2011	7330.131
"A46169082"	2014	7330.192
"A46162665"	2012	7330.338
"A41027723"	2009	7330.434
"A08097438"	2008	7331.279
"A46055794"	2008	7332
"A08158172"	2014	7333.47
"A46082228"	2014	7333.565
"A45007614"	2007	7334.581
"A28167567"	2011	7336.059
"A08105371"	2012	7336.118
"A08709131"	2017	7336.165
"A08689796"	2008	7336.54
"B28188100"	2008	7336.89
"A50052950"	2013	7337.048
"A27003243"	2015	7337.26
"B30035968"	2014	7338.138
"A33036807"	2017	7338.211
"B17462961"	2016	7338.601
"A08206419"	2012	7338.936
"A50030543"	2012	7340.477
"A81527095"	2012	7340.995
"A36603637"	2011	7341.188
"B08114449"	2012	7341.327
"A19163682"	2007	7341.36
"A28729424"	2011	7341.61
"B48074306"	2008	7342.59
"A62023262"	2012	7342.997
"B46164091"	2014	7343.261
"A28640118"	2014	7343.278
"A08156218"	2015	7343.478
"A46002697"	2014	7344.446
"A15020795"	2010	7347.048
"A08297509"	2014	7347.369
"A07024896"	2014	7347.528
"A08145385"	2009	7347.893
"A28099356"	2013	7347.955
"A28271112"	2014	7348.054
"B08988149"	2007	7348.234
"B50047091"	2010	7348.57
"A08499568"	2008	7348.782
"A62703806"	2014	7349.179
"A28615581"	2015	7349.446
"B46162418"	2014	7349.895
"A35018027"	2013	7350.171
"A08514135"	2008	7350.65
"A24010381"	2010	7350.798
"A28381234"	2013	7351.342
"A45202975"	2009	7351.608
"A08646101"	2017	7351.702
"A28562908"	2013	7351.947
"A08297509"	2017	7352.404
"A46002697"	2010	7352.494
"A46134748"	2010	7352.643
"A21007570"	2011	7353
"B08229221"	2014	7353.227
"A08290405"	2008	7353.643
"B30010326"	2012	7353.83
"B38025920"	2017	7354.08
"A29018249"	2008	7354.711
"A09000308"	2007	7355.37
"B81248361"	2015	7355.398
"A35018027"	2014	7355.962
"A38000410"	2016	7356.135
"A50052950"	2014	7356.14
"B31072705"	2009	7356.685
