nif	year	deudores
"B82435371"	2008	51.148
"V57525560"	2017	52.605
"B38025920"	2017	53.221
"A08273898"	2012	53.35
"B35015262"	2009	53.44
"A82501545"	2013	54.1
"A35610666"	2010	54.256
"B83393223"	2016	54.429
"A08196446"	2015	54.925
"A14336143"	2016	55
"A33014176"	2010	55.286
"A28695856"	2016	55.968
"B08552614"	2015	56.052
"A28192532"	2016	56.587
"A20056248"	2017	56.722
"A15169535"	2016	56.763
"V57525560"	2015	56.905
"B43587120"	2016	57.986
"B35015262"	2012	58.345
"V48566475"	2010	58.367
"B35015262"	2011	58.659
"A36643450"	2015	59.211
"B43587120"	2015	60.092
"A08646101"	2017	60.85
"A33014176"	2009	60.886
"A28485761"	2013	61.995
"A39005574"	2016	62.035
"A28295806"	2017	62.433
"B33602707"	2016	62.858
"B81762684"	2008	63.06
"B61425682"	2011	63.139
"A35014414"	2015	63.198
"B12023065"	2015	63.279
"B81907776"	2010	63.348
"B35015262"	2015	63.384
"A85125078"	2017	64
"B12523601"	2013	64.184
"B03078391"	2014	64.379
"A46023255"	2015	64.761
"A08802068"	2016	65.147
"A07123441"	2016	65.261
"A33014176"	2007	65.95
"B28494797"	2017	67.636
"V04509865"	2017	67.773
"A08128910"	2007	68.008
"B35015262"	2014	69.472
"A28058725"	2017	69.824
"A82198847"	2009	69.87
"B18547281"	2017	70.047
"A28290799"	2016	72.248
"B38484796"	2007	73.044
"B36853935"	2015	73.863
"A08802068"	2014	74.269
"A28987196"	2012	74.615
"A07123441"	2017	76.28
"B84654201"	2014	77.114
"A20037933"	2015	77.344
"B27013556"	2007	78.505
"A07256100"	2015	79.021
"A08141038"	2007	79.074
"B35015262"	2013	79.23
"A35515485"	2017	80.109
"A45012226"	2016	80.312
"A08802068"	2017	80.836
"A35101732"	2016	82.162
"B31067697"	2007	82.169
"A35101732"	2017	83.356
"A41008301"	2007	84.772
"A85450476"	2015	85
"B78908605"	2013	85.064
"A17006792"	2017	85.279
"A07123441"	2007	86.048
"A63796395"	2015	86.208
"A29076270"	2016	86.5
"A15020795"	2016	86.655
"B61967774"	2012	87.297
"A28023422"	2010	87.471
"B47014568"	2011	87.77
"A28106003"	2016	88.16
"A08802068"	2015	88.462
"A48016877"	2013	88.495
"B01015221"	2008	88.943
"B78908605"	2014	89.08
"A15169535"	2015	89.169
"A08196446"	2016	90.147
"B28120012"	2013	90.435
"A08377046"	2016	90.656
"A07256100"	2017	92.302
"A08273898"	2015	92.856
"A48016877"	2016	93.604
"A96862933"	2017	94.457
"A78355278"	2008	94.8
"A07244023"	2016	95.431
"A20056248"	2016	96.079
"A29350139"	2011	96.184
"B03078391"	2015	97.24
"A38645214"	2012	97.813
"A48403927"	2016	97.842
"B28701340"	2016	98.17
"A33014176"	2008	98.605
"A35046572"	2008	98.611
"A08670929"	2017	99.501
"B28701340"	2013	99.524
"A28192532"	2015	99.678
"B03045507"	2016	100.618
"A28491041"	2016	100.852
"A20056248"	2015	101.278
"A80959612"	2016	101.99
"B63031660"	2011	102
"B43587120"	2014	102.374
"A35101732"	2015	102.827
"A63796395"	2013	103.139
"A15169535"	2014	103.22
"A08670929"	2016	103.312
"A45012226"	2015	103.945
"B30037204"	2008	104.23
"A35014414"	2016	104.253
"A63796395"	2016	105.066
"A28491041"	2015	105.132
"A30037873"	2017	105.213
"B38484796"	2008	105.721
"B81762684"	2007	106.02
"A53242152"	2012	106.362
"A48403927"	2015	106.511
"A96785225"	2007	107.93
"A08141038"	2008	108.051
"A96785225"	2010	108.156
"A15020795"	2015	108.157
"A83932475"	2016	108.54
"A96646880"	2017	108.653
"A07033491"	2017	109.375
"B04348579"	2008	110.274
"A33055138"	2010	110.732
"A36017598"	2010	110.762
"B30037204"	2007	111.3
"A28192532"	2007	112.234
"A07123441"	2010	113.006
"A28987196"	2013	113.075
"A35517671"	2007	114.104
"A07033491"	2015	114.431
"A35610666"	2011	115.365
"B60024353"	2015	116.117
"A29063567"	2013	117.136
"B03078391"	2013	117.915
"B61967774"	2011	117.948
"A48403927"	2017	118.403
"A12029468"	2016	118.562
"A96785225"	2011	119.967
"A29063567"	2012	120.971
"A28091262"	2014	121.147
"A96646880"	2016	121.313
"B31067697"	2011	121.579
"A20028676"	2016	122.855
"A35046572"	2010	124.249
"A35515485"	2015	124.591
"A48547558"	2007	124.77
"B07025315"	2010	125
"B83393223"	2017	125.244
"A57082570"	2017	126.52
"A07016025"	2016	126.534
"A07123441"	2015	126.553
"B03078391"	2012	126.759
"A07427081"	2017	126.807
"B81907776"	2009	127.258
"B78496759"	2008	128.958
"A28574044"	2017	129.366
"A96785225"	2009	129.44
"A38014098"	2009	130.888
"A07256100"	2012	130.894
"A96785225"	2014	131.66
"A07026701"	2015	131.971
"A35811272"	2012	135.716
"B12523601"	2010	135.963
"B43590272"	2015	136.042
"B43587120"	2017	136.197
"A07086515"	2011	136.273
"A80959612"	2017	136.43
"A08121089"	2016	136.604
"A82716010"	2017	136.862
"B07985609"	2016	137.142
"A96785225"	2012	137.58
"B03078391"	2010	138.115
"A96862933"	2010	138.932
"B03078391"	2011	140.127
"A46048732"	2016	140.487
"B08552614"	2014	140.799
"A78355278"	2012	140.812
"A96785225"	2013	141.559
"B61425682"	2012	141.855
"A38013272"	2010	142.024
"B28376184"	2008	142.647
"A17045972"	2017	142.989
"A07123441"	2014	143.602
"A81841850"	2016	143.662
"A46048732"	2017	143.779
"A12105029"	2008	143.78
"A48031140"	2015	144
"A50012822"	2017	144.83
"A08273898"	2007	144.91
"A07010937"	2016	144.924
"A29350139"	2012	145.371
"B30604565"	2010	145.793
"A07026701"	2016	145.794
"A96862933"	2011	145.943
"A96785225"	2015	146.491
"A17020645"	2016	146.905
"A38014098"	2010	148.045
"B31067697"	2014	148.702
"A96862933"	2014	148.924
"A46048732"	2011	149.069
"A40004731"	2007	149.189
"A40004731"	2010	149.266
"A25022369"	2012	149.776
"A96785225"	2016	149.825
"A07010937"	2017	150.282
"A96862933"	2015	150.356
"B03078391"	2009	150.465
"A35811272"	2017	151.498
"A17007014"	2014	152.394
"B30037204"	2015	152.56
"B03078391"	2008	152.568
"B03045507"	2015	152.859
"A28058725"	2016	153.168
"B41441387"	2015	153.437
"A07089592"	2014	153.474
"A08934168"	2010	154.081
"B39019468"	2015	154.422
"A41059445"	2017	155.103
"B58613076"	2017	155.398
"B12026183"	2017	156.09
"A31030901"	2011	159.147
"A96862933"	2009	161.185
"B12023065"	2013	161.266
"B39019468"	2017	161.984
"B78908605"	2008	162.52
"A07024896"	2015	163.433
"A96785225"	2008	163.63
"A57082570"	2016	163.655
"A96862933"	2012	164.297
"A96862933"	2016	164.932
"A81841850"	2009	165.818
"A48031140"	2016	167
"A08377046"	2017	168.691
"A28923662"	2015	169
"A07016025"	2015	169.435
"B43590272"	2017	169.646
"A96862933"	2013	169.758
"A28923662"	2016	170
"A07123441"	2011	170.632
"A07010937"	2015	170.662
"A08147555"	2007	171.286
"B04348579"	2017	171.614
"V83443390"	2017	172.264
"A35144989"	2007	172.302
"A38008256"	2008	172.424
"A33055138"	2016	172.492
"A08141038"	2009	172.608
"A08626939"	2015	172.775
"A07123441"	2008	172.777
"B41666728"	2007	172.959
"A81841850"	2010	173.068
"B50938489"	2014	173.151
"A81438145"	2009	175.732
"A53242152"	2009	175.931
"A85125078"	2015	177
"A48031140"	2017	177
"F10017804"	2013	179.502
"A28164374"	2017	180.521
"A28075968"	2014	180.586
"A97628242"	2013	181.67
"B97861843"	2015	182
"B84654201"	2015	182.786
"A35144989"	2010	183
"A48119143"	2017	184.506
"B12029153"	2013	184.759
"A38014098"	2012	185.104
"B43590272"	2016	185.695
"A08626939"	2016	186.246
"A17045972"	2016	186.729
"A07089592"	2016	186.878
"A12019840"	2017	188.301
"A96785225"	2017	188.357
"A97628242"	2015	190.3
"A08934168"	2016	190.37
"B61967774"	2016	191.336
"A34129635"	2016	191.989
"A17020645"	2017	192.302
"A81487027"	2017	192.602
"B07685779"	2007	193.088
"A07123441"	2012	193.378
"A81841850"	2011	193.587
"A28191088"	2017	194.282
"A35144989"	2008	194.481
"B31067697"	2016	194.621
"A81841850"	2015	195.006
"A46023255"	2016	195.649
"A28164374"	2016	195.858
"B41441387"	2017	196.55
"A26270322"	2008	196.831
"V57525560"	2016	196.923
"B07985609"	2015	197.052
"A07086515"	2016	197.269
"A15049281"	2016	197.351
"A48031140"	2014	197.865
"B03101748"	2010	198.163
"A46105532"	2008	198.165
"A38013272"	2009	198.583
"A46063731"	2008	198.619
"B03072493"	2015	198.725
"A08121089"	2015	198.989
"B81335473"	2010	199.67
"A22003537"	2016	200.182
"B28120012"	2008	202.258
"A35046572"	2009	202.622
"A81841850"	2013	203.396
"A07190309"	2016	203.917
"B30037204"	2012	203.95
"A07035934"	2016	204.376
"A46105532"	2007	205.422
"B85160976"	2014	205.666
"A29350139"	2010	205.893
"A46169082"	2015	206.437
"A29063567"	2014	206.495
"B30037204"	2017	207.641
"A38013272"	2013	207.827
"A28198661"	2017	208
"A28192532"	2010	208.001
"A26270322"	2014	208.414
"A28814135"	2009	208.733
"B28120012"	2014	209.185
"B03045507"	2013	209.197
"A33617218"	2010	209.447
"A48031140"	2013	209.637
"B07685779"	2017	210.005
"A38645214"	2009	211.019
"A01011881"	2016	211.362
"B14819643"	2017	211.454
"A33055138"	2007	212.093
"A46169082"	2014	212.409
"B12029153"	2007	213
"A07010937"	2013	213.105
"A07089592"	2017	213.168
"A38013272"	2014	214.332
"A85279107"	2016	214.6
"A20028676"	2012	214.953
"A46072823"	2017	215.432
"B43361724"	2016	215.556
"A29076270"	2017	216.078
"B03078391"	2016	216.887
"B43579424"	2016	217.038
"B08271694"	2017	217.271
"A81438145"	2010	217.298
"A79203568"	2015	217.628
"A20037933"	2017	218.014
"B50938489"	2013	218.21
"A20037933"	2016	218.433
"B31067697"	2010	218.441
"B08156036"	2016	218.485
"B03026382"	2017	219.505
"A08141038"	2010	220.475
"A35014075"	2017	221.11
"A08218133"	2017	221.497
"A38013272"	2016	221.874
"B12023065"	2014	221.959
"A46072823"	2012	222
"A82026840"	2017	222.109
"A17017005"	2008	223.55
"A50008390"	2016	223.603
"A96646880"	2013	223.669
"A08626939"	2007	224.089
"B12023065"	2016	224.175
"A38013272"	2017	224.846
"B81496515"	2011	225.013
"A28023422"	2008	225.878
"B28120012"	2010	227.359
"A30046379"	2011	227.523
"B03026382"	2011	227.74
"A32007817"	2016	228.473
"B81907776"	2007	228.716
"B50938489"	2017	228.846
"A28923662"	2017	229
"A48847321"	2017	229.284
"A35753094"	2015	231
"A08128910"	2008	231.51
"B97389209"	2012	231.693
"B22004113"	2017	231.882
"A28814135"	2010	231.883
"B31067697"	2015	232.193
"A09022963"	2014	232.447
"B23015753"	2015	232.46
"A63645220"	2015	232.55
"B08156036"	2017	232.64
"B07985609"	2014	233.648
"A33202474"	2010	234.48
"A08121089"	2017	235.334
"A29018249"	2014	235.658
"B43579424"	2010	236.034
"B96952635"	2016	236.498
"A28814135"	2008	237.46
"A28099356"	2015	237.9
"B03045507"	2012	237.911
"A81438145"	2017	238.667
"A14336143"	2015	239
"A82026840"	2012	239.43
"V61861548"	2013	240.096
"A38013272"	2015	240.875
"A83932475"	2017	240.893
"B27013556"	2008	240.931
"A30046379"	2009	241.354
"B23015753"	2014	241.635
"A17007014"	2010	241.899
"A83048363"	2008	242.586
"B41008970"	2016	242.646
"A29350139"	2013	242.841
"A01011881"	2017	242.873
"B41441387"	2014	243.092
"A34129635"	2017	244.065
"A83932475"	2015	244.215
"A57346926"	2015	244.489
"A35753094"	2014	245.46
"A46070777"	2015	245.711
"B07025315"	2012	246.29
"A08510364"	2017	246.708
"A28134534"	2007	247.274
"A35811272"	2016	247.475
"A28581247"	2017	247.917
"B17016254"	2013	248.675
"A80732142"	2010	248.851
"B83654426"	2017	248.904
"A11000288"	2017	248.983
"A46048732"	2009	249.136
"A48031140"	2011	249.262
"B31067697"	2008	249.412
"B28120012"	2007	249.87
"A78097656"	2007	250.466
"A07010937"	2012	250.848
"B43590272"	2014	251.128
"B03045507"	2017	251.641
"A82026840"	2016	252.599
"A85450476"	2017	253
"A11006095"	2015	253.098
"B28701340"	2017	253.166
"A07024896"	2014	254.552
"A23372832"	2012	254.954
"A35014414"	2017	255.012
"B11900602"	2017	255.07
"A33055138"	2017	256.069
"B97526008"	2013	256.447
"B81907776"	2008	256.938
"B18547281"	2012	257
"B03026382"	2015	257.569
"A38013272"	2011	257.877
"A35014414"	2014	258.282
"A31030901"	2014	259.663
"A29018249"	2017	260.663
"A81438145"	2011	260.892
"A29003423"	2017	262.365
"B97861843"	2016	263
"A50008390"	2017	264.202
"A17017005"	2015	265.714
"A07123441"	2009	265.947
"B03026382"	2012	266.778
"A35014075"	2016	267.663
"A15169535"	2017	267.814
"A35515485"	2014	268.211
"A28987196"	2017	268.266
"A38014098"	2007	270.516
"A97043772"	2016	270.742
"A33202474"	2017	271.512
"B60024353"	2016	271.611
"A08141038"	2011	272.235
"A08273898"	2011	273.015
"A48031140"	2012	273.797
"A23372832"	2013	274.524
"A35510650"	2010	275.581
"B84768761"	2015	275.915
"A08099897"	2013	276.259
"B20023982"	2010	276.903
"A03167939"	2008	277.151
"B27013382"	2017	277.641
"A35515485"	2016	277.842
"B20023982"	2007	278.402
"A33055138"	2014	278.872
"A30046379"	2008	279.36
"B43110113"	2009	279.536
"F10017804"	2014	280.177
"B18547281"	2011	281
"A38014098"	2013	281.054
"V61861548"	2015	281.21
"B12523601"	2009	281.687
"A28058725"	2015	282.291
"A38013272"	2008	282.521
"B28341832"	2012	282.606
"A28024172"	2016	284.825
"B50938489"	2016	285.499
"B84654201"	2016	286.316
"A08141038"	2012	286.348
"A82854811"	2015	286.643
"A82026840"	2015	286.796
"A34129635"	2007	287.19
"A31003247"	2008	287.31
"A97043772"	2017	288.538
"A07010937"	2007	288.542
"A29063567"	2011	289.494
"A07244023"	2014	289.961
"A14580385"	2011	289.962
"B96952635"	2017	291.015
"A08934168"	2015	291.105
"B61252185"	2016	291.435
"B03026382"	2016	291.607
"A28987196"	2016	292.473
"A25026139"	2015	292.656
"A28191088"	2016	294.199
"A23020043"	2017	295.331
"A41059445"	2013	295.43
"B92963628"	2016	295.506
"B07025315"	2009	296.37
"B46051116"	2011	296.6
"B43241769"	2017	296.911
"B39019468"	2016	297.169
"B43361724"	2017	297.411
"A38014098"	2015	297.862
"A17007014"	2012	297.979
"B03078391"	2017	298.196
"B17016254"	2017	298.23
"B07025315"	2013	298.252
"A08273898"	2014	298.312
"A28270452"	2014	299.022
"B43579424"	2017	301.324
"A08147555"	2008	301.537
"B12029153"	2012	301.82
"A41049503"	2009	301.889
"A29076270"	2013	302.617
"A07427081"	2015	302.659
"A57082570"	2015	302.669
"A46048732"	2010	302.989
"A81438145"	2015	302.991
"A46164034"	2017	303.3
"B38425070"	2017	303.657
"A28491041"	2017	303.866
"B07985609"	2017	305.2
"A08670929"	2011	305.381
"A08626939"	2010	306.156
"B60544046"	2017	306.258
"A07024896"	2016	306.979
"A11000288"	2016	307.992
"A28091262"	2008	308.016
"A79203568"	2016	308.256
"A81410227"	2007	308.51
"B61967774"	2017	308.811
"A38645214"	2010	309.107
"B30041115"	2007	309.189
"A29003423"	2008	309.236
"B07685779"	2010	309.317
"A84911825"	2015	309.545
"A45012226"	2010	309.624
"A34129635"	2015	309.965
"B27013556"	2009	309.999
"A38013272"	2012	310.112
"A28283067"	2007	310.13
"B07685779"	2016	311.171
"A28219541"	2013	311.203
"B07685779"	2012	311.468
"A07123441"	2013	311.719
"A08626939"	2011	311.917
"A33055138"	2015	312.207
"B31067697"	2017	312.698
"B20023982"	2016	312.971
"A35517671"	2008	313.664
"A07089592"	2007	313.672
"V04509865"	2015	314.709
"A17017005"	2007	315.5
"A82026840"	2009	315.62
"A36017598"	2008	315.754
"A08670929"	2013	316.379
"A46055992"	2017	317.377
"A34129635"	2013	318.106
"B17016254"	2016	318.838
"B61914883"	2007	318.928
"B50938489"	2015	319.496
"A15049281"	2014	319.602
"B30604565"	2011	319.657
"B03101748"	2008	321.094
"B28379386"	2015	321.615
"A08626939"	2014	321.824
"A29076270"	2015	322.224
"A17007014"	2011	322.697
"B20023982"	2012	324.195
"B18573931"	2013	324.671
"A41027723"	2012	324.946
"A07089592"	2013	325.004
"A28087583"	2017	325.819
"A81841850"	2017	326.031
"A40004731"	2015	326.404
"A36017598"	2015	326.407
"B35110410"	2008	326.43
"A01016591"	2017	326.603
"B20193017"	2008	326.83
"B12029153"	2011	326.856
"A08626939"	2013	326.947
"A33617218"	2014	327.118
"A78355278"	2010	327.239
"B58807645"	2017	327.764
"A82026840"	2013	327.896
"A30046320"	2017	328.064
"A31003247"	2009	329.663
"A08121089"	2014	329.824
"A81841850"	2007	330.001
"A34129635"	2014	330.843
"A29063567"	2010	332.179
"B78908605"	2015	332.303
"A08510364"	2016	332.581
"A28024172"	2010	332.607
"A81438145"	2016	333.206
"A30046320"	2016	333.703
"A14336143"	2017	334
"A08139339"	2017	334.841
"B38425070"	2016	335.659
"A41049503"	2017	335.782
"A30046379"	2010	336.054
"A17045972"	2014	336.146
"B03026382"	2008	336.182
"B30604565"	2007	336.592
"A28270452"	2015	336.727
"A09354176"	2011	337.394
"A28134534"	2008	337.7
"A46063731"	2016	337.942
"A30046320"	2013	338.159
"B08156036"	2014	338.342
"A45012226"	2012	339.095
"A47091632"	2012	339.384
"A37003050"	2014	339.507
"A03167939"	2016	340.72
"A41049503"	2010	340.728
"A08008583"	2017	342.835
"B12026183"	2012	342.94
"A41049503"	2016	343.034
"A46063731"	2009	343.421
"B28341832"	2017	343.623
"A31030901"	2013	343.802
"A08218133"	2016	344
"A28191088"	2015	344.797
"A18012930"	2015	345.102
"A07010937"	2008	346.232
"A28091262"	2007	346.304
"A17017005"	2009	346.467
"A08273898"	2013	346.555
"A09022963"	2010	346.929
"B78496759"	2015	347.917
"A46030680"	2016	348.372
"B28379386"	2017	348.397
"A28687978"	2016	348.402
"B08552614"	2017	348.781
"A28192532"	2009	348.941
"A01016591"	2015	348.966
"A36605772"	2015	349.656
"A35046572"	2012	349.729
"A46002697"	2017	350.163
"A08062846"	2017	350.307
"A50012822"	2014	352.011
"A29350139"	2017	352.738
"B21259726"	2017	352.995
"A31003247"	2010	353.078
"A29018249"	2016	353.084
"B21259726"	2010	354.022
"A08273898"	2010	354.148
"A46063731"	2014	354.565
"B20023982"	2011	354.905
"V61861548"	2016	355.332
"F43393065"	2016	355.716
"B07685779"	2015	356.813
"A97628242"	2014	356.865
"B18547281"	2013	358
"A34129635"	2012	358.222
"A08202582"	2009	358.508
"B17014887"	2016	358.514
"A32007817"	2015	359.099
"B07685779"	2008	359.444
"A28192532"	2017	359.592
"A28687978"	2013	360.282
"A41008301"	2008	361.177
"B28120012"	2011	361.943
"B08424855"	2015	361.944
"B41441387"	2013	362.147
"A29063567"	2007	362.246
"B46051116"	2012	362.749
"B12523601"	2011	362.769
"A26270322"	2013	363.122
"B08552614"	2016	363.221
"B41070020"	2016	363.787
"A82026840"	2014	365.88
"B30604565"	2009	366.349
"B60544046"	2013	366.977
"A15016595"	2016	367.006
"A48080147"	2009	367.425
"A46156048"	2011	367.607
"B36853935"	2016	367.885
"B43579424"	2015	367.896
"B04001848"	2017	368.63
"A08626939"	2017	368.689
"A38020525"	2017	368.995
"A28164374"	2011	369.334
"B17016254"	2011	370.222
"B47009626"	2017	370.777
"A18017228"	2016	370.914
"A29350139"	2014	371.151
"B16007551"	2013	371.299
"B36853935"	2017	371.632
"B23015753"	2016	371.816
"A08626939"	2008	372.349
"A08141038"	2013	372.92
"A12105029"	2014	373.143
"B41441387"	2016	373.422
"A28099356"	2013	373.519
"A41027723"	2014	373.678
"B83257295"	2015	373.911
"B83185140"	2016	375
"A25010430"	2017	375.107
"A28191088"	2014	375.35
"A23020043"	2016	375.563
"B28376184"	2007	376.209
"A29018249"	2015	376.428
"A28075968"	2010	376.559
"A43355403"	2007	376.605
"A17017005"	2014	377.025
"B03035854"	2007	378.813
"A28192532"	2011	379.25
"A50052489"	2008	379.412
"A58017187"	2010	379.953
"A23022874"	2007	379.968
"A08385395"	2012	380.205
"A31030901"	2016	381.578
"A36017598"	2016	381.93
"B21259726"	2014	382.032
"B08156036"	2011	382.211
"A97043772"	2015	382.26
"B28379386"	2013	382.391
"A80762602"	2017	382.391
"A97789861"	2014	382.665
"A35014075"	2015	383.683
"A81944324"	2007	384
"A45010543"	2017	384.011
"A46048732"	2012	385.68
"A07089592"	2009	385.802
"A12019840"	2016	386.304
"A07033491"	2011	386.769
"B38425070"	2015	386.797
"A07016025"	2009	386.803
"B01015221"	2010	388.41
"A35610666"	2012	389.014
"A08121089"	2013	390.02
"A01007137"	2015	390.022
"A33202474"	2015	390.258
"B17014887"	2017	390.301
"B20023982"	2008	390.777
"B07685779"	2011	391.076
"A80632573"	2008	391.708
"A12105029"	2017	392.2
"A48119143"	2015	392.559
"A26016865"	2015	392.712
"A41059445"	2010	393.49
"B57208878"	2010	393.668
"B28379386"	2012	394.195
"A78097656"	2010	394.322
"A53559530"	2009	395.078
"A07190309"	2011	395.566
"A48119143"	2014	395.604
"A08008583"	2015	396.032
"A80762602"	2009	396.41
"B07025315"	2015	396.63
"A50008390"	2015	397.049
"A46063731"	2007	397.906
"A38010997"	2016	398.06
"B38484796"	2009	398.595
"B28250090"	2017	399.819
"A03167939"	2009	400.217
"A07244023"	2008	401.2
"B30037204"	2014	401.57
"A40004731"	2009	401.987
"B61914883"	2016	403.094
"A41027723"	2011	403.336
"A07089592"	2011	403.586
"A46156048"	2010	403.867
"A08626939"	2009	403.877
"A41049503"	2015	403.959
"A84911825"	2017	404.746
"A08139339"	2012	405.046
"B03028784"	2014	405.08
"A78097656"	2008	405.697
"A40004731"	2016	405.809
"A38645214"	2013	407.076
"A29350139"	2015	407.197
"A78526811"	2012	407.313
"A58253816"	2016	409.26
"A33606682"	2017	409.573
"A28108447"	2008	409.958
"A28091262"	2015	410.456
"A28091262"	2011	410.741
"A41043159"	2017	411.142
"A12000071"	2008	411.26
"A11006095"	2009	411.912
"A28219541"	2014	411.919
"A28164374"	2013	412.098
"A31003247"	2012	412.848
"A81841850"	2014	412.877
"A41049503"	2014	413.031
"A31030901"	2010	413.297
"B08373250"	2007	413.38
"A46105532"	2017	414.037
"A78097656"	2012	414.47
"A30046320"	2014	414.641
"A46048732"	2015	415.115
"A31003247"	2007	415.2
"B46051116"	2014	415.346
"B62409065"	2008	415.429
"B03026382"	2013	415.745
"A28024172"	2007	415.999
"A08026627"	2011	416.127
"A38020905"	2017	416.401
"A07033491"	2016	416.971
"A35811272"	2015	417.278
"B60024353"	2017	417.35
"A80732142"	2012	417.534
"A08008583"	2014	417.698
"B43241769"	2009	418.039
"A29063567"	2008	418.685
"A31737455"	2011	418.788
"B41666728"	2009	418.852
"V61861548"	2017	419.958
"A08139339"	2008	420.214
"A79203568"	2017	421.044
"A15049281"	2017	421.521
"A36605772"	2016	421.657
"B45018017"	2016	421.747
"A33202474"	2013	421.954
"A30037873"	2016	422.126
"A29063567"	2015	422.166
"A28574044"	2016	422.231
"B58613076"	2015	423.384
"A36017598"	2017	423.406
"A15169535"	2009	423.525
"A28293884"	2008	423.873
"A82026840"	2011	424.205
"B28379386"	2016	425.822
"A28134534"	2009	425.876
"A28099356"	2016	426.596
"A07033491"	2013	426.639
"B41591165"	2017	426.656
"A61831681"	2014	428.191
"A33617218"	2008	428.404
"A46156048"	2012	429.681
"B03101748"	2009	429.743
"A08301475"	2008	430.672
"B12023065"	2017	430.754
"B83257295"	2016	431.061
"A33055138"	2008	431.728
"A08934168"	2009	432.819
"B03036712"	2016	434.243
"A08273898"	2009	434.892
"B20023982"	2017	435.647
"B83654426"	2014	435.996
"B03006681"	2016	436.714
"A07086515"	2012	437.345
"A96646880"	2007	437.404
