nif	year	bai
"A81410227"	2014	-5917.009
"A20020277"	2016	-5899.394
"C28863686"	2017	-5895.108
"B41591165"	2017	-5894.936
"A46134250"	2016	-5883.069
"A08194284"	2009	-5831.882
"B41088642"	2015	-5758.252
"B83325076"	2012	-5749.288
"B62850094"	2017	-5732.736
"A08131153"	2011	-5695
"B84654201"	2017	-5690.651
"A46269155"	2016	-5687.27
"A35735083"	2013	-5672.388
"A28352656"	2017	-5667.229
"A28547115"	2015	-5647.522
"A08384638"	2016	-5645.947
"A28211092"	2007	-5634.235
"A29003951"	2016	-5630.419
"A28422335"	2017	-5605.083
"A07052244"	2012	-5598.727
"B08912669"	2012	-5589.51
"B83481002"	2017	-5571
"B81762684"	2016	-5555.249
"A35610666"	2015	-5547.274
"A81410227"	2017	-5544
"A31037294"	2016	-5541.49
"A28435931"	2011	-5528
"B81335473"	2017	-5525.061
"B92963628"	2017	-5496.526
"A82854811"	2012	-5471.55
"A20031076"	2014	-5465
"A46056255"	2016	-5460.058
"A34009191"	2016	-5459.487
"A28011286"	2016	-5458
"B83814251"	2012	-5447.707
"A38473724"	2007	-5430.236
"A78389608"	2011	-5425.214
"B83211318"	2010	-5329
"A78343977"	2009	-5322.726
"A28011286"	2012	-5317
"A81933772"	2012	-5298.053
"A08148991"	2010	-5280.894
"B01292903"	2009	-5278
"A20012498"	2015	-5272.343
"B57175283"	2017	-5235.394
"A43020643"	2015	-5224.037
"B60338290"	2016	-5212.95
"B08194359"	2012	-5206
"A07256100"	2015	-5191.139
"A81593808"	2015	-5177.191
"A78526811"	2008	-5167.042
"A28110971"	2017	-5139.386
"B82424276"	2015	-5118.814
"B91235622"	2016	-5116.108
"B35110410"	2016	-5092.104
"A82854811"	2011	-5079.398
"A35610666"	2014	-5074.156
"A28190973"	2016	-5068.376
"V04509865"	2017	-5067.917
"A83048363"	2010	-5046.587
"A43035542"	2016	-5026.233
"B62173604"	2015	-5008
"V04509865"	2016	-4996.644
"A39000187"	2009	-4976.317
"A21006911"	2016	-4958.586
"A92030402"	2008	-4936.389
"B28341790"	2015	-4912
"B62173604"	2014	-4894
"A28341055"	2011	-4893.287
"A48114318"	2015	-4884.552
"V04509865"	2015	-4867.398
"A83048363"	2009	-4860.679
"B96952635"	2014	-4847.383
"B82612896"	2016	-4839.282
"A08509937"	2015	-4826.132
"A35753094"	2015	-4825
"A78389608"	2009	-4812.483
"A28025435"	2016	-4795
"B99029365"	2014	-4786.892
"A36006021"	2012	-4774.62
"A08148991"	2011	-4765.615
"A28025435"	2014	-4763.244
"A61713301"	2017	-4758
"A50057322"	2017	-4757.747
"B83603746"	2016	-4732.586
"B97389209"	2014	-4697.943
"A59067603"	2016	-4651.201
"A28306868"	2016	-4636.914
"A80245129"	2008	-4628.412
"A31009665"	2011	-4620.455
"A08132805"	2011	-4615.952
"A46023255"	2016	-4612.807
"A30022172"	2017	-4607.826
"A15012305"	2016	-4598.921
"A07256100"	2010	-4598.415
"B81335473"	2015	-4598.14
"A78389608"	2010	-4596.289
"B81335473"	2012	-4591.645
"B62173604"	2016	-4583
"A08116147"	2009	-4582
"B81762684"	2015	-4564.652
"A35517671"	2009	-4564.169
"A26270322"	2007	-4548.325
"A78389608"	2013	-4545.126
"A85125078"	2015	-4540
"B81335473"	2014	-4527.244
"A58816554"	2010	-4519.026
"B47011374"	2017	-4517.072
"A83741967"	2016	-4511.242
"A08131153"	2016	-4495
"B08912669"	2010	-4493.212
"A17018391"	2008	-4475.265
"A46075206"	2012	-4464.415
"A35610666"	2017	-4462.09
"A31737455"	2013	-4459.967
"A82405788"	2010	-4448.62
"A36632875"	2014	-4423.114
"A08132805"	2015	-4413.802
"A33615980"	2015	-4405.428
"A22174932"	2011	-4395
"B62850094"	2014	-4391.124
"B91235622"	2013	-4377.391
"A31737455"	2014	-4377.266
"B99029365"	2013	-4376.846
"A29003951"	2017	-4364.487
"A08274987"	2016	-4354.021
"A08146870"	2010	-4351.007
"A08093015"	2013	-4323.331
"A48031686"	2007	-4321.023
"A35610666"	2016	-4319.191
"A84911825"	2016	-4310.65
"A28295038"	2015	-4308.559
"A31737455"	2017	-4300.276
"B28250090"	2015	-4286.46
"B14484612"	2017	-4274.011
"B14008999"	2015	-4224.249
"A84911825"	2015	-4219.631
"B46124434"	2017	-4189.026
"B46151411"	2016	-4179.931
"A31737455"	2015	-4168.985
"A46077053"	2016	-4155.032
"B20023982"	2011	-4138.763
"A31737455"	2016	-4136.207
"B60171162"	2016	-4130
"A38017844"	2016	-4120.18
"B48124275"	2013	-4114.934
"B81335473"	2013	-4114.55
"B78459815"	2012	-4098.084
"B81335473"	2011	-4071.852
"B84598192"	2015	-4043.927
"A38013744"	2009	-4020.636
"B81335473"	2010	-4018.261
"B59886531"	2011	-4012
"B58222548"	2017	-4004.235
"A38232526"	2016	-4003.99
"A31737455"	2012	-3998.056
"A08157737"	2017	-3984.792
"A33117995"	2016	-3982.47
"B82612896"	2012	-3968.513
"B33876459"	2013	-3966.982
"B37014388"	2017	-3962.617
"A39000187"	2011	-3962.075
"A63796395"	2016	-3931.835
"B81335473"	2016	-3931.14
"B83325076"	2009	-3904.071
"A53817359"	2015	-3875.293
"A17011297"	2016	-3872.273
"A28407484"	2016	-3866.311
"A20779849"	2015	-3858.088
"B63100150"	2012	-3848.953
"A09092305"	2014	-3844
"B14484612"	2016	-3839.808
"B81762684"	2014	-3833.242
"B28102556"	2017	-3830.029
"A08296790"	2011	-3828.828
"A82335746"	2014	-3825.208
"B62916077"	2013	-3822.914
"A60045903"	2010	-3815
"A48114318"	2016	-3814.212
"A38473724"	2015	-3806.744
"A38017844"	2017	-3792.435
"A33013202"	2017	-3784.725
"A08304933"	2013	-3767.991
"A38473724"	2008	-3759.765
"A28080489"	2017	-3757.461
"A82405788"	2009	-3756.46
"A43015338"	2016	-3745.43
"A81933772"	2009	-3740.669
"A59067603"	2015	-3732.809
"B84537315"	2015	-3724.041
"A41043159"	2017	-3722.645
"A38645214"	2015	-3718.177
"A15007750"	2016	-3710.881
"B29006574"	2015	-3701.411
"A46007548"	2016	-3688.059
"A38003679"	2017	-3671.96
"B28934081"	2017	-3667.605
"A78389608"	2008	-3665.371
"B83826230"	2011	-3664
"A12512497"	2016	-3662.355
"A48175699"	2014	-3660.281
"B81335473"	2009	-3651.566
"A07059058"	2015	-3640.713
"A08146870"	2011	-3638.822
"A48025571"	2016	-3631
"B60653466"	2015	-3630.846
"A38014114"	2014	-3630.568
"A08157737"	2013	-3623.717
"A48031686"	2016	-3613
"B84598192"	2013	-3612.889
"B78459815"	2011	-3608.303
"A15024482"	2009	-3598.678
"B96324983"	2011	-3591.265
"A36006021"	2015	-3563.403
"A58393778"	2017	-3558.744
"A62977186"	2014	-3550.137
"B31694912"	2009	-3533.131
"B96952635"	2013	-3532.503
"A28046431"	2008	-3530
"A60362266"	2016	-3528.24
"A48226047"	2016	-3524.484
"A07905573"	2012	-3518.898
"B12536934"	2017	-3516.086
"A28827335"	2017	-3515.343
"A08304933"	2015	-3510.962
"A28011286"	2017	-3505
"B07883457"	2015	-3502.182
"A53559530"	2015	-3501.365
"B08243693"	2017	-3461
"B84372051"	2012	-3455
"A17003757"	2013	-3449.493
"B38004966"	2014	-3448.449
"B28250090"	2016	-3443.821
"B97751978"	2017	-3440.479
"B30566194"	2016	-3433.006
"A07061161"	2016	-3430.806
"B28222487"	2013	-3425.144
"A07256100"	2011	-3421.47
"A27014430"	2013	-3421.334
"B36008555"	2016	-3416.752
"B60420692"	2016	-3410.95
"A12018354"	2014	-3398.78
"A48547558"	2015	-3389.41
"B62916077"	2015	-3383
"B96952635"	2012	-3381.217
"A08384638"	2014	-3369.16
"A28428233"	2017	-3357.7
"B28255016"	2016	-3353.304
"A23022783"	2017	-3346.633
"A35610666"	2013	-3346.303
"A96966049"	2017	-3345
"A81933772"	2008	-3337.228
"B08243693"	2016	-3332
"A46007548"	2015	-3330.702
"A78389608"	2007	-3324.54
"A21006911"	2017	-3310.265
"B62173604"	2013	-3299
"B96952635"	2016	-3292.522
"A62520788"	2017	-3289.682
"A31037294"	2015	-3279.261
"A08576753"	2017	-3277.291
"A08393571"	2013	-3276.673
"A08132805"	2016	-3262.506
"B28118800"	2014	-3247.82
"A81047375"	2014	-3245
"A12524278"	2008	-3242.23
"A43019868"	2014	-3238.963
"A07059058"	2017	-3230.395
"A35753094"	2013	-3218
"A25022369"	2014	-3211.107
"A38003679"	2016	-3208.872
"A28011286"	2013	-3206
"A31037294"	2017	-3203.218
"B28118800"	2017	-3192.812
"A81933772"	2011	-3186.323
"A28428233"	2016	-3182.554
"B41008970"	2017	-3180.226
"A28359073"	2008	-3176.4
"B43241769"	2008	-3175.188
"A43019868"	2015	-3172.855
"B12006623"	2016	-3169.397
"A46036380"	2011	-3162.807
"A60362266"	2013	-3149.171
"B12541496"	2017	-3128.661
"A96966049"	2016	-3127
"A38473724"	2014	-3112.176
"A35517671"	2014	-3106.969
"B35031665"	2017	-3104.958
"A03063583"	2016	-3088.826
"A21391917"	2016	-3086.626
"A38645214"	2017	-3085.615
"A81593808"	2009	-3081.739
"A08296790"	2014	-3079.085
"A81933772"	2010	-3074.293
"A12018354"	2010	-3069.629
"B28138196"	2017	-3058.51
"A30023204"	2009	-3052.798
"A17475203"	2016	-3052.775
"B46140885"	2015	-3049.863
"B12536934"	2016	-3045.316
"A39000104"	2015	-3033.298
"A28025435"	2010	-3023.086
"B78496759"	2013	-3021.436
"A38014114"	2017	-3020.295
"B78459815"	2013	-3012.164
"B97389209"	2017	-3007.016
"A28011872"	2008	-3004.36
"B28148773"	2017	-2994.984
"A58346305"	2016	-2990.722
"B46039061"	2017	-2990.447
"G38004297"	2009	-2982.065
"A81410227"	2009	-2976.723
"A07905573"	2013	-2970.576
"B33876459"	2014	-2968.322
"B28341790"	2017	-2962.859
"B12015210"	2016	-2961.398
"A31009913"	2015	-2961.279
"A20020277"	2017	-2957.847
"A08766099"	2016	-2957.689
"A08332363"	2016	-2955.851
"B95087482"	2009	-2946
"A28080489"	2016	-2940.423
"A97789861"	2015	-2940
"A38020905"	2015	-2931.942
"B28270411"	2011	-2917.437
"A46014155"	2015	-2915.589
"A53817359"	2017	-2910.361
"B38425070"	2015	-2901.232
"A07905573"	2011	-2876.399
"A12014569"	2007	-2870.6
"A28245009"	2015	-2870.012
"A48093868"	2016	-2868.872
"A28814135"	2014	-2861.482
"B96952635"	2015	-2858.728
"A29003423"	2015	-2854.779
"A28329480"	2016	-2852.499
"B95388450"	2013	-2851
"B30566194"	2015	-2848.598
"A26270322"	2008	-2838.61
"B20078598"	2010	-2836.587
"B46124434"	2016	-2828.969
"B07883457"	2016	-2822.404
"B96952635"	2017	-2817.549
"A34009191"	2017	-2808.286
"A39000104"	2017	-2808.214
"A08128910"	2012	-2797.005
"A85279107"	2016	-2793.87
"A48175699"	2013	-2792.962
"A35098482"	2015	-2791.837
"A35753094"	2012	-2791.38
"A83741967"	2014	-2788.06
"A92030402"	2007	-2787.554
"B20070082"	2015	-2783.858
"B30009039"	2017	-2774.712
"B97389209"	2015	-2760.006
"A38473724"	2013	-2749.998
"A15020480"	2008	-2737.453
"A35517671"	2010	-2716.05
"A58346305"	2017	-2710.34
"A50018837"	2015	-2706.927
"A92030402"	2009	-2699.966
"A22013072"	2017	-2697.27
"A46070777"	2015	-2695.176
"A96918867"	2013	-2684.892
"B28193340"	2016	-2675.119
"A46038519"	2013	-2669.491
"B96952635"	2011	-2667.615
"A63736359"	2015	-2663.191
"A08679060"	2015	-2660.112
"A11609682"	2015	-2658.742
"A28547115"	2014	-2658.271
"A82405788"	2012	-2657.139
"A11000098"	2015	-2649.457
"A11010352"	2014	-2645.908
"A28396042"	2015	-2639
"B50031749"	2015	-2638.18
"A38020525"	2016	-2628.206
"A38371159"	2016	-2624.381
"A36611903"	2017	-2619.522
"A20017604"	2017	-2613.384
"A78100609"	2015	-2606.271
"B29006574"	2014	-2601.362
"B28084168"	2015	-2601
"A79049797"	2008	-2596.169
"A08181067"	2012	-2593.54
"A46002697"	2016	-2581.65
"A28827335"	2016	-2578.927
"B62409065"	2008	-2578.657
"A31737455"	2011	-2575.814
"B28127447"	2017	-2574.974
"A15052376"	2009	-2566.143
"A48037592"	2010	-2558
"A20017604"	2016	-2557.771
"B38366225"	2008	-2554.519
"A28292084"	2017	-2552.482
"A08126492"	2016	-2551.829
"A45017241"	2017	-2551.676
"B07029465"	2014	-2542.761
"A11256104"	2016	-2540.369
"B28193340"	2017	-2536.917
"A60362266"	2012	-2533.941
"A08159816"	2017	-2533.329
"A48002984"	2017	-2529.728
"B28934081"	2010	-2527.888
"A38020525"	2017	-2522.344
"A17011297"	2015	-2520.394
"A60045903"	2014	-2509
"A41191313"	2016	-2507.733
"B84309616"	2014	-2494.618
"B78496759"	2014	-2493.121
"B35110410"	2011	-2492.515
"A08093015"	2015	-2491.719
"A78526811"	2009	-2485.893
"B35110410"	2012	-2484.076
"A08703803"	2016	-2484.068
"A13001730"	2010	-2481.494
"A01002864"	2016	-2479.891
"A33560772"	2015	-2464.625
"B96324983"	2016	-2461.944
"A43030626"	2016	-2454
"A60045903"	2016	-2453
"B12291167"	2016	-2436.792
"A43035542"	2017	-2434.122
"B28934081"	2015	-2433.281
"B28934081"	2016	-2431.946
"A07256100"	2009	-2423.485
"A34009191"	2015	-2419.49
"B12006623"	2017	-2415.354
"A12010948"	2015	-2409.264
"A38020525"	2015	-2408.263
"A02003754"	2017	-2407.026
"A28080489"	2011	-2406.608
"A50057322"	2015	-2397.56
"B58075136"	2012	-2395.231
"A31001027"	2011	-2388.604
"A43030626"	2017	-2387
"A28013894"	2014	-2386.155
"A48175699"	2015	-2385.728
"A08094435"	2016	-2381.812
"A47000641"	2015	-2377.916
"A50043298"	2014	-2372.34
"B38366225"	2011	-2369.691
"A08250425"	2010	-2368.278
"A97617773"	2015	-2364.864
"A33202474"	2017	-2362.981
"B36853935"	2017	-2359.831
"B46045993"	2016	-2359.54
"A14018634"	2017	-2358.929
"B78459815"	2008	-2355.118
"B41008970"	2016	-2349.781
"B63533095"	2013	-2347.702
"A41010521"	2017	-2337.742
"B91235622"	2012	-2337.177
"A17013913"	2015	-2334.304
"A08026197"	2016	-2329
"A08131153"	2007	-2328.89
"A46003265"	2009	-2326.186
"A21391917"	2013	-2315.974
"A58415779"	2007	-2312.57
"A15024482"	2010	-2312.224
"A28132959"	2015	-2311.81
"A28294718"	2013	-2311
"A09092305"	2017	-2307.436
"A63746275"	2015	-2304.204
"A28518090"	2016	-2300.469
"A28013894"	2015	-2292.813
"A35517671"	2013	-2290.584
"A12023693"	2015	-2287.117
"B35110410"	2014	-2282.715
"A28133023"	2016	-2280.897
"A06388052"	2013	-2279.077
"A23016157"	2017	-2278.246
"B35110410"	2013	-2274.878
"A28295038"	2009	-2273.577
"B28126019"	2016	-2269.819
"A24019499"	2017	-2268.388
"A35517671"	2015	-2259.771
"B38238788"	2015	-2256.659
"A83048363"	2011	-2250.171
"A96918867"	2009	-2250.042
"B95087482"	2014	-2250
"B38028692"	2015	-2243.059
"A12029039"	2016	-2241.243
"A17475203"	2015	-2235.437
"A19012962"	2015	-2231.244
"A48114318"	2014	-2229.854
"B78459815"	2007	-2229.44
"A08026197"	2017	-2218
"A29018207"	2013	-2217.396
"A09018862"	2011	-2214.986
"A14000533"	2017	-2214.332
"V30405880"	2012	-2214.164
"A84434224"	2013	-2208
"B91372748"	2016	-2205.656
"B38366225"	2009	-2204.789
"B96324983"	2015	-2204.41
"A08105256"	2017	-2198.89
"A38371159"	2017	-2197.608
"B28118800"	2016	-2195.127
"A38013744"	2010	-2195.021
"A08304933"	2012	-2182.609
"A48114318"	2013	-2174.486
"A20034286"	2015	-2172.808
"B82612904"	2017	-2172.723
"A80200868"	2016	-2170.156
"B03032620"	2015	-2163.934
"A08132805"	2017	-2159.462
"A17003757"	2015	-2154.141
"A30033898"	2015	-2151.96
"B46163655"	2015	-2150.787
"A29507456"	2017	-2149.511
"A28011286"	2011	-2146
"A28407484"	2010	-2134.259
"B78496759"	2012	-2128.161
"B84598192"	2014	-2125.933
"B38366225"	2010	-2125.265
"A03012614"	2016	-2124.222
"B50561968"	2007	-2121.307
"A28080489"	2013	-2120.727
"A46075206"	2011	-2118.126
"A27014430"	2012	-2117.152
"B18551226"	2017	-2108.559
"A46069456"	2016	-2105.349
"A58816554"	2012	-2102.561
"B96199807"	2007	-2101.82
"A03036373"	2015	-2101.393
"B41217761"	2016	-2096.827
"A58816554"	2016	-2091.51
"A60362266"	2014	-2091.298
"A08181067"	2015	-2089.829
"A36006021"	2011	-2084.361
"A46036380"	2008	-2082.701
"A08679060"	2017	-2079.753
"B08243693"	2015	-2079
"B48969885"	2010	-2077.509
"A38473724"	2011	-2076.831
"B82175001"	2015	-2074.722
"A08094435"	2011	-2073.26
"A28080489"	2012	-2072.654
"A11000098"	2017	-2066.313
"A38473724"	2010	-2059.743
"A33055138"	2011	-2059.594
"B60552619"	2015	-2054.825
"B28126019"	2017	-2051.366
"B81335473"	2008	-2050.992
"A46007548"	2017	-2048.644
"A28025435"	2013	-2042.948
"A62520788"	2016	-2041.206
"A35517671"	2011	-2040.103
"A46015830"	2012	-2039.093
"A08276438"	2016	-2038.27
"A14018634"	2016	-2036.864
"B20049615"	2013	-2032.561
"A38473724"	2012	-2026.309
"A07905573"	2010	-2020.723
"B41008970"	2015	-2019.402
"A08609281"	2015	-2017.918
"B83211318"	2009	-2017
"B12291167"	2015	-2016.698
"B28934081"	2011	-2014.702
"A03012614"	2013	-2011.703
"A38027637"	2017	-2010.157
"A07905573"	2016	-2009.432
"B62850094"	2013	-1990.03
"A18012930"	2016	-1984.93
"A41277336"	2016	-1983.791
"A39017058"	2017	-1981.369
"A33615980"	2016	-1979.42
"A35012012"	2013	-1977.056
"A20012498"	2017	-1976.351
"A07905573"	2017	-1975.617
"B43491356"	2015	-1972.956
"A14015101"	2014	-1971.701
"B38484796"	2010	-1971.499
"A31003304"	2013	-1969.595
"A29350139"	2017	-1965.537
"B21376942"	2017	-1965.005
"B38366225"	2012	-1963.855
"A81593808"	2008	-1958.435
"A48093868"	2012	-1953.649
"A36621522"	2015	-1950.358
"B58075136"	2017	-1941.69
"B47011374"	2016	-1941.341
"A63746275"	2016	-1937.29
"B83257295"	2015	-1932.596
"A78526811"	2016	-1932.101
"A41087404"	2016	-1930.948
"A50052489"	2015	-1927.314
"A45017241"	2015	-1917.849
"B43241769"	2017	-1916.114
"B84598192"	2016	-1915.258
"A97617773"	2014	-1914.025
"A81410227"	2016	-1914
"A15000391"	2017	-1905.876
"A79049797"	2015	-1897.357
"B91372748"	2017	-1895.947
"B39019468"	2012	-1894.258
"B60171162"	2017	-1893
"B62263272"	2009	-1887.41
"B28084168"	2016	-1886
"B62173604"	2010	-1884
"B96683347"	2016	-1882.392
"B84309616"	2012	-1882.174
"A12006227"	2016	-1881.905
"A59202853"	2015	-1876.568
"A08198392"	2016	-1873.917
"A35510650"	2012	-1872.822
"A28091262"	2011	-1871.335
"B28307536"	2017	-1869.995
"A08181067"	2014	-1869.817
"A08189359"	2017	-1865.294
"B08156127"	2008	-1864.99
"A18012930"	2015	-1861.577
