nif	year	tesoreria
"B82432725"	2013	14.095
"B08216202"	2010	14.174
"A45002839"	2009	14.244
"A28255784"	2015	14.255
"A15016595"	2011	14.312
"B79033700"	2017	14.321
"B41441387"	2012	14.396
"B28249431"	2010	14.4
"A42000901"	2008	14.451
"A48802854"	2013	14.452
"A20032264"	2008	14.465
"A07123441"	2013	14.494
"A07123441"	2011	14.56
"B62785357"	2012	14.568
"A09354176"	2011	14.576
"A82198847"	2016	14.579
"B11415387"	2016	14.605
"B41217761"	2009	14.626
"B81907776"	2007	14.642
"A61557641"	2012	14.652
"A43010974"	2013	14.664
"A39007943"	2017	14.685
"A07086515"	2012	14.701
"A41006891"	2015	14.703
"B25006222"	2007	14.71
"A78097656"	2016	14.715
"A35045681"	2016	14.738
"A28486090"	2014	14.748
"B08216202"	2009	14.758
"B12291167"	2015	14.769
"A24004103"	2007	14.806
"A08433260"	2017	14.81
"A26004978"	2007	14.813
"A57082570"	2015	14.866
"A08228520"	2014	14.916
"A08194946"	2013	14.92
"A12029039"	2009	14.921
"A13008461"	2011	14.935
"B50023142"	2015	14.952
"B28341790"	2014	15
"A08388811"	2012	15
"B63149637"	2015	15
"B36007904"	2017	15.007
"A20039426"	2015	15.036
"B23015753"	2013	15.047
"A38473724"	2015	15.065
"A30017883"	2014	15.111
"A08294787"	2013	15.123
"A28143782"	2007	15.16
"B62111018"	2017	15.192
"B41094459"	2009	15.223
"A12012340"	2015	15.24
"A46070777"	2015	15.283
"A07068430"	2010	15.284
"A17005968"	2017	15.345
"A46014650"	2010	15.414
