nif	year	ffpp
"B43587120"	2007	-80.31
"A30038020"	2016	-78.229
"B79863288"	2017	-64.1
"V61861548"	2012	-63.478
"B42141176"	2010	-59.759
"A59067603"	2017	-55.258
"A38485827"	2007	-43.42
"B32362410"	2014	-24.974
"V61861548"	2013	-22.072
"A97043772"	2008	-17.631
"A50615160"	2008	-8.45
"B12457230"	2010	-3.473
"A25008046"	2007	-.09
"B61395497"	2015	1.904
"B48948830"	2009	3.005
"B48948830"	2010	3.005
"B48948830"	2011	3.005
"B81496515"	2014	5.122
"A28295038"	2009	6.43
"V43661891"	2015	10
"V12465118"	2013	13.07
"F50561091"	2007	13.69
"F50561091"	2008	16.102
"A26297663"	2007	17.365
"V82171133"	2013	17.55
"V82171133"	2011	17.55
"V82171133"	2014	17.55
"V82171133"	2012	17.55
"F50561091"	2009	17.564
"F50561091"	2010	19.115
"V82171133"	2016	20.647
"V82171133"	2017	20.647
"V82171133"	2015	20.667
"F50561091"	2011	20.865
"F50561091"	2012	21.918
"F50561091"	2013	22.509
"B83782169"	2011	23.243
"V82171133"	2007	24.04
"A12021366"	2015	25.074
"A26297663"	2008	27.744
"A45562329"	2011	31.64
"B81248361"	2011	33.311
"B02419273"	2015	35.361
"B82612904"	2007	35.78
"A50615160"	2007	37.835
"B28138196"	2016	38.713
"A22009690"	2015	40.095
"A61713301"	2010	41
"B15596331"	2007	41.22
"A06023477"	2016	41.446
"V12465118"	2015	45.714
"A12021267"	2016	47.092
"A38371159"	2016	47.166
"B37033487"	2013	47.519
"A74136060"	2013	50.324
"A01007442"	2011	52.39
"B84894377"	2015	53.247
"V30558738"	2014	56.434
"V30558738"	2013	56.878
"A04413340"	2009	60.2
"A30038020"	2015	67.043
"A82854811"	2008	68.709
"A26297663"	2009	72.025
"A07009814"	2012	73.811
"F30587919"	2010	75.895
"B43491356"	2015	78.274
"B81248361"	2015	78.825
"F30587919"	2011	86.73
"B79863288"	2015	89.369
"V28961811"	2017	90.152
"A62400718"	2015	91.054
"B32362410"	2015	92.817
"B06368674"	2012	97.551
"F30587919"	2012	100.056
"A28080489"	2011	107.635
"A12025565"	2016	108.735
"F30587919"	2013	112.42
"B08912669"	2011	114.762
"V83443390"	2016	118
"V83443390"	2017	118
"V83443390"	2014	118
"A25008046"	2008	120.4
"F50561091"	2017	122.291
"B06368674"	2013	128.038
"B30516645"	2011	130.187
"B83782169"	2013	131.737
"B83782169"	2012	131.737
"B61395497"	2008	132.339
"B06368674"	2014	134.959
"B30032445"	2011	136.544
"A29015849"	2017	141.657
"B28148773"	2017	145.365
"A17018391"	2011	146.479
"B61882551"	2010	148.352
"F50561091"	2016	154.891
"A82405788"	2011	155.97
"A13001730"	2009	157.006
"B06422877"	2012	158.909
"A08541021"	2016	160.24
"B79863288"	2016	166.03
"B11469491"	2008	167.246
"B31784895"	2010	169.263
"B79863288"	2008	171.215
"A39022660"	2007	171.911
"A47008487"	2007	173.331
"B08912669"	2015	174
"A08255374"	2012	175.66
"B28701340"	2013	179.956
"B06422877"	2013	180.016
"B30558290"	2007	180.516
"B84886837"	2017	181.427
"B84886837"	2015	181.427
"B84886837"	2016	181.427
"B08125940"	2008	181.53
"A83150060"	2010	182
"V61861548"	2016	182.434
"B64555980"	2017	183.526
"A08528648"	2013	183.803
"A47008487"	2009	184.041
"F50561091"	2015	189.425
"B61425682"	2010	193.211
"A46002697"	2017	193.731
"B84886837"	2014	195.453
"B84348622"	2013	199.437
"B84348622"	2015	200
"B84348622"	2014	200
"B84348622"	2016	200
"B84348622"	2017	200
"A81933772"	2014	203.141
"A17447061"	2013	204.047
"B92554765"	2015	205.185
"B15596331"	2008	208.042
"B79863288"	2011	211.79
"A39022660"	2008	213.774
"B64055445"	2013	220
"B79863288"	2009	222.814
"F50561091"	2014	224.064
"B79863288"	2010	228.594
"A81933772"	2013	232.943
"A46035770"	2008	234.148
"A50615160"	2009	237.689
"A84434224"	2012	240
"A39022660"	2009	242.559
"A11000098"	2016	242.695
"A15024482"	2014	244.804
"A03011392"	2017	246.169
"B79863288"	2012	247.511
"B30558290"	2013	247.818
"B79863288"	2014	250.923
"A63746275"	2012	257.327
"B79863288"	2013	259.561
"A22007314"	2009	261.14
"A21144498"	2011	265.345
"B08581951"	2014	266.295
"A17018391"	2010	278.968
"A83150060"	2009	281
"B21365630"	2015	285.807
"A63746275"	2013	286.056
"B60653466"	2008	286.406
"A61713301"	2009	287
"B03094455"	2017	289.06
"A80904576"	2013	303.827
"A61713301"	2008	305
"A34129635"	2015	305.127
"B48969877"	2008	305.436
"B30558290"	2008	308.775
"A30036214"	2012	310.279
"A15020480"	2008	310.762
"A62400718"	2008	314.242
"B11050176"	2008	316.17
"V61861548"	2017	318.264
"B82207275"	2011	321
"B03032620"	2016	321.166
"V61861548"	2015	322.535
"A26297663"	2010	323.369
"A46035770"	2009	324.86
"B46043238"	2008	327.311
"A62704457"	2012	331.201
"A33034836"	2014	332.122
"A08120859"	2010	333.533
"B06320410"	2008	335.572
"A50335918"	2014	336.666
"A21391917"	2012	337.078
"B83782169"	2017	340.748
"A01007442"	2010	346.863
"A28668580"	2013	347.937
"A28668580"	2014	361.651
"A11010469"	2014	362.913
"A12021267"	2017	363.166
"A26297663"	2011	363.486
"A32226037"	2008	363.661
"A63746275"	2014	364.578
"A36615474"	2017	365.323
"A21144498"	2015	367.24
"B30029110"	2008	367.953
"A30036214"	2013	368.665
"A23008857"	2014	369.54
"A81933772"	2015	372.082
"A08255374"	2013	372.435
"A46035770"	2010	375.903
"A32226037"	2009	376.538
"A23372832"	2012	380.541
"A28612208"	2010	384.69
"B79945150"	2009	386.679
"B30566194"	2009	387.613
"A41006891"	2015	388.079
"B83782169"	2016	388.233
"B28670602"	2013	389.708
"A21144498"	2016	389.915
"B08465601"	2013	391.503
"A08609281"	2015	392.595
"A61587358"	2009	394.039
"A81438145"	2011	398.408
"B28499218"	2009	400.068
"A81408817"	2007	401.75
"B50776657"	2015	402.888
"A50013671"	2016	403.49
"A81408817"	2008	410.04
"A26297663"	2012	412.427
"A41098237"	2009	414.028
"A21144498"	2017	415.225
"A45562329"	2012	415.549
"A81438145"	2010	415.881
"A38371159"	2014	415.92
"A48175699"	2015	417.549
"A81408817"	2009	420.785
"A78020732"	2013	423.017
"A33615923"	2015	425.209
"A21391917"	2016	430.638
"B57175283"	2011	430.769
"A28612208"	2011	431.015
"B41086844"	2011	435.445
"B28499218"	2010	435.984
"B74148388"	2013	436.9
"A22007314"	2011	442.803
"A81408817"	2010	442.838
"A08723926"	2008	443.577
"A18012807"	2010	450.383
"A32226037"	2010	451.773
"A84430107"	2012	452.7
"A33373622"	2015	454.834
"A06023477"	2014	456.589
"B11050176"	2007	458.44
"A84430107"	2015	458.829
"A62400718"	2009	462.172
"A26297663"	2013	462.979
"B30029110"	2009	465.236
"A08304933"	2015	466.766
"B48033278"	2017	469.333
"A50013671"	2017	469.651
"A23008857"	2009	469.958
"A50017334"	2012	470.601
"A47008487"	2008	471.956
"A96560560"	2014	472.054
"B28701340"	2014	473.101
"A96560560"	2015	474.794
"A01161066"	2008	475.258
"B62133384"	2009	476.358
"B62785357"	2012	476.727
"A41037672"	2009	477.945
"A48029847"	2014	485.903
"B28115533"	2012	486.951
"B30721237"	2008	487.368
"A15072622"	2007	487.421
"A23372832"	2013	487.714
"A28571750"	2007	488.161
"B84537315"	2015	488.702
"B82175001"	2017	488.728
"A22009690"	2016	490.004
"A10301240"	2013	490.469
"A81261430"	2011	490.675
"A01007442"	2012	491.385
"A01292846"	2016	492.869
"A81438145"	2009	493.147
"B83782169"	2015	495.066
"A41098237"	2010	496.494
"A79259388"	2008	496.588
"A46035770"	2011	499.677
"B84311760"	2013	500.586
"B30721237"	2009	501.541
"A30018345"	2017	501.96
"B43952126"	2015	502.459
"B18018176"	2009	504.58
"A08528648"	2011	506.216
"A48029847"	2015	507.021
"A01007442"	2007	507.313
"A27003243"	2013	508.318
"A23022874"	2015	509.096
"B30516645"	2007	510.318
"A32226037"	2011	515.924
"A41098237"	2007	516.862
"B18018176"	2007	518.489
"A47000641"	2017	519.288
"B80397409"	2013	520.055
"A26297663"	2014	521.132
"A08158172"	2015	523.128
"A73093734"	2017	523.529
"A28715183"	2017	524.948
"A36010676"	2008	525.133
"B38366225"	2007	527.627
"B18018176"	2013	529.465
"B30516645"	2012	530.332
"B28670602"	2014	530.771
"A28080489"	2010	531.075
"A01007442"	2008	536.072
"B35597020"	2011	536.941
"A01161066"	2009	539.074
"A46056255"	2016	540.457
"A01007442"	2009	540.553
"A08689796"	2008	541.75
"A83826362"	2017	544.016
"B30029110"	2010	545.792
"B04028734"	2009	548.329
"A01292846"	2010	549.168
"A46075206"	2012	549.466
"A74255282"	2017	549.943
"A32226037"	2012	550.491
"B30010326"	2012	550.934
"A28698884"	2007	552.009
"B39026265"	2015	552.629
"A28571750"	2014	555.023
"B30516645"	2008	555.424
"B11469491"	2009	558.471
"A08158172"	2014	562.947
"B63218440"	2013	565.217
"B06422877"	2014	566.028
"B06422877"	2015	567.642
"A01292846"	2011	568.279
"B31694912"	2011	571.91
"A15072622"	2008	572.59
"A79259339"	2007	572.73
"A28698884"	2008	573.408
"B80397409"	2012	574.541
"A41098237"	2008	575.457
"A28698884"	2009	579.646
"A28612620"	2008	579.732
"B09417932"	2012	582.968
"B38238788"	2009	584.37
"A81438145"	2008	584.386
"B61395497"	2012	584.632
"A46406930"	2010	587.69
"A41037672"	2010	588.964
"B41086844"	2012	590.097
"A08158172"	2016	590.329
"B30721237"	2010	590.514
"B30516645"	2009	591.662
"B04028734"	2011	591.831
"A27003243"	2014	595.182
"A12025565"	2017	598.963
"B08465601"	2014	599.414
"A82307117"	2007	600
"A45020450"	2007	600.332
"B45020351"	2007	602.235
"A08541021"	2009	604.483
"A47000641"	2016	604.506
"A11256104"	2015	604.998
"A27003243"	2015	605.028
"A84430107"	2016	605.534
"F06139109"	2008	605.577
"B07025315"	2016	606.679
"B80397409"	2014	606.709
"B30516645"	2013	608.209
"A08132565"	2015	610.416
"B15015274"	2008	613.535
"A01161066"	2010	613.914
"B30516645"	2010	614.653
"B97751978"	2014	616.785
"B85010643"	2016	616.828
"A23008857"	2010	618.895
"B06013841"	2010	622.046
"A15024482"	2012	622.862
"A28571750"	2008	624.364
"A08509788"	2015	625.2
"A04017497"	2007	626.298
"A81933772"	2016	627.995
"B45493707"	2010	629.194
"A08723926"	2009	629.899
"A45020450"	2008	630.892
"B28934081"	2017	631.043
"B85036887"	2014	631.825
"B30516645"	2014	636.268
"B84311760"	2012	636.331
"B60241437"	2007	637.405
"B20078598"	2012	637.68
"A28612620"	2009	638.295
"B28499218"	2011	639.103
"F06139109"	2009	639.565
"B41088642"	2009	640.83
"A24020562"	2008	641.271
"A28612620"	2010	643.294
"B46160842"	2008	644.778
"A30032130"	2009	645.164
"A83401273"	2012	648.933
"A23022874"	2016	649.861
"B33030305"	2013	651.866
"A50017334"	2014	652.847
"A41037672"	2011	654.349
"A47013180"	2009	655.127
"B79945150"	2011	656.934
"A80904576"	2016	657.163
"A17006479"	2012	657.653
"A06419220"	2012	658.708
"A08689796"	2009	659.014
"B30721237"	2012	661.061
"A46035770"	2012	661.873
"A84430107"	2017	661.875
"B25436122"	2009	664.88
"B30516645"	2015	665.951
"B85036887"	2015	667.432
"B41088642"	2010	669.747
"B47506811"	2014	669.896
"B31694912"	2010	671.721
"A01161066"	2011	672.417
"A08158172"	2017	673.167
"A08541021"	2010	675.216
"A48071369"	2014	676.609
"B61425682"	2011	677.716
"B07025315"	2014	678.843
"A32226037"	2013	679.49
"A28615581"	2007	681.99
"F06139109"	2010	682.782
"A28651222"	2008	684.209
"A19012962"	2016	684.254
"B30721237"	2013	685.196
"B63458004"	2013	687.234
"B45020351"	2008	689.777
"A82494931"	2011	690.704
"B41088642"	2011	693.186
"B83045674"	2009	693.699
"B83654426"	2015	695.917
"A28612620"	2012	697.226
"A20779849"	2012	698.348
"B28670602"	2015	698.623
"A62400718"	2010	698.704
"B95422721"	2016	699.864
"A28612620"	2011	700.095
"B61882551"	2009	700.738
"A84534627"	2014	700.839
"A45020450"	2009	701.267
"A28321313"	2007	702.139
"A15024482"	2013	702.771
"A46002697"	2016	703.733
"B07685779"	2014	704.267
"A09021833"	2017	705.994
"B47531462"	2013	708.066
"A15072622"	2009	711.647
"B31694912"	2012	713.11
"B48969885"	2008	713.125
"A83826362"	2012	714.05
"B39019468"	2017	716.167
"B59737882"	2011	718.351
"A46035770"	2013	721.259
"A28091262"	2011	721.795
"B41088642"	2012	722.476
"B29053808"	2012	723.019
"F06305007"	2017	723.147
"A96918867"	2009	723.695
"B12015210"	2017	724.195
"B95422721"	2017	724.629
"A08093254"	2016	725.26
"A42003368"	2013	726.062
"A48071369"	2013	726.611
"A74255282"	2016	727.978
"A33615923"	2010	728.854
"B83045674"	2010	730.691
"A61587358"	2012	731.361
"A08541021"	2011	733.308
"A48080881"	2007	736.928
"A10301240"	2012	737.304
"B60031150"	2012	739.476
"B07025315"	2017	739.839
"A84534627"	2013	744.05
"A48093868"	2014	744.619
"B83045674"	2011	744.826
"B08988149"	2007	745.393
"B60031150"	2013	745.653
"B28455574"	2013	745.937
"A08132805"	2013	745.939
"A28341055"	2011	746.722
"B79945150"	2012	746.905
"A45020450"	2010	746.909
"B09417932"	2013	747.241
"A08689796"	2010	747.259
"B38238788"	2014	749.726
"V28664472"	2017	749.952
"A62400718"	2012	749.988
"B80146517"	2010	751
"B47506811"	2013	751.047
"A28195147"	2013	751.571
"B41088642"	2013	751.804
"A31180060"	2012	752.441
"B28126019"	2017	752.469
"B60031150"	2014	752.515
"A31180060"	2013	753.311
"B47506811"	2015	753.67
"A33034836"	2015	754.056
"A08511453"	2015	754.336
"B33030305"	2014	754.362
"B83045674"	2012	755.14
"A27003243"	2009	758.584
"B60338290"	2017	759.177
"B11469491"	2012	762.886
"A41037672"	2012	764.451
"B45020351"	2009	764.843
"A29050572"	2009	767.515
"A30032130"	2010	767.846
"A48840359"	2015	768
"A08679060"	2016	771.02
"A28511004"	2010	771.998
"B38366225"	2008	772.622
"B41088642"	2014	772.966
"A31180060"	2014	773.178
"A96966049"	2009	774
"B81303232"	2014	774.959
"A59954487"	2009	774.998
"A31180060"	2015	775.502
"B46020541"	2008	777.839
"A30046379"	2010	778.203
"A01161066"	2012	778.379
"B42141176"	2011	778.484
"B61395497"	2013	779.989
"A33615923"	2014	781.71
"A28392736"	2012	782.084
"A42003368"	2014	782.75
"A48840359"	2016	783
"A28571750"	2009	783.631
"A06007637"	2014	785.945
"B83045674"	2013	786.526
"A18012807"	2013	786.63
"B33920141"	2015	786.776
"A36561595"	2015	787.748
"A26270322"	2009	788.138
"A28195147"	2012	788.582
"A23022874"	2007	788.82
"B35054006"	2011	788.84
"B12026183"	2012	789.721
"B11469491"	2011	789.791
"B43952126"	2016	789.793
"A08098949"	2012	790.451
"A28321313"	2010	790.563
"B60031150"	2016	792.981
"B60031150"	2017	793.748
"B08156127"	2008	794.247
"B08988149"	2008	795.115
"B11469491"	2010	795.229
"A36010676"	2007	796.172
"A31180060"	2017	796.453
"A45020450"	2011	797.569
"A28510246"	2015	800.886
"A08541021"	2012	801.041
"A30046379"	2008	801.649
"B07685779"	2013	801.65
"F06139109"	2011	801.91
"B03068145"	2010	801.95
"B85225282"	2015	802.745
"A01292846"	2009	802.964
"B17616814"	2013	804.662
"B31694912"	2009	805.027
"A28580520"	2015	805.451
"A81438145"	2007	806.165
"A29051067"	2009	806.55
"B06013841"	2011	806.848
"A48840359"	2017	808
"B08465601"	2015	808.887
"A08098949"	2014	809.648
"B03072493"	2012	809.733
"B83045674"	2014	809.872
"A28053080"	2012	810.88
"B06422877"	2016	811.275
"A08098949"	2013	811.533
"B46084208"	2008	811.577
"B30010326"	2011	811.866
"A59954487"	2010	815.481
"A33560772"	2015	815.955
"A12014346"	2013	816.188
"B83045674"	2015	817
"A59954487"	2011	817.433
"A23008857"	2011	819.813
"B39026265"	2013	820.321
"B83045674"	2016	821
"A59954487"	2012	821.672
"A33615923"	2013	823.792
"B83045674"	2017	824
"A27003243"	2010	824.95
"B91172221"	2012	825.466
"A28321313"	2011	826.653
"A50013671"	2010	827.462
"B80146517"	2009	828
"A62400718"	2013	828.01
"A33615923"	2011	828.369
"A31180060"	2016	828.873
"B61395497"	2011	829.76
"B39026265"	2014	831.652
"B46076287"	2015	831.869
"A08723926"	2010	832.676
"A03001948"	2007	833.228
"A33615923"	2012	836.518
"B46055448"	2015	836.717
"B61395497"	2010	837.601
"B28701340"	2016	838.628
"A31180060"	2010	839.055
"A08689796"	2011	839.777
"A08511453"	2017	840.216
"A01161066"	2013	841.12
"B39019468"	2016	841.72
"B17616814"	2014	841.782
"B45020351"	2010	841.903
"A08098949"	2011	842.693
"B50001874"	2017	842.879
"V30558738"	2015	843.208
"A06419220"	2017	844.237
"A59954487"	2013	844.743
"F21339106"	2015	844.989
"A30046379"	2014	845.481
"A23022874"	2008	845.732
"B81496515"	2010	846.204
"A16004665"	2008	847
"A08158172"	2013	848.871
"A27003243"	2011	849.116
"A08541021"	2013	852.079
"A30046379"	2009	852.626
"B28492841"	2013	852.671
"B11050176"	2009	853.058
"A85279107"	2016	855.083
"B07762099"	2010	855.619
"A30032130"	2011	855.982
"A39000187"	2010	856.333
"A02006617"	2014	856.363
"B46055448"	2017	856.788
"B48441497"	2014	857.029
"A31009913"	2017	857.278
"B59469296"	2011	857.992
"A41037672"	2008	859.108
"A53288478"	2010	860.856
"B03035854"	2008	861.177
"A28259141"	2008	862.44
"A30041883"	2012	863.415
"A48080881"	2008	863.574
"B46055448"	2016	863.821
"A28636025"	2008	863.97
"B28670602"	2016	864.39
"A28333490"	2011	864.491
"B03094455"	2016	865.43
"A46035770"	2014	866.858
"A08385395"	2011	867.475
"A23022874"	2017	867.532
"B07025315"	2015	868.244
"A28333490"	2012	868.347
"B50001874"	2016	868.814
"A02006617"	2013	868.882
"A46081881"	2009	869.591
"B08156127"	2010	870.718
"A33609587"	2007	870.949
"B79945150"	2016	871.725
"A03057486"	2008	873.837
"A32226037"	2014	874.24
"A18012807"	2011	874.285
"A28333490"	2009	875.253
"B06341333"	2014	876.583
"A28612620"	2013	878.555
"A59320143"	2007	878.947
"A28321313"	2013	880.543
"F30587919"	2014	881.642
"A79259362"	2007	881.79
"A84534874"	2013	882.242
"B38028692"	2017	882.787
"B79945150"	2013	882.819
"B04028734"	2010	883.301
"B18547281"	2017	883.61
"A08385395"	2012	883.738
"B79945150"	2014	887.49
"A08094435"	2016	888.983
"A43621416"	2012	889
"A30046379"	2012	889.078
"A08541021"	2015	889.079
"A28698884"	2010	889.407
"A08093254"	2015	891.206
"A14015101"	2017	891.472
"A23022874"	2009	893.876
"A28341055"	2009	893.999
"B80146517"	2007	894
"B41217761"	2015	894.071
"B79945150"	2015	894.419
"A61710687"	2017	894.727
"A36614691"	2010	894.856
"A79259362"	2008	895.928
"A28392736"	2013	896.736
"A30035679"	2007	896.75
"B85036887"	2016	897.88
"A28649747"	2008	897.927
"A59067603"	2015	898.541
"B28670602"	2017	899.318
"A28321313"	2014	899.77
"B46163655"	2014	900.109
"B79945150"	2017	901.078
"A26020198"	2010	901.81
"B15021520"	2011	902.689
"B74114182"	2012	902.694
"B46160842"	2009	903.028
"A11000098"	2015	903.781
"B36609485"	2013	905.251
"B30032445"	2012	905.513
"B50001874"	2010	906.242
"A48093421"	2008	906.68
"A97789861"	2016	908
"A83826362"	2011	908.84
"B48841282"	2010	908.882
"A50615160"	2010	909.685
"B36609485"	2014	912.76
"A84534874"	2015	912.972
"A08541021"	2014	913.603
"A28333490"	2013	914.619
"A81933772"	2009	918.887
"A82131913"	2016	918.905
"A30018345"	2012	919.013
"A31138761"	2017	919.426
"A78753514"	2013	920.287
"B07685779"	2016	920.818
"A28295038"	2010	921.523
"B45020351"	2011	922.412
"A28630374"	2007	924.45
"A08493306"	2014	925.597
"A35014414"	2017	926.112
"A08689796"	2012	926.218
"A81527095"	2012	927.11
"A03057486"	2009	927.309
"A78020732"	2014	929.374
"B28499218"	2012	930.152
"F06139109"	2012	930.385
"A61587358"	2011	931.728
"B29053808"	2013	931.902
"A25022369"	2014	933.188
"A60401585"	2012	933.276
"A08097180"	2015	933.694
"A79259388"	2009	933.741
"B81496515"	2011	934.47
"B46020541"	2011	934.481
"B08125940"	2009	936.279
"A58394941"	2007	938.04
"B28489748"	2008	938.147
"A46035770"	2015	940.206
"B28148773"	2011	942.678
"B61395497"	2014	943.463
"A07040090"	2016	944.44
"B03032620"	2015	944.9
"A47214424"	2017	945.097
"B46162418"	2015	945.496
"A50017334"	2015	945.943
"A78020732"	2011	946.589
"A09015256"	2007	947.313
"A28683068"	2010	947.342
"A27014430"	2008	947.482
"A04006706"	2013	947.797
"A42003368"	2016	948.202
"A23008857"	2017	949.891
"B80146517"	2011	950
"A60401585"	2014	950.539
"A02006617"	2015	950.862
"A28651370"	2010	952.387
"A28053080"	2013	952.887
"A28612620"	2014	952.925
"B36609485"	2015	953.18
"A28321313"	2015	953.234
"A25008046"	2011	953.312
"A53283511"	2009	953.329
"B61395497"	2009	954.026
"A59954487"	2014	954.712
"B80146517"	2008	956
"A41002841"	2012	956.619
"B46162418"	2014	956.735
"A53288478"	2011	956.81
"A23022874"	2010	958.559
"A08730277"	2013	960.267
