nif	year	rdo_ejercicio
"A17003757"	2013	-3448.038
"B46140885"	2015	-3445.466
"A81933772"	2012	-3443.734
"B28222487"	2013	-3425.144
"A07256100"	2011	-3421.47
"A27014430"	2013	-3421.334
"B83603746"	2015	-3412.03
"A08157737"	2013	-3410.077
"A12524278"	2008	-3404.94
"A80245129"	2008	-3387.502
"A82854811"	2011	-3352.467
"A23022783"	2017	-3346.633
"A35610666"	2013	-3346.303
"A50057322"	2017	-3346.018
"B47011374"	2017	-3333.202
"A78389608"	2007	-3324.54
"B62173604"	2013	-3299
"A08132805"	2016	-3298.752
"A83048363"	2010	-3280.282
"A31037294"	2015	-3279.261
"A08393571"	2013	-3276.673
"A08576753"	2017	-3273.88
"A81047375"	2014	-3263
"B99029365"	2013	-3261.848
"B95087482"	2009	-3258
"A84911825"	2016	-3249.426
"B28118800"	2014	-3247.82
"B96952635"	2013	-3235.822
"A28341055"	2011	-3235.35
"A28485571"	2017	-3226.256
"A35753094"	2013	-3218
"A58346305"	2017	-3208.371
"A31037294"	2017	-3203.218
"B28118800"	2017	-3192.812
"A85125078"	2015	-3178
"A28359073"	2008	-3176.4
"B43241769"	2008	-3175.188
"A84911825"	2015	-3172.008
"A46036380"	2011	-3165.805
"A83048363"	2009	-3159.509
"B91235622"	2013	-3145.975
"B62850094"	2014	-3130.045
"A30022172"	2017	-3129.567
"A35517671"	2014	-3106.969
"A15012305"	2016	-3097.553
"A29003951"	2017	-3089.666
"A21391917"	2016	-3086.626
"A81593808"	2009	-3081.739
"A12018354"	2010	-3069.629
"B28138196"	2017	-3058.51
"A08274987"	2016	-3050.739
"B83826230"	2011	-3039
"A38014114"	2017	-3020.295
"B78459815"	2013	-3012.164
"A31009665"	2011	-3003.295
"A28306868"	2016	-2998.364
"A08094435"	2016	-2992.182
"B33876459"	2014	-2986.187
"B50031749"	2015	-2983.367
"G38004297"	2009	-2982.065
"B60171162"	2016	-2979
"A08766099"	2016	-2978.057
"A07905573"	2013	-2970.576
"B35110410"	2011	-2968.526
"A35517671"	2009	-2966.71
"B28341790"	2017	-2962.859
"A28011286"	2013	-2959
"A28080489"	2016	-2937.68
"B46124434"	2017	-2932.441
"A38473724"	2015	-2930.291
"A81933772"	2010	-2927.663
"B96952635"	2012	-2924.784
"A53817359"	2015	-2909.303
"A07905573"	2011	-2876.399
"A38232526"	2016	-2875.479
"B46151411"	2016	-2875.047
"A48093868"	2016	-2868.872
"A28407484"	2016	-2864.964
"A38645214"	2015	-2862.488
"A28814135"	2014	-2861.482
"A33013202"	2017	-2858.298
"B96952635"	2015	-2849.841
"A26270322"	2008	-2838.61
"B20078598"	2010	-2836.587
"A38013744"	2009	-2814.445
"B37014388"	2017	-2813.572
"A46077053"	2016	-2811.236
"A34009191"	2017	-2802.521
"A35753094"	2012	-2795.415
"A35098482"	2015	-2793.286
"A14027635"	2017	-2792
"A83741967"	2014	-2788.06
"A38473724"	2008	-2787.949
"A92030402"	2007	-2787.554
"A48037592"	2010	-2787
"A33117995"	2016	-2778.35
"B96324983"	2011	-2765.627
"B20070082"	2015	-2757.723
"B28250090"	2016	-2753.5
"A46086773"	2016	-2739.929
"A15020480"	2008	-2737.061
"A92030402"	2009	-2699.966
"B29006574"	2015	-2688.372
"B14484612"	2016	-2687.865
"B28193340"	2016	-2675.119
"A28547115"	2014	-2664.258
"A82405788"	2012	-2657.139
"A11010352"	2014	-2645.908
"A28827335"	2017	-2636.758
"B83211318"	2009	-2632
"A48175699"	2014	-2629.742
"A38371159"	2016	-2624.381
"A17011297"	2016	-2614.202
"A20017604"	2017	-2613.384
"A78100609"	2015	-2606.515
"A58346305"	2016	-2602.409
"A08493306"	2014	-2602.131
"B28084168"	2015	-2601
"A15007750"	2016	-2596.621
"A08181067"	2012	-2593.54
"B62409065"	2008	-2578.657
"A31737455"	2011	-2575.814
"A38003679"	2017	-2568.963
"A15052376"	2009	-2566.143
"A12512497"	2016	-2563.496
"A20017604"	2016	-2557.771
"B38366225"	2008	-2554.519
"A28292084"	2017	-2552.482
"A48226047"	2016	-2543.746
"A11256104"	2016	-2541.919
"B28193340"	2017	-2536.917
"B28934081"	2010	-2527.888
"B07883457"	2015	-2525.591
"A48175699"	2013	-2524.815
"A33560772"	2015	-2521.799
"B84537315"	2015	-2496.055
"B63100150"	2012	-2495.699
"A36006021"	2015	-2493.06
"B35110410"	2012	-2484.076
"B28255016"	2016	-2479.583
"B28270411"	2011	-2478.444
"A60045903"	2010	-2474
"A21006911"	2017	-2472.779
"A28428233"	2017	-2467.768
"B28127447"	2017	-2465.915
"B96324983"	2016	-2461.944
"B12536934"	2017	-2461.41
"A96966049"	2017	-2448
"B28934081"	2015	-2433.281
"B28934081"	2016	-2431.946
"A81933772"	2009	-2431.435
"B36008555"	2016	-2428.253
"B08243693"	2017	-2422
"B12027843"	2014	-2415.974
"B12006623"	2017	-2415.354
"A07059058"	2015	-2412.818
"B97751978"	2017	-2408.175
"A34009191"	2015	-2408.131
"A28080489"	2011	-2406.608
"B28102556"	2017	-2401.997
"A07061161"	2016	-2401.564
"A12018354"	2014	-2399.405
"B60420692"	2016	-2399.21
"B14008999"	2015	-2393.458
"A08296790"	2011	-2390.164
"A31001027"	2011	-2388.604
"A28013894"	2014	-2386.155
"B84309616"	2014	-2380.58
"B38366225"	2011	-2369.691
"A08093015"	2015	-2364.443
"A38473724"	2014	-2358.221
"B78459815"	2008	-2355.118
"A08296790"	2014	-2347.472
"A08250425"	2010	-2345.898
"B62916077"	2015	-2344
"A78526811"	2009	-2343.353
"A46007548"	2017	-2342.832
"B08243693"	2016	-2341
"A08131153"	2007	-2328.89
"A28011286"	2017	-2319
"A46003265"	2009	-2317.242
"A21391917"	2013	-2315.974
"A58415779"	2007	-2312.57
"A15024482"	2010	-2312.224
"A28132959"	2015	-2311.81
"A08026197"	2016	-2308
"A07256100"	2009	-2305.228
"A63746275"	2015	-2304.204
"B31694912"	2009	-2296.535
"A03063583"	2016	-2294.525
"A08384638"	2014	-2283.199
"B35110410"	2014	-2282.715
"B28126019"	2016	-2279.138
"A19012962"	2015	-2275.764
"B35110410"	2013	-2274.878
"A35517671"	2015	-2262.205
"A28273241"	2013	-2261.8
"A43030626"	2017	-2260
"A28122992"	2013	-2258
"A96918867"	2009	-2250.042
"A28428233"	2016	-2241.854
"A96966049"	2016	-2241
"A48114318"	2014	-2229.854
"B78459815"	2007	-2229.44
"A43019868"	2015	-2228.631
"B41008970"	2017	-2225.07
"A24019499"	2017	-2219.331
"B12006623"	2016	-2215.546
"A28295038"	2009	-2212.385
"A29018207"	2013	-2211.009
"A84434224"	2013	-2208
"B38366225"	2009	-2204.789
"B96324983"	2015	-2204.41
"A38371159"	2017	-2197.608
"B28118800"	2016	-2195.127
"B58075136"	2012	-2185.677
"B12541496"	2017	-2181.48
"A80200868"	2016	-2179.722
"B46039061"	2017	-2174.433
"A25022369"	2014	-2171.169
"A28341055"	2009	-2170.485
"A81933772"	2008	-2169.197
"A20034286"	2015	-2162.876
"A35517671"	2013	-2161.45
"A08132805"	2017	-2159.462
"B97389209"	2017	-2154.711
"A17003757"	2015	-2154.141
"B35031665"	2017	-2152.97
"B46163655"	2015	-2150.787
"A96918867"	2013	-2142.228
"B12536934"	2016	-2142.052
"A28011286"	2011	-2142
"A30023204"	2011	-2141.611
"B96952635"	2016	-2139.067
"A43019868"	2014	-2134.97
"A28053080"	2014	-2134.271
"A38003679"	2016	-2132.14
"B84598192"	2014	-2125.933
"B38366225"	2010	-2125.265
"A39000104"	2015	-2123.392
"A28080489"	2013	-2120.727
"A27014430"	2012	-2117.152
"A38645214"	2017	-2112.93
"B43241769"	2017	-2112.006
"A58816554"	2012	-2102.561
"B96199807"	2007	-2101.82
"B41217761"	2016	-2096.827
"B28148773"	2017	-2096.489
"B38425070"	2015	-2093.761
"A60362266"	2014	-2091.298
"A08181067"	2015	-2089.829
"A28245009"	2015	-2088.077
"A36006021"	2011	-2082.341
"B82175001"	2015	-2074.722
"A31009913"	2015	-2074.335
"A08094435"	2011	-2073.26
"A28080489"	2012	-2072.654
"B28126019"	2017	-2072.417
"A28046431"	2008	-2070
"A22013072"	2017	-2069.156
"A33055138"	2011	-2059.594
"A97789861"	2015	-2058
"B95388450"	2013	-2053
"A38020905"	2015	-2051.883
"B81335473"	2008	-2050.992
"A46007548"	2015	-2049.919
"A81933772"	2011	-2046.636
"A28025435"	2013	-2042.948
"A62520788"	2016	-2041.206
"A46015830"	2012	-2035.684
"A38473724"	2013	-2035.585
"B20049615"	2013	-2032.561
"A07905573"	2010	-2020.723
"A08609281"	2015	-2017.918
"B28934081"	2011	-2014.702
"A07905573"	2016	-2009.432
"A46014155"	2015	-2007.873
"B38028692"	2015	-2005.766
"A33615980"	2016	-2003.308
"B12015210"	2016	-1990.263
"A28329480"	2016	-1988.967
"B30566194"	2015	-1984.671
"A53817359"	2017	-1984.559
"A41277336"	2016	-1983.791
"A29003423"	2015	-1978.959
"A20012498"	2017	-1976.351
"A07905573"	2017	-1975.617
"B38484796"	2010	-1971.499
"A36621522"	2015	-1968.167
"A39000104"	2017	-1965.653
"B63100150"	2013	-1965.511
"B38366225"	2012	-1963.855
"B78496759"	2013	-1962.943
"A81593808"	2008	-1958.435
"A85279107"	2016	-1955.709
"A48093868"	2012	-1953.649
"A28011872"	2008	-1952.834
"B30009039"	2017	-1946.353
"A30023204"	2009	-1943.332
"A20020277"	2017	-1942.727
"A13001730"	2010	-1941.127
"A17475203"	2016	-1939.722
"A63746275"	2016	-1937.29
"A48114318"	2013	-1936.324
"A46002697"	2016	-1936.238
"A28827335"	2016	-1935.771
"B58075136"	2017	-1934.291
"B07883457"	2016	-1926.736
"A36611903"	2017	-1921.764
"A11000098"	2017	-1921.203
"A97617773"	2014	-1914.025
"A45017241"	2017	-1909.504
"A58393778"	2017	-1907.474
"A08202715"	2017	-1902.464
"A79049797"	2015	-1897.357
"B39019468"	2012	-1894.258
"A63796395"	2014	-1891.131
"B28084168"	2016	-1886
"B62173604"	2010	-1884
"B84309616"	2012	-1882.174
"A59202853"	2015	-1876.568
"A08181067"	2014	-1869.817
"A17011297"	2015	-1868.372
"B08156127"	2008	-1864.99
"A08679060"	2015	-1862.078
"A08131153"	2008	-1859.117
"B96324983"	2009	-1844.758
"A33024852"	2017	-1841.22
"A28091262"	2011	-1838.503
"A38020525"	2016	-1837.76
"B28341790"	2013	-1831.93
"B12002457"	2014	-1825.731
"B46166013"	2011	-1822.309
"B62173604"	2011	-1817
"A48002984"	2017	-1813.877
"B58222548"	2016	-1811.157
"B28307536"	2017	-1808.496
"A17055153"	2010	-1803.522
"A63736359"	2015	-1798.575
"A38371159"	2012	-1797.034
"A08159816"	2017	-1788.297
"A08128910"	2012	-1786.874
"A01002864"	2016	-1785.522
"A08126492"	2016	-1784.981
"A02003754"	2017	-1779.081
"A28283067"	2008	-1778.71
"A38027637"	2017	-1772.331
"B46045993"	2016	-1769.655
"A35517671"	2010	-1765.853
"A38020525"	2017	-1765.314
"A41191313"	2016	-1755.413
"B38828687"	2014	-1754.085
"A78753514"	2012	-1749.719
"A28013894"	2013	-1745.523
"A08703803"	2016	-1743.286
"B95087482"	2010	-1740
"A08651762"	2016	-1738.519
"A46038519"	2013	-1735.169
"A43035542"	2017	-1721.52
"A28108447"	2011	-1718.467
"A43030626"	2016	-1715
"B60552619"	2016	-1714.236
"A34009191"	2014	-1712.346
"B12291167"	2016	-1705.056
"B38001905"	2011	-1704.175
"A11000098"	2015	-1695.414
"B57208878"	2017	-1692.5
"A79049797"	2008	-1687.51
"A50057322"	2015	-1677.57
"B78496759"	2014	-1676.357
"A38371159"	2013	-1673.162
"A46070777"	2015	-1672.482
"B73212417"	2012	-1666.466
"B50561968"	2007	-1662.935
"B28138196"	2016	-1662.442
"A07190309"	2009	-1661.073
"B46163655"	2014	-1660.269
"B11900602"	2013	-1659.084
"A28245009"	2017	-1655.689
"B96952635"	2010	-1654.532
"A33202474"	2017	-1654.429
"B36853935"	2017	-1653.359
"A12010948"	2015	-1652.088
"A14018634"	2017	-1651.25
"A01002864"	2010	-1649.434
"B41008970"	2016	-1642.015
"A47000641"	2015	-1640.741
"A41006891"	2017	-1634.355
"A50018837"	2015	-1627.579
"A28080489"	2015	-1618.093
"A28518090"	2016	-1614.299
"B60171162"	2017	-1605
"A28013894"	2015	-1604.969
"A07009814"	2012	-1602.253
"B82612904"	2017	-1602.151
"A28134534"	2017	-1600.378
"A08119752"	2017	-1595.115
"B41031980"	2011	-1593.816
"A23016157"	2017	-1593.694
"B31850977"	2017	-1592.491
"B84598192"	2015	-1592.365
"A50017334"	2012	-1587.859
"B91372748"	2016	-1581.385
"A27014430"	2014	-1576.356
"A20032264"	2016	-1573.173
"A38371159"	2014	-1571.415
"B96952635"	2011	-1569.078
"A78526811"	2016	-1566.795
"A31138761"	2015	-1563.979
"A28002640"	2011	-1558.802
"B08660409"	2017	-1554.572
"A28407484"	2017	-1553.859
"A11609682"	2015	-1553.16
"A19012962"	2016	-1550.586
"A28132959"	2012	-1547.958
"A38473724"	2011	-1542.086
"A08105256"	2017	-1539.223
"A08131153"	2017	-1538
"A38371159"	2015	-1537.404
"B81335473"	2007	-1537.33
"A38013744"	2010	-1536.515
"A07052244"	2010	-1536.234
"A97617773"	2015	-1535.555
"A46069456"	2016	-1534.337
"A82405788"	2016	-1534.336
"A28133023"	2016	-1534.232
"A29507456"	2017	-1530.913
"A28057008"	2016	-1530.497
"A38473724"	2010	-1529.474
"A08397465"	2010	-1528.171
"B63533095"	2013	-1526.006
"A24020562"	2009	-1522.782
"B28059012"	2009	-1521.833
"B91235622"	2012	-1519.165
"B03032620"	2015	-1518.972
"A35517671"	2016	-1516.816
"A38014114"	2008	-1511.275
"A28012342"	2008	-1511
"B46124434"	2016	-1508.504
"B85225282"	2014	-1507.906
"A38473724"	2012	-1505.356
"A41010521"	2017	-1500.162
"A06388052"	2013	-1496.717
"A81933772"	2013	-1493.844
"A08679060"	2017	-1483.555
"B18551226"	2017	-1480.865
"A41006891"	2015	-1479.193
"A03012614"	2016	-1479.055
"B21376942"	2017	-1474.673
"A60045903"	2016	-1474
