nif	year	deudas_financ
"A50047505"	2013	0
"A41014986"	2013	0
"A08644932"	2012	0
"A79259339"	2010	0
"B91139717"	2011	0
"A08414906"	2007	0
"A28362127"	2008	0
"A31096233"	2014	0
"A17051152"	2014	0
"A28749976"	2012	0
"A79047916"	2014	0
"A09018862"	2008	0
"A12001418"	2007	0
"A15016702"	2010	0
"B32001687"	2013	0
"B30037204"	2010	0
"B30037204"	2012	0
"A08358442"	2011	0
"A46169082"	2014	0
"B30037204"	2015	0
"B08136905"	2011	0
"A33608563"	2009	0
"A17019316"	2013	0
"B46131371"	2008	0
"A08409948"	2013	0
"B36614816"	2008	0
"A79290565"	2013	0
"B01013507"	2013	0
"A48031140"	2010	0
"B83045674"	2014	0
"A07012826"	2010	0
"A08414906"	2013	0
"A28362127"	2010	0
"A12083002"	2009	0
"A78018421"	2008	0
"V48566475"	2014	0
"A17019316"	2012	0
"B36009942"	2013	0
"A46092094"	2008	0
"A46068318"	2011	0
"B81542813"	2011	0
"A96569207"	2011	0
"A28112555"	2011	0
"B17016254"	2013	0
"B82274135"	2014	0
"B32001687"	2012	0
"A12083002"	2008	0
"A17010018"	2012	0
"A81722712"	2011	0
"B01013507"	2012	0
"A28198356"	2012	0
"B61252185"	2009	0
"A07013055"	2008	0
"A79259388"	2014	0
"A13010004"	2014	0
"B08078396"	2011	0
"A14000939"	2010	0
"A13006903"	2014	0
"B31072705"	2012	0
"A08128035"	2013	0
"A08393571"	2007	0
"B31077514"	2011	0
"A28112555"	2014	0
"A79259362"	2013	0
"B07039514"	2008	0
"A46068318"	2013	0
"A29033420"	2013	0
"A48034110"	2014	0
"B81542813"	2009	0
"A08270993"	2007	0
"A08452500"	2012	0
"A26016865"	2014	0
"A28128486"	2014	0
"B09019548"	2010	0
"A28362127"	2009	0
"A33618257"	2007	0
"A83826362"	2011	0
"B46051116"	2014	0
"A43019868"	2013	0
"A28145191"	2009	0
"A08514028"	2010	0
"A79047916"	2013	0
"A82198847"	2008	0
"A25026733"	2014	0
"A28923662"	2009	0
"A46092094"	2009	0
"A40004731"	2008	0
"A08278293"	2013	0
"A46092094"	2011	0
"A28749976"	2011	0
"B11606761"	2007	0
"A38003133"	2012	0
"B11009917"	2014	0
"A13006903"	2013	0
"A33373622"	2012	0
"B03091527"	2007	0
"A16007064"	2010	0
"A28637502"	2011	0
"A09028184"	2013	0
"B30603229"	2012	0
"B28304129"	2014	0
"B28412146"	2013	0
"A07012826"	2009	0
"A15017163"	2008	0
"A31030901"	2009	0
"B11605862"	2008	0
"A20074167"	2013	0
"A14020713"	2014	0
"B48907885"	2011	0
"A28923662"	2008	0
"A14000533"	2012	0
"B12008397"	2011	0
"A08026072"	2007	0
"B12008397"	2013	0
"A41010521"	2010	0
"A45020450"	2010	0
"B11605862"	2013	0
"A19011626"	2014	0
"A35515485"	2012	0
"A81593808"	2008	0
"A08644932"	2013	0
"G38004297"	2012	0
"B27008390"	2013	0
"B11605862"	2010	0
"A36602381"	2013	0
"B28205532"	2014	0
"A17010018"	2011	0
"B12023065"	2014	0
"A16008294"	2009	0
"A28002640"	2010	0
"A08396830"	2012	0
"A38003133"	2011	0
"B07039514"	2012	0
"A03018710"	2014	0
"A31024458"	2013	0
"A08409948"	2012	0
"A48084909"	2014	0
"A28058725"	2007	0
"A08575672"	2008	0
"B11606761"	2008	0
"B11606761"	2009	0
"A39013867"	2009	0
"A29063567"	2007	0
"A79259339"	2009	0
"B08229221"	2014	0
"G38004297"	2007	0
"B03044641"	2014	0
"B08229221"	2013	0
"A39013867"	2014	0
"B81542813"	2012	0
"A79290565"	2012	0
"G07065709"	2011	0
"A82683434"	2012	0
"A08409948"	2011	0
"A32006579"	2010	0
"A50047505"	2010	0
"A28923662"	2012	0
"A35031343"	2011	0
"A46068318"	2010	0
"B29901469"	2010	0
"B08229221"	2012	0
"A21007570"	2011	0
"B11605862"	2009	0
"A78879079"	2009	0
"A47024393"	2012	0
"A46092094"	2013	0
"A41010521"	2009	0
"A47024393"	2014	0
"B61425682"	2012	0
"A08595324"	2011	0
"B31077514"	2014	0
"A34003624"	2014	0
"B28337731"	2009	0
"B81542813"	2010	0
"A39013867"	2012	0
"A78018421"	2011	0
"B46131371"	2010	0
"A41014986"	2012	0
"A08147555"	2008	0
"A08170151"	2015	0
"A03734514"	2007	0
"A28637304"	2008	0
"B12008397"	2014	0
"B26011627"	2012	0
"A05007687"	2007	0
"A08688095"	2013	0
"A28293884"	2008	0
"A30005524"	2013	0
"A50040013"	2009	0
"A28295038"	2011	0
"A59990580"	2010	0
"B11009917"	2011	0
"A28058725"	2014	0
"B11009917"	2012	0
"B50030964"	2013	0
"A79259362"	2011	0
"B33614033"	2013	0
"A34009936"	2010	0
"B35011675"	2011	0
"A08228520"	2008	0
"B07039514"	2013	0
"B07039514"	2011	0
"A15016702"	2013	0
"A79259388"	2009	0
"A15000227"	2012	0
"B35015262"	2010	0
"B35006360"	2011	0
"A08595324"	2008	0
"A08514986"	2014	0
"A07059058"	2009	0
"A81200511"	2013	0
"A46126686"	2014	0
"B38024089"	2009	0
"A28494896"	2010	0
"A78018421"	2014	0
"B03078391"	2009	0
"A26014035"	2010	0
"B01013507"	2011	0
"A14009823"	2013	0
"A28011872"	2010	0
"B09019548"	2009	0
"A78018421"	2012	0
"B84504455"	2013	0
"A17001678"	2009	0
"A28600278"	2007	0
"A28695021"	2011	0
"A08061731"	2007	0
"A08575672"	2011	0
"A08452500"	2014	0
"A08145385"	2013	0
"A03099405"	2011	0
"A08026072"	2013	0
"A01007137"	2011	0
"B28460681"	2014	0
"A83826362"	2012	0
"A35515485"	2013	0
"A58534777"	2013	0
"A08147357"	2014	0
"A28112555"	2012	0
"B35015262"	2009	0
"B53548384"	2010	0
"B12457230"	2010	0
"A08637829"	2010	.001
"A08277014"	2013	.001
"A20574372"	2012	.001
"A46165304"	2015	.002
"A29661394"	2010	.002
"A08225278"	2009	.003
"A09010661"	2009	.004
"A08397119"	2014	.006
"A40005514"	2007	.006
"A08094435"	2016	.006
"A31096233"	2013	.007
"A20574372"	2014	.007
"A45020450"	2017	.007
"A31096233"	2012	.007
"A31096233"	2010	.007
"A31096233"	2011	.007
"B31083199"	2007	.011
"A32006579"	2017	.013
"A38232526"	2008	.017
"A15016702"	2008	.035
"A41002809"	2013	.035
"A41002809"	2009	.037
"A41002809"	2008	.046
"B61395497"	2010	.049
"A41002809"	2014	.051
"A08225278"	2010	.058
"A08277014"	2011	.065
"B35329077"	2012	.068
"B35329077"	2013	.068
"B83481002"	2014	.084
"A20574372"	2010	.099
"A39000187"	2016	.101
"A08438194"	2015	.114
"A28167567"	2011	.131
"A41002809"	2010	.139
"A35018696"	2012	.15
"A41002809"	2011	.161
"A08687204"	2011	.171
"A28520757"	2011	.174
"B30603229"	2017	.181
"A14000939"	2008	.183
"B91629634"	2015	.192
"A41002809"	2007	.196
"A12029468"	2008	.199
"A07044530"	2011	.206
"A15016702"	2009	.213
"B30603229"	2015	.22
"A30012009"	2009	.223
"A12083002"	2016	.24
"A46055992"	2014	.241
"B09019548"	2017	.27
"B23357700"	2010	.274
"A30034441"	2008	.281
"B61395497"	2009	.29
"A08439291"	2009	.314
"A12029468"	2010	.353
"A36602381"	2010	.38
"B30603229"	2016	.407
"A14000939"	2007	.421
"B03087293"	2017	.431
"A50036037"	2015	.44
"A29507456"	2007	.44
"B23357700"	2013	.45
"A12105029"	2009	.461
"A43621416"	2008	.465
"A12081790"	2014	.494
"A28211092"	2008	.495
"A28171601"	2013	.5
"A07018112"	2011	.5
"B82175001"	2017	.5
"A08225278"	2007	.505
"B31072705"	2011	.535
"A28171601"	2012	.539
"A08439291"	2008	.546
"A30034441"	2012	.571
"A07068422"	2011	.585
"A20574372"	2009	.592
"A08397119"	2015	.603
"A81864498"	2009	.605
"B08195653"	2012	.609
"A28440576"	2007	.612
"B83481002"	2011	.62
"A80904576"	2016	.641
"A80904576"	2017	.641
"A41002809"	2015	.642
"A30036438"	2011	.665
"B30516645"	2007	.677
"A28440576"	2011	.688
"A28440576"	2008	.688
"A28440576"	2010	.688
"A28440576"	2009	.688
"B17228081"	2016	.689
"B17228081"	2015	.689
"B17228081"	2017	.689
"B17228081"	2014	.689
"A28058758"	2008	.723
"A28579191"	2015	.729
"A36000073"	2015	.737
"A82485335"	2009	.742
"B08136905"	2013	.745
"A28058758"	2012	.746
"A28029122"	2011	.75
"A08438194"	2011	.789
"B46135364"	2012	.797
"A13005384"	2008	.841
"A31030901"	2015	.863
"A29076270"	2015	.878
"A28167567"	2012	.88
"A80904576"	2012	.887
"A31068927"	2017	.889
"B31009715"	2013	.889
"A07084940"	2009	.89
"V95436002"	2015	.898
"V95436002"	2016	.898
"A83062497"	2015	.916
"A07084940"	2015	.965
"A07084940"	2014	.965
"B83541912"	2013	.97
"A12081790"	2012	.996
"A35018696"	2016	1
"B13004924"	2013	1
"B13004924"	2010	1
"A78688934"	2013	1
"B13004924"	2011	1
"A41277336"	2016	1.022
"B07039514"	2009	1.039
"B30603229"	2014	1.077
"A09281999"	2016	1.094
"A31068927"	2016	1.098
"A08042764"	2015	1.1
"A08042764"	2014	1.1
"A08042764"	2016	1.1
"A28412724"	2015	1.126
"B83393223"	2014	1.128
"A36602381"	2017	1.146
"V95436002"	2017	1.216
"B28227866"	2016	1.217
"A41277336"	2014	1.219
"B38017554"	2014	1.23
"A43055565"	2017	1.233
"A12029468"	2015	1.24
"A46336152"	2014	1.241
"B96990015"	2012	1.242
"A12029468"	2007	1.3
"B28304129"	2013	1.306
"B30603229"	2013	1.306
"A07068422"	2010	1.334
"A07084940"	2010	1.38
"B61425682"	2014	1.386
"A08042764"	2017	1.4
"A28211092"	2009	1.434
"A36000073"	2017	1.46
"A48040034"	2012	1.589
"F46026829"	2008	1.592
"A34129635"	2017	1.624
"V28664472"	2017	1.687
"B46016408"	2017	1.689
"A31030901"	2013	1.727
"A31030901"	2014	1.727
"A12029468"	2012	1.739
"A35014075"	2015	1.813
"B84886837"	2017	1.834
"A28171601"	2014	1.866
"B79232096"	2013	1.867
"A35014075"	2014	1.955
"A28623155"	2017	1.977
"A27007731"	2011	1.987
"A28295806"	2011	2.095
"A28295806"	2012	2.095
"B03045507"	2008	2.104
"B31072705"	2013	2.107
"B84768761"	2015	2.11
