nif	year	inmovilizado_inm
"A12017919"	2014	0
"A12017919"	2012	0
"A08563769"	2014	0
"A01009265"	2007	0
"A58132606"	2012	0
"A30001010"	2007	0
"B03026382"	2008	0
"A28293884"	2011	0
"A35008168"	2007	0
"B61395497"	2011	0
"A43702745"	2014	0
"B08195653"	2011	0
"A04413340"	2011	0
"A78400603"	2011	0
"F25002338"	2008	0
"A81047375"	2013	0
"A30025555"	2013	0
"B30037204"	2012	0
"A28416089"	2011	0
"A07035934"	2012	0
"A33606682"	2012	0
"B45018017"	2007	0
"B38004966"	2007	0
"A12022224"	2011	0
"A47022058"	2007	0
"A28245009"	2012	0
"A46052809"	2013	0
"B46151411"	2009	0
"A58346305"	2011	0
"B82175001"	2012	0
"A11012572"	2011	0
"A02012714"	2009	0
"A32006215"	2007	0
"F10017804"	2009	0
"A33025719"	2010	0
"B08912669"	2014	0
"A23372832"	2013	0
"A28070167"	2012	0
"B28193340"	2011	0
"A48092886"	2008	0
"A03057221"	2012	0
"B31067697"	2013	0
"A09010661"	2013	0
"A30005524"	2011	0
"A17038035"	2011	0
"A28058725"	2009	0
"A06163851"	2011	0
"A31062342"	2012	0
"A08688095"	2011	0
"A80904576"	2011	0
"A84434224"	2013	0
"B28193340"	2008	0
"A50043298"	2007	0
"A09030412"	2015	0
"A33606682"	2010	0
"A48092886"	2009	0
"A14026199"	2014	0
"A12029468"	2009	0
"A35610666"	2012	0
"A08257388"	2008	0
"A20049755"	2012	0
"A08688095"	2009	0
"A28229409"	2010	0
"A33025719"	2011	0
"A48064521"	2012	0
"A07004187"	2012	0
"A08675522"	2013	0
"A09030412"	2017	0
"A08675522"	2009	0
"A07013907"	2008	0
"A78688934"	2013	0
"A08425902"	2012	0
"A28416089"	2009	0
"B41063355"	2009	0
"B08136905"	2009	0
"A38371159"	2009	0
"B41008970"	2009	0
"A02012714"	2011	0
"A12029468"	2014	0
"A08639643"	2013	0
"A08636177"	2013	0
"B58222548"	2012	0
"A29003423"	2007	0
"A19163682"	2011	0
"A28487007"	2007	0
"B06320410"	2011	0
"A08636177"	2012	0
"A08170151"	2012	0
"A81841850"	2014	0
"A80959612"	2012	0
"A80959612"	2014	0
"F46026829"	2010	0
"A08595324"	2007	0
"A07012826"	2009	0
"A08091894"	2010	0
"B61882551"	2011	0
"A08576753"	2013	0
"A19011626"	2016	0
"A23022874"	2009	0
"A33603317"	2010	0
"A28695021"	2010	0
"A14009823"	2007	0
"A28173573"	2014	0
"A03057221"	2009	0
"A07016025"	2013	0
"A80959612"	2010	0
"B03028784"	2012	0
"A33014176"	2014	0
"A33373622"	2013	0
"B28460681"	2013	0
"A28054211"	2017	0
"A08989782"	2010	0
"A35098482"	2008	0
"A46105508"	2012	0
"B31072705"	2013	0
"A20165650"	2016	0
"A08520629"	2009	0
"A20008579"	2012	0
"B61882551"	2009	0
"A28058725"	2011	0
"B12007456"	2013	0
"B03045507"	2011	0
"A42000802"	2010	0
"A08021768"	2012	0
"B46131371"	2011	0
"A07021256"	2013	0
"A28138386"	2013	0
"A08203887"	2013	0
"A33606682"	2013	0
"A41059445"	2009	0
"A03024809"	2011	0
"A08278293"	2013	0
"A31030901"	2007	0
"A42000802"	2013	0
"A46336152"	2013	0
"A45013620"	2012	0
"B08271694"	2012	0
"A15016595"	2011	0
"A12017919"	2010	0
"A43004472"	2010	0
"A08093015"	2013	0
"A08396830"	2014	0
"B84654201"	2013	0
"A58132606"	2009	0
"A33614082"	2014	0
"A03047628"	2011	0
"A01012830"	2012	0
"A58346305"	2007	0
"A08257388"	2011	0
"A16010126"	2011	0
"B81907776"	2007	0
"A28172476"	2013	0
"B30037204"	2013	0
"B61395497"	2013	0
"A79290565"	2007	0
"A30012009"	2009	0
"A08354441"	2007	0
"A07038441"	2012	0
"B03026382"	2012	0
"A28523470"	2007	0
"A84534874"	2014	0
"A28058725"	2010	0
"A08300774"	2013	0
"B31067697"	2008	0
"A28229409"	2013	0
"A81047375"	2011	0
"A08106031"	2009	0
"B58222548"	2008	0
"A08354441"	2008	0
"A41084740"	2012	0
"B63533095"	2012	0
"A28198661"	2012	0
"B17014887"	2009	0
"A08480287"	2015	0
"A30016182"	2014	0
"B27007897"	2007	0
"B06320410"	2012	0
"A03003530"	2012	0
"A08257388"	2012	0
"F10017804"	2007	0
"A50012541"	2017	0
"B81762684"	2007	0
"A08141038"	2012	0
"A29003423"	2012	0
"A09018862"	2013	0
"A08141038"	2010	0
"A46096343"	2014	0
"A08228520"	2012	0
"A08228520"	2009	0
"A08170151"	2011	0
"F10017804"	2010	0
"B08195653"	2013	0
"A35008168"	2013	0
"A08203887"	2012	0
"A35014075"	2013	0
"A30025555"	2012	0
"A33614082"	2013	0
"A33604182"	2013	0
"A08203226"	2012	0
"A19011626"	2011	0
"B31027097"	2007	0
"B39021217"	2013	0
"B08147696"	2011	0
"B31072705"	2011	0
"B35006360"	2009	0
"A92111871"	2013	0
"A08675522"	2011	0
"A08021768"	2009	0
"B04001848"	2013	0
"A33202474"	2007	0
"A23010200"	2009	0
"B08271694"	2009	0
"A35014075"	2007	0
"A08278293"	2012	0
"A48080147"	2014	0
"C28863686"	2013	0
"A07068430"	2007	0
"A28138386"	2010	0
"A08147555"	2008	0
"A29003423"	2010	0
"B12457230"	2014	0
"A46052809"	2010	0
"A58394941"	2010	0
"A07068430"	2014	0
"A08106031"	2008	0
"B08195653"	2008	0
"A59990580"	2012	0
"A08290975"	2008	0
"A11012572"	2009	0
"A07084940"	2014	0
"A28070167"	2011	0
"A20017604"	2011	0
"A08091894"	2012	0
"A01008234"	2010	0
"A13012869"	2011	0
"B30044440"	2014	0
"A50043298"	2008	0
"A07038441"	2013	0
"B38020020"	2010	0
"A41008301"	2014	0
"A08244220"	2008	0
"B20193017"	2008	0
"A16010126"	2013	0
"A07035934"	2011	0
"A08021768"	2013	0
"A26011841"	2013	0
"A08396830"	2009	0
"A41018854"	2010	0
"B03072576"	2014	0
"B50938489"	2009	0
"A08396830"	2010	0
"A08008518"	2012	0
"A28164374"	2013	0
"A08639643"	2014	0
"A23010200"	2012	0
"B47364872"	2013	0
"A07427081"	2014	0
"A07427081"	2010	0
"A33021635"	2014	0
"B82435371"	2012	0
"A08203226"	2011	0
"B30037204"	2011	0
"A24015406"	2010	0
"A01019702"	2010	0
"A48080147"	2007	0
"F25002338"	2010	0
"B28072205"	2010	0
"A80959612"	2009	0
"A48093538"	2015	0
"A31024458"	2014	0
"F50011139"	2011	0
"A16010126"	2012	0
"A31194905"	2009	0
"A30014211"	2014	0
"B31067697"	2007	0
"A45010543"	2007	0
"A28198661"	2013	0
"A36604783"	2014	0
"A28198661"	2014	0
"B48714133"	2008	0
"B08195653"	2010	0
"A47022058"	2008	0
"B27007897"	2010	0
"A20049755"	2017	0
"A28245009"	2007	0
"A08425902"	2011	0
"A11902814"	2013	0
"A28266989"	2013	0
"A48064521"	2010	0
"A28245009"	2008	0
"A80904576"	2012	0
"A17023813"	2012	0
"A48080147"	2013	0
"A46045936"	2010	0
"A50043298"	2010	0
"A28164374"	2009	0
"A33610106"	2014	0
"A40163909"	2012	0
"B28218816"	2013	0
"A42000802"	2008	0
"A33606682"	2011	0
"A19011626"	2012	0
"B30037204"	2008	0
"A31030901"	2009	0
"A17044546"	2013	0
"A08418030"	2013	0
"A28145498"	2013	0
"A03024809"	2012	0
"A20049755"	2013	0
"B82852831"	2008	0
"A58346305"	2008	0
"A28352656"	2013	0
"A08675522"	2010	0
"A01014794"	2013	0
"A20017604"	2012	0
"A08147555"	2011	0
"B43361724"	2014	0
"A08363640"	2013	0
"A46156048"	2010	0
"A78688934"	2011	0
"A48080147"	2012	0
"B08271694"	2007	0
"B20049615"	2013	0
"A08257388"	2009	0
"B28072205"	2014	0
"B31067697"	2010	0
"A82843129"	2009	0
"A08723926"	2015	0
"A61427183"	2008	0
"A46168795"	2014	0
"A01015510"	2013	0
"A81200511"	2009	0
"A28435931"	2011	0
"B47364872"	2012	0
"A39012638"	2008	0
"A07013907"	2007	0
"A08228520"	2008	0
"A28441269"	2017	0
"A41059445"	2013	0
"A80959612"	2008	0
"B04001848"	2011	0
"C28863686"	2007	0
"A28456119"	2010	0
"A48064521"	2011	0
"B31067697"	2009	0
"B03010634"	2007	0
"A47025895"	2017	0
"A28475770"	2013	0
"A50034024"	2015	0
"B03045507"	2012	0
"B61967774"	2012	0
"B31077514"	2010	0
"A28485761"	2008	0
"A28019461"	2013	0
"B31077514"	2009	0
"A39000849"	2008	0
"A01012103"	2014	0
"A78400603"	2012	0
"B38030045"	2017	0
"A20055380"	2012	0
"A28143782"	2010	0
"A28494896"	2011	0
"A28523470"	2013	0
"A08008518"	2011	0
"B17016254"	2010	0
"A28496438"	2009	0
"A01011881"	2012	0
"A07013055"	2014	0
"A14026199"	2009	0
"A28293884"	2007	0
"A28505402"	2013	0
"A28505402"	2014	0
"A28058725"	2007	0
"A48031140"	2008	0
"A20028676"	2012	0
"B17014887"	2010	0
"A58394941"	2013	0
"A28410850"	2007	0
"B28460681"	2011	0
"A28245355"	2014	0
"A28435931"	2007	0
"A58494048"	2007	0
"A01014794"	2007	0
"B03036340"	2014	0
"A28645000"	2012	0
"A40163909"	2011	0
"B28218816"	2014	0
"B35504059"	2013	0
"B37015526"	2010	0
"A21144498"	2011	0
"A08688095"	2013	0
"A28283067"	2012	0
"A28245009"	2010	0
"A28494896"	2012	0
"A47022165"	2008	0
"A28441269"	2015	0
"A08021768"	2011	0
"A28132959"	2012	0
"A25007105"	2011	0
"B08367948"	2008	0
"A28283067"	2009	0
"A28011286"	2009	0
"B48841282"	2011	0
"A28645000"	2011	0
"A38371159"	2013	0
"A28715027"	2009	0
"B28044204"	2009	0
"B82852831"	2011	0
"A08989782"	2009	0
"A48295604"	2012	0
"A08576753"	2011	0
"A43035708"	2008	0
"A03047628"	2012	0
"A22001721"	2014	0
"B03045507"	2010	0
"A29018249"	2008	0
"A28695856"	2009	0
"B31072705"	2009	0
"A17013269"	2007	0
"B35015262"	2008	0
"A33014176"	2012	0
"A28058725"	2013	0
"A03001948"	2007	0
"A14009823"	2011	0
"A28137255"	2010	0
"A41018854"	2011	0
"A19163682"	2012	0
"A28099356"	2013	0
"B31067168"	2014	0
"A28132959"	2014	0
"A08396830"	2011	0
"B03028784"	2011	0
"B32008179"	2014	0
"A28128486"	2010	0
"A82198847"	2014	0
"B41063355"	2010	0
"A09030412"	2014	0
"A28128486"	2009	0
"A14009823"	2013	0
"A07427081"	2009	0
"A12029468"	2013	0
"A28164374"	2007	0
"A47005095"	2015	0
"A46332995"	2014	0
"A47005095"	2014	0
"B26011627"	2011	0
"B78496759"	2009	0
"A08354441"	2009	0
"A08244220"	2007	0
"A28137255"	2008	0
"A07004187"	2011	0
"A26018119"	2012	0
"A08274805"	2008	0
"B08136905"	2007	0
"A38225041"	2012	0
"B28341790"	2007	0
"A12001418"	2014	0
"B25006222"	2007	0
"A28229409"	2012	0
"B41094459"	2012	0
"A80904576"	2010	0
"B30041115"	2014	0
"A15685373"	2013	0
"A08228520"	2007	0
"A28253656"	2009	0
"A28729424"	2013	0
"A08091894"	2011	0
"A08094567"	2013	0
"A08200032"	2013	0
"A28023422"	2014	0
"A47022058"	2011	0
"A12001418"	2013	0
"A39012638"	2011	0
"A38485827"	2010	0
"A08688095"	2010	0
"A12405577"	2017	0
"B38030045"	2015	0
"B46151411"	2012	0
"B31077514"	2012	0
"B31072705"	2010	0
"B80470628"	2012	0
"B08195653"	2012	0
"V12465118"	2013	0
"A08094567"	2008	0
"V95436002"	2013	0
"A50012541"	2016	0
"A28293884"	2009	0
"A17202375"	2008	0
"B81907776"	2008	0
"B03045507"	2009	0
"B31077514"	2007	0
"A28352656"	2011	0
"B03045507"	2008	0
"A28294718"	2008	0
"A08094567"	2014	0
"A46045936"	2008	0
"A41762386"	2011	0
"B20049615"	2014	0
"A38371159"	2011	0
"A50022698"	2015	0
"A28293884"	2012	0
"A09010661"	2014	0
"F46026829"	2014	0
"A12019295"	2011	0
"B28044204"	2007	0
"F25002338"	2012	0
"B28044204"	2010	0
"B31067697"	2012	0
"A48064521"	2013	0
"A19011626"	2010	0
"A81261430"	2011	0
"B08195653"	2007	0
"A20055380"	2010	0
"A28441269"	2013	0
"A08270993"	2009	0
"A01007442"	2013	0
"A20049755"	2015	0
"A01035807"	2008	0
"A08062846"	2009	0
"B03028784"	2008	0
"A28029122"	2012	0
"B03036712"	2012	0
"F50011139"	2013	0
"A07021256"	2009	0
"A15018146"	2013	0
"B28072205"	2011	0
"B33614033"	2012	0
"B03101748"	2008	0
"A08576753"	2008	0
"B03036712"	2010	0
"A08147555"	2007	0
"A01011881"	2008	0
"A28293884"	2013	0
"B03036712"	2007	0
"B28193340"	2009	0
"A28487007"	2009	0
"A58346305"	2010	0
"B39021217"	2012	0
"A28637502"	2011	0
"A43055565"	2014	0
"A09030412"	2016	0
"A28019461"	2014	0
"A11902814"	2012	0
"A25007105"	2009	0
"A46021804"	2008	0
"A08257214"	2013	0
"A07013055"	2013	0
"B82852831"	2012	0
"A38371159"	2012	0
"A41001439"	2012	0
"A48102792"	2015	0
"A33614082"	2012	0
"B20070082"	2013	0
"A31024458"	2013	0
"A17013269"	2012	0
"A96646880"	2012	0
"B08552614"	2012	0
"A08480287"	2016	0
"A50043298"	2009	0
"B42141176"	2011	0
"A81047375"	2010	0
"A38225041"	2011	0
"F25002338"	2014	0
"B79945150"	2009	0
"A04413340"	2009	0
"B03028784"	2009	0
"B03028784"	2007	0
"B28350965"	2011	0
"A61797536"	2012	0
"A80959612"	2013	0
"A28046704"	2014	0
"F10017804"	2012	0
"B33119983"	2012	0
"A28441269"	2014	0
"A60853413"	2014	0
"B22003099"	2010	0
"A22007314"	2009	0
"B63533095"	2013	0
"A28604882"	2016	0
"A08200032"	2017	0
"A07033491"	2007	0
"A46096343"	2013	0
"A28143782"	2007	0
"A28019461"	2009	0
"A23010200"	2011	0
"A08021768"	2010	0
"A03024809"	2013	0
"A15506934"	2013	0
"A08257529"	2008	0
"B28193340"	2013	0
"B20049615"	2009	0
"B28460681"	2012	0
"A48080147"	2011	0
"A28485761"	2009	0
"A81047375"	2009	0
"A80904576"	2013	0
"A81841850"	2013	0
"B04001848"	2014	0
"A08520629"	2008	0
"B61567970"	2013	0
"B61395497"	2014	0
"F50561091"	2008	0
"A45020450"	2012	0
"A41011271"	2012	0
"A58132606"	2010	0
"B82175001"	2013	0
"F50561091"	2007	0
"B17014887"	2008	0
"A08026072"	2014	0
"A30005524"	2010	0
"A45020450"	2007	0
"A03734514"	2007	0
"B82435371"	2008	0
"A11606134"	2010	0
"A81047375"	2007	0
"A58017187"	2009	0
"A28164374"	2010	0
"A58132606"	2013	0
"F50011139"	2010	0
"A48102792"	2017	0
"A81200511"	2012	0
"A81200511"	2013	0
"B26011627"	2007	0
"A28259141"	2007	0
"A17019316"	2008	0
"A47022058"	2009	0
"A28577864"	2014	0
"B61882551"	2010	0
"A08091894"	2008	0
"B37020179"	2011	0
"A81841850"	2010	0
"A28416089"	2013	0
"A29076270"	2013	0
"A11301645"	2009	0
"A20055380"	2008	0
"F10017804"	2011	0
"A26015503"	2007	0
"A17018052"	2012	0
"A08042764"	2013	0
"A08008518"	2010	0
"B12007456"	2011	0
"A46052809"	2012	0
"B82852831"	2009	0
"A20060075"	2009	0
"A12017760"	2017	0
"A41031303"	2014	0
"A08106031"	2007	0
"A46052809"	2011	0
"A08533945"	2010	0
"A26011841"	2014	0
"A17004763"	2009	0
"A41027723"	2011	0
"A36605772"	2013	0
"B31067168"	2013	0
"B58222548"	2013	0
"A08431090"	2014	0
"A30418255"	2012	0
"A08278293"	2010	0
"B35504059"	2017	0
"B31077514"	2013	0
"A08270993"	2010	0
"B20049615"	2010	0
"B30037204"	2010	0
"A28283067"	2010	0
"A46044962"	2013	0
"A45013620"	2013	0
"A16010126"	2008	0
"A35098482"	2011	0
"A08126492"	2011	0
"A81200511"	2010	0
"B41008970"	2010	0
"A08203887"	2007	0
"B41094459"	2014	0
"A47005095"	2016	0
"A23022874"	2011	0
"A31034606"	2007	0
"A12017919"	2011	0
"B28193340"	2010	0
"A39012638"	2007	0
"A28695856"	2010	0
"B08111411"	2012	0
"A50012541"	2015	0
"A28729424"	2012	0
"B35006360"	2008	0
"A43702745"	2013	0
"B45018017"	2014	0
"A23010200"	2008	0
"A58394941"	2009	0
"B03078391"	2012	0
"B28350965"	2012	0
"A78018421"	2007	0
"A40163909"	2013	0
"B46151411"	2008	0
"A45202975"	2014	0
"B12457230"	2010	0
"B61967774"	2011	0
"A12003950"	2008	0
"A24015406"	2013	0
"A28143782"	2008	0
"A28164374"	2012	0
"A30012009"	2008	0
"B43241769"	2013	0
"A07021256"	2008	0
"B31072705"	2007	0
"B82852831"	2010	0
"A08270993"	2012	0
"A46269155"	2016	0
"A28198356"	2014	0
"A08639643"	2012	0
"A92111871"	2012	0
"A08094567"	2007	0
"A08595324"	2009	0
"A25007105"	2014	0
"C08164253"	2012	0
"A28164374"	2011	0
"A92111871"	2011	0
"A47022165"	2010	0
"B78496759"	2012	0
"B19001536"	2012	0
"A46096343"	2012	0
"F25002338"	2013	0
"A81047375"	2012	0
"A17012626"	2010	0
"A39007943"	2011	0
"B83393223"	2011	0
"A78343977"	2009	0
"A31001027"	2010	0
"F25002338"	2011	0
"A08989782"	2008	0
"B31072705"	2012	0
"B43491356"	2013	0
"A31069321"	2007	0
"A08375537"	2008	0
"A45020450"	2013	0
"A12001418"	2015	0
"A45020450"	2010	0
"B35329077"	2009	0
"B38020020"	2009	0
"A28668127"	2011	0
"A28612620"	2014	0
"B47030770"	2013	0
"A39007943"	2013	0
"A08675522"	2012	0
"B31744709"	2009	0
"A28441269"	2010	0
"A08713869"	2009	0
"A08007056"	2015	0
"A46045936"	2013	0
"A50034024"	2016	0
"A84434224"	2012	0
"A82843129"	2008	0
"A30012009"	2013	0
"A28011286"	2008	0
"B39021217"	2014	0
"B12457230"	2012	0
"A25007105"	2012	0
"A03057221"	2008	0
"A01014794"	2010	0
"A48117881"	2007	0
"A80959612"	2007	0
"A08708620"	2008	0
"A20060075"	2013	0
"A28283067"	2013	0
"A17018052"	2013	0
"A07427081"	2012	0
"A41001439"	2013	0
"A28435931"	2012	0
"A39012638"	2010	0
"A28729424"	2011	0
"B26011627"	2013	0
"B48714133"	2009	0
"A42000802"	2011	0
"B11415387"	2016	0
"A25007105"	2010	0
"A36632875"	2008	0
"A59990580"	2011	0
"A03047628"	2014	0
"A28253656"	2007	0
"B61252185"	2009	0
"A08021768"	2007	0
"A28412724"	2012	0
"B03036712"	2008	0
"A28192532"	2013	0
"B33615493"	2016	0
"A11606134"	2011	0
"B08195653"	2009	0
"A08708620"	2007	0
"C28863686"	2008	0
"A58346305"	2012	0
"B28072205"	2012	0
"B12008553"	2008	0
"A08375537"	2013	0
"A81047375"	2008	0
"A80632573"	2011	0
"A41018854"	2013	0
"A08141038"	2013	0
"B22003099"	2009	0
"B22003099"	2008	0
"C08164253"	2010	0
"A48031140"	2012	0
"A29003423"	2013	0
"A20055380"	2009	0
"B58222548"	2010	0
"B01128552"	2013	0
"A07068430"	2008	0
"B28044204"	2012	0
"A23010200"	2010	0
"B61395497"	2012	0
"A28505402"	2008	0
"A28198661"	2011	0
"A46052809"	2008	0
"A41059445"	2012	0
"A38348413"	2007	0
"A30012009"	2007	0
"B20056255"	2013	0
"A48110381"	2010	0
"B19001551"	2009	0
"A35014075"	2012	0
"A46031845"	2014	0
"A13012869"	2012	0
"A19011626"	2013	0
"B12023065"	2009	0
"A28058725"	2008	0
"B08292054"	2009	0
"A17018052"	2010	0
"A08141038"	2011	0
"A46336152"	2011	0
"A08102410"	2012	0
"A28138386"	2012	0
"A08425902"	2013	0
"A01011881"	2013	0
"A28496438"	2010	0
"A30035521"	2011	0
"A08354441"	2011	0
"A41001439"	2010	0
"B80470628"	2013	0
"B31067168"	2011	0
"A08257214"	2014	0
"A23022874"	2008	0
"A41762386"	2013	0
"B17014887"	2011	0
"B03101748"	2009	0
"B95388450"	2013	0
"B08111411"	2013	0
"B08136905"	2011	0
"A33601899"	2009	0
"B41063355"	2008	0
"A38371159"	2010	0
"A01012830"	2014	0
"A08075293"	2010	0
"A03057221"	2007	0
"B11012820"	2016	0
"A33036880"	2015	0
"A12029468"	2008	0
"A30005524"	2013	0
"A80904576"	2009	0
"A08425902"	2010	0
"A41018854"	2012	0
"B28350965"	2008	0
"B30037204"	2007	0
"A35008168"	2008	0
"A30041883"	2012	0
"A28023422"	2012	0
"A28523470"	2009	0
"A28523470"	2012	0
"A30012009"	2014	0
"A42000802"	2012	0
"A30005524"	2008	0
"A58394941"	2012	0
"A08200032"	2016	0
"A08595324"	2008	0
"A28085520"	2011	0
"A08466807"	2014	0
"A78067188"	2007	0
"B38425070"	2009	0
"B28072205"	2013	0
"B03010634"	2009	0
"A01012830"	2013	0
"A80632573"	2012	0
"A28070167"	2013	0
"A08141038"	2009	0
"B27007897"	2008	0
"B82435371"	2007	0
"A08200032"	2015	0
"B08194276"	2010	0
"B33119983"	2013	0
"A25007105"	2013	0
"B03028784"	2014	0
"B28350965"	2010	0
"A78879079"	2012	0
"A48092886"	2010	0
"F10017804"	2013	0
"A08688095"	2012	0
"B28193340"	2007	0
"B64055445"	2013	0
"A30005524"	2007	0
"A41011271"	2011	0
"A12006227"	2012	0
"A28145498"	2010	0
"B46131371"	2010	0
"B08078396"	2009	0
"A08008518"	2007	0
"B46039061"	2016	0
"A30418255"	2013	0
"A28441269"	2016	0
"A08146870"	2008	0
"A38015459"	2017	0
"A01016591"	2009	0
"B31744709"	2014	0
"A45014776"	2008	0
"B12457230"	2013	0
"A81841850"	2007	0
"B08078396"	2010	0
"A31194905"	2008	0
"A46170080"	2010	0
"B08229221"	2014	0
"A08622938"	2013	0
"A80959612"	2011	0
"A31069321"	2011	0
"B17016254"	2008	0
"A19011626"	2015	0
"A31069321"	2009	0
"B30604565"	2007	0
"A07013907"	2009	0
"B03028784"	2010	0
"B12023065"	2013	0
"B12023065"	2010	0
"B12023065"	2008	0
"A28143782"	2009	0
"A08106031"	2010	0
"A29051067"	2013	0
"A33025719"	2008	0
"A45020450"	2008	0
"A28523470"	2011	0
"A16010126"	2007	0
"A08145385"	2014	0
"B41094459"	2011	0
"A78355278"	2008	0
"A33603317"	2009	0
"A28138386"	2009	0
"A08568826"	2011	0
"A33036880"	2016	0
"A34003624"	2014	0
"A08510364"	2015	0
"A08270993"	2011	0
"A19163682"	2013	0
"A46045936"	2009	0
"A01014794"	2008	0
"B12008553"	2009	0
"A35014075"	2008	0
"A08689796"	2010	0
"B12007456"	2009	0
"B82435371"	2013	0
"A08228520"	2010	0
"A33014176"	2009	0
"B82435371"	2010	0
"A28456119"	2007	0
"B04001848"	2010	0
"A60853413"	2015	0
"A81200511"	2011	0
"A45017142"	2011	0
"B03078391"	2014	0
"A50034024"	2017	0
"A08170151"	2013	0
"A34003624"	2013	0
"A08675522"	2007	0
"A48064521"	2007	0
"F46026829"	2013	0
"A47005095"	2017	0
"A01011881"	2014	0
"A30012009"	2010	0
