nif	year	inmovilizado
"A08428658"	2007	153.882
"B48841282"	2014	155.074
"A08029951"	2016	155.117
"B60241437"	2008	155.172
"A28333490"	2014	155.206
"B33607649"	2011	156.52
"A97628242"	2014	157.475
"A41059445"	2008	157.55
"A36619476"	2017	157.653
"B63149637"	2017	159
"A58394941"	2009	160.191
"A23010200"	2012	160.302
"A58061383"	2010	160.752
"B50029263"	2008	161.319
"A30041883"	2016	161.91
"A28475770"	2013	161.969
"A15010994"	2007	162.789
"A28172476"	2012	162.816
"A28427516"	2007	163.409
"B31637069"	2017	163.748
"A08737249"	2014	163.811
"A08737249"	2013	164.182
"A28494896"	2009	164.376
"A48117881"	2015	164.81
"B79945150"	2009	165.125
"A47438262"	2009	165.23
"B60241437"	2012	165.521
"B60653466"	2015	166.641
"A74255282"	2016	167.564
"B97307086"	2012	167.953
"A15010994"	2013	168.476
"A58132606"	2008	168.923
"A28637502"	2016	168.941
"A08393571"	2017	169
"A45013620"	2015	169.11
"B48841282"	2013	169.115
"A33024852"	2013	169.953
"A45012226"	2009	170.513
"A58132606"	2012	172.32
"A08186074"	2017	172.809
"B08988149"	2007	173.241
"A30041883"	2015	173.513
"A28670636"	2014	173.736
"A79203568"	2017	173.901
"A28381234"	2014	173.992
"A58394941"	2008	174.59
"A28637502"	2015	175.55
"B85036887"	2016	176.387
"B28460681"	2012	176.429
"A08202582"	2009	176.708
"A28333490"	2013	176.891
"A48080881"	2009	176.936
"A80732142"	2012	177.907
"A23014871"	2012	178.162
"A45562329"	2017	180.336
"A28668580"	2014	180.891
"A28674968"	2014	181.203
"A20049755"	2013	181.493
"A41059445"	2007	182.41
"B83393223"	2013	182.746
"A28172476"	2017	182.783
"A45013620"	2014	182.97
"B28460681"	2013	183.442
"A97628242"	2015	183.765
"A33024852"	2012	186.35
"A48080881"	2008	186.359
"B50029263"	2007	186.436
"A59382762"	2017	186.664
"A59382762"	2010	186.809
"A08304628"	2011	186.96
"B96683347"	2011	187.498
"B62293113"	2013	187.612
"A28448538"	2015	187.658
"A59382762"	2012	187.711
"A08202582"	2007	188.25
"A59382762"	2008	189.041
"B81009151"	2008	189.83
"A08304628"	2014	189.909
"A08452500"	2013	190.46
"A28381234"	2013	190.827
"A30041883"	2014	191.366
"A20557294"	2007	191.97
"A08452500"	2014	192.455
"B28460681"	2011	192.852
"A07068430"	2007	193.28
"B64555980"	2017	193.383
"A59382762"	2009	193.606
"A08452500"	2015	193.667
"A48117881"	2012	193.738
"A08202582"	2008	194.3
"B28460681"	2014	195.273
"B61395497"	2008	196.078
"B50029263"	2009	196.15
"A41088493"	2012	196.539
"A28333490"	2011	197.035
"A30016687"	2014	198.131
"A28051597"	2011	198.172
"A28333490"	2012	198.199
"B08195653"	2015	198.318
"B61395497"	2009	198.551
"A23014871"	2016	198.91
"A08737249"	2017	198.982
"A28574044"	2014	199.655
"A36619476"	2016	199.716
"A08563769"	2014	200.372
"A14012819"	2010	200.756
"A28051597"	2012	201.165
"A73093734"	2017	201.465
"A63746275"	2016	201.72
"A20049755"	2012	202.239
"A46074647"	2016	202.262
"A96646880"	2009	202.821
"A80732142"	2011	202.913
"A46068862"	2010	203.327
"A46068862"	2011	204.081
"A30016687"	2015	204.219
"A08508418"	2014	205.422
"A30016687"	2012	207.584
"A50066562"	2010	207.831
"A80352750"	2014	208
"A17012626"	2010	208.056
"A41088493"	2013	208.138
"A25026139"	2017	208.141
"A29050572"	2016	209.421
"A41088493"	2014	209.579
"A08029951"	2014	209.6
"B64555980"	2016	209.719
"B08195653"	2013	209.998
"A48121826"	2012	210.12
"B39021217"	2012	210.248
"A30016687"	2013	210.504
"A28054211"	2017	212.4
"A03001948"	2007	212.841
"A80732142"	2010	213.478
"A58061383"	2011	213.5
"A28670636"	2013	214.061
"A28381234"	2012	214.682
"B39021217"	2011	214.754
"A28128486"	2009	214.908
"A48116420"	2017	215.477
"B08195653"	2014	215.707
"A45013620"	2013	216.044
"A08708620"	2008	216.21
"A40004731"	2007	216.978
"A21144498"	2017	217.161
"A58061383"	2012	217.26
"A08689796"	2012	217.645
"A14012819"	2009	218.335
"A28132959"	2014	218.681
"A96646880"	2008	218.682
"B45493418"	2015	218.784
"A08393571"	2014	220.008
"A08737249"	2016	220.256
"B48841282"	2012	220.335
"B61395497"	2010	220.524
"A96646880"	2007	220.578
"A33024852"	2014	220.766
"A23014871"	2013	220.788
"A45013620"	2016	220.854
"A80352750"	2013	221
"A08075293"	2011	221.341
"A14012819"	2008	221.346
"B85036887"	2015	221.825
"B61395497"	2014	222.013
"A08489007"	2007	222.395
"A08952012"	2017	223.344
"A07002645"	2014	223.466
"B27007897"	2007	223.538
"A08393571"	2016	224
"B83393223"	2010	224.624
"A48121826"	2013	224.723
"A29050572"	2017	224.775
"B61395497"	2011	224.846
"A08425902"	2017	225.646
"A08186074"	2010	226.05
"A48117881"	2014	226.089
"A08737249"	2012	226.523
"B61395497"	2012	226.837
"A41008640"	2014	227
"A08689796"	2013	227.344
"A78521168"	2013	227.785
"B03010634"	2017	230.292
"A30041719"	2009	232.603
"A08507741"	2009	232.887
"A30016687"	2011	233.259
"B31072705"	2012	233.313
"B08195653"	2012	233.339
"A28193209"	2011	233.532
"A22007314"	2009	235.557
"B79945150"	2012	236.112
"B61395497"	2013	236.299
"B33029729"	2007	236.527
"A81117798"	2013	236.674
"A59382762"	2013	236.729
"A79203568"	2015	236.773
"A79290565"	2007	238
"A41088493"	2011	238.239
"A59382762"	2016	238.508
"A21144498"	2015	238.813
"B33029729"	2008	238.991
"A08393571"	2015	239
"A08425902"	2016	240.393
"A28192532"	2017	240.578
"B39021217"	2010	240.771
"A81117798"	2014	240.83
"A60853413"	2009	241.31
"A29051067"	2011	241.343
"A23014871"	2014	241.601
"A08029951"	2017	241.877
"A28475770"	2012	241.959
"A41008640"	2013	242
"A21144498"	2016	242.16
"A46068862"	2008	243.756
"A14012819"	2007	244.24
"A79203568"	2016	244.254
"B60653466"	2017	244.403
"A08425902"	2014	244.667
"A08466187"	2016	245.896
"B08195653"	2011	246.381
"A28192532"	2015	246.584
"B08619405"	2017	247.111
"A28580520"	2015	247.773
"A48117881"	2013	247.954
"A39022660"	2009	247.955
"A45012226"	2010	248.007
"A17012626"	2017	248.109
"B97307086"	2013	248.364
"A23014871"	2015	248.65
"A08689796"	2014	248.969
"B83741835"	2015	249.343
"A08375537"	2017	249.62
"V95436002"	2017	249.798
"A28427516"	2008	250.574
"B03091527"	2014	250.645
"B62725320"	2015	250.933
"A58061383"	2013	251.32
"A08425902"	2013	251.478
"B39021217"	2013	252.355
"B08413247"	2014	252.605
"A40004731"	2008	253.059
"A46068862"	2009	253.657
"A28574044"	2013	253.796
"A08507741"	2008	253.86
"A60853413"	2008	254.03
"B31066798"	2015	254.344
"A28333490"	2009	255.616
"A08425902"	2012	255.943
"B08619405"	2014	258.122
"A28192532"	2014	259.414
"B48441497"	2015	259.786
"A08425902"	2015	259.928
"B33607649"	2013	260.614
"B83741835"	2014	260.623
"A36619476"	2015	260.748
"B95422721"	2017	263.059
"A28192532"	2016	263.157
"A28192532"	2013	263.576
"B61425682"	2010	265.757
"V43661891"	2015	266.612
"A41008640"	2011	267
"A53559530"	2008	267.452
"A59382762"	2014	268.164
"B08194359"	2012	269
"A41008640"	2010	269
"A39022660"	2008	269.37
"A28132959"	2013	269.551
"A17003757"	2015	269.667
"A41008640"	2012	270
"A46068862"	2007	270.546
"A15010994"	2015	270.767
"A28505402"	2008	271.775
"A60853413"	2007	271.97
"A28674968"	2016	274.544
"B03010634"	2015	275.433
"A08952012"	2016	276.953
"B39021217"	2008	277.893
"B03010634"	2016	278.307
"A48117881"	2011	278.334
"A08708620"	2007	278.64
"B08195653"	2010	279.569
"A28505402"	2007	280.26
"A47438262"	2011	281.232
"A08452500"	2012	281.302
"A01016591"	2017	282.793
"A08354441"	2007	282.966
"A40004731"	2010	283.297
"B08619405"	2013	283.388
"A79259339"	2007	284.24
"A46074647"	2012	284.674
"A50034024"	2017	284.956
"A29051067"	2016	284.986
"A41008640"	2009	285
"A60853413"	2010	285.071
"A08644932"	2012	285.732
"A01004993"	2015	285.771
"A08514028"	2015	285.824
"B33119983"	2013	285.923
"A41022609"	2011	286.525
"A08198392"	2010	287.43
"B83393223"	2012	288.101
"A74255282"	2017	288.347
"A08375537"	2016	288.44
"A27014430"	2008	288.817
"A09015256"	2008	289.037
"A29050572"	2015	289.282
"A08508418"	2013	289.682
"A73093734"	2016	290.233
"A17003757"	2013	290.412
"A28642122"	2007	290.45
"A28637502"	2017	290.485
"A08354441"	2009	290.708
"A46074647"	2007	290.963
"A09015256"	2017	291.701
"A24056319"	2014	292.656
"A58132606"	2007	292.738
"A28192532"	2012	292.761
"A22012223"	2017	293.02
"B81009151"	2007	293.14
"B03091527"	2013	294.033
"A09015256"	2014	294.331
"A08737249"	2015	294.626
"A08393571"	2010	295.668
"A33373622"	2017	295.711
"B59162701"	2007	295.831
"B08660409"	2016	296.546
"B62725320"	2016	296.693
"A28441269"	2013	296.762
"A08354441"	2008	298.051
"A59382762"	2015	298.119
"A20557294"	2008	298.257
"A09015256"	2009	299.146
"A58394941"	2014	299.337
"A20049755"	2011	299.653
"A28441269"	2014	300.356
"A21144498"	2011	300.418
"A33019720"	2015	300.618
"A48403927"	2016	301.442
"A22007314"	2011	301.861
"B08988149"	2008	302.337
"A01016591"	2016	302.379
"A33019720"	2014	302.54
"A28345148"	2015	303.487
"A08418030"	2014	303.5
"B08619405"	2016	303.538
"A25026139"	2015	303.608
"B84348622"	2014	303.888
"B08619405"	2012	304.8
"B59162701"	2012	305.068
"A15010994"	2014	305.15
"A08737249"	2011	305.235
"A46122065"	2014	305.606
"A46074647"	2015	305.722
"B08195653"	2009	306.158
"A28420602"	2012	306.244
"A08075293"	2010	308.738
"A24056319"	2013	308.945
"A40004731"	2009	309.569
"A28167443"	2011	310.239
"A40004731"	2011	310.266
"A46074647"	2011	310.481
"A08354441"	2012	310.733
"A08508418"	2010	311.375
"A01016591"	2010	311.531
"B59162701"	2011	311.657
"B84348622"	2017	311.994
"A28441269"	2010	312.175
"B36609485"	2013	313.109
"B08195653"	2008	315.998
"B84348622"	2013	316.475
"A08304628"	2016	317.225
"A28670636"	2012	317.432
"A28574044"	2010	317.936
"A08644932"	2013	317.958
"B03010634"	2014	318.457
"A46122065"	2015	319.917
"A22012223"	2016	320.543
"A29050572"	2013	320.691
"A45013620"	2017	320.979
"A08021768"	2009	321.8
"B84886837"	2014	322.299
"B08195653"	2016	322.84
"A09015256"	2010	323.263
"A09015256"	2013	323.354
"A01016591"	2015	324.132
"B62293113"	2014	324.929
"A46068862"	2012	325.028
"B08413247"	2013	325.27
"A08514028"	2014	327.154
"A28067338"	2014	327.242
"B36684157"	2010	327.55
"A63746275"	2014	327.997
"A17003757"	2014	328.073
"B45493707"	2014	329.527
"B41072471"	2013	329.813
"A28574044"	2012	329.822
"A97628242"	2012	329.959
"V95436002"	2016	330.105
"A28192532"	2011	331.503
"A08574881"	2016	333.044
"A60853413"	2011	333.571
"B46142071"	2016	333.704
"A14012819"	2012	334.467
"A30041719"	2010	334.644
"A28441269"	2015	335.211
"A82485335"	2015	335.323
"A09015256"	2007	335.495
"A80352750"	2011	336
"A11902814"	2011	337.741
"A28192532"	2007	338.306
"A08507741"	2015	338.51
"B03091527"	2012	338.793
"A08203887"	2017	339.957
"B39021217"	2009	339.972
"A27014430"	2010	340.93
"A36619476"	2014	341.991
"A08713869"	2009	342.207
"B82841552"	2010	342.488
"A08273898"	2014	343.072
"A46122065"	2013	343.585
"A24056319"	2016	343.623
"B83393223"	2011	343.698
"A08029951"	2013	344.108
"F50561091"	2017	344.145
"A08507741"	2007	344.26
"A08418030"	2013	344.436
"B02419273"	2014	344.601
"B81303232"	2014	345.466
"A28574044"	2009	347.206
"B45493707"	2010	347.63
"F50561091"	2016	348.069
"A48121826"	2015	348.126
"A28167443"	2008	348.197
"A46122065"	2012	348.273
"B59162701"	2013	349.729
"B02419273"	2016	350.617
"B36609485"	2015	350.881
"A48117881"	2010	351.037
"A46463311"	2014	351.251
"A28674968"	2015	351.361
"B45493707"	2013	351.722
"A08354441"	2013	352.424
"A28574044"	2011	352.711
"A84534874"	2015	353.152
"B08304610"	2013	354.064
"A11902814"	2012	354.064
"A21010616"	2012	354.191
"A63746275"	2015	354.905
"A50066562"	2012	357.02
"A29050572"	2009	357.064
"B46157285"	2017	359.909
"A45012531"	2015	360
"B33119983"	2011	360.072
"A08612103"	2012	360.476
"A58132606"	2014	360.985
"A46068862"	2013	361.117
"B08499410"	2014	361.567
"A14012819"	2011	361.835
"A30018147"	2010	362.615
"A46165304"	2015	364.286
"A46074647"	2010	364.78
"B27007897"	2008	364.815
"A28192532"	2009	365.137
"A09015256"	2016	366.254
"B82612896"	2016	366.457
"A08612103"	2013	366.614
"A80359730"	2015	366.851
"A08502635"	2017	366.923
"A36010676"	2008	367.387
"A28475770"	2011	368.372
"A08354441"	2014	368.729
"A08514028"	2013	368.978
"A21010616"	2011	369.265
"B32001687"	2011	369.486
"A08612103"	2007	369.681
"B08619405"	2011	369.775
"A78020732"	2008	369.92
"A45020450"	2007	369.922
"A46165304"	2016	370.067
"A28132959"	2011	370.074
"A48080881"	2014	370.581
"A28416154"	2015	370.761
"A08128035"	2017	370.864
"A22012223"	2014	371.226
"A46122065"	2016	371.76
"B03091527"	2010	371.92
"A28345148"	2014	372.147
"A28192532"	2010	372.165
"A08393571"	2009	372.746
"A46463311"	2017	373.25
"A46035770"	2009	373.619
"B47014568"	2009	373.896
"A17003757"	2012	375.164
"A48080881"	2013	375.869
"A08098576"	2014	376.057
"B36609485"	2014	376.077
"A29050572"	2014	376.864
"A08393571"	2013	377.797
"A09015256"	2015	377.921
"A33019720"	2013	378.471
"A08452500"	2011	378.534
"A28420602"	2017	378.587
"B47014568"	2008	378.635
"A45020450"	2008	378.798
"A20806329"	2013	378.8
"A08952012"	2015	379.689
"A47013180"	2009	380.184
"A35033604"	2012	380.627
"A08203887"	2010	380.843
"A28167443"	2010	380.973
"A08508418"	2012	383.241
"A23010200"	2011	383.298
"A11902814"	2014	383.691
"A08737249"	2010	383.735
"B08660409"	2012	384.252
"A82405788"	2012	385.193
"B41072471"	2012	385.257
"A48117881"	2007	385.279
"A29051067"	2015	385.354
"A03003530"	2014	385.876
"B84348622"	2016	386.356
"A39022660"	2007	386.817
"A08354441"	2011	387.09
"B37033487"	2013	387.493
"B50068105"	2010	387.737
"A22012223"	2015	388.093
"B08190902"	2015	389.259
"A31003304"	2015	389.616
"B82175001"	2013	390.106
"B08013963"	2007	390.27
"A08737249"	2009	390.496
"A28132959"	2009	390.697
"A08502635"	2015	390.747
"A08354441"	2010	390.776
"A58394941"	2013	391.014
"A60853413"	2015	391.263
"A08507741"	2013	391.358
"A46463311"	2016	392.024
"A21010616"	2013	392.169
"A78020732"	2007	392.479
"B08660409"	2011	392.66
"A45020450"	2009	392.858
"A20018586"	2014	393.016
"A45012531"	2017	393.127
"B82175001"	2012	393.778
"B32001687"	2008	394.241
"B08660409"	2015	394.329
"B45493707"	2012	394.534
"A36010676"	2007	394.756
"A46068862"	2014	395.322
"B03091527"	2011	395.869
"B08619405"	2015	396.022
"A80732142"	2016	396.398
"A28067338"	2013	396.411
"B08284002"	2017	397.964
"A41022609"	2012	398.232
"A62400718"	2008	398.524
"A38031233"	2014	398.538
"A48121826"	2014	399.062
"A46074647"	2014	399.071
"A28345148"	2013	399.38
"B33119983"	2012	399.813
"A08574881"	2014	400.997
"A80352750"	2017	401
"B02419273"	2015	401.884
"A09015256"	2011	402.685
"A20049755"	2015	403.056
"A08508418"	2011	403.16
"A08574881"	2015	403.303
"A45562329"	2016	403.772
"A80352750"	2016	404
"A28724219"	2010	404.239
"A40004095"	2014	404.294
"A28167443"	2012	404.716
"A41008640"	2007	405
"B08407322"	2007	405.872
"B08407322"	2009	406.93
"A48117881"	2008	407.797
"A01019702"	2007	408.721
"A08612103"	2011	408.722
"B50057330"	2010	409.911
"A30016687"	2016	410.315
"B59162701"	2014	410.557
"A40006371"	2008	410.91
"A48080881"	2012	411.605
"A24056319"	2015	411.771
"B06368674"	2012	411.969
"A11902814"	2015	412.193
"A28420602"	2016	412.539
"A29009537"	2015	412.677
"A80732142"	2015	413.03
"A84534874"	2013	413.326
"A28670636"	2011	413.827
"B36684157"	2009	413.928
"A22012223"	2013	414.267
"A28441269"	2016	415.012
"A28410850"	2007	415.107
"A20073508"	2017	415.126
"A09015256"	2012	415.183
"A28192532"	2008	415.327
"B35043637"	2013	415.36
"B35043637"	2012	415.364
"B17229675"	2008	415.465
"A29051067"	2013	415.598
"A39020805"	2015	415.623
"A28132959"	2010	415.996
"A41022609"	2014	416.571
"A08507741"	2014	416.988
"A11902814"	2010	417.735
"A08708620"	2009	418.411
"A20018586"	2013	418.874
"A48080881"	2017	419.318
"A28132959"	2015	419.778
"B79863288"	2014	420.759
"A48117881"	2009	421.469
"A08574881"	2013	421.513
"A84534874"	2014	421.717
"A08688095"	2017	422.509
"A46104485"	2011	423.104
"A46074647"	2008	423.147
"A46463311"	2015	423.522
"A28039469"	2013	423.761
"B35043637"	2017	424.463
"A23010200"	2014	424.953
"A08203887"	2009	425.298
"A30018147"	2015	425.9
"A58394941"	2011	426.803
"A08066300"	2017	427.199
"A81896375"	2012	427.279
"B79863288"	2015	427.308
"V95436002"	2015	427.565
"A08737249"	2008	427.697
"A08036709"	2009	427.723
"A28054211"	2014	428.17
"A03030350"	2014	428.65
"A28511004"	2010	428.806
"A03030350"	2016	429.753
"B79863288"	2011	430.585
"B60031150"	2012	430.644
"B35043637"	2016	431.118
"A41022609"	2013	434.102
"A22009690"	2016	434.877
"B08619405"	2010	435.054
"A21391917"	2012	435.124
"A33373622"	2016	435.18
"A08688095"	2016	435.688
"A29051067"	2009	435.955
"A28046704"	2013	436.363
"A08413403"	2014	436.373
"A29051067"	2012	437
"B84348622"	2015	437.083
"A58394941"	2012	437.506
"B32001687"	2007	437.92
"A10010445"	2013	438.557
"A47010194"	2017	438.783
"A08275281"	2013	439.04
"A41277336"	2013	439.264
"A30018147"	2014	439.467
"A08952012"	2014	440.266
"B82175001"	2011	440.294
"A08612103"	2008	441.826
"A08393571"	2008	442.128
"B48070155"	2007	442.54
"A97628242"	2013	442.636
"B32001687"	2010	443.694
"A41008640"	2008	444
"A41088493"	2010	444.105
"B79863288"	2008	445.067
"A03030350"	2017	445.12
"V95436002"	2014	445.183
"B08013963"	2008	445.664
"A31180060"	2017	446.136
"B28072205"	2015	447.064
"A08688095"	2015	447.877
"B83741835"	2016	448.347
"A08026635"	2007	450.084
"A11010469"	2014	450.458
"A08066300"	2016	450.675
"A28345148"	2012	450.681
"A31180060"	2014	451.668
"A28132959"	2008	452.01
"A01007442"	2010	452.662
"A28167443"	2009	455.241
"B83541912"	2013	456.688
"A23010200"	2015	456.718
"A08141038"	2016	456.775
"A31180060"	2016	456.871
"A28046704"	2014	456.953
"A41022609"	2017	457.41
"B36684157"	2011	457.691
"B59162701"	2008	458.351
"F50561091"	2015	458.405
"A28111342"	2010	459.023
"A41022609"	2015	459.431
"A03030350"	2012	459.622
"A08507741"	2012	460.795
"A03030350"	2011	460.895
"A08688095"	2013	461.125
"A08612103"	2010	461.249
"A48080881"	2011	462.057
"A15016595"	2016	462.092
"A08688095"	2014	462.244
"A48403927"	2015	463.101
"A08021768"	2011	463.103
"A80732142"	2017	463.217
"A28420602"	2015	464.474
"A28193209"	2012	464.968
"A20073508"	2016	465.387
"A28172476"	2011	465.534
"B96990015"	2010	465.912
"A08688095"	2012	466.946
"B29682135"	2010	467.544
"A30041719"	2011	468.662
"B03091527"	2008	469.781
"A20049755"	2010	470.472
"B41086844"	2012	470.721
"A28111342"	2009	471.24
"A17003757"	2011	474.318
"A28446995"	2017	474.365
"B84886837"	2015	474.634
"A80732142"	2014	474.823
"B45493707"	2011	474.889
"A31180060"	2015	475.081
"A03030350"	2015	475.083
"A08688095"	2011	475.596
"B46016408"	2017	477.586
"A08278293"	2010	478.553
"A28651370"	2010	478.713
"A08612103"	2009	479.032
"A29051067"	2014	480.072
"A60853413"	2014	480.207
"B50001874"	2012	480.549
"A48080881"	2010	480.624
"A30018147"	2013	481.043
"A08128035"	2014	481.774
"B06422877"	2013	483.099
"A03030350"	2013	483.528
"A28574044"	2017	483.776
"A96560560"	2014	484.122
"B96990015"	2016	484.191
"A48080881"	2016	485.146
"A08688095"	2010	487.351
"A28441269"	2017	487.783
"A08203887"	2012	487.962
"A08036709"	2008	488.084
"A28446995"	2016	488.384
"A46074647"	2013	488.6
"B31064082"	2013	488.745
"A28283067"	2010	489.267
