nif	year	activo_circ
"B41441387"	2015	347.601
"A97043772"	2017	351.463
"A09354176"	2011	355.904
"B41441387"	2014	359.115
"B07685779"	2007	368.269
"A15049281"	2014	376.485
"A35515485"	2016	378.914
"B12523601"	2009	382.033
"B43579424"	2016	382.32
"B14819643"	2015	401.05
"B03026382"	2016	402.392
"A80632573"	2008	402.785
"A07010937"	2015	404.878
"A46063731"	2009	407.97
"A82854811"	2015	411.07
"A35515485"	2014	413.166
"B41441387"	2013	413.781
"B07985609"	2017	414.513
"B08156036"	2011	415.1
"B50938489"	2016	417.577
"A34129635"	2015	417.685
"A07024896"	2016	422.66
"A46105532"	2008	431.845
"A97043772"	2016	433.023
"A61831681"	2014	433.509
"B08552614"	2016	437.323
"A63796395"	2016	442.687
"B28376184"	2007	444.812
"B61914883"	2007	445.191
"A07123441"	2009	447.699
"V61861548"	2015	448.795
"A28011286"	2009	449
"B81335473"	2010	450.705
"B23015753"	2014	455.637
"A38013272"	2012	455.882
"A07010937"	2012	458.875
"A08301475"	2008	459.774
"A07010937"	2013	464.929
"B12523601"	2011	467.079
"B28701340"	2016	469.75
"B03026382"	2013	469.765
"B43579424"	2017	473.291
"A34129635"	2014	473.475
"A46164034"	2017	473.587
"A07123441"	2013	476.956
"B17016254"	2013	478.156
"A82026840"	2015	479.618
"A46105532"	2007	480.692
"B60544046"	2017	482.047
"A96785225"	2016	483.705
"B03026382"	2012	483.722
"B07685779"	2017	486.436
"A57082570"	2017	489.408
"B50067586"	2017	490.655
"A08802068"	2017	492.707
"A08147555"	2007	494.114
"A11000288"	2016	496.013
"A07244023"	2013	497.673
"B08156036"	2017	499.294
"B17016254"	2011	499.568
"B43590272"	2015	500.472
"A08139339"	2008	504.204
"B43590272"	2017	507.044
"A80632573"	2007	515.759
"A11000288"	2017	516.996
"A08147555"	2011	517.146
"A28814135"	2008	517.15
"A07190309"	2016	519.492
"B08552614"	2015	519.581
"B07685779"	2008	525.704
"A35811272"	2012	529.196
"B41441387"	2012	529.917
"B43587120"	2017	532.176
"A63645220"	2015	533.59
"B50938489"	2014	533.727
"A34129635"	2016	538.829
"A15685324"	2009	541.398
"A15049281"	2017	541.463
"A53242152"	2011	543.474
"A08139339"	2010	545.409
"B35110410"	2008	547.44
"A07086515"	2012	548.332
"A78097656"	2009	549.372
"A07086515"	2009	550.764
"A78097656"	2012	555.064
"A32225419"	2014	555.31
"B85160976"	2014	555.419
"B50067586"	2016	557.319
"A07024896"	2014	558.841
"B23015753"	2015	559.357
"A78097656"	2014	561.188
"B28701340"	2013	561.643
"A08121089"	2015	563.015
"A46063731"	2011	563.052
"A81841850"	2013	564.151
"A46063731"	2013	565.029
"A34129635"	2017	567.143
"B41441387"	2016	567.502
"A78097656"	2013	575.663
"A07086515"	2013	576.642
"A97043772"	2015	577.528
"A34129635"	2007	579.28
"A07256100"	2015	588.591
"A07035934"	2012	593.006
"A78097656"	2017	594.57
"A34129635"	2013	595.434
"A01376888"	2017	600.171
"A35101732"	2017	603.553
"A46030680"	2016	605.099
"A07086515"	2010	608.136
"B50938489"	2015	610.286
"A53242152"	2009	613.345
"A08139339"	2014	614.873
"A07024896"	2015	620.746
"B21259726"	2010	624.128
"A08196446"	2014	625.047
"B84309616"	2012	625.556
"B43579424"	2015	626.365
"B28341832"	2012	626.687
"B03026382"	2009	626.738
"A46063731"	2012	630.501
"A46063731"	2008	633.755
"V61861548"	2017	636.276
"A48031140"	2015	638
"A08121089"	2012	638.645
"A15049281"	2016	641.938
"A78097656"	2016	642.695
"B61914883"	2016	644.116
"A09354176"	2012	646.337
"B50938489"	2013	648.348
"B61967774"	2016	649.59
"A81438145"	2009	652.903
"A22003537"	2016	653.008
"A17017005"	2012	658.784
"A32225419"	2015	659.617
"B28341832"	2013	660.836
"A78905908"	2012	661.856
"A82716010"	2017	661.919
"A07244023"	2012	663.134
"A07086515"	2014	663.253
"V61861548"	2016	666.41
"A08301475"	2009	671.879
"B07685779"	2016	674.416
"A46164034"	2012	675.496
"B61882551"	2009	677.66
"A22003537"	2014	680.205
"A46063731"	2007	680.435
"A82026840"	2013	683.791
"A78097656"	2015	685.282
"B92963628"	2016	686.019
"A07010937"	2011	687.007
"A34129635"	2012	691.792
"A07010937"	2014	699.662
"A08139339"	2011	703.274
"B03045507"	2015	707.7
"B07025315"	2016	712.472
"A80632573"	2010	723.959
"A82026840"	2014	729.268
"A82026840"	2016	733.561
"B07025315"	2011	745.312
"A96785225"	2017	745.586
"A08196446"	2017	747.74
"A50000355"	2015	749.183
"A15049281"	2013	750.381
"A48080147"	2009	760.37
"B28701340"	2017	760.374
"A35610666"	2008	760.76
"A82026840"	2012	762.576
"A07032030"	2016	763.678
"A31737455"	2017	765.199
"B43579424"	2014	766.919
"B62916077"	2010	767.487
"A58017187"	2010	767.703
"A80632573"	2011	775.263
"A81841850"	2016	776.933
"B17016254"	2012	779.005
"A41027723"	2009	779.725
"B08156036"	2016	781.405
"A08139339"	2012	781.472
"A31737455"	2011	782.273
"B84372051"	2015	784
"A17007014"	2009	786.546
"B08245805"	2017	792.767
"A41043159"	2017	792.97
"A46048732"	2008	793.196
"B84372051"	2017	794
"V48566475"	2013	795.706
"B03045507"	2011	796.837
"A61831681"	2008	799.25
"A15049281"	2012	799.336
"A32225419"	2013	800.383
"B61882551"	2010	801.782
"A81841850"	2009	803.643
"A35753094"	2015	804
"A43015965"	2017	805.08
"V61861548"	2010	805.531
"V83443390"	2014	807.667
"B03045507"	2013	808.407
"B09417932"	2013	812.361
"A36643450"	2013	814.37
"A78905908"	2014	814.818
"A50000355"	2016	816.398
"A58253816"	2015	817.904
"A80904576"	2016	818.196
"B03045507"	2016	821.185
"B81335473"	2017	822.686
"B60544046"	2015	822.934
"A80762602"	2008	824.021
"A07040090"	2017	824.934
"A97043772"	2014	825.182
"A80904576"	2017	825.74
"A58253816"	2013	826.159
"A81410227"	2008	827.557
"A17007014"	2010	829.636
"A07040090"	2016	830.652
"A78097656"	2011	832.064
"B08245805"	2012	832.684
"B41666728"	2007	832.689
"A08121089"	2013	832.889
"A78905908"	2011	833.187
"A07010937"	2010	838.177
"A07244023"	2007	839.05
"A07256100"	2012	841.635
"A07086515"	2015	841.856
"V61861548"	2012	842.183
"B01015221"	2009	843.943
"A97043772"	2012	844.837
"A78097656"	2008	847.375
"A97043772"	2011	847.641
"B03026382"	2008	848.787
"A46164034"	2014	852.107
"B07025315"	2015	852.962
"B78496759"	2009	852.969
"A09354176"	2013	853.724
"B08245805"	2016	866.458
"B24014292"	2016	872.614
"A48100002"	2016	873.403
"A81841850"	2007	874.42
"A85125078"	2017	875
"A96785225"	2013	875.015
"B82988825"	2012	875.927
"A41027723"	2012	877.433
"B28341832"	2017	878.78
"B21259726"	2017	880.962
"B07685779"	2009	881.874
"A48016877"	2015	882.274
"B45018017"	2016	883.338
"A12019840"	2017	883.696
"B84822832"	2016	884.041
"B82988825"	2017	884.276
"B07025315"	2012	886.126
"A12019840"	2016	886.313
"A78097656"	2007	889.725
"B60544046"	2016	890.753
"A28080489"	2008	891.172
"A80632573"	2017	891.44
"B08245805"	2015	896.512
"A31737455"	2015	898.328
"B07685779"	2015	899.629
"A35101732"	2015	902.824
"A78905908"	2010	905.115
"A96918867"	2008	906.077
"A81438145"	2017	907.381
"A58017187"	2009	907.754
"B35110410"	2007	908.34
"A35735083"	2012	913.008
"A08139339"	2009	913.879
"A07089592"	2017	917.439
"B08245805"	2011	918.028
"B83654426"	2017	924.982
"B08156036"	2010	926.102
"A48016877"	2013	927.398
"A24019499"	2009	928.381
"A46063731"	2010	929.983
"A81841850"	2014	932.42
"B60544046"	2014	932.984
"A08377046"	2013	933.403
"A08377046"	2016	934.158
"B43587120"	2015	936.616
"B48907885"	2013	938.292
"A48016877"	2014	939.381
"A12105029"	2017	942.111
"A08196446"	2012	947.453
"B81335473"	2011	948.414
"B41441387"	2017	948.556
"A07190291"	2017	948.862
"A82716010"	2015	950.608
"A25418401"	2008	952
"A81841850"	2017	956.738
"B50938489"	2012	957.451
"A46048732"	2015	959.788
"B07685779"	2010	961.404
"A28987196"	2012	961.822
"A57346926"	2014	961.871
"B08552614"	2017	962.072
"B74114182"	2012	963.333
"B82988825"	2014	963.419
"B50938489"	2011	964.858
"A28219541"	2012	968.392
"B78496759"	2014	971.542
"B24008955"	2016	973.063
"A81438145"	2015	974.605
"A46048732"	2017	978.535
"B60544046"	2012	979.175
"B21259726"	2014	979.628
"B12523601"	2013	981.106
"B82988825"	2013	982.694
"A28814135"	2007	986.13
"B61252185"	2016	989.342
"A50335918"	2009	989.77
"B43590272"	2014	992.252
"B23015753"	2016	992.82
"B81762684"	2008	993.94
"A28518041"	2016	995.747
"A46048732"	2012	999.644
"A41191313"	2009	1000.645
"A81410227"	2007	1007.58
"A11006095"	2010	1007.876
"A50335918"	2012	1010.037
"B61967774"	2017	1010.836
"B48907885"	2015	1012.194
"B45018017"	2017	1012.456
"B03026382"	2014	1014.029
"A97043772"	2013	1015.075
"B62916077"	2011	1018.09
"A28219541"	2013	1018.428
"A08377046"	2014	1020.106
"A07010937"	2016	1022.97
"V61861548"	2011	1024.867
"A07016025"	2010	1026.012
"A81438145"	2011	1028.131
"A81944324"	2007	1033
"B07025315"	2007	1036.45
"B95271326"	2014	1037.324
"A23020043"	2017	1039.016
"A53242152"	2010	1039.656
"A08139339"	2013	1040.947
"A07010937"	2009	1041.572
"B60544046"	2011	1045.812
"B08156036"	2014	1045.993
"A08377046"	2017	1046.157
"B30037204"	2007	1050.62
"A35397884"	2016	1053.575
"A24019499"	2015	1055.714
"B17016254"	2014	1056.539
"A28518041"	2015	1056.796
"B28379386"	2015	1057.719
"B97861843"	2014	1061.7
"A12019840"	2015	1062.16
"A07035934"	2011	1065.561
"A82026840"	2017	1067.734
"A46164034"	2013	1068.032
"A15049281"	2011	1069.824
"A08250425"	2010	1070.628
"A24019499"	2013	1070.959
"A48016877"	2017	1071.339
"A07010937"	2008	1073.632
"A78905908"	2013	1075.159
"B03026382"	2010	1075.464
"A07010937"	2017	1075.911
"A31194905"	2012	1080
"A36643450"	2015	1080.192
"A28428233"	2009	1080.774
"A48016877"	2016	1082.313
"A31737455"	2016	1082.478
"B50938489"	2010	1084.469
"B03026382"	2011	1088.725
"B60544046"	2013	1089.716
"A58253816"	2017	1093.765
"A07010937"	2007	1094.709
"A46048732"	2016	1094.955
"A78905908"	2015	1095.06
"A81438145"	2016	1095.948
"A41027723"	2010	1100.997
"A28087583"	2015	1101.39
"A82026840"	2008	1102.763
"B12026183"	2016	1103.075
"A42000802"	2012	1109
"A45025327"	2017	1109.935
"B24008955"	2015	1112.263
"A07089592"	2010	1115.604
"A30011282"	2016	1116.738
"A45025327"	2016	1117.932
"B43361724"	2016	1119.694
"A38356937"	2013	1124.154
"B24014292"	2017	1129.202
"A97043772"	2009	1132.101
"A50335918"	2011	1132.486
"A36643450"	2012	1136.793
"A58356213"	2010	1137.967
"A81841850"	2008	1139.572
"A08377046"	2015	1140.067
"B03045507"	2014	1140.653
"A61831681"	2016	1141.331
"A96862933"	2013	1141.34
"B21259726"	2016	1144.689
"B38484796"	2009	1147.617
"A50335918"	2015	1148.092
"B08245805"	2014	1148.683
"B84894377"	2015	1150.315
"A07032030"	2017	1155.718
"B48907885"	2014	1157.745
"B82432725"	2009	1158.649
"A82026840"	2011	1159.319
"A97789861"	2014	1160.734
"A08121089"	2014	1161.938
"A41027723"	2013	1162.789
"A07244023"	2008	1162.87
"A08139339"	2015	1168.58
"A46336152"	2016	1170.483
"A01292846"	2016	1171.508
"A07244023"	2011	1172.988
"A38356937"	2014	1181.042
"A30011282"	2015	1181.571
"B58807645"	2007	1181.836
"A29018249"	2017	1182.74
"A28379816"	2016	1183.792
"A17007014"	2008	1184.406
"A96862933"	2012	1186.179
"A62977186"	2011	1189.422
"B17016254"	2016	1193.36
"A61831681"	2009	1193.726
"A28518041"	2017	1194.838
"A28080489"	2007	1198.178
"A50012822"	2017	1199.029
"A11006095"	2011	1204.095
"A61831681"	2010	1207.767
"B17016254"	2015	1208.278
"B07025315"	2017	1208.476
"A42000802"	2007	1209.14
"A42000802"	2011	1210
"B81762684"	2007	1210.25
"A46048732"	2013	1210.572
"A26270322"	2008	1212.211
"A46030680"	2017	1213.272
"B35642198"	2012	1216.687
"A07089592"	2016	1217.867
"A61831681"	2011	1220.586
"A08121089"	2016	1221.284
"A38013272"	2008	1221.372
"B21259726"	2015	1222.563
"B28023679"	2017	1223.044
"A28379816"	2015	1225.366
"A58356213"	2009	1225.841
"B28379386"	2016	1225.863
"A28219541"	2016	1227.961
"A31194905"	2011	1228
"B61882551"	2011	1230.025
"B60544046"	2009	1233.053
"A50335918"	2016	1233.862
"A97043772"	2008	1234.59
"B17016254"	2009	1235.307
"B60544046"	2010	1238.573
"B01376615"	2017	1242.864
"A28379816"	2011	1244.165
"B07025315"	2008	1246.03
"B46164679"	2012	1246.666
"B03045507"	2012	1247.134
"B63533095"	2012	1247.66
"A08290975"	2011	1247.97
"A11006095"	2012	1249.6
"B96683347"	2017	1250.454
"A03734514"	2010	1250.677
"B17014887"	2015	1252.985
"A17017005"	2011	1255.057
"A45025327"	2015	1256.791
"B83211318"	2009	1257
"A07089592"	2015	1258.318
"A07190309"	2017	1259.458
"A15049281"	2015	1260.951
"A29018249"	2016	1263.562
"A15049281"	2009	1266.735
"B03045507"	2009	1268.574
"A58356213"	2008	1271.848
"B50561968"	2017	1278.143
"A46048732"	2011	1279.415
"B07685779"	2012	1280.941
"A97043772"	2010	1281.951
"B07685779"	2013	1283.092
"A81933772"	2012	1284.208
"A07007735"	2013	1284.904
"B07025315"	2010	1285.15
"A78905908"	2016	1286.329
"A07244023"	2010	1290.822
"A58664764"	2015	1291.216
"A17017005"	2008	1291.39
"A42000802"	2008	1291.85
"B48907885"	2016	1291.851
"A41027723"	2011	1294.905
"A80762602"	2011	1295.175
"B28115533"	2012	1296.034
"A58017187"	2015	1301.14
"A78400603"	2015	1301.443
"A29076270"	2017	1301.999
"B21259726"	2012	1304.156
"B03045507"	2008	1306.319
"A07089592"	2013	1306.382
"A78389608"	2011	1306.757
"B08156036"	2009	1308.743
"A81933772"	2015	1309.117
"B12523601"	2008	1310.292
"B08156036"	2008	1312.65
"A17007014"	2014	1313.084
"A24019499"	2014	1313.872
"A80762602"	2010	1315.358
"B41666728"	2009	1317.869
"B35110410"	2009	1319.159
"B92217975"	2010	1319.582
"B03026382"	2017	1321.752
"A43030626"	2016	1322
"B08245805"	2013	1322.449
"A33600107"	2017	1329.381
"A58253816"	2014	1332.27
"A31737455"	2012	1332.627
"A01292846"	2015	1333.848
"V48566475"	2008	1338.238
"A28379816"	2009	1345.428
"A84911825"	2015	1349.6
"A18012930"	2015	1349.706
"B28379386"	2012	1354.326
"A28518041"	2014	1355.938
"A07089592"	2014	1357.502
"B30016612"	2015	1364.263
"B48907885"	2017	1372.068
"A41049503"	2014	1375.182
"A28379816"	2007	1378.095
"B12026183"	2017	1378.54
"A82026840"	2009	1379.001
"A38473724"	2015	1381.002
"A81933772"	2017	1384.608
"A42000802"	2015	1386
"A85279107"	2016	1391.8
"B08912669"	2017	1392.381
"A96785225"	2014	1392.827
"B35642198"	2016	1395.377
"A12000071"	2007	1396.093
"A11006095"	2013	1396.358
"B60544046"	2008	1396.403
"A15049281"	2010	1396.42
"A92153527"	2017	1396.459
"A22271209"	2013	1397.758
"B35642198"	2017	1399.166
"B07685779"	2014	1400.563
"B50561968"	2012	1402.716
"A28580546"	2014	1405.021
"A48040034"	2011	1405.603
"B61252185"	2015	1410.131
"A48040034"	2016	1411.788
"A58534777"	2009	1414.269
"A80632573"	2012	1416.362
"A31194905"	2009	1418
"A92153527"	2013	1419.023
"B81308439"	2017	1420.095
"B08156036"	2012	1423.524
"A31194905"	2008	1424
"B78496759"	2010	1424.181
"B54055140"	2017	1424.681
"A28580546"	2017	1429.005
"B03045507"	2010	1430.269
"B82432725"	2007	1432.661
"A46048732"	2014	1435.65
"B96683347"	2016	1436.258
"B82988825"	2016	1438.46
"V48566475"	2007	1438.67
"B81335473"	2015	1438.836
"B08912669"	2012	1439.48
"A07089592"	2011	1441.216
"A15169535"	2016	1442.34
"A28087583"	2017	1443.305
"B38484796"	2008	1446.631
"A12105029"	2009	1447.606
"A12105029"	2008	1448.94
"B35054006"	2009	1451.379
"B18551226"	2010	1453.598
"B41070020"	2017	1455.316
"A50335918"	2014	1458.254
"A08196446"	2010	1458.439
"A30005524"	2007	1461.7
"A28086858"	2010	1465.255
"B07025315"	2013	1469.141
"A82716010"	2016	1469.822
"A28580546"	2013	1470.976
"A82307117"	2007	1472.35
"A17007014"	2011	1474.366
"B08912669"	2014	1475
"B17014887"	2016	1475.132
"B50561968"	2013	1475.914
"B03028784"	2007	1476.595
"A35014414"	2012	1479.764
"B50067586"	2015	1479.917
"B03035854"	2014	1485.581
"B03035854"	2015	1486.055
"A28219541"	2014	1487.562
"B78496759"	2015	1489.152
"A74136060"	2013	1489.391
"A08005696"	2011	1490.516
"A17007014"	2012	1490.84
"B30016612"	2016	1494.412
"A08005696"	2010	1496.949
"B07685779"	2011	1501.479
"B58807645"	2010	1505.239
"A28118040"	2008	1506.513
"A58017187"	2008	1507.57
"A48040034"	2010	1509.201
"B46164679"	2017	1512.517
"B03036712"	2014	1513.26
"A96862933"	2015	1513.966
"A48040034"	2012	1514.439
"A36643450"	2014	1516.214
"B92963628"	2017	1516.245
"A08139339"	2016	1518.174
"B21259726"	2013	1523.078
"B81335473"	2014	1526.926
"B17016254"	2008	1528.139
"A92153527"	2015	1529.918
"A83826362"	2015	1530.395
"A08213936"	2011	1530.664
"A03734514"	2009	1536.049
"B03028784"	2008	1536.182
"A28379816"	2017	1538.425
"B18573931"	2012	1540.728
"B21259726"	2011	1542.9
"A92153527"	2011	1544.603
"A28801942"	2008	1546.458
"V04509865"	2017	1548.253
"A08093254"	2016	1549.56
"A81438145"	2008	1550.224
"A12363529"	2008	1551.835
"B03035854"	2013	1552.118
"B18573931"	2017	1555.305
"B28644441"	2012	1555.336
"B81308439"	2016	1556.512
"A07009814"	2013	1558.416
"B09417932"	2012	1559.167
"B45018017"	2015	1560.954
"A58253816"	2007	1564.105
"A50000355"	2017	1565.676
"A39017058"	2017	1568.191
"A29018249"	2015	1568.233
"B30016612"	2014	1568.89
"B35054006"	2011	1571.879
"B43590272"	2013	1572.009
"A41392317"	2012	1575.52
"A58017187"	2016	1580.388
"A17007014"	2013	1580.726
"B03035854"	2016	1580.918
"A42000802"	2009	1581
"A24019499"	2011	1582.317
"A28392033"	2014	1582.871
"A61831681"	2015	1584.239
"A83150060"	2009	1586
"B17014887"	2013	1586.873
"A78526811"	2008	1590.489
"A78526811"	2012	1591.181
"B48907885"	2012	1592.078
"A96966049"	2008	1594
"A12000071"	2008	1596.414
"A07244023"	2009	1598.511
"A42000802"	2014	1600
"A41027723"	2014	1601.367
"B28379386"	2017	1602.277
"B18573931"	2013	1604.354
"A46048732"	2009	1604.566
"B46163655"	2015	1606.946
"A28086858"	2012	1608.539
"A82026840"	2007	1609.93
"A35510650"	2016	1609.972
"B84598192"	2016	1611.398
"A92153527"	2014	1611.748
"A58534777"	2010	1614.74
"A35515485"	2013	1615.027
"A07190309"	2014	1616.152
"A19163682"	2007	1619.441
"A47091632"	2007	1620.59
"A28011716"	2017	1621
"A07007735"	2015	1621.229
"A35510650"	2017	1623.445
"B43587120"	2014	1623.619
"A35517671"	2007	1625.656
"A08218133"	2016	1625.841
"B17016254"	2010	1626.369
"B81335473"	2007	1629.94
"B46164679"	2010	1630.232
"A78400603"	2016	1630.421
"A81864498"	2007	1631.56
"A61831681"	2012	1632.762
"B07025315"	2009	1633.1
"A07190309"	2015	1634.709
"B46164679"	2009	1636.809
"B81335473"	2008	1637.112
"B35054006"	2017	1638.68
"A41112012"	2007	1639.44
"B50561968"	2016	1643.517
"A58664764"	2012	1643.986
"A28379816"	2008	1645.619
"A96862933"	2016	1645.872
"A92153527"	2012	1646.399
"A28070167"	2017	1652.052
"A58253816"	2011	1655.12
"A46063731"	2014	1656.313
"B58807645"	2011	1657.64
"A35517671"	2015	1658.754
"A31737455"	2013	1662.389
"A22271209"	2012	1664.289
"A08005696"	2009	1665.416
"A11006095"	2008	1669.487
"B50561968"	2009	1671.131
"B81335473"	2009	1671.509
"B50561968"	2015	1672.614
"B28379386"	2013	1673.206
"B62385067"	2016	1674.362
"A35517671"	2016	1677.454
"B81335473"	2013	1678.019
"A28392033"	2015	1679.89
"A28091262"	2009	1680.24
"B38366225"	2011	1682.961
"B84654201"	2017	1685.835
"A35101732"	2016	1686.718
"A47091632"	2010	1687.292
"B38366225"	2009	1689.915
"A08196446"	2013	1691.059
"A35515485"	2012	1692.532
"A17483124"	2014	1693.668
"B50938489"	2009	1694.642
"B35054006"	2012	1697.495
"A39005574"	2012	1698.848
"B07985609"	2010	1699.418
"A15169535"	2015	1703.327
"A41027723"	2015	1703.556
"B46142485"	2013	1704.203
"B58613076"	2016	1708.233
"A42000802"	2016	1709
"A08196446"	2009	1710.722
"A24050015"	2017	1711.096
"B48907885"	2010	1714.81
"A41049503"	2013	1715.967
"B46039061"	2017	1717.089
"B31784895"	2010	1718.63
"B30016612"	2013	1718.747
"A23020043"	2016	1719.888
"B46051116"	2012	1721.927
"A08218133"	2015	1723.627
"A07256100"	2007	1729.91
"B35110410"	2010	1730.353
"B50561968"	2014	1731.195
"A18017228"	2017	1734.641
"A12000071"	2009	1735.378
"A80632573"	2016	1736.124
"B17014887"	2012	1737.321
"A48016877"	2012	1739.144
"A06023477"	2016	1739.261
"A31737455"	2014	1739.61
"A02436152"	2015	1740.099
"A28580546"	2012	1742.61
"A48040034"	2015	1742.963
"A26004754"	2008	1743.501
"A28379816"	2010	1746.664
"B41666728"	2008	1746.9
"B35054006"	2010	1747.614
"A06007637"	2012	1748.047
"A28134534"	2007	1748.143
"B03028784"	2009	1750.449
"A28091262"	2007	1752.071
"A96918867"	2009	1752.626
"B61914883"	2015	1754.23
"A58534777"	2008	1754.846
"A82026840"	2010	1757.531
"A17007014"	2007	1758.149
"A47091632"	2009	1759.277
"A50023423"	2014	1759.348
"A81933772"	2016	1761.027
"A28443158"	2016	1763.989
"B28692044"	2017	1764.555
"B54055140"	2016	1764.928
"A42000802"	2013	1765
"A08405490"	2011	1766.521
"B43952126"	2017	1766.632
"A96862933"	2014	1767.617
"B35054006"	2016	1768.975
"B08912669"	2013	1769
"A09021825"	2017	1771.145
"A17017005"	2010	1772.408
"A18565705"	2016	1772.915
"B43361724"	2017	1773.573
"A14580385"	2014	1775.36
"A07016025"	2009	1778.315
"B62850094"	2012	1780.239
"A60362266"	2008	1780.461
"A81438145"	2007	1781.993
"B84598192"	2015	1782.263
"B46142485"	2015	1784.407
"B46043238"	2008	1784.563
"A42000802"	2010	1785
"B28644441"	2007	1785.61
"B54055140"	2015	1787.656
"A83826362"	2017	1787.77
"B58807645"	2009	1792.047
"A35517671"	2017	1793.12
"A37043015"	2008	1793.66
"A24019499"	2012	1794.202
"A28814135"	2010	1795.482
"A38013272"	2011	1799.034
"B27014398"	2012	1801.552
"A17020645"	2007	1801.709
"B08156036"	2013	1802.623
"B41070020"	2013	1802.666
"A62035282"	2007	1804.134
"A28580546"	2016	1805.783
"A96862933"	2017	1808.745
"A11006095"	2009	1812.583
"B38366225"	2007	1813.051
"B29006574"	2008	1816.23
"B84363555"	2016	1816.573
"B28379386"	2014	1816.611
"B03036712"	2015	1817.517
"A17017005"	2009	1819.806
"A28580546"	2015	1825.297
"B18573931"	2014	1825.469
"A14336143"	2017	1826
"A80762602"	2007	1826.38
"B58807645"	2016	1826.936
"A45010543"	2017	1829.724
"A43020486"	2012	1831.208
"A31003247"	2017	1834.35
"A81047375"	2007	1835.462
"A48040034"	2013	1837.408
"A28219541"	2017	1839.385
"F06312920"	2010	1840.98
"A08934168"	2009	1841.601
"A47091632"	2008	1843.483
"A03734514"	2015	1845.714
"A39007729"	2008	1846.152
"A61831681"	2017	1847.66
"A35610666"	2015	1847.86
"A08301475"	2016	1849.615
"V04509865"	2015	1852.926
"A12105029"	2007	1854.918
"A12019840"	2014	1855.545
"F06312920"	2011	1855.874
"A92153527"	2010	1856.042
"A96862933"	2009	1857.043
"A47091632"	2012	1857.448
"B84598192"	2013	1858.707
"A09281999"	2016	1860.044
"A83102426"	2010	1860.681
"A92153527"	2016	1861.708
"B30037204"	2008	1864.86
"A08290975"	2012	1866.056
"A06388052"	2015	1867.208
"A35144989"	2010	1869
"F46028072"	2009	1869.804
"A96862933"	2010	1869.901
"A11006095"	2015	1870.635
"A31194905"	2007	1873.54
"A12017760"	2017	1873.66
"A50459528"	2016	1874.375
"A08218133"	2017	1875.757
"A84911825"	2017	1875.829
"A48083927"	2007	1876.726
"B35110410"	2011	1878.142
"B17014887"	2017	1882.883
"A81933772"	2011	1885.2
"A50459528"	2015	1885.712
"A38371159"	2017	1889.623
"B17016254"	2017	1890.657
"B35642198"	2013	1893.334
"B62850094"	2011	1894.82
"A31003247"	2014	1898.259
"B57362105"	2016	1899.14
