nif	year	pasivo_fijo
"A28295806"	2011	0
"A28112555"	2008	0
"B45007671"	2011	0
"A34003624"	2013	0
"A12323408"	2013	0
"B61395497"	2009	0
"A12011672"	2013	0
"A48034110"	2010	0
"A31076508"	2013	0
"A08527020"	2013	0
"A31404452"	2011	0
"A08397465"	2007	0
"B28545994"	2014	0
"A30035547"	2012	0
"A08595324"	2011	0
"A08520629"	2008	0
"A01005594"	2013	0
"A46052809"	2012	0
"B59886531"	2010	0
"A03003530"	2011	0
"A46134250"	2008	0
"A08106031"	2009	0
"A13006903"	2008	0
"A73093734"	2011	0
"A01012830"	2007	0
"A28253656"	2009	0
"A28623379"	2008	0
"A11606134"	2010	0
"B27008390"	2009	0
"A08639643"	2011	0
"B11605862"	2011	0
"A38225041"	2007	0
"A38026605"	2010	0
"B37015526"	2014	0
"A26297663"	2011	0
"A30014211"	2008	0
"A03028552"	2010	0
"A30418255"	2011	0
"A78067188"	2010	0
"A13006903"	2007	0
"B31072705"	2010	0
"B12007456"	2013	0
"B29901469"	2009	0
"A28441269"	2013	0
"A09028184"	2009	0
"A03024809"	2011	0
"B48074306"	2013	0
"A19163682"	2009	0
"A17019316"	2011	0
"A28579191"	2012	0
"A58061383"	2007	0
"A13006903"	2012	0
"A47022058"	2012	0
"A28487007"	2010	0
"A43702745"	2014	0
"A33618257"	2007	0
"B31007354"	2008	0
"A45013620"	2011	0
"A08452500"	2013	0
"A22001721"	2010	0
"A58061383"	2008	0
"A50060011"	2010	0
"A48117881"	2008	0
"A31031545"	2012	0
"A08595324"	2007	0
"A31096233"	2008	0
"A15016702"	2009	0
"A41010521"	2009	0
"B60653466"	2008	0
"A61713301"	2009	0
"A48080881"	2008	0
"B81864894"	2010	0
"A62977186"	2010	0
"A08186074"	2010	0
"B79945150"	2009	0
"A59202853"	2013	0
"A01007137"	2010	0
"A08404212"	2012	0
"B32001687"	2010	0
"B61395497"	2010	0
"B37015526"	2013	0
"B29901469"	2011	0
"A08452500"	2011	0
"A28054211"	2011	0
"A16008294"	2011	0
"A31018799"	2009	0
"A41010521"	2011	0
"A78020732"	2013	0
"A33618257"	2010	0
"F38008579"	2010	0
"A08377046"	2013	0
"A08375537"	2013	0
"C28863686"	2009	0
"B26011627"	2008	0
"A22009492"	2013	0
"A08042764"	2013	0
"A08094435"	2009	0
"A83048363"	2009	0
"B46131371"	2010	0
"A08273898"	2012	0
"B04001848"	2013	0
"A08026635"	2008	0
"A78688934"	2013	0
"A33034695"	2014	0
"A08008518"	2008	0
"A35018696"	2010	0
"A23010200"	2012	0
"A36011385"	2013	0
"A07010937"	2008	0
"A36600518"	2009	0
"B81009151"	2007	0
"A08396830"	2010	0
"A17034505"	2013	0
"A34003624"	2009	0
"B48074306"	2009	0
"A28375913"	2013	0
"F25002338"	2012	0
"B04001848"	2012	0
"B82175001"	2012	0
"B03036712"	2013	0
"A12083002"	2013	0
"A15590904"	2013	0
"A46336152"	2011	0
"A33610304"	2012	0
"A81722712"	2010	0
"A15590904"	2009	0
"B32001687"	2013	0
"A46336152"	2007	0
"A08639643"	2008	0
"A38026605"	2011	0
"A28668127"	2012	0
"B11605862"	2010	0
"B82435371"	2008	0
"B64055445"	2013	0
"B41063355"	2013	0
"B08642324"	2013	0
"A47024104"	2012	0
"A17019316"	2007	0
"A48050124"	2008	0
"A28577864"	2011	0
"A08116147"	2007	0
"B03039609"	2008	0
"A15590904"	2010	0
"A36011385"	2008	0
"A16008294"	2012	0
"A08098949"	2011	0
"B48841282"	2010	0
"A08008518"	2013	0
"A08075954"	2012	0
"A08273898"	2010	0
"A96646880"	2007	0
"A78879079"	2011	0
"A08106031"	2010	0
"A08688095"	2010	0
"A08270993"	2010	0
"A08270993"	2007	0
"A01002864"	2013	0
"A32006579"	2008	0
"A80732142"	2013	0
"B30603229"	2012	0
"B35054006"	2010	0
"A04413340"	2009	0
"A40163909"	2011	0
"A44003663"	2010	0
"A09028184"	2007	0
"A50043298"	2010	0
"A08257388"	2012	0
"A28577864"	2013	0
"A08257214"	2013	0
"A38026605"	2012	0
"A33024852"	2013	0
"A08708620"	2011	0
"A46068318"	2009	0
"A43019868"	2009	0
"B60031150"	2014	0
"B83325076"	2010	0
"A48073274"	2010	0
"B62916077"	2011	0
"A08623928"	2010	0
"A26021527"	2010	0
"A58061383"	2012	0
"B27008390"	2008	0
"A46151973"	2008	0
"A01035807"	2013	0
"A28029122"	2011	0
"A28579373"	2013	0
"B33029729"	2007	0
"A08220428"	2013	0
"A28295038"	2007	0
"A33603317"	2011	0
"B78496759"	2010	0
"A30418255"	2009	0
"A96773940"	2011	0
"A33126244"	2013	0
"B03039609"	2013	0
"A19011626"	2010	0
"A08520629"	2009	0
"A03024809"	2012	0
"B82841552"	2010	0
"B83325076"	2011	0
"A96966049"	2009	0
"A35735083"	2011	0
"A08202715"	2007	0
"B37012069"	2011	0
"A23014871"	2013	0
"A03012614"	2010	0
"A28416089"	2009	0
"A12029468"	2012	0
"F38008579"	2012	0
"C28863686"	2013	0
"A20018586"	2013	0
"A33202474"	2008	0
"A48080147"	2009	0
"A58294166"	2013	0
"A43004472"	2012	0
"A02012714"	2014	0
"A08623928"	2009	0
"A41059445"	2010	0
"A03167939"	2011	0
"A82405788"	2010	0
"A01002864"	2011	0
"A50011980"	2007	0
"A31404452"	2012	0
"A26297663"	2012	0
"A17013269"	2007	0
"A31024458"	2013	0
"A03028552"	2013	0
"A26014035"	2009	0
"A28485761"	2010	0
"B08078396"	2008	0
"A08116147"	2008	0
"A39013867"	2013	0
"A28253656"	2007	0
"A43019868"	2011	0
"A08128035"	2010	0
"A03032653"	2009	0
"B01128552"	2013	0
"A03003530"	2008	0
"A08008518"	2011	0
"A03036373"	2008	0
"A95249199"	2010	0
"A08576753"	2013	0
"A30016687"	2013	0
"A08514028"	2013	0
"A48083927"	2007	0
"A46336152"	2009	0
"A43019868"	2008	0
"V48566475"	2008	0
"A33603317"	2010	0
"A34003624"	2010	0
"A41021841"	2008	0
"A61587358"	2012	0
"A08584062"	2012	0
"A50016930"	2013	0
"A46336152"	2013	0
"B59886531"	2008	0
"B27008390"	2013	0
"A39012638"	2010	0
"A06023477"	2013	0
"B32001687"	2007	0
"A17045972"	2013	0
"A36602381"	2012	0
"A08713869"	2009	0
"B57208878"	2010	0
"B03010634"	2008	0
"A08097438"	2008	0
"A28505402"	2010	0
"A07051253"	2012	0
"A13006903"	2011	0
"A48080147"	2014	0
"A16007064"	2010	0
"B82175001"	2010	0
"A31018799"	2008	0
"B31027097"	2010	0
"A62704457"	2012	0
"A48050124"	2012	0
"A17034505"	2012	0
"A28440576"	2012	0
"A35046572"	2008	0
"A79049797"	2007	0
"B95271326"	2012	0
"A28582450"	2007	0
"A08514028"	2010	0
"A27007731"	2010	0
"B03101748"	2009	0
"A14336143"	2012	0
"A28189082"	2010	0
"A46014155"	2007	0
"A08061731"	2010	0
"B31067697"	2007	0
"B78496759"	2009	0
"A47022058"	2011	0
"A35018027"	2013	0
"B62293113"	2014	0
"A08220428"	2012	0
"A48117881"	2009	0
"A08595324"	2008	0
"A15590904"	2011	0
"A08021768"	2007	0
"A08116147"	2011	0
"A35610666"	2010	0
"A30047120"	2012	0
"A46092094"	2011	0
"B28072205"	2014	0
"B37015526"	2012	0
"A08012270"	2007	0
"A41022989"	2010	0
"A47438262"	2013	0
"A17019316"	2013	0
"A17004763"	2013	0
"A46146551"	2010	0
"B30603229"	2011	0
"A35018696"	2011	0
"A25007105"	2007	0
"A28642122"	2009	0
"B41072471"	2010	0
"A59202853"	2012	0
"A08110249"	2008	0
"A41059445"	2007	0
"A41010521"	2007	0
"B03101748"	2011	0
"A41038274"	2008	0
"A20036083"	2011	0
"A33603317"	2012	0
"A08737249"	2008	0
"A08639643"	2010	0
"B08292054"	2007	0
"B08292054"	2012	0
"A08225278"	2012	0
"B03039609"	2014	0
"B03044641"	2011	0
"B28084168"	2009	0
"B31067697"	2009	0
"B08292054"	2013	0
"A28229409"	2010	0
"A38024345"	2010	0
"A38024345"	2009	0
"B30603229"	2007	0
"A08257388"	2011	0
"A28715316"	2012	0
"B84654201"	2013	0
"A08198392"	2010	0
"A32006413"	2013	0
"A17013269"	2012	0
"A12083002"	2009	0
"A24056319"	2013	0
"A30036438"	2012	0
"A03057486"	2009	0
"A08595324"	2010	0
"A33606682"	2013	0
"B03078391"	2011	0
"B46054508"	2011	0
"B35054006"	2009	0
"A45013620"	2012	0
"B06320410"	2012	0
"A15016702"	2008	0
"B39021217"	2012	0
"A35510650"	2010	0
"A01035807"	2008	0
"A08409948"	2014	0
"B43009091"	2008	0
"B08194359"	2013	0
"A12029468"	2009	0
"A28143782"	2009	0
"A20036083"	2007	0
"A01035807"	2009	0
"B81009151"	2008	0
"A81931214"	2007	0
"A31180060"	2009	0
"A58061383"	2013	0
"B60653466"	2011	0
"A46052809"	2013	0
"A28143782"	2010	0
"A81931214"	2012	0
"A80632573"	2007	0
"A81410227"	2008	0
"B95271326"	2014	0
"B46054508"	2010	0
"A20018586"	2014	0
"A31076508"	2010	0
"A50036037"	2007	0
"A32225419"	2013	0
"A50060011"	2007	0
"A33603317"	2013	0
"A61713301"	2008	0
"A03003530"	2007	0
"A08008518"	2007	0
"A32002644"	2007	0
"A46146551"	2007	0
"B27008390"	2012	0
"B38022570"	2014	0
"A58394941"	2010	0
"A20036083"	2008	0
"A36121176"	2011	0
"B81864894"	2009	0
"A01002864"	2008	0
"A81722712"	2008	0
"A28253656"	2010	0
"A08063372"	2011	0
"A28128486"	2013	0
"B28084168"	2010	0
"A46063731"	2012	0
"A35610666"	2009	0
"A32006413"	2008	0
"A82843129"	2008	0
"A80904576"	2011	0
"A79203568"	2012	0
"A28440576"	2008	0
"A33202474"	2013	0
"B81231516"	2009	0
"A78753514"	2012	0
"A13006903"	2009	0
"A46463311"	2011	0
"A08296790"	2009	0
"A13006903"	2010	0
"A28313351"	2008	0
"A01035807"	2010	0
"A13005384"	2007	0
"A31825466"	2012	0
"A50060011"	2009	0
"B18547281"	2011	0
"A31031545"	2011	0
"B08271694"	2010	0
"A23010200"	2009	0
"B20070082"	2011	0
"A28193209"	2011	0
"B46055489"	2013	0
"A28198356"	2012	0
"A12029468"	2007	0
"A01002864"	2010	0
"A48034110"	2012	0
"A78067188"	2012	0
"A31825466"	2013	0
"A08225278"	2007	0
"A20036083"	2010	0
"B96990015"	2009	0
"B28084168"	2008	0
"A28229409"	2011	0
"A46038519"	2012	0
"B81864894"	2013	0
"A81200511"	2009	0
"A25007105"	2009	0
"A36014009"	2013	0
"A39012638"	2012	0
"B78496759"	2012	0
"A26022657"	2011	0
"A08110249"	2007	0
"B31072705"	2014	0
"A45445210"	2008	0
"B60653466"	2010	0
"A84039338"	2011	0
"A46068318"	2007	0
"B28460681"	2013	0
"B81864894"	2008	0
"B83325076"	2009	0
"A03734514"	2012	0
"A41001439"	2010	0
"B12007456"	2009	0
"A33610106"	2009	0
"A25529074"	2010	0
"B03072576"	2012	0
"A25007105"	2010	0
"A01035807"	2012	0
"A03024809"	2013	0
"B27008390"	2007	0
"A28138386"	2010	0
"V48566475"	2012	0
"A45019916"	2009	0
"A38017844"	2007	0
"A28441269"	2010	0
"A08409948"	2013	0
"A03057486"	2010	0
"A45012259"	2013	0
"B48074306"	2010	0
"B83325076"	2012	0
"A28313351"	2009	0
"B62916077"	2010	0
"A31737455"	2009	0
"A45019916"	2007	0
"A17019316"	2010	0
"B35015262"	2008	0
"A08116147"	2014	0
"A30014211"	2013	0
"B61425682"	2011	0
"A38645214"	2009	0
"A78020732"	2012	0
"A09018862"	2009	0
"B30000574"	2013	0
"A03032653"	2011	0
"A30418255"	2010	0
"A41084740"	2008	0
"A83826362"	2011	0
"A48073274"	2009	0
"B59886531"	2009	0
"F25002338"	2011	0
"B47506811"	2013	0
"B35329077"	2007	0
"B28084168"	2013	0
"F25002338"	2007	0
"A20049755"	2011	0
"B95388450"	2013	0
"B11009917"	2008	0
"B39026604"	2010	0
"B31798929"	2011	0
"A61831681"	2008	0
"A41762386"	2013	0
"A08508418"	2010	0
"A27007731"	2013	0
"A08275281"	2013	0
"B37015526"	2010	0
"A63736458"	2014	0
"B60653466"	2009	0
"A08008518"	2012	0
"A08347452"	2013	0
"B53548384"	2010	0
"A28229409"	2013	0
"A28138386"	2011	0
"B96683347"	2009	0
"A48547558"	2007	0
"A17019316"	2012	0
"A15016702"	2007	0
"A81931214"	2009	0
"A33615923"	2013	0
"V48566475"	2010	0
"A48073274"	2013	0
"A03032653"	2012	0
"A12029468"	2010	0
"A40163909"	2013	0
"A46146551"	2009	0
"A78393840"	2009	0
"B12007456"	2012	0
"A33610106"	2011	0
"B12007456"	2011	0
"B41063355"	2014	0
"A30014211"	2012	0
"B31039530"	2012	0
"A41277336"	2013	0
"B28218287"	2011	0
"B28084168"	2012	0
"B62916077"	2013	0
"A08595324"	2013	0
"A08094435"	2012	0
"A08061731"	2013	0
"V95436002"	2013	0
"A08708620"	2007	0
"A45012259"	2010	0
"A28505402"	2008	0
"A08396830"	2012	0
"A95249199"	2013	0
"A12029468"	2013	0
"A13005384"	2008	0
"B63100150"	2013	0
"A28029122"	2013	0
"A38225041"	2012	0
"A36602381"	2011	0
"A41084740"	2011	0
"B38022570"	2013	0
"A01007137"	2012	0
"B48714133"	2014	0
"A48073274"	2007	0
"A08026635"	2013	0
"A12323408"	2011	0
"A28345148"	2010	0
"A03032653"	2007	0
"A36615896"	2008	0
"A28412724"	2013	0
"A35515485"	2012	0
"A46463311"	2009	0
"A38645214"	2010	0
"A78879079"	2008	0
"A08375537"	2008	0
"A08413403"	2013	0
"B12457230"	2011	0
"A08202715"	2009	0
"B84348622"	2013	0
"B03078391"	2012	0
"A30005524"	2014	0
"B50030964"	2013	0
"A41084740"	2010	0
"A28642122"	2012	0
"B03101748"	2013	0
"A28172476"	2013	0
"A41084740"	2009	0
"A34009936"	2010	0
"A08199168"	2009	0
"A03028552"	2012	0
"B60031150"	2013	0
"A50060011"	2011	0
"B04348579"	2012	0
"A24007072"	2008	0
"B46191094"	2012	0
"A80482334"	2007	0
"V82171133"	2014	0
"F10017804"	2007	0
"A58394941"	2009	0
"A32006579"	2007	0
"B31027097"	2008	0
"C28863686"	2012	0
"B06320410"	2011	0
"B08078396"	2009	0
"B32001687"	2008	0
"A15016595"	2013	0
"B59162701"	2008	0
"A16007064"	2009	0
"A28112555"	2012	0
"A30047120"	2010	0
"A08584062"	2013	0
"A08243297"	2009	0
"B31027097"	2012	0
"A28612620"	2011	0
"B30000574"	2010	0
"A31404452"	2013	0
"A41022989"	2009	0
"B46191094"	2011	0
"A08042764"	2012	0
"B28460681"	2011	0
"A41059445"	2008	0
"A57277709"	2011	0
"B03039609"	2007	0
"A26014035"	2011	0
"A82854811"	2008	0
"A27007731"	2012	0
"A08708620"	2010	0
"B31027097"	2011	0
"B96683347"	2010	0
"B31009715"	2013	0
"B31009715"	2012	0
"A08514028"	2009	0
"A26297663"	2013	0
"A48073274"	2014	0
"B11605862"	2012	0
"A13006903"	2013	0
"A30418255"	2013	0
"A28198356"	2007	0
"B96990015"	2012	0
"V82171133"	2012	0
"A81931214"	2013	0
"A10010445"	2013	0
"B08660409"	2013	0
"A08396830"	2011	0
"A33373622"	2010	0
"V48566475"	2013	0
"A08154650"	2007	0
"B08194359"	2010	0
"A08014813"	2008	0
"A08061731"	2007	0
"A03011541"	2010	0
"A08688095"	2012	0
"A40163909"	2012	0
"A41008301"	2007	0
"B63100150"	2012	0
"B61395497"	2008	0
"F38008579"	2009	0
"A03062619"	2010	0
"B09019548"	2010	0
"A08688095"	2009	0
"A22001721"	2011	0
"A28295806"	2012	0
"B09019548"	2007	0
"B28044204"	2011	0
"B60653466"	2012	0
"A08595324"	2012	0
"A81261430"	2011	0
"A62704457"	2011	0
"A09028184"	2011	0
"A08110249"	2013	0
"A59382762"	2008	0
"C28863686"	2010	0
"A30047120"	2011	0
"A48117881"	2010	0
"B81864894"	2012	0
"A33603317"	2009	0
"A16007064"	2008	0
"A26297663"	2009	0
"C28863686"	2011	0
"A39030812"	2008	0
"A17006792"	2007	0
"B61395497"	2013	0
"B08292054"	2008	0
"A28189082"	2013	0
"B28222487"	2013	0
"B03072576"	2011	0
"A48050124"	2009	0
"A08146870"	2007	0
"A14012819"	2011	0
"A78020732"	2009	0
"A08220428"	2011	0
"A28029122"	2012	0
"A43702745"	2013	0
"A45012259"	2008	0
"B28270411"	2012	0
"A79203568"	2013	0
"A08280323"	2013	0
"A81931214"	2010	0
"A62704457"	2010	0
"B48074306"	2011	0
"A81931214"	2008	0
"B82175001"	2013	0
"A25529074"	2011	0
"A80959612"	2008	0
"A41008301"	2009	0
"A81722712"	2012	0
"A28271914"	2013	0
"A80959612"	2007	0
"A22001721"	2013	0
"A08720708"	2008	0
"A81200511"	2012	0
"A28011286"	2009	0
"A08094435"	2011	0
"A27007731"	2011	0
"A32006413"	2009	0
"A31096233"	2011	0
"A81410227"	2007	0
"A24007072"	2010	0
"A45010543"	2007	0
"B12008397"	2013	0
"A08115578"	2011	0
"A20036083"	2012	0
"A78067188"	2011	0
"A81200511"	2013	0
"A81200511"	2010	0
"A28715316"	2013	0
"A41762386"	2012	0
"A01007137"	2011	0
"B30000574"	2014	0
"B39021217"	2008	0
"A45012259"	2009	0
"B03078391"	2013	0
"A17013269"	2011	0
"B39021217"	2009	0
"A81000028"	2009	0
"A08311995"	2011	0
"A15016595"	2012	0
"B31009715"	2007	0
"B31072705"	2008	0
"A48062418"	2008	0
"B08271694"	2008	0
"B39446315"	2010	0
"A08220428"	2010	0
"A39012638"	2011	0
"B39446315"	2013	0
"A08021768"	2012	0
"A08225278"	2008	0
"A46068318"	2010	0
"A28440576"	2011	0
"A48077184"	2011	0
"A36602381"	2013	0
"A08257214"	2012	0
"B83325076"	2013	0
"B31089071"	2011	0
"A28375467"	2008	0
"A28485761"	2012	0
"B46054508"	2007	0
"A58394941"	2013	0
"A28399434"	2009	0
"A08106031"	2013	0
"A59202853"	2011	0
"A08414906"	2007	0
"A28143782"	2007	0
"A30014211"	2009	0
"B81009151"	2011	0
"A41038274"	2007	0
"A48050124"	2010	0
"V48566475"	2011	0
"B50030964"	2012	0
"A08209538"	2008	0
"B61395497"	2011	0
"A08409948"	2011	0
"B08078396"	2010	0
"B59886531"	2012	0
"B59886531"	2007	0
"B31072705"	2012	0
"A46068318"	2011	0
"B08078396"	2011	0
"A82501545"	2007	0
"A08128035"	2009	0
"A08146730"	2008	0
"A25010430"	2012	0
"A61587358"	2011	0
"A03027919"	2011	0
"B43009091"	2013	0
"A46463311"	2013	0
"A78020732"	2010	0
"A03012614"	2013	0
"A36615896"	2007	0
"A46063731"	2010	0
"A28485761"	2013	0
"B61967774"	2010	0
"A33015454"	2013	0
"A78067188"	2013	0
"A41010521"	2010	0
"A08061590"	2008	0
"A46092094"	2013	0
"A08514028"	2012	0
"A08110249"	2014	0
"A08186074"	2013	0
"B46054508"	2008	0
"A41008640"	2010	0
"A08290405"	2013	0
"A08452500"	2012	0
"F25002338"	2014	0
"A30016687"	2012	0
"B27008390"	2011	0
"B06320410"	2008	0
"A82405788"	2011	0
"A08211112"	2007	0
"A48073274"	2008	0
"A08021768"	2013	0
"A48073274"	2012	0
"A08270993"	2009	0
"A48080147"	2011	0
"B30603229"	2010	0
"B32001687"	2012	0
"A48080147"	2007	0
"A08688095"	2011	0
"A24007072"	2009	0
"B62263272"	2013	0
"A08396830"	2013	0
"A08704520"	2009	0
"A47438262"	2012	0
"A28112555"	2011	0
"B39021217"	2013	0
"B38020020"	2013	0
"A46068318"	2008	0
"B59162701"	2007	0
"A17044546"	2011	0
"A39030812"	2012	0
"A48080881"	2007	0
"A78020732"	2008	0
"V48566475"	2007	0
"A08061590"	2013	0
"A33034422"	2012	0
"A35046572"	2007	0
"A28582450"	2010	0
"A46134250"	2007	0
"A08273898"	2011	0
"A33618257"	2008	0
"B46054508"	2009	0
"A08225278"	2009	0
"A23010200"	2008	0
"A48117881"	2012	0
"A08514028"	2011	0
"B11605862"	2013	0
"A38024345"	2011	0
"A08273898"	2013	0
"B37012069"	2012	0
"A46052809"	2011	0
"B45007671"	2008	0
"A38225041"	2009	0
"A35610666"	2007	0
"B36009942"	2012	0
"B48074306"	2008	0
"A31076508"	2009	0
"A45012259"	2011	0
"B08292054"	2011	0
"B48070155"	2012	0
"B03039781"	2008	0
"A32006413"	2007	0
"B09019548"	2008	0
"B08194359"	2007	0
"A11902814"	2010	0
"A03036373"	2007	0
"A36011385"	2009	0
"A26011841"	2009	0
"B18547281"	2012	0
"A08203887"	2013	0
"A81200511"	2008	0
"A46092094"	2012	0
"A28416089"	2007	0
"A18024919"	2010	0
"B81009151"	2009	0
"A46146551"	2011	0
"A84534874"	2013	0
"A18024919"	2007	0
"A23010200"	2013	0
"A08533119"	2008	0
"A34003624"	2012	0
"B96990015"	2013	0
"B81864894"	2007	0
"A31076508"	2008	0
"A78067188"	2009	0
"B96990015"	2011	0
"B28044204"	2012	0
"A28579191"	2013	0
"B82435371"	2007	0
"A28138386"	2013	0
"A43004472"	2010	0
"A28435931"	2013	0
"A50005156"	2011	0
"A20062915"	2011	0
"A28128486"	2007	0
"B84537315"	2013	0
"A23010200"	2010	0
"V82171133"	2007	0
"B20193017"	2007	0
"V82171133"	2008	0
"A30005524"	2011	0
"A97628242"	2012	0
"B17016254"	2013	0
"A28172476"	2012	0
"B28072205"	2011	0
"A31076508"	2007	0
"A08141038"	2009	0
"A41084740"	2012	0
"A08097438"	2007	0
"B28072205"	2012	0
"A38024345"	2008	0
"B28072205"	2013	0
"A07096886"	2010	0
"V48566475"	2009	0
"A58061383"	2010	0
"B28084168"	2007	0
"A45013620"	2013	0
"B82612896"	2012	0
"A35004571"	2007	0
"A12323408"	2012	0
"A15016702"	2010	0
"A08098949"	2013	0
"A58294166"	2012	0
"A28399434"	2010	0
"B59886531"	2013	0
"B35329077"	2009	0
"A08062846"	2009	0
"A30005524"	2013	0
"A78067188"	2008	0
"B26011627"	2010	0
"A08225278"	2011	0
"A45445210"	2009	0
"B08194359"	2009	0
"A28255784"	2009	0
"B08271694"	2009	0
"A46146551"	2013	0
"A08014813"	2007	0
"A33610106"	2010	0
"A45562329"	2011	0
"A20036083"	2013	0
"A28054211"	2012	0
"A24007072"	2007	0
"B08463424"	2010	0
"B81248361"	2011	0
"A07010937"	2007	0
"A28440576"	2010	0
"A28582450"	2008	0
"A01002864"	2009	0
"A26022657"	2012	0
"A78879079"	2009	0
"B82435371"	2009	0
"A78753514"	2007	0
"A47022058"	2008	0
"A63746275"	2012	0
"B03078391"	2008	0
"A03046125"	2009	0
"A28668127"	2011	0
"A28416089"	2010	0
"A03027919"	2008	0
"B29053808"	2013	0
"A19005792"	2013	0
"B35329077"	2011	0
"B95271326"	2013	0
"B82175001"	2009	0
"B46131371"	2007	0
"A78020732"	2011	0
"B82175001"	2007	0
"A46336152"	2010	0
"A28253656"	2011	0
"A08384190"	2007	0
"B59886531"	2011	0
"A30418255"	2007	0
"B45007671"	2007	0
"B37020179"	2013	0
"A46052809"	2010	0
"A03027919"	2012	0
"A46146551"	2012	0
"B81864894"	2011	0
