nif	year	ig_explo
"A09022963"	2017	558.885
"B96952635"	2010	561.58
"B30041115"	2015	565.054
"A48031140"	2009	565.236
"B84309616"	2012	567.55
"A35098482"	2014	569.86
"A96918867"	2008	576.179
"A48031140"	2010	594.58
"A33055138"	2010	597.949
"B97389209"	2015	600
"A48031140"	2011	605.263
"A61351540"	2015	607
"A04047700"	2007	617.389
"A23205289"	2011	622.674
"A42000901"	2011	626.178
"A97617773"	2013	632.176
"A30038020"	2016	642.938
"A57277709"	2012	644.288
"A62977186"	2011	645.073
"A48031140"	2013	645.348
"B48969885"	2009	658.904
"B82899550"	2010	666.46
"A82198847"	2008	666.96
"A83932475"	2011	669.603
"A09022963"	2016	672.967
"A09354176"	2013	680.033
"A96966049"	2011	686
"A78526811"	2013	692.674
"B04348579"	2008	693.666
"A48031140"	2015	699
"B47572367"	2014	701.225
"B41070020"	2015	701.887
"A15016595"	2016	703.205
"A04047700"	2010	703.518
"B18551226"	2011	704.82
"A48031140"	2016	709
"A48031140"	2017	710
"A29076270"	2013	713.179
"B38927463"	2015	713.211
"A82501545"	2007	721.89
"A79492104"	2007	726.45
"A48031140"	2014	730.695
"A48547558"	2009	736.972
"A28283067"	2008	737.18
"B27007897"	2013	741.515
"B41441387"	2012	742.536
"A78526811"	2014	752.676
"A62415641"	2008	758.64
"A57346926"	2014	760.56
"A17018391"	2011	780.145
"B15862667"	2011	787.832
"A31737455"	2010	790.07
"A78526811"	2007	795.454
"B97389209"	2017	800
"B97389209"	2016	800
"A83741967"	2013	813.941
"B63031660"	2015	824
"A53552634"	2010	825.107
"B83393223"	2016	828.024
"B62173604"	2007	828.11
"A81047375"	2007	839.872
"B28250090"	2015	843.195
"A35811272"	2012	849.341
"A33055138"	2012	853.147
"F06402697"	2011	853.789
"A35014414"	2017	854.643
"A10301240"	2012	859.325
"B29212644"	2009	865.211
"A28192532"	2015	866.724
"A33055138"	2008	867.773
"A28290799"	2007	873.223
"A83150060"	2010	889
"B48948830"	2009	894.231
"A17018391"	2010	903.06
"A48031140"	2012	903.813
"A33600107"	2015	938.616
"A82307117"	2007	953.25
"A58664764"	2015	956.442
"A07009814"	2013	961.151
"A35028570"	2008	962.93
"A74136060"	2015	963.94
"A96966049"	2010	964
"A29076270"	2016	976.05
"B09417932"	2012	994.94
"A17018391"	2012	997.839
"A02436152"	2015	1000.231
"A33055138"	2013	1001.561
"A30038020"	2015	1024.714
"A29076270"	2015	1028.978
"A79492104"	2008	1033.152
"B28692044"	2017	1040.521
"B84363555"	2016	1060.78
"A09354176"	2016	1062.37
"B41441387"	2013	1069.103
"B30020226"	2017	1070.283
"A62415641"	2010	1073.852
"A33055138"	2011	1078.684
"A38027637"	2017	1081.435
"A29076270"	2014	1086.477
"A48547558"	2010	1092.266
"A38013744"	2008	1092.47
"B48969877"	2008	1096.948
"B62263272"	2007	1102.587
"A96945530"	2008	1104.772
"A38013744"	2007	1106.625
"B45493707"	2016	1113.639
"B28692044"	2016	1120.68
"A97617773"	2014	1133.637
"B96952635"	2011	1133.984
"B96952635"	2009	1135.832
"B28341832"	2012	1139.387
"A91291435"	2011	1141.132
"A35014414"	2016	1141.793
"A33600107"	2017	1141.899
"A09022963"	2011	1143
"A36615896"	2016	1143.437
"A45012226"	2017	1144.545
"A33202474"	2017	1150.347
"B07029465"	2015	1168.855
"A20028676"	2012	1172.885
"A33202474"	2012	1177.185
"B97526008"	2014	1198.16
"B48948830"	2010	1206.977
"A58664764"	2013	1208.41
"A03001948"	2008	1209.735
"B58613076"	2015	1215.533
"A91369819"	2013	1216.507
"A57082570"	2014	1220.612
"A82198847"	2007	1221.79
"B28218816"	2015	1239.695
"A82026840"	2008	1245.825
"B28250090"	2014	1247.849
"A33055138"	2017	1254.77
"B41070020"	2014	1262.028
"A23022783"	2017	1262.771
"A83826362"	2015	1263.554
"A41059445"	2011	1267.96
"A33202474"	2011	1271.737
"B48969877"	2009	1275.841
"A41059445"	2016	1291.913
"A28827335"	2017	1293.97
"A46115101"	2017	1297.835
"A24004103"	2017	1298.023
"A78526811"	2017	1302.782
"B62173604"	2008	1304
"A12016143"	2017	1307.274
"A09354176"	2014	1308.802
"A07033491"	2017	1316.171
"A85279107"	2016	1317.805
"B37015526"	2016	1318.502
"B83826230"	2017	1321
"B47572367"	2015	1322.713
"B21259726"	2008	1322.89
"A84911825"	2015	1323.182
"B38828687"	2012	1325.232
"B08373250"	2007	1326.677
"B28115533"	2012	1331.241
"A28134534"	2008	1332.232
"B41441387"	2014	1332.386
"A11000288"	2016	1333.45
"B28376184"	2007	1339.798
"B28376184"	2008	1340.332
"A28294718"	2008	1343
"B28341832"	2013	1344.112
"A29350139"	2017	1344.71
"A48547558"	2011	1355.781
"A28290799"	2008	1358.898
"B06013841"	2012	1359.939
"A35014414"	2015	1363.842
"B41441387"	2016	1371.437
"B58613076"	2017	1372.422
"A33202474"	2013	1372.793
"A46030680"	2015	1388.538
"A79049797"	2015	1389.481
"B41591165"	2015	1391.981
"A48050728"	2015	1392.034
"B41031980"	2007	1394.664
"B92217975"	2010	1397.394
"B41441387"	2015	1404.438
"A33600107"	2013	1409.963
"A46030680"	2016	1410.131
"A48050728"	2012	1410.23
"A48050728"	2014	1412.988
"A35515485"	2016	1414.122
"A48050728"	2009	1418.918
"B38366225"	2007	1420.793
"A08093254"	2016	1428.193
"B45018017"	2017	1429.926
"B82432725"	2008	1433.175
"A28192532"	2007	1433.286
"B28689370"	2017	1437.688
"A46030680"	2017	1439.027
"A50029800"	2014	1450.402
"A15020795"	2016	1452.964
"B41031980"	2008	1453.043
"B45018017"	2016	1454.953
"B48948830"	2011	1455.267
"A45020450"	2014	1473.166
"B31850977"	2017	1475.997
"A83048363"	2008	1482.301
"A28290799"	2013	1484.166
"B84363555"	2017	1485.102
"A58393778"	2017	1487.652
"A33202474"	2010	1497.294
"B41031980"	2010	1497.898
"A83826362"	2016	1499.527
"A25418401"	2008	1505
"A31737455"	2013	1506.859
"A62703806"	2010	1513.396
"A58664764"	2012	1514.137
"B41094459"	2011	1518.947
"B28193340"	2008	1519.438
"B31067697"	2012	1519.962
"A62520788"	2017	1520.72
"B62173604"	2009	1528
"A28404614"	2017	1530.971
"B62173604"	2010	1534
"A43355403"	2007	1536.597
"B41441387"	2017	1537.01
"A33202474"	2009	1537.453
"B28934081"	2010	1538.285
"A20028676"	2016	1538.662
"B82956517"	2012	1539.195
"B41031980"	2009	1542.015
"B28127447"	2017	1547.685
"A48050728"	2013	1547.881
"B18012831"	2017	1549.088
"A28111342"	2011	1554.793
"B30020226"	2016	1558.83
"B33602707"	2017	1559.692
"A46115101"	2016	1563.454
"A01007442"	2009	1573.324
"A15020795"	2017	1585.528
"A09354176"	2015	1588.342
"A41043159"	2017	1588.347
"B61882551"	2010	1589.116
"B41008970"	2015	1589.49
"B58613076"	2016	1591.848
"A33202474"	2008	1594.333
"B07029465"	2017	1605.532
"A09015256"	2007	1607.803
"B03019106"	2016	1616.491
"B39551973"	2011	1621.119
"B41070020"	2016	1624.916
"A16004665"	2008	1629
"A15020795"	2015	1629.486
"A47011721"	2016	1629.799
"A34129635"	2017	1632.623
"B41591165"	2016	1632.946
"A33202474"	2016	1635.678
"A28198661"	2011	1637.366
"B83680322"	2017	1637.72
"A45020450"	2016	1645.246
"A48050728"	2011	1650.914
"A57082570"	2015	1652.019
"A29076270"	2017	1652.907
"B03006681"	2016	1654.091
"B61914883"	2008	1662.915
"A35735083"	2013	1665.919
"A78526811"	2015	1666.667
"A28294718"	2015	1670
"B84894377"	2016	1670.744
"A07059058"	2013	1672.89
"B33602707"	2016	1673.612
"B07029465"	2013	1674.257
"A33202474"	2015	1683.97
"A18565705"	2016	1685.418
"A36605772"	2012	1699.702
"A31737455"	2011	1701.311
"A38013272"	2008	1710.097
"A15685324"	2008	1717.287
"B12523601"	2008	1718.002
"A33008921"	2017	1719.396
"A38013272"	2009	1719.943
"B61882551"	2011	1722.376
"A35014414"	2012	1722.381
"B83603746"	2013	1726.678
"B45005279"	2017	1728.62
"F06312920"	2009	1743.344
"A96918867"	2009	1754.534
"B62173604"	2011	1756
"B07029465"	2016	1760.303
"A33202474"	2007	1766.43
"A79049797"	2008	1766.67
"A07033491"	2016	1767.782
"B47014568"	2008	1768.014
"B08552614"	2012	1771.463
"B30034730"	2017	1772.154
"B45555489"	2013	1773.149
"A48050728"	2007	1774.193
"A45012226"	2016	1782.672
"A28329480"	2016	1784.429
"B83495101"	2010	1791.64
"B03035854"	2009	1791.743
"A38013272"	2010	1796.249
"A29350139"	2016	1796.565
"A42000901"	2012	1798.018
"A09022963"	2013	1798.392
"A97628242"	2016	1800.14
"B30020226"	2015	1815.05
"A57082570"	2016	1827.035
"B28498210"	2008	1827.152
"B46039061"	2017	1835.937
"A33202474"	2014	1836.006
"A38014098"	2015	1843.453
"B03094455"	2017	1844.83
"A28192532"	2016	1845.306
"B33602707"	2015	1851.52
"B84504455"	2013	1851.745
"A38013272"	2011	1852.605
"A96646880"	2016	1857.991
"B92963628"	2017	1859.291
"A34129635"	2016	1860.794
"B03006681"	2017	1862.077
"B50938489"	2010	1862.551
"A36605772"	2013	1867.515
"B46045993"	2016	1882.44
"A28198661"	2012	1888
"A43355403"	2008	1889.973
"B47014568"	2015	1890.558
"B28118800"	2017	1896.132
"B41008970"	2016	1896.576
"A28923662"	2013	1901
"A16007064"	2011	1903.564
"A28574044"	2016	1906.439
"A07033491"	2015	1918.042
"B61425682"	2010	1918.28
"A07427081"	2015	1919.668
"A46072203"	2016	1921
"A28428233"	2007	1921.46
"A35515485"	2015	1922.068
"A91291435"	2012	1923.085
"B46173423"	2016	1928.094
"A80632573"	2007	1934.472
"A28134534"	2009	1942.079
"A48050728"	2008	1942.271
"A57346926"	2015	1943.634
"B79945150"	2015	1947.299
"A08192965"	2017	1951.43
"A62704457"	2010	1951.791
"A02436152"	2016	1952.492
"A40004731"	2017	1955.299
"B63100150"	2010	1960.211
"A16007064"	2017	1970.936
"A34129635"	2008	1978.384
"A09015256"	2008	1980.882
"A08397119"	2017	1982.164
"B01015221"	2008	1989.469
"A57082570"	2017	1992.401
"B35046630"	2017	1997.981
"A15016595"	2007	1999.648
"B83257295"	2016	2004.18
"A07035934"	2013	2019.281
"B43587120"	2008	2022.876
"A78389608"	2007	2024.23
"B03101748"	2016	2024.27
"A79049797"	2014	2030.004
"B41591165"	2017	2030.886
"A82307117"	2009	2033
"B47014568"	2014	2040.019
"B62173604"	2012	2043
"A27007731"	2017	2046.13
"A28294718"	2013	2055
"A38013272"	2012	2066.893
"A48050728"	2010	2068.671
"A34129635"	2010	2073.817
"V61861548"	2010	2077.172
"A46098521"	2009	2080.867
"A33055138"	2015	2082.995
"A12017919"	2007	2084.27
"B83588657"	2017	2092.893
"A07244023"	2009	2094.137
"B83680322"	2016	2094.708
"A06008411"	2017	2100.922
"A35515485"	2017	2103.51
"B30034730"	2016	2103.529
"B18547281"	2010	2104
"B41045089"	2017	2104.594
"B03101748"	2017	2107.367
"A45020450"	2017	2107.946
"A11957792"	2008	2111.131
"A33008921"	2010	2113.116
"B91629634"	2015	2113.741
"A12029468"	2016	2118.574
"A33055138"	2016	2120.913
"B62236781"	2011	2123.01
"A38027637"	2013	2123.894
"B83257295"	2017	2126.634
"A08128035"	2017	2131.979
"A07033491"	2012	2132.084
"A41191313"	2011	2134.025
"A08460156"	2017	2141.039
"A58393778"	2015	2144.844
"B28205532"	2016	2145.774
"B81231516"	2007	2146.321
"A38027637"	2009	2148.559
"B27013556"	2011	2150.176
"B43590272"	2009	2156.915
"B47009626"	2015	2162.143
"A28290799"	2012	2165.361
"A12016143"	2016	2167.101
"A34129635"	2009	2175.515
"B36853935"	2017	2177.005
"A46126686"	2007	2183.54
"A41059445"	2008	2198.69
"B36853935"	2015	2200.477
"A38010997"	2009	2202.104
"A33008921"	2013	2204.912
"B27013556"	2015	2215.059
"A33008921"	2007	2226.04
"A08365413"	2008	2227.679
"A28075968"	2016	2229.836
"A03734514"	2014	2230.102
"A78990603"	2007	2231.18
"A36605772"	2017	2235.937
"A03734514"	2015	2236.073
"B48907885"	2010	2238.309
"B18547281"	2017	2238.742
"B28120012"	2007	2240.49
"B82424276"	2014	2243.261
"A28329480"	2017	2245.044
"A82026840"	2009	2250.259
"A08182206"	2017	2253.792
"F10017804"	2007	2254.333
"A35515485"	2012	2257.331
"A34129635"	2015	2258.006
"B28120012"	2016	2263.494
"A36605772"	2011	2268.717
"A41059445"	2015	2272.192
"A34129635"	2013	2275.456
"A28283067"	2007	2277.8
"A28198661"	2010	2287.183
"A62977186"	2014	2291.359
"A79492104"	2012	2293.21
"A46002697"	2016	2296.722
"B81335473"	2007	2298.92
"A85270965"	2016	2299.285
"A38645214"	2015	2299.679
"B45005279"	2009	2300.009
"A43355403"	2009	2304.551
"A35515485"	2013	2311.991
"B07985609"	2009	2313.268
"A01016591"	2009	2318.838
"A38013272"	2013	2323.286
"B28498210"	2007	2323.928
"B36853935"	2016	2327.933
"B81335473"	2017	2331.383
"A34129635"	2011	2333.347
"A78389608"	2016	2335.963
"A62703806"	2011	2336.618
"A35610666"	2013	2337.615
"A79492104"	2009	2337.636
"A45010543"	2017	2346.431
"B30566194"	2009	2348.145
"A34129635"	2014	2351.501
"F10017804"	2017	2351.842
"A28295806"	2016	2352.231
"A28923662"	2015	2354
"B38366225"	2008	2354.332
"A62520788"	2016	2358.598
"B11018462"	2012	2366.414
"A28143782"	2009	2367
"A07244023"	2012	2368.625
"A78990603"	2008	2369.54
"B91172221"	2012	2374.06
"A08202582"	2013	2375.044
"A12105029"	2007	2376.224
"B28028348"	2007	2376.845
"B47572367"	2016	2381.894
"A16007064"	2012	2384.471
"A12022885"	2016	2388.614
"B28250090"	2017	2396.13
"B07985609"	2010	2400.385
"A15020795"	2008	2401.241
"A06008411"	2016	2404.227
"B99004541"	2014	2404.628
"A28923662"	2016	2419
"A03057486"	2008	2419.226
"A36605772"	2008	2420.07
"A82854811"	2009	2420.501
"B35046630"	2016	2422.522
"B01015221"	2009	2423.289
"A78389608"	2009	2427.651
"B81335473"	2008	2428.775
"A09021825"	2017	2431.03
"A28143782"	2013	2432.083
"A82026840"	2016	2435.714
"A62520788"	2014	2436.428
"A08202582"	2014	2446.622
"A11000288"	2017	2448.11
"B35642198"	2017	2457.875
"A28046431"	2016	2458.524
"A48100002"	2016	2460.166
"B46131371"	2017	2461.844
"B41070020"	2017	2469.125
"A34129635"	2012	2473.593
"B29006574"	2017	2474.389
"A28923662"	2017	2475
"A53242152"	2016	2475.584
"A28075968"	2017	2477.553
"A07038441"	2007	2481.62
"A46072823"	2017	2486.458
"A57277709"	2013	2489.769
"A24004103"	2016	2491.403
"A31737455"	2014	2501.679
"A09205550"	2017	2502.847
"A12025565"	2008	2506.7
"A95444519"	2015	2523.023
"A15020795"	2009	2526.022
"A07244023"	2016	2526.385
"B12523601"	2010	2529.846
"B46162418"	2015	2530.163
"B28227866"	2017	2533.38
"A07244023"	2011	2537.047
"A08460156"	2016	2537.99
"B18547281"	2011	2544
"A38356937"	2013	2553.832
"A28200384"	2010	2554.581
"B41094459"	2014	2558.636
"B60338290"	2017	2559.193
"B29682135"	2010	2560.613
"A08480287"	2016	2563.091
"A33560772"	2016	2566.577
"F10017804"	2008	2568.527
"B78908605"	2008	2571.54
"A17007014"	2007	2573.982
"A08397119"	2016	2576.532
"A28295806"	2017	2582.184
"A35515485"	2014	2590.929
"A28245009"	2017	2594.032
"B48907885"	2012	2594.616
"A45010543"	2016	2594.743
"A58393778"	2016	2596.652
"A08480287"	2017	2599.399
"A82026840"	2010	2604.545
"B13004924"	2016	2613.626
"B12523601"	2009	2615.359
"B83257295"	2015	2615.591
"A15020795"	2010	2618.249
"A97043772"	2016	2621.669
"A28518041"	2016	2621.813
"A01292846"	2009	2622.711
"B23014848"	2017	2625.278
"B28120012"	2015	2629.181
"A16007064"	2010	2632.477
"B41094459"	2010	2635.005
"B01015221"	2010	2640.719
"B29006574"	2016	2641.201
"A36605772"	2009	2641.218
"A58394941"	2017	2644.69
"A28518041"	2017	2645.402
"B03101748"	2015	2645.583
"A83150060"	2011	2648
"A28145498"	2014	2650.284
"A04001897"	2017	2654.795
"V83443390"	2017	2662.655
"B81335473"	2009	2666.863
"A15020795"	2007	2666.923
"A47091632"	2008	2668.083
"A12105029"	2008	2669.18
"B35110410"	2009	2670.155
"A19180108"	2009	2671.158
"B01376615"	2017	2674.316
"A82026840"	2011	2675.751
"A07244023"	2010	2676.321
"A53817359"	2013	2678.234
"B78908605"	2007	2679.75
"A14336143"	2016	2683
"B96952635"	2012	2685.198
"A07033491"	2011	2690.526
"B41070020"	2013	2694.067
"A45017142"	2017	2700.276
"A81896375"	2011	2700.836
"A79492104"	2010	2702.958
"B28218816"	2017	2707.426
"A82026840"	2017	2708.454
"A28505345"	2015	2708.894
"A30046379"	2017	2712.943
"F10017804"	2011	2716.067
"B84894377"	2017	2719.839
"B79945150"	2014	2723.821
"A38020905"	2017	2724.262
"B99004541"	2015	2725.667
"A28080489"	2008	2725.729
"A28295806"	2015	2726.002
"A08285363"	2016	2726.085
"A79203568"	2013	2727
"A46072823"	2016	2730.563
"B29006574"	2015	2732.269
"A04047700"	2009	2733.731
"A31737455"	2017	2734.308
"A38013272"	2014	2734.666
"B96199807"	2007	2735.07
"A63414486"	2011	2737
"A81438145"	2009	2739.585
"A06008411"	2015	2742.803
"B28023679"	2017	2744.967
"A28111342"	2010	2745.652
"B78908605"	2009	2746.233
"A06151757"	2007	2747.378
"F10017804"	2010	2747.711
"B28023679"	2016	2748.158
"A27005834"	2017	2761.991
"A45025327"	2016	2762.353
"B27013382"	2017	2762.752
"B41088642"	2015	2771.793
"B17016569"	2011	2772.006
"A16007064"	2009	2775.4
"B12523601"	2011	2777.378
"A03003530"	2015	2779.262
"B50067586"	2017	2779.747
"B45005279"	2010	2781.528
"B28255016"	2007	2783.676
"A07244023"	2013	2783.782
"A47091632"	2010	2790.421
"B23014848"	2016	2790.499
"A08182206"	2015	2792.359
"A38013272"	2015	2793.427
"A63645220"	2014	2795.619
"A29955093"	2007	2797.03
"A08196446"	2008	2801.361
"A27007731"	2016	2801.898
"A07244023"	2014	2806.835
"A82026840"	2015	2808.849
"A83401273"	2012	2809.264
"A28192532"	2008	2810.956
"A28612208"	2010	2811.422
"A01016591"	2016	2814.305
"A25026733"	2017	2827.179
"B35642198"	2012	2829.969
"B83495101"	2011	2832.534
"F10017804"	2016	2835.075
"A08365413"	2009	2836.336
"A28143782"	2010	2838
"B81231516"	2009	2839.68
"A78389608"	2010	2840.937
"B78908605"	2010	2844.041
"A08196446"	2010	2848.069
"B35642198"	2016	2855.818
"B83185140"	2016	2856
"B80146517"	2015	2857
"A24004103"	2011	2857.177
"B50067586"	2016	2859.348
"A08285363"	2017	2861.296
"A08183485"	2014	2863.681
"B46173423"	2017	2863.798
"F10017804"	2009	2864.672
"B60024353"	2017	2867.345
"A31737455"	2016	2868.159
"B38366225"	2009	2871.507
"A17007014"	2008	2873.265
"A08182206"	2016	2873.56
"B81231516"	2008	2877.978
"A18012807"	2013	2882.158
"B60024353"	2015	2886.198
"A83048363"	2009	2887.757
"B78908605"	2011	2888.877
"A08093254"	2014	2890.065
"A28452647"	2017	2895.264
"B11018462"	2014	2897.16
"A08170151"	2015	2901
"A30038764"	2014	2904.56
"A42000901"	2015	2905.002
"A82026840"	2012	2906.23
"A95444519"	2017	2907.334
"A35019637"	2012	2910.694
"A80632573"	2015	2911.776
"B12018008"	2016	2911.789
"A80632573"	2016	2912.023
"B48907885"	2013	2912.484
"B15596331"	2007	2919.75
"B46045993"	2015	2920.496
"B95388450"	2013	2925
"A80632573"	2017	2927.704
"A20779849"	2016	2927.835
"B48907885"	2011	2928.559
"A41059445"	2013	2928.94
"B09417932"	2013	2928.985
"B31005507"	2017	2930.682
"A83741967"	2016	2932.196
"B46131371"	2016	2932.889
"A61427183"	2009	2937.349
"B50938489"	2011	2938.21
"A17007014"	2009	2942.81
"A81438145"	2010	2946.051
"A28379816"	2007	2946.06
"A60963287"	2009	2950.61
"A96918867"	2010	2954.971
"B35388867"	2014	2959.144
"A92153527"	2009	2959.535
"B82988825"	2008	2961.054
"B50067586"	2015	2961.262
"A36605772"	2007	2961.99
"A01016591"	2017	2962.541
"B43241769"	2007	2963.903
"A47091632"	2007	2965.97
"B36603629"	2013	2966.651
"A08128035"	2016	2970.008
"A82026840"	2013	2970.611
"B60024353"	2016	2974.291
"B35110410"	2008	2975.78
"A24004103"	2012	2975.924
"A06008411"	2013	2978.885
"A01011881"	2017	2979.683
"A53817359"	2014	2980.116
"B83826230"	2015	2981
"B08245805"	2010	2981.312
"A46146551"	2017	2982.317
"B50938489"	2017	2985.06
"A35753094"	2012	2988.187
"B15862667"	2012	2988.476
"A61427183"	2007	2993.247
"A27005834"	2016	2997.31
"A38473724"	2007	2999.592
"A07038441"	2008	3007.032
"B41045089"	2016	3008.435
"B03072857"	2017	3010.423
"A50459528"	2015	3010.79
"B04348579"	2012	3011.536
"A07427081"	2012	3012.029
"A03057221"	2016	3012.032
"A01012921"	2015	3014.681
"B28193340"	2016	3015.12
"A81438145"	2011	3015.739
"B18547281"	2012	3021
"A08123226"	2010	3022.82
"B24008955"	2013	3023.34
"B27007897"	2017	3024.157
"A42000901"	2010	3025.406
"A08196446"	2009	3026.293
"A78389608"	2011	3026.473
"A01161066"	2017	3027.441
"B46043238"	2008	3028.383
"A38010997"	2008	3030.928
"A29955093"	2008	3031.76
"A47091632"	2009	3034.684
"A28273241"	2010	3038.21
"A12022885"	2015	3040.003
"B78908605"	2012	3042.835
"B15027170"	2017	3043.431
"A29955093"	2010	3045.965
"A28138386"	2016	3051.306
"A22003537"	2014	3051.675
"A35098482"	2010	3057.215
"A06008411"	2014	3057.272
