nif	year	acreed_ciales
"B47572367"	2015	47.051
"A18020271"	2017	47.462
"A11355526"	2015	47.659
"A08296790"	2016	48.297
"A78526811"	2009	48.674
"B03026382"	2009	48.708
"B41063355"	2017	49.107
"B81248361"	2011	49.334
"A08802068"	2016	49.881
"A41008301"	2015	50.934
"A08243297"	2015	51.064
"B04001848"	2017	51.331
"A11000288"	2017	51.494
"A58253816"	2017	51.64
"A28392033"	2013	51.958
"A26016865"	2016	52.192
"A48050728"	2012	52.472
"B17016254"	2017	52.527
"A16007064"	2011	52.81
"A48031140"	2015	53
"B92116979"	2016	53.095
"A28487007"	2015	53.254
"A08802068"	2015	53.359
"B04001848"	2015	53.726
"A08121089"	2016	53.797
"A06003800"	2017	54.149
"B78908605"	2007	54.574
"A46336152"	2015	54.702
"B03045507"	2015	54.894
"A08679060"	2016	55.06
"A33014176"	2011	55.457
"A26016865"	2015	56.015
"A06017941"	2016	56.027
"A48104905"	2017	56.27
"A46048732"	2008	56.311
"A08069809"	2015	56.455
"A08069809"	2016	57.125
"A97043772"	2016	57.667
"A15169535"	2013	57.996
"A17020645"	2015	58.056
"A41008301"	2016	58.06
"A38348413"	2016	58.261
"A15169535"	2009	58.412
"B17014887"	2009	58.597
"B43587120"	2011	59.082
"A21006911"	2017	59.181
"A73350399"	2012	59.419
"B91235622"	2016	60.311
"A29063567"	2008	60.483
"A28191088"	2016	61.026
"A96569207"	2017	61.026
"B17011511"	2016	61.057
"B78908605"	2010	61.637
"B17014887"	2016	61.912
"B83209015"	2015	62.253
"A46063731"	2017	62.378
"B07025315"	2011	62.686
"B17002049"	2011	62.828
"A08802068"	2017	62.882
"A16007064"	2010	63.332
"V57525560"	2017	63.751
"B57208878"	2017	64.237
"B92116979"	2015	64.316
"B46164679"	2016	64.415
"A17019316"	2009	64.512
"A46336152"	2017	65.027
"A16007064"	2007	65.19
"B63100150"	2017	65.409
"A08568826"	2016	65.412
"A81527095"	2016	65.551
"A28191088"	2017	66.107
"A46063731"	2016	66.18
"B91235622"	2015	66.283
"A33055138"	2014	66.436
"A08069809"	2017	66.888
"A14336143"	2016	67
"A84911825"	2016	67.544
"A82683434"	2016	67.723
"A30035034"	2016	68.075
"A41762386"	2012	68.125
"A48016877"	2015	68.36
"A33614082"	2017	68.798
"A28487007"	2009	69.151
"A28392033"	2014	69.371
"A07190309"	2016	70.493
"B63100150"	2015	70.548
"A28485761"	2010	70.6
"A78526811"	2012	70.698
"A11301645"	2008	70.76
"A08192965"	2016	70.96
"A05007687"	2008	71.11
"A16007064"	2009	71.355
"A82683459"	2015	71.5
"A28011286"	2009	72
"A41008301"	2017	72.104
"A48016877"	2016	72.605
"A06017941"	2015	72.607
"A28138386"	2016	73.032
"A78521168"	2017	73.159
"A08425902"	2015	73.197
"A22003537"	2016	73.636
"A38348413"	2017	74.122
"A48016877"	2013	74.436
"A97043772"	2015	74.478
"B83211318"	2016	75
"B59886531"	2016	76
"A17020645"	2016	76.278
"A07190309"	2015	76.508
"B39021217"	2010	76.511
"B43579424"	2015	77.335
"B03026382"	2017	77.406
"A07007735"	2015	78.016
"A96918867"	2017	78.355
"A35811272"	2016	78.431
"A15020795"	2017	78.553
"B82988825"	2017	78.644
"A31030901"	2016	78.99
"A08396830"	2016	79.256
"B46162418"	2015	79.266
"A30035034"	2015	79.289
"A26016865"	2017	79.637
"B83766485"	2015	79.734
"B15596331"	2009	79.997
"A08243297"	2017	80.08
"B39021217"	2009	80.247
"A58393778"	2017	80.508
"A35101732"	2015	80.776
"A32006413"	2015	81.09
"B15027170"	2016	81.327
"A03734514"	2015	81.355
"A14530497"	2017	81.45
"B39021217"	2008	81.552
"B03028784"	2016	81.991
"B04001848"	2016	83.052
"A46336152"	2016	83.067
"B03036712"	2016	83.803
"A31030901"	2015	83.956
"A46048732"	2009	84.125
"A38348413"	2015	84.137
"A46063731"	2015	84.342
"B43579424"	2017	84.87
"A29350139"	2016	85.06
"A08121089"	2017	85.576
"V57525560"	2016	85.586
"A78343977"	2017	86.069
"B39026604"	2015	87
"A33014176"	2010	87.537
"A08121089"	2015	87.741
"B36606853"	2015	87.885
"A15020795"	2016	88.068
"B43590272"	2015	88.186
"A26011841"	2016	88.704
"A31030901"	2017	88.939
"A14481105"	2016	89.054
"A48016794"	2017	89.344
"A17020645"	2012	89.643
"A78018421"	2007	90
"A14530497"	2016	90.374
"A58393778"	2015	90.671
"B39021217"	2017	90.743
"B08688301"	2012	91.24
"A28164374"	2016	91.352
"A46048732"	2010	91.884
"B20023982"	2016	92.479
"A03734514"	2014	92.546
"B07025315"	2010	92.58
"A58393778"	2016	92.608
"A33014176"	2014	92.882
"B28023679"	2017	93.801
"B08527194"	2017	93.804
"B46142485"	2017	94.361
"A41027723"	2017	94.387
"A81931214"	2017	94.393
"B57208878"	2015	94.527
"B28701340"	2016	94.658
"B43587120"	2013	94.799
"B38425070"	2017	95.502
"B50938489"	2015	95.587
"A84911825"	2017	95.604
"A41027723"	2015	95.88
"A13029962"	2015	95.886
"A06017941"	2017	96.039
"A41053927"	2015	96.261
"B17014887"	2017	96.272
"B17016254"	2015	96.292
"A15169535"	2008	96.44
"B81308439"	2013	96.955
"A78018421"	2012	97
"A30035034"	2017	97.196
"A59382762"	2016	99.039
"B03036712"	2009	99.205
"A28128486"	2015	99.316
"A18012930"	2016	100.146
"A28485761"	2007	101.03
"A28457059"	2015	101.076
"A35031343"	2015	101.15
"A78400603"	2007	101.226
"B50030964"	2017	101.657
"A17020645"	2010	102.225
"B20023982"	2017	102.243
"A33014176"	2013	102.461
"A17020645"	2017	103.633
"B83393223"	2015	103.853
"A30046320"	2016	103.932
"B39026604"	2016	104
"A18012930"	2015	104.235
"A06244131"	2015	104.381
"A33614082"	2014	104.42
"A15020795"	2015	104.714
"A08626103"	2011	105
"A81438145"	2017	105.055
"A28457059"	2016	105.165
"B57208878"	2016	105.679
"A33014176"	2012	105.739
"A09092305"	2016	105.786
"A28023422"	2011	106.085
"A81841850"	2015	106.471
"B84363555"	2017	106.569
"A33014176"	2017	106.651
"B78496759"	2016	107.378
"B27013382"	2015	107.543
"A28132959"	2015	107.907
"A46048732"	2017	108.848
"A50000355"	2015	109.125
"B48969877"	2017	109.244
"B43587120"	2016	110.184
"A57082570"	2016	110.827
"A78343977"	2016	110.912
"A08626103"	2010	111
"B03036712"	2017	111.178
"A28193209"	2017	111.449
"A20056248"	2017	112.101
"A12029468"	2016	112.291
"B78908605"	2008	112.83
"A80904576"	2012	112.942
"A50000355"	2016	113.377
"B43579424"	2016	113.633
"B46055943"	2015	113.886
"B82988825"	2015	114.446
"A78343977"	2015	114.838
"A28191088"	2015	114.844
"B39026604"	2017	115
"B63031660"	2016	115
"A35811272"	2015	115.382
"B03072857"	2008	115.581
"A82683434"	2015	115.605
"A50034024"	2016	115.629
"A14481105"	2017	115.728
"B13004924"	2016	116.482
"A07065717"	2017	116.758
"A17020645"	2009	116.785
"A08568826"	2010	116.789
"B64555980"	2016	117.04
"A48016877"	2014	117.4
"A41027723"	2016	117.497
"A28416154"	2013	117.6
"A14481105"	2015	117.854
"A07024896"	2015	117.912
"B12023065"	2012	117.998
"A46463311"	2015	118.26
"A81438145"	2016	118.49
"A22003537"	2014	118.612
"B57362105"	2015	118.96
"A08562910"	2015	119.309
"A08603888"	2015	119.497
"A28485761"	2009	119.749
"A20056248"	2015	119.915
"A17019316"	2011	120
"B03032620"	2016	120.023
"A28485761"	2017	120.155
"A08626103"	2012	120.162
"A28167443"	2007	120.33
"A02003465"	2015	120.473
"A20056248"	2016	120.542
"A08115578"	2016	120.594
"A28695856"	2016	120.791
"A46131769"	2015	121.906
"B46142485"	2016	122.229
"A57082570"	2015	122.517
"A46164034"	2017	122.698
"A18020271"	2013	123.058
"B17016254"	2008	123.087
"B39021217"	2012	123.242
"A81438145"	2015	123.48
"B39021217"	2011	123.625
"B39021217"	2013	123.789
"A15049281"	2017	124.144
"A08425902"	2013	124.589
"A28485761"	2016	125.209
"B17016569"	2010	125.323
"A08626103"	2009	126
"B27014398"	2017	126.411
"A35031343"	2016	126.597
"B82988825"	2016	126.746
"B12023065"	2009	126.96
"B08688301"	2014	127.296
"A15049281"	2016	127.388
"A35004399"	2007	127.65
"B47009626"	2016	128.949
"A06023477"	2014	129.816
"A80904576"	2010	129.984
"A78526811"	2013	130.973
"B11012820"	2016	131.016
"A59382762"	2017	131.129
"A28145498"	2015	131.984
"A07190309"	2014	132.025
"A36010544"	2009	132.222
"A05000682"	2017	132.453
"B47030770"	2015	132.47
"A06023477"	2013	132.498
"A28485761"	2013	132.627
"A17045204"	2017	132.746
"B08527194"	2015	132.963
"A45017241"	2016	133.341
"A08562910"	2016	133.701
"A11301645"	2009	133.901
"B28023679"	2016	133.935
"A08069809"	2011	134.104
"A08679060"	2015	134.335
"B23011273"	2015	134.397
"A80904576"	2011	134.659
"A35515485"	2012	135.318
"A36010544"	2008	135.338
"A50011980"	2015	135.533
"B28341832"	2013	135.573
"A50000355"	2017	135.581
"B03028784"	2017	135.598
"A78526811"	2008	136.362
"A46463311"	2017	137.615
"A59067603"	2016	137.778
"A46105086"	2015	138.173
"A41002841"	2012	138.291
"A03167939"	2017	138.298
"B03045507"	2009	138.338
"B39021217"	2016	138.341
"A80904576"	2013	138.55
"B46055943"	2017	138.712
"A14015101"	2015	138.744
"A38485827"	2017	138.753
"B28120012"	2010	139.177
"A41022609"	2017	139.336
"A17020645"	2011	139.503
"A50335918"	2016	139.659
"A08396830"	2017	139.718
"A08603888"	2016	139.806
"A08069809"	2009	139.949
"A28293884"	2017	140.186
"A48016877"	2008	141.336
"A08192965"	2017	141.44
"A41091927"	2015	141.855
"A28711893"	2016	141.956
"A17019316"	2010	142
"A28457059"	2017	143.146
"B62725320"	2012	143.501
"A33618257"	2014	143.696
"A28167443"	2013	143.794
"A24020562"	2016	144.015
"A17020645"	2007	144.428
"A31825466"	2014	144.767
"B03036712"	2015	145.751
"A15033699"	2016	146.536
"A17019316"	2015	147
"A80482334"	2016	147.171
"A28167443"	2010	147.215
"A15169535"	2010	147.734
"B78908605"	2011	147.967
"A31825466"	2017	148.602
"A46463311"	2016	148.646
"A78521168"	2015	148.699
"A97043772"	2017	148.963
"A16007064"	2015	148.977
"A05007687"	2009	149.491
"A46463311"	2009	149.507
"A28167443"	2009	149.593
"A02003465"	2017	150.063
"B03028784"	2009	151.205
"A29018249"	2010	152.087
"B50561968"	2014	152.304
"B03036340"	2017	152.569
"A28642122"	2015	152.955
"A81041147"	2011	153
"B15017908"	2017	153.08
"A50011980"	2016	153.72
"A19180108"	2009	153.8
"A17045204"	2016	154.012
"A08511453"	2017	154.535
"A07024896"	2014	154.725
"B12008553"	2009	155.008
"B46151411"	2016	155.485
"A28427581"	2012	155.703
"A58017187"	2016	155.951
"A46044814"	2013	156.344
"B78496759"	2017	156.54
"A08147555"	2011	156.657
"B83211318"	2009	157
"B39021217"	2014	157.213
"B41008970"	2015	157.285
"A33618257"	2015	157.392
"B46124434"	2016	157.683
"B27014398"	2015	158.173
"B28701340"	2017	158.234
"A91291435"	2017	158.515
"A28485761"	2015	158.673
"A07059058"	2011	158.868
"B63031660"	2015	159
"A08626103"	2013	159
"A28138386"	2015	159.612
"A08139339"	2017	159.633
"A36604783"	2014	160.104
"A05000682"	2016	160.208
"B78908605"	2012	160.633
"A35753094"	2015	161
"A46048732"	2013	161.245
"A06023477"	2016	161.517
"A10010445"	2015	161.542
"B15596331"	2015	161.773
"B08527194"	2016	161.944
"A08425902"	2008	162.606
"A41022609"	2016	162.939
"B83481002"	2013	163.032
"A08562910"	2017	163.241
"A25026733"	2016	163.37
"A37043015"	2009	163.67
"A08385395"	2016	163.769
"A59382762"	2013	163.887
"B83211318"	2017	164
"A23019342"	2017	164.199
"A31024458"	2015	164.678
"A28058725"	2012	165
"A07059058"	2010	165.34
"B03045507"	2010	165.397
"A38269270"	2017	165.439
"B12023065"	2014	165.454
"A17019316"	2012	166
"A11608999"	2016	166.059
"B23011273"	2016	166.115
"A28167443"	2011	166.505
"B20023982"	2015	167.428
"A03167939"	2016	167.514
"A28118040"	2008	167.694
"A28058725"	2015	167.716
"A45017241"	2017	168.064
"B03026382"	2015	168.311
"A31003247"	2008	168.48
"A96918867"	2016	169.075
"A28198661"	2011	169.082
"A28485761"	2014	169.145
"B03026382"	2008	169.355
"A06003800"	2016	169.397
"B50776657"	2015	169.543
"A53242152"	2009	169.707
"A28145498"	2016	170
"A08154650"	2016	170.377
"A35046911"	2016	170.603
"A12007555"	2016	170.821
"A31194905"	2011	171
"A81896375"	2011	171.611
"A15049281"	2015	171.622
"A06023477"	2012	171.689
"A17019316"	2017	172
"B39021217"	2015	172.369
"B12007456"	2016	172.755
"A07059058"	2009	173.154
"A29003951"	2017	173.205
"A30047120"	2016	173.96
"A07059058"	2007	173.96
"A46069456"	2016	174.461
"B11012820"	2015	174.743
"A23010200"	2016	174.875
"A28368603"	2015	174.882
"B82435371"	2015	175
"A48080147"	2011	175.24
"A03047628"	2014	175.264
"B28120012"	2011	175.651
"B62725320"	2013	175.948
"A36621522"	2016	175.995
"A08568826"	2017	176.311
"B36620193"	2016	176.532
"A59382762"	2010	176.932
"A28058725"	2010	177
"B61425682"	2015	177.233
"B03072857"	2007	177.294
"A48016877"	2012	177.399
"A11006095"	2015	177.448
"B35597020"	2017	177.575
"A07059058"	2008	177.675
"A80904576"	2009	177.977
"A29003951"	2016	177.981
"A17020645"	2013	178.255
"A08115578"	2017	178.346
"B84309616"	2012	178.417
"A58534777"	2010	178.475
"A07190309"	2013	178.52
"A07010937"	2011	178.645
"B20023982"	2007	178.709
"A41053927"	2016	178.92
"A12007555"	2017	179.195
"A05007687"	2011	179.508
"A30011282"	2016	179.729
"A28058725"	2017	179.841
"B78077724"	2010	180
"A37043015"	2008	180.12
"B50030964"	2016	180.233
"A08480287"	2015	180.897
"B28120012"	2013	181.108
"A28827335"	2016	181.128
"B11630886"	2012	181.448
"B30034730"	2016	181.75
"A18020271"	2014	181.864
"A31194905"	2012	182
"A81047375"	2016	182
"A28192532"	2015	182.523
"A12105029"	2008	182.78
"A78018421"	2013	183
"A03003530"	2012	183.097
"A35515485"	2013	183.188
"B03045507"	2014	183.518
"A96785225"	2016	183.827
"A08528648"	2011	184.067
"A48016877"	2017	184.301
"A33618257"	2017	184.475
"A02003754"	2017	184.578
"A41027723"	2009	184.646
"A28987196"	2012	185.325
"B08156036"	2015	185.655
"A78521168"	2016	185.969
"A80904576"	2014	186.012
"A08480287"	2016	186.448
"A28229409"	2013	186.533
"A24011165"	2017	187
"A14336143"	2015	188
"B17002049"	2016	188.312
"A08626103"	2014	189
"A01035807"	2015	189
"A08396830"	2015	189.278
"A28801942"	2009	189.423
"A97043772"	2009	189.766
"A08285363"	2016	189.825
"A15070444"	2016	189.877
"B59886531"	2017	190
"A46134748"	2016	190.525
"A03026697"	2016	190.989
"A15070444"	2017	191.075
"A31003247"	2007	191.39
"A50012822"	2017	192.136
"B12523601"	2013	192.238
"A29018249"	2013	192.587
"B27014398"	2016	192.644
"A78526811"	2011	193.04
"A33034422"	2017	193.176
"A21000427"	2011	193.748
"A17019316"	2008	193.77
"A59067603"	2017	193.885
"A03003530"	2013	193.968
"A58664764"	2013	194.153
"B46043238"	2014	194.187
"A58017187"	2015	194.31
"A08568826"	2011	195.163
"B46142485"	2012	195.448
"A58017187"	2017	195.493
"A36621522"	2010	196.42
"A48016794"	2012	196.539
"A15020795"	2008	196.614
"B11012820"	2017	196.932
"A22009492"	2017	197.304
"A78400603"	2008	197.358
"A81841850"	2009	197.499
"A59382762"	2008	198.136
"A18012930"	2017	198.203
"A28108447"	2017	198.684
"A28087583"	2017	198.877
"A03167939"	2015	199.815
"A28167443"	2014	200.009
"A59382762"	2012	200.416
"B30034730"	2015	200.434
"A17020645"	2008	200.446
"A19180108"	2010	200.512
"A17045204"	2015	200.644
"A08479933"	2016	200.873
"A60850500"	2016	201.539
"A46332995"	2011	201.558
"F43393065"	2009	202.146
"A03047628"	2011	202.611
"A28167443"	2015	203
"A48031140"	2014	203.211
"B28361350"	2015	203.336
"B17014887"	2010	203.48
"A41008301"	2013	203.531
"A38000410"	2015	203.692
"B61428611"	2016	204.554
"A46105086"	2017	204.621
"A07010937"	2017	204.706
"B92217975"	2017	204.844
"B46055943"	2016	204.866
"A28058725"	2013	205
"A28198661"	2012	205
"A03032653"	2016	205.117
"A03026697"	2015	205.177
"A28023422"	2010	205.349
"A09000308"	2008	205.36
"A08121089"	2012	205.449
"A32006579"	2016	205.977
"B28115533"	2012	206.126
"B11630886"	2013	206.253
"A15033699"	2017	206.281
"A15033699"	2015	206.601
"B03072857"	2009	207.067
"B46043238"	2012	207.121
"B78496759"	2015	207.129
"B46043238"	2011	207.152
"A31180060"	2015	207.27
"B46016408"	2017	207.489
"B43590272"	2010	208.541
"A14336143"	2012	208.755
"B12029153"	2013	208.803
"B03072857"	2016	209.092
"A03003530"	2011	209.378
"A46168795"	2015	209.6
"A23019342"	2016	209.672
"A41053927"	2017	209.842
"B63100150"	2016	209.954
"A78018421"	2014	210
"B43202076"	2017	210.461
"A31003247"	2009	210.861
"A25026733"	2009	211.079
"A35004399"	2008	212.12
"A41008301"	2014	212.232
"B12014692"	2016	212.347
"B04001848"	2014	212.595
"B36603629"	2014	212.991
"B61395497"	2010	213.235
"A36621522"	2011	213.392
"A28229409"	2010	213.396
"A03026697"	2017	213.465
"B12029153"	2007	213.54
"B35018332"	2015	213.721
"A35014075"	2017	214.023
"A46164034"	2012	214.312
"A96785225"	2011	214.633
"A78159241"	2007	214.9
"A41027723"	2011	215.077
"A80433519"	2014	215.278
"A13029962"	2016	215.474
"A46048732"	2012	216.083
"A79092573"	2011	216.5
"A08069809"	2013	216.82
"A07089592"	2017	217.255
"B03046158"	2016	217.614
"B17014887"	2011	217.771
"B61441127"	2015	218
"A38000410"	2016	218.183
"A50008390"	2015	218.305
"A44004059"	2016	218.37
"A08145385"	2016	218.612
"A15018146"	2010	218.88
"B08552614"	2014	219.066
"A35008168"	2015	219.116
"A15020795"	2009	219.132
"A36608180"	2012	219.436
"A28058725"	2016	219.532
"A29018249"	2009	220.19
"A09092305"	2017	221.156
"A28193209"	2016	221.729
"B36620193"	2015	222.187
"A06003800"	2015	222.97
"A16007064"	2008	223.36
"A05007687"	2007	224.32
"B03036340"	2016	225.071
"A38020525"	2017	225.135
"A28167443"	2008	225.346
"A29018249"	2008	225.932
"A24050015"	2016	226.185
"B43202076"	2016	226.237
"A05007687"	2010	226.483
"A07010937"	2016	226.846
"B12014692"	2015	226.975
"A05000682"	2015	227.041
"A48050728"	2014	227.143
"A81841850"	2011	227.178
"B57208878"	2010	227.194
"B15010168"	2017	227.557
"B43636075"	2016	227.876
"A46332995"	2014	228.072
"A08146474"	2016	228.134
"A36621522"	2013	228.172
"A08425902"	2012	228.176
"A45010543"	2016	228.579
"A41762386"	2016	228.799
"A83826362"	2015	228.859
"B24014292"	2016	228.936
"A29018249"	2012	228.98
"B17011511"	2017	229.475
"A41002809"	2017	229.779
"A35046911"	2017	230.462
"A28134534"	2015	230.49
"A14000939"	2017	230.511
"B03045507"	2011	230.926
"B78908605"	2013	231.112
"A08069809"	2010	231.271
"A08290975"	2016	231.282
"A48016794"	2016	231.8
"A45017142"	2016	232.389
"A45010543"	2015	232.792
"A08385395"	2017	232.84
"A48016794"	2015	232.924
"A17019316"	2016	233
"B46124434"	2017	233.144
"A07007735"	2011	233.775
"A78526811"	2014	234.132
"A29063567"	2009	234.189
"A28556504"	2017	234.259
"A15010994"	2007	234.745
"A36608180"	2011	234.916
"A08121089"	2013	235.006
"A33034422"	2016	235.062
"A01007137"	2012	235.218
"A13029962"	2017	235.238
"B47572367"	2016	235.363
"B46108403"	2011	235.59
"B08156036"	2017	235.685
"A46122065"	2017	236.311
"A50335918"	2015	236.642
"A46048732"	2014	236.654
"A18012807"	2015	236.822
"A28058725"	2011	237
"B23011273"	2017	237.141
"A37043015"	2011	238.172
"A08146474"	2017	238.327
"A08934168"	2016	238.631
"A41002809"	2016	239.281
"A37043015"	2007	239.74
"B12007456"	2014	239.931
"A48084909"	2016	240
"B01128552"	2016	240.394
"B41042995"	2016	240.53
"B15596331"	2011	240.551
"A07089592"	2016	240.562
"A59067603"	2012	241.394
"A08934168"	2009	241.399
"A78159241"	2008	241.53
"B46051116"	2011	241.537
"B46043238"	2013	241.796
"B46162376"	2015	241.907
"A14336143"	2013	242.218
"A48081061"	2009	242.802
"A50023423"	2017	243.038
"A46023735"	2017	243.228
"A08145385"	2012	243.234
"A46134748"	2015	243.322
"A28128486"	2010	243.402
"B17002049"	2017	243.432
"A08425902"	2011	243.52
"B28701340"	2014	243.745
"B78908605"	2014	243.748
"A08285363"	2017	243.863
"B12029153"	2012	244.084
"A29018249"	2011	244.15
"A28987196"	2014	244.529
"B24008955"	2015	244.529
"A28091262"	2007	244.605
"A47022058"	2007	244.98
"B62725320"	2011	245.086
"A46072203"	2016	245.175
"A41027723"	2013	245.724
"A08528648"	2013	245.949
"A82716010"	2016	246.359
"A46055992"	2017	247.04
"A58664764"	2012	247.225
"A03047628"	2012	248.922
"A96773940"	2012	249
"A82716010"	2017	249.153
"A81931214"	2016	249.64
"A28167443"	2017	250
"B84598192"	2016	250.007
"B54055140"	2016	250.151
"A03040854"	2016	250.362
"A28987196"	2013	250.7
"A44003663"	2015	250.905
