nif	year	n_empleados
"B54055140"	2013	4
"A48050728"	2015	4
"A95444519"	2015	4
"B06320410"	2012	4
"A48050728"	2011	4
"A48050728"	2014	4
"A58393778"	2015	4
"B57208878"	2010	4
"B62850094"	2014	4
"B48948830"	2009	4
"B78077724"	2010	4
"A48050728"	2012	4
"A45445210"	2015	4
"A45445210"	2009	4
"A48050728"	2010	4
"B34224923"	2015	4
"B60024353"	2010	4
"A58393778"	2017	4
"A08906208"	2007	4
"A33617218"	2012	4
"A03035417"	2011	4
"B78077724"	2008	4
"A08906208"	2009	5
"B06422877"	2013	5
"A33617218"	2014	5
"A78526811"	2009	5
"A85426971"	2015	5
"A81200511"	2007	5
"B14484612"	2012	5
"A22001721"	2015	5
"A74255282"	2016	5
"A82198847"	2017	5
"B83588657"	2017	5
"A03035417"	2008	5
"A45445210"	2008	5
"B17229675"	2008	5
"A35028570"	2008	5
"A08906208"	2011	5
"A96966049"	2008	5
"A28111342"	2008	5
"A28134534"	2008	5
"B60024353"	2009	5
"B48948830"	2015	5
"B48948830"	2016	5
"A08906208"	2010	5
"A03035417"	2010	5
"A29076270"	2015	5
"A28134534"	2010	5
"A28111342"	2009	5
"A81410227"	2007	5
"A45562329"	2012	5
"B81308439"	2013	5
"B41591165"	2016	5
"B41031980"	2008	5
"B80146517"	2017	5
"B48948830"	2010	5
"B84363555"	2015	5
"A03035417"	2012	5
"B48841282"	2010	5
"A91291435"	2011	5
"A28111342"	2010	5
"A22001721"	2016	5
"A78526811"	2012	5
"A82198847"	2016	5
"B48948830"	2017	5
"A53817359"	2013	5
"B43241769"	2017	5
"B29006574"	2009	5
"B48948830"	2014	5
"A83932475"	2011	5
"B41031980"	2009	5
"A28111342"	2011	5
"B84309616"	2012	5
"A09354176"	2013	6
"A78355278"	2017	6
"B31850977"	2014	6
"B50938489"	2009	6
"A28039469"	2013	6
"A28198661"	2012	6
"B47506811"	2013	6
"A82198847"	2014	6
"B60653466"	2008	6
"A03035417"	2009	6
"A29076270"	2016	6
"A16004665"	2011	6
"A45562329"	2014	6
"B83588657"	2016	6
"B97389209"	2012	6
"A09022963"	2007	6
"B08271694"	2007	6
"B41591165"	2017	6
"A45020450"	2017	6
"A26297663"	2008	6
"B16010464"	2015	6
"B45493707"	2017	6
"A57082570"	2011	6
"A09022963"	2008	6
"A82501545"	2009	6
"A41762386"	2012	6
"A28053080"	2012	6
"A83826362"	2015	6
"A33617218"	2010	6
"A28290799"	2012	6
"A28290799"	2010	6
"A28110971"	2017	6
"B31784895"	2011	6
"B78077724"	2009	6
"A81410227"	2009	6
"B48948830"	2013	6
"A92153527"	2008	6
"A09022963"	2010	6
"A09022963"	2009	6
"A14580385"	2013	6
"A22271209"	2013	6
"B81308439"	2011	6
"A96966049"	2009	6
"B41070020"	2016	6
"B82435371"	2013	6
"A28505402"	2015	6
"A28290799"	2011	6
"A82198847"	2015	6
"A29076270"	2014	6
"B48948830"	2011	6
"A28290799"	2007	6
"B50997949"	2012	7
"B84311760"	2012	7
"B47506811"	2014	7
"A82198847"	2013	7
"A97628242"	2012	7
"B81308439"	2016	7
"B48841282"	2011	7
"A07016256"	2009	7
"A78526811"	2013	7
"A28200384"	2016	7
"A28290799"	2009	7
"B41031980"	2010	7
"B81308439"	2015	7
"A28290799"	2013	7
"B31684020"	2010	7
"B08271694"	2008	7
"B48948830"	2012	7
"A58664764"	2013	7
"A28458826"	2016	7
"A07016256"	2008	7
"A97789861"	2015	7
"A82198847"	2012	7
"B06422877"	2014	7
"B28250090"	2017	7
"A78097656"	2007	7
"A33617218"	2007	7
"A28574044"	2017	7
"B84311760"	2013	7
"A28290799"	2008	7
"A62703806"	2010	7
"A33617218"	2009	7
"A78100609"	2013	7
"B81308439"	2017	7
"B63031660"	2017	7
"A48547558"	2008	7
"A28111342"	2012	7
"B37416575"	2014	7
"A12363529"	2008	7
"A33617218"	2008	7
"A82198847"	2011	7
"A12512497"	2007	7
"A78526811"	2015	7
"A28075968"	2010	8
"A48547558"	2009	8
"A28110971"	2007	8
"A10301240"	2012	8
"B63100150"	2017	8
"B83782169"	2013	8
"B08271694"	2010	8
"A33202474"	2008	8
"B50997949"	2014	8
"B34226514"	2014	8
"A22174932"	2008	8
"A22174932"	2010	8
"A46092094"	2016	8
"A78097656"	2009	8
"B48969877"	2007	8
"A20008579"	2007	8
"A28049153"	2009	8
"A83048363"	2008	8
"B82435371"	2014	8
"A31180060"	2017	8
"A08186215"	2017	8
"A30041719"	2009	8
"A31061385"	2012	8
"A28651222"	2012	8
"B29682135"	2011	8
"A30041719"	2010	8
"A28651222"	2011	8
"A96966049"	2010	8
"B83680322"	2013	8
"A83826362"	2016	8
"B60653466"	2009	8
"A78097656"	2012	8
"A61427183"	2007	8
"A61797536"	2008	8
"A07004187"	2016	8
"A45562329"	2015	8
"A78267309"	2012	8
"A22174932"	2009	8
"A97628242"	2014	8
"B61882551"	2009	8
"A30041719"	2008	8
"A07004187"	2017	8
"B97389209"	2013	8
"B48969885"	2007	8
"A74255282"	2017	8
"B83393223"	2016	8
"A04047700"	2007	8
"A97628242"	2013	8
"B35642198"	2012	8
"B83782169"	2012	8
"B62916077"	2011	8
"A62415641"	2009	8
"A03057221"	2017	8
"A28548220"	2017	8
"A28651222"	2013	8
"A28651222"	2016	8
"A62415641"	2008	8
"A81944324"	2007	8
"B15862667"	2011	8
"A30041719"	2007	8
"A78097656"	2010	8
"A81487027"	2010	8
"A78097656"	2011	8
"A29050762"	2014	8
"B91139717"	2012	8
"B08271694"	2009	8
"B83393223"	2017	8
"A91291435"	2012	8
"B62111018"	2017	8
"A28049153"	2010	8
"A63414486"	2013	8
"B81231516"	2007	8
"A78097656"	2008	8
"A61797536"	2007	8
"B28170215"	2013	9
"F50011139"	2010	9
"A08093254"	2014	9
"A48547558"	2011	9
"A28198661"	2009	9
"B06320410"	2017	9
"B63100150"	2012	9
"A11301645"	2007	9
"A28651222"	2014	9
"A80359730"	2016	9
"A33008921"	2017	9
"B78908605"	2014	9
"B84311760"	2014	9
"A18291476"	2013	9
"A07016256"	2010	9
"A80959612"	2007	9
"A28198661"	2010	9
"A28827335"	2014	9
"A78100609"	2017	9
"A18291476"	2012	9
"A80359730"	2017	9
"A20008579"	2008	9
"A15685324"	2010	9
"B62916077"	2009	9
"A96646880"	2013	9
"A09205550"	2016	9
"A07216948"	2016	9
"B09417932"	2012	9
"B97389209"	2017	9
"B63078075"	2017	9
"A78097656"	2014	9
"F50011139"	2011	9
"B01128552"	2016	9
"B84886837"	2017	9
"B63100150"	2011	9
"A12363529"	2009	9
"A80359730"	2015	9
"A81000028"	2009	9
"A28487601"	2013	9
"A36000073"	2014	9
"B50997949"	2013	9
"A07216948"	2017	9
"A28046431"	2017	9
"B48441497"	2014	9
"B84886837"	2016	9
"A06419220"	2012	9
"A01010701"	2011	9
"B28361350"	2017	9
"A20008579"	2013	9
"A28075968"	2011	9
"B35642198"	2017	9
"A11301645"	2009	9
"A33202474"	2010	9
"A33202474"	2007	9
"B62111018"	2014	9
"A78097656"	2013	9
"A97628242"	2015	9
"A33202474"	2009	9
"A11301645"	2008	9
"B01128552"	2014	9
"B80146517"	2015	9
"A85450476"	2015	9
"A01016591"	2016	9
"A96966049"	2014	9
"A28198661"	2011	9
"A46092094"	2015	9
"B97526008"	2014	9
"B78908605"	2012	9
"B28170215"	2014	9
"A62415641"	2011	9
"A09022963"	2012	9
"A20008579"	2012	9
"A12363529"	2010	9
"A09205550"	2017	9
"B63100150"	2010	9
"A48068761"	2014	9
"A82198847"	2010	9
"A78100609"	2016	9
"A53552634"	2010	9
"B84886837"	2015	9
"B84886837"	2014	9
"A78100609"	2015	9
"A96646880"	2015	9
"A01010701"	2012	9
"A35014414"	2015	9
"A28075968"	2012	10
"A79049797"	2008	10
"B60653466"	2010	10
"A33202474"	2014	10
"A33202474"	2012	10
"B46155271"	2015	10
"B81907776"	2015	10
"A46092094"	2014	10
"B43241769"	2010	10
"A83826362"	2013	10
"A28134534"	2007	10
"B18012831"	2017	10
"A25418401"	2009	10
"A07004187"	2015	10
"B08447948"	2013	10
"A01010701"	2013	10
"B08373250"	2009	10
"B78908605"	2016	10
"B08373250"	2010	10
"B79945150"	2009	10
"A28399434"	2014	10
"A62415641"	2014	10
"A23008857"	2009	10
"A28290799"	2014	10
"A62035282"	2016	10
"A48104905"	2016	10
"B08373250"	2008	10
"A96966049"	2017	10
"A33008921"	2009	10
"B78908605"	2011	10
"A11000288"	2010	10
"B58613076"	2016	10
"A25529074"	2010	10
"A48547558"	2013	10
"A29076270"	2017	10
"A62415641"	2015	10
"A53817359"	2014	10
"B27013382"	2017	10
"A28487601"	2015	10
"A24022196"	2011	10
"B82435371"	2015	10
"A28273241"	2012	10
"A62035282"	2014	10
"A48110381"	2011	10
"A08713869"	2009	10
"B78908605"	2007	10
"B60544046"	2008	10
"A28198661"	2008	10
"A09022963"	2011	10
"A09022963"	2015	10
"A33008921"	2016	10
"B82435371"	2016	10
"B96952635"	2010	10
"A36000073"	2017	10
"A36561595"	2015	10
"A53552634"	2011	10
"A62415641"	2013	10
"A36605772"	2012	10
"A82198847"	2009	10
"B97389209"	2014	10
"A01016591"	2017	10
"A33202474"	2011	10
"A62035282"	2007	10
"A79049797"	2007	10
"A28075968"	2016	10
"B46012324"	2017	10
"A17034844"	2009	10
"A09354176"	2014	10
"A28827335"	2011	10
"B45493707"	2016	10
"A24022196"	2012	10
"A28827335"	2013	10
"B82852831"	2014	10
"B97526008"	2015	10
"A09022963"	2013	10
"A03057221"	2015	10
"A62415641"	2012	10
"A46035770"	2008	10
"A48040232"	2017	10
"A01001072"	2017	10
"A07004187"	2014	10
"A82405788"	2009	10
"A03057221"	2016	10
"A28292084"	2017	10
"A78097656"	2017	10
"A91369819"	2013	10
"A96966049"	2012	10
"A96966049"	2013	10
"B60653466"	2011	10
"B35042092"	2010	10
"A36000073"	2015	10
"B81231516"	2017	10
"B96990015"	2009	10
"A48104905"	2013	10
"A07427081"	2009	10
"A08170151"	2015	10
"A73093734"	2011	10
"A78097656"	2016	10
"B08271694"	2016	10
"B78908605"	2010	10
"B47009626"	2016	10
"A81047375"	2008	10
"B58613076"	2010	10
"A38027637"	2007	10
"A25529074"	2011	10
"A18291476"	2015	10
"A38027637"	2017	10
"A01010701"	2017	10
"B43241769"	2016	10
"A85450476"	2016	10
"A96966049"	2011	10
"A08479297"	2011	10
"A48547558"	2007	10
"A28487601"	2016	10
"A31003304"	2009	10
"B28555001"	2009	10
"F28698488"	2013	10
"B82852831"	2012	10
"A85450476"	2017	10
"A62035282"	2017	10
"A36605772"	2011	10
"A38027637"	2008	10
"B82852831"	2013	10
"A32226037"	2008	10
"A36605772"	2010	10
"A96966049"	2015	10
"A81200511"	2010	10
"B08271694"	2011	10
"A96646880"	2014	10
"A96966049"	2016	10
"B82852831"	2011	10
"A33055138"	2009	10
"A62415641"	2017	10
"A36605772"	2015	10
"A18291476"	2016	10
"A50615160"	2007	10
"A81200511"	2011	10
"B78908605"	2017	10
"A62415641"	2016	10
"A36000073"	2016	10
"A62415641"	2010	10
"B17229675"	2009	10
"B04348579"	2012	10
"A11301645"	2013	10
"A46092094"	2017	10
"A48547558"	2012	10
"A36605772"	2017	10
"B78908605"	2013	10
"A33026980"	2008	11
"A18291476"	2017	11
"A28292084"	2015	11
"B28250090"	2009	11
"B35642198"	2014	11
"A39022124"	2011	11
"B35642198"	2013	11
"A12363529"	2011	11
"B58613076"	2015	11
"B27013382"	2016	11
"A28198661"	2013	11
"A11000288"	2016	11
"B60653466"	2012	11
"A28110971"	2008	11
"B06320410"	2014	11
"A11301645"	2014	11
"A28505402"	2010	11
"B29682135"	2017	11
"B28555001"	2010	11
"A01035807"	2017	11
"A38010997"	2010	11
"A23008857"	2012	11
"B04348579"	2017	11
"A82485335"	2009	11
"A01016591"	2015	11
"A50017334"	2013	11
"A23022874"	2007	11
"A30038020"	2016	11
"A48547558"	2016	11
"A48547558"	2014	11
"B29682135"	2016	11
"A07427081"	2017	11
"A28580520"	2015	11
"A33617218"	2016	11
"A28292084"	2016	11
"B97389209"	2016	11
"A28175412"	2017	11
"B62916077"	2010	11
"A20779849"	2017	11
"B48969885"	2008	11
"A38027637"	2010	11
"A20037933"	2017	11
"A12017919"	2007	11
"A41002809"	2011	11
"A28485571"	2007	11
"A28273241"	2013	11
"A28485571"	2008	11
"A26016865"	2014	11
"A20037933"	2016	11
"B47506811"	2015	11
"A28143782"	2015	11
"A43110337"	2007	11
"A28110971"	2009	11
"A07802218"	2014	11
"B06320410"	2015	11
"A45012226"	2017	11
"A28070167"	2017	11
"B63100150"	2013	11
"A08098576"	2016	11
"A28695856"	2017	11
"A14580385"	2014	11
"A26016865"	2015	11
"A01035807"	2016	11
"A46092094"	2012	11
"A50889955"	2009	11
"A28487601"	2014	11
"A33055138"	2008	11
"B78908605"	2008	11
"A23022874"	2008	11
"A36605772"	2013	11
"B35642198"	2016	11
"B06320410"	2013	11
"A35014414"	2016	11
"B81231516"	2009	11
"A08479297"	2012	11
"B62850094"	2015	11
"B04348579"	2013	11
"A82198847"	2007	11
"B78908605"	2009	11
"B21365630"	2015	11
"B63100150"	2015	11
"B58222548"	2014	11
"A62035282"	2015	11
"A38027637"	2009	11
"A28729424"	2015	11
"A28294718"	2008	11
"B83393223"	2010	11
"B91372748"	2015	11
"A29050762"	2017	11
"A20028676"	2012	11
"B83393223"	2013	11
"B62785357"	2012	11
"A62035282"	2011	11
"A48040232"	2016	11
"A07216948"	2015	11
"A23008857"	2014	11
"A35014414"	2017	11
"A07004187"	2012	11
"B50997949"	2015	11
"B35054006"	2015	11
"A46092094"	2009	11
"A83932475"	2012	11
"A48547558"	2015	11
"A38027637"	2011	11
"B83680322"	2017	11
"A46092094"	2013	11
"A42003368"	2016	11
"A08196446"	2016	11
"B28250090"	2013	11
"B04348579"	2016	11
"A81000028"	2010	11
"B63100150"	2014	11
"A57277709"	2014	11
"A09022963"	2016	11
"F50011139"	2013	11
"A07016256"	2014	11
"A36605772"	2016	11
"B59162701"	2007	11
"B84768761"	2015	11
"A41392317"	2015	11
"B28250090"	2014	11
"B81231516"	2008	11
"B04348579"	2015	11
"B47009626"	2017	11
"A62035282"	2008	11
"B21376942"	2013	11
"A50459528"	2016	11
"B28250090"	2010	11
"A08713869"	2010	11
"B28250090"	2012	11
"A45562329"	2016	11
"B58613076"	2017	11
"B83393223"	2011	11
"B08463424"	2017	11
"A62035282"	2009	11
"A08196446"	2017	11
"A50060011"	2014	11
"A04047700"	2008	11
"B83393223"	2012	11
"A09022963"	2017	11
"B48969877"	2008	11
"A50060011"	2016	11
"B06320410"	2016	11
"B08373250"	2017	11
"A28075968"	2013	11
"A28290799"	2016	12
"B60544046"	2015	12
"A42003368"	2017	12
"B62850094"	2017	12
"A33202474"	2013	12
"B34224923"	2016	12
"A33609587"	2011	12
"A46092094"	2010	12
"A41002809"	2012	12
"B83393223"	2015	12
"A33609587"	2007	12
"A58664764"	2015	12
"B08271694"	2015	12
"A07016256"	2012	12
"A78100609"	2014	12
"A28487601"	2017	12
"A03017886"	2008	12
"A09022963"	2014	12
"A33026980"	2009	12
"A01035807"	2012	12
"A58816554"	2008	12
"A63746275"	2012	12
"A46092094"	2007	12
"A08646101"	2017	12
"A23008857"	2011	12
"B60544046"	2009	12
"A33202474"	2017	12
"A62332580"	2010	12
"A08646101"	2011	12
"B08373250"	2007	12
"A08713869"	2011	12
"A28827335"	2016	12
"B41094459"	2007	12
"A33126244"	2010	12
"A28645000"	2016	12
"B82852831"	2010	12
"A36000073"	2012	12
"B29682135"	2014	12
"A01035807"	2013	12
"A28827335"	2012	12
"B30033666"	2017	12
"A28075968"	2014	12
"A08401820"	2017	12
"B14484612"	2013	12
"A29050762"	2015	12
"A28245009"	2016	12
"A50060011"	2008	12
"B30033666"	2016	12
"A23008857"	2010	12
"A83826362"	2017	12
"A48082085"	2017	12
"A08425902"	2015	12
"B60544046"	2010	12
"A50060011"	2017	12
"A26297663"	2009	12
"A83048363"	2009	12
"B28170215"	2017	12
"B18551226"	2011	12
"B08271694"	2014	12
"B35054006"	2016	12
"A32226037"	2010	12
"A61351540"	2016	12
"A41002809"	2010	12
"A28290799"	2017	12
"B28193340"	2009	12
"A41002809"	2008	12
"A26016865"	2013	12
"B58222548"	2016	12
"B43579424"	2008	12
"B96952635"	2012	12
"A48840359"	2016	12
"A12016143"	2017	12
"A28273241"	2011	12
"B43241769"	2011	12
"A50060011"	2013	12
"A12363529"	2014	12
"A28518041"	2014	12
"B43241769"	2012	12
"B48969877"	2009	12
"A08629107"	2010	12
"B35054006"	2017	12
"A26016865"	2017	12
"A41002809"	2009	12
"B28193340"	2008	12
"A28117026"	2007	12
"A48547558"	2017	12
"A28518041"	2013	12
"B82852831"	2009	12
"B48969885"	2009	12
"A81808966"	2013	12
"A62035282"	2010	12
"B21376942"	2017	12
"A50060011"	2009	12
"A42003368"	2015	12
"B83826230"	2017	12
"A36605772"	2014	12
"B28193340"	2010	12
"B14484612"	2014	12
"B29682135"	2012	12
"A62704457"	2010	12
"A03017886"	2009	12
"A46092094"	2008	12
"A28037240"	2012	12
"B46151411"	2015	12
"A36000073"	2013	12
"A50060011"	2012	12
"B08373250"	2016	12
"B08271694"	2017	12
"A08713869"	2012	12
"A50060011"	2015	12
"B97389209"	2015	12
"B58222548"	2017	12
"A48840359"	2017	12
"A62035282"	2013	12
"A78100609"	2012	12
"A79049797"	2016	12
"A33126244"	2011	12
"B46151411"	2016	12
"A46092094"	2011	12
"A28245009"	2017	12
"A50459528"	2015	12
"A08425902"	2016	12
"B08271694"	2013	12
"A60963287"	2013	12
"A33202474"	2016	12
"A50060011"	2011	12
"A50060011"	2010	12
"A33202474"	2015	12
"A32226037"	2009	12
"A45012226"	2016	12
"B81231516"	2010	12
"A62035282"	2012	12
"A08063372"	2015	13
"A28505402"	2008	13
"A28290799"	2015	13
"A48840359"	2015	13
"B63100150"	2016	13
"A31003304"	2015	13
"B60544046"	2013	13
"B28072205"	2013	13
"A04047700"	2010	13
"A97628242"	2016	13
"A41392317"	2016	13
"B48841282"	2012	13
"A08196446"	2014	13
"A11000288"	2017	13
"B96990015"	2010	13
"B45018017"	2017	13
"A07802218"	2011	13
"B03006681"	2017	13
"A50017334"	2010	13
"A41392317"	2017	13
"B03006681"	2016	13
"A20557294"	2007	13
"A63414486"	2015	13
"A28321313"	2007	13
"A03017886"	2010	13
"A50017334"	2016	13
"A33126244"	2012	13
"A33055138"	2010	13
"A07004187"	2013	13
"A96918867"	2008	13
"A46122065"	2012	13
"A45562329"	2017	13
"A28023422"	2007	13
"A50017334"	2009	13
"A50017334"	2015	13
"B21376942"	2016	13
"A04047700"	2009	13
"A31024458"	2017	13
"A91291435"	2014	13
"A03017886"	2011	13
"A50060011"	2007	13
"B46155271"	2014	13
"B83045674"	2009	13
"B91372748"	2014	13
"A29050762"	2016	13
"A50017334"	2007	13
"B60544046"	2014	13
"A08196446"	2015	13
"A31024458"	2016	13
"A22001721"	2017	13
"A28046431"	2015	13
"A04047700"	2017	13
"A46035770"	2010	13
"A08098576"	2017	13
"A79049797"	2017	13
"A46122065"	2015	13
"B45018017"	2007	13
"A31003304"	2014	13
"A81047375"	2010	13
"F10017804"	2017	13
"A28117026"	2011	13
"A28173573"	2015	13
"A81047375"	2011	13
"A07016256"	2011	13
"A08093254"	2016	13
"B60653466"	2013	13
"B58222548"	2015	13
"A60963287"	2017	13
"A03017886"	2007	13
"B28072205"	2010	13
"A39022124"	2008	13
"B28072205"	2011	13
"A39022124"	2017	13
"B08373250"	2015	13
"A85125078"	2014	13
"A41059445"	2017	13
"A08691503"	2017	13
"B28555001"	2011	13
"A07427081"	2016	13
"B36010098"	2017	13
"A42003368"	2013	13
"A20037933"	2015	13
"B60544046"	2012	13
"B08373250"	2011	13
"A28651222"	2008	13
"A78100609"	2011	13
"A45445210"	2014	13
"A63414486"	2014	13
"B82274135"	2016	13
"B18012831"	2015	13
"B60544046"	2011	13
"B35054006"	2014	13
"A82405788"	2016	13
"A08425902"	2017	13
"B08271694"	2012	13
"A24022196"	2010	13
"B28072205"	2012	13
"A39022124"	2007	13
"A23010200"	2009	13
"B60544046"	2016	13
"A01035807"	2011	13
"B97307086"	2012	13
"B80146517"	2016	13
"B60544046"	2017	13
"B28555001"	2012	13
"A28321313"	2010	13
"A41920943"	2017	13
"B82435371"	2017	13
"A60963287"	2016	13
"B08156036"	2014	13
"A57346926"	2014	13
"A31003304"	2013	13
"A01035807"	2014	13
"A46122065"	2014	13
"B28460681"	2011	13
"A23008857"	2017	13
"A15685324"	2011	13
"B84348622"	2013	13
"A73093734"	2017	13
"A81047375"	2009	13
"A28198661"	2007	13
"A50017334"	2014	13
"A28075968"	2015	13
"A07427081"	2011	14
"A03035417"	2013	14
"A46072823"	2017	14
"B46151411"	2017	14
"A28145498"	2009	14
"F10017804"	2009	14
"A08737249"	2016	14
"A83048363"	2010	14
"B34224923"	2017	14
"A41002841"	2017	14
"A57277709"	2015	14
"A28110971"	2010	14
"A14580385"	2015	14
"A33600107"	2017	14
"A28117026"	2008	14
"A97628242"	2017	14
"A33609587"	2013	14
"A28117026"	2009	14
"A08563769"	2015	14
"A28645000"	2017	14
"A81200511"	2009	14
"A28117026"	2010	14
"A08479297"	2013	14
"B20049615"	2016	14
"A26016865"	2016	14
"A16004665"	2013	14
"B84311760"	2015	14
"A81000028"	2014	14
"B31064082"	2013	14
"A46122065"	2017	14
"A45445210"	2013	14
"A97617773"	2013	14
"B31784895"	2012	14
"A15016595"	2007	14
"A23022874"	2011	14
"B41441387"	2012	14
"F10017804"	2015	14
"A12017919"	2010	14
"A15016595"	2017	14
"A30038020"	2015	14
"B28250090"	2007	14
"A08737249"	2017	14
"A81200511"	2008	14
"A22174932"	2007	14
"A07016256"	2013	14
"A80959612"	2016	14
"B28250090"	2008	14
"A23010200"	2008	14
"A12017919"	2011	14
"B20049615"	2015	14
"A41002809"	2007	14
"A14000939"	2007	14
"A40006371"	2016	14
"A08063372"	2014	14
"A28292084"	2014	14
"A80959612"	2017	14
"A28292084"	2013	14
"B28072205"	2014	14
"A07427081"	2010	14
"A29027901"	2011	14
"A26297663"	2010	14
"F10017804"	2007	14
"A28173573"	2011	14
"A08093254"	2015	14
"A33008921"	2010	14
"A60963287"	2015	14
"B83211318"	2013	14
"B50561968"	2007	14
"F10017804"	2010	14
"A28145498"	2008	14
"A07802218"	2013	14
"B08156036"	2011	14
"A28487007"	2008	14
"A58816554"	2007	14
"A03017886"	2014	14
"A50615160"	2014	14
"A41059445"	2009	14
"B83211318"	2014	14
"A63645220"	2014	14
"A33026980"	2010	14
"B79650305"	2011	14
"A42003368"	2014	14
"A23010200"	2014	14
"B06368674"	2012	14
"A33026980"	2016	14
"B82899550"	2011	14
"A84780055"	2016	14
"A28173573"	2013	14
"A28321313"	2016	14
"B22004113"	2017	14
"B35054006"	2011	14
"B18547281"	2017	14
"B81231516"	2011	14
"B19179662"	2017	14
"F10017804"	2016	14
"F10017804"	2014	14
"F10017804"	2011	14
"B81231516"	2012	14
"A09018730"	2011	14
"B47572367"	2014	14
"A38027637"	2013	14
"A09018730"	2014	14
"A41059445"	2016	14
"A81047375"	2013	14
"A01035807"	2009	14
"B29682135"	2015	14
"A45020450"	2016	14
"A78831369"	2007	14
"A07802218"	2012	14
"A01035807"	2010	14
"A08192965"	2017	14
"A28729424"	2017	14
"A57277709"	2016	14
"B19179662"	2016	14
"A01161066"	2008	14
"F10017804"	2008	14
"A33609587"	2017	14
"A33055138"	2012	14
"B31784895"	2016	14
"F50011139"	2014	14
"B41591165"	2015	14
"B82274135"	2014	14
"B18547281"	2010	14
"A28117026"	2013	14
"A14000939"	2015	14
"A83048363"	2011	14
"A48080147"	2007	14
"A08639643"	2017	14
"A59990580"	2009	14
"A28329480"	2017	14
"B63218440"	2013	14
"A28117026"	2012	14
"A79049797"	2015	14
"A13005384"	2007	14
