nif	year	coste_mercaderias
"A25010430"	2007	0
"A36608180"	2008	0
"A33202474"	2007	0
"B62850094"	2012	0
"A28023422"	2012	0
"A09354176"	2012	0
"A28023422"	2011	0
"A48050728"	2008	0
"A33055138"	2008	0
"A28058725"	2013	0
"A07035934"	2010	0
"A28923662"	2012	0
"A36605772"	2009	0
"B18547281"	2010	0
"B81335473"	2010	0
"A80732142"	2012	0
"B61967774"	2012	0
"A41191313"	2009	0
"A80352750"	2011	0
"A28023422"	2009	0
"A96785225"	2013	0
"A78018421"	2009	0
"A47091632"	2012	0
"A28143782"	2008	0
"A96773940"	2013	0
"B61425682"	2013	0
"A17018391"	2013	0
"A17018391"	2011	0
"A28295806"	2012	0
"A78526811"	2009	0
"A82683434"	2007	0
"A62415641"	2013	0
"B81335473"	2009	0
"A48050728"	2013	0
"A47091632"	2008	0
"A28198661"	2014	0
"B18551226"	2009	0
"A41191313"	2010	0
"A78831369"	2011	0
"A81593808"	2010	0
"A33603317"	2012	0
"A08999088"	2008	0
"A81593808"	2007	0
"B61967774"	2011	0
"A91291435"	2011	0
"A48802854"	2010	0
"A81593808"	2009	0
"V48566475"	2010	0
"A78018421"	2011	0
"B21259726"	2007	0
"A38645214"	2009	0
"A78018421"	2008	0
"A83150060"	2010	0
"A28637304"	2007	0
"A48802854"	2009	0
"A80959612"	2007	0
"A08145385"	2007	0
"A28143782"	2010	0
"B62850094"	2011	0
"B04348579"	2008	0
"A28143782"	2009	0
"B43587120"	2007	0
"A28023422"	2010	0
"A81593808"	2012	0
"B48969885"	2008	0
"B62059498"	2012	0
"A48547558"	2011	0
"A25418401"	2007	0
"A96773940"	2010	0
"A28058725"	2010	0
"A25010430"	2013	0
"A28198661"	2013	0
"B48948830"	2012	0
"A48080147"	2013	0
"A78990603"	2007	0
"B91235622"	2011	0
"A33603317"	2009	0
"A28148898"	2012	0
"A47091632"	2011	0
"A78831369"	2012	0
"A43020486"	2007	0
"A25010430"	2011	0
"A28126597"	2011	0
"A96785225"	2009	0
"B18547281"	2013	0
"A81944324"	2009	0
"A08999088"	2010	0
"B78908605"	2010	0
"A78526811"	2012	0
"B81762684"	2008	0
"A28259141"	2008	0
"A28198661"	2009	0
"A15685373"	2007	0
"A48802854"	2012	0
"A48802854"	2008	0
"V48566475"	2012	0
"B97526008"	2013	0
"B15596331"	2012	0
"A48802854"	2011	0
"B38484796"	2007	0
"A81593808"	2011	0
"A81593808"	2008	0
"A62415641"	2008	0
"B96952635"	2010	0
"A28259141"	2007	0
"A15685373"	2008	0
"A15685373"	2011	0
"B83325076"	2011	0
"A28198661"	2011	0
"B39551973"	2010	0
"A28126597"	2012	0
"A63796395"	2013	0
"A35610666"	2012	0
"B62916077"	2011	0
"A82501545"	2009	0
"A28148898"	2010	0
"A80352750"	2013	0
"A08145385"	2011	0
"A78526811"	2007	0
"A80959612"	2013	0
"B95271326"	2014	0
"V48566475"	2007	0
"A97628242"	2012	0
"A78688934"	2013	0
"B38318572"	2013	0
"A79092573"	2011	0
"A28923662"	2013	0
"A78831369"	2014	0
"A15685373"	2009	0
"A35115856"	2012	0
"A78990603"	2013	0
"A80959612"	2012	0
"A79092573"	2009	0
"V82171133"	2014	0
"A07035934"	2012	0
"A62415641"	2011	0
"A78990603"	2009	0
"A80959612"	2008	0
"A57082570"	2012	0
"A28923662"	2011	0
"V48566475"	2013	0
"A96785225"	2007	0
"A80732142"	2011	0
"A78990603"	2010	0
"A80732142"	2010	0
"A79203568"	2013	0
"B01015221"	2012	0
"A80959612"	2009	0
"A33202474"	2012	0
"A82198847"	2008	0
"A83741967"	2012	0
"A82854811"	2009	0
"A96773940"	2011	0
"B61425682"	2012	0
"A91291435"	2010	0
"A35610666"	2007	0
"A28637304"	2013	0
"A63414486"	2013	0
"A28294718"	2008	0
"B84309616"	2012	0
"A42000802"	2010	0
"A47091632"	2007	0
"A47091632"	2010	0
"A81410227"	2008	0
"B81335473"	2008	0
"B82435371"	2007	0
"A80959612"	2010	0
"A28637304"	2011	0
"B62263272"	2008	0
"A96966049"	2013	0
"A28148898"	2009	0
"A78990603"	2008	0
"A73350399"	2012	0
"A08257529"	2010	0
"A38645214"	2011	0
"A45445210"	2011	0
"B62263272"	2009	0
"A15685373"	2010	0
"A08999088"	2009	0
"A60850500"	2013	0
"B91235622"	2010	0
"A36608180"	2009	0
"A79092573"	2012	0
"B57208878"	2010	0
"A35610666"	2011	0
"A08257529"	2008	0
"A28148898"	2013	0
"B78496759"	2009	0
"A81410227"	2007	0
"B50938489"	2009	0
"A48547558"	2010	0
"A28923662"	2009	0
"A45445210"	2013	0
"A96966049"	2012	0
"A28198661"	2012	0
"A48080147"	2010	0
"B95271326"	2013	0
"B81907776"	2010	0
"A42000802"	2013	0
"A81944324"	2008	0
"A47091632"	2013	0
"A78018421"	2007	0
"A78831369"	2013	0
"B78496759"	2010	0
"A36608180"	2012	0
"A78688934"	2011	0
"V82171133"	2009	0
"A35610666"	2008	0
"A83932475"	2012	0
"A33202474"	2009	0
"A28058725"	2009	0
"A96773940"	2012	0
"A78526811"	2013	0
"B63533095"	2012	0
"B48969885"	2007	0
"B84654201"	2013	0
"A42000802"	2008	0
"A91291435"	2013	0
"A35115856"	2011	0
"B62916077"	2010	0
"A81593808"	2013	0
"B78908605"	2009	0
"A08145385"	2012	0
"A28294718"	2013	0
"V48566475"	2009	0
"B48969877"	2008	0
"A48080147"	2011	0
"B30041115"	2014	0
"A83150060"	2009	0
"A81047375"	2007	0
"B81335473"	2013	0
"A82198847"	2007	0
"A45445210"	2012	0
"B18547281"	2012	0
"A46070777"	2007	0
"A80959612"	2011	0
"B78908605"	2013	0
"B78908605"	2012	0
"A48050728"	2007	0
"A28148898"	2011	0
"A08257529"	2009	0
"B78496759"	2011	0
"A36621522"	2007	0
"A48080147"	2012	0
"B38318572"	2008	0
"A79092573"	2008	0
"B41441387"	2014	.005
"B28376184"	2008	.006
"B41441387"	2013	.006
"B28341832"	2017	.01
"B41441387"	2015	.012
"B27321249"	2013	.015
"B33602707"	2017	.021
"B83257295"	2017	.038
"B31784895"	2010	.041
"A82198847"	2010	.046
"B28376184"	2015	.048
"B82899550"	2010	.056
"B04348579"	2012	.087
"B28376184"	2016	.122
"B61428611"	2015	.152
"B33602707"	2015	.242
"B08245805"	2009	.312
"A29076270"	2015	.332
"B20023982"	2017	.35
"B61882551"	2010	.352
"B83257295"	2015	.356
"A17018391"	2012	.399
"B81231516"	2017	.4
"A33600107"	2013	.445
"A48031140"	2014	.454
"A62415641"	2010	.467
"B92963628"	2017	.541
"A57277709"	2017	.576
"A28086858"	2016	.66
"A28219541"	2013	.666
"B61882551"	2011	.679
"B33602707"	2016	.806
"A28086858"	2013	.82
"A28219541"	2012	1
"A28058725"	2008	1
"A35735083"	2012	1.055
"A61427183"	2009	1.06
"A83048363"	2008	1.147
"A20037933"	2017	1.163
"A84911825"	2016	1.169
"A28219541"	2014	1.372
"B41031980"	2009	1.389
"A28487007"	2009	1.486
"A80632573"	2016	1.513
"A78905908"	2016	1.791
"A33600107"	2017	1.81
"A46105532"	2007	1.812
"B61882551"	2009	1.827
"B82432725"	2007	1.996
"B20023982"	2016	2.08
"A43020486"	2010	2.216
"A78905908"	2015	2.362
"A57082570"	2015	2.368
"A61427183"	2010	2.647
"B41031980"	2010	2.914
"A48031140"	2009	2.919
"A78097656"	2007	2.925
"A81944324"	2007	3
"A78905908"	2011	3.064
"A35735083"	2011	3.278
"B84598192"	2013	3.397
"A28086858"	2015	3.405
"A48031140"	2007	3.5
"A33600107"	2015	3.593
"A78905908"	2014	3.838
"A78097656"	2008	3.906
"A48031140"	2015	4
"A12512497"	2007	4
"A28814135"	2015	4
"A82683434"	2012	4.151
"B62409065"	2008	4.185
"B83588657"	2017	4.269
"A61427183"	2016	4.603
"A96945530"	2008	4.633
"V12465118"	2013	4.637
"A78097656"	2009	5.002
"A78097656"	2010	5.142
"A22174932"	2007	5.15
"A57082570"	2013	5.176
"A60362266"	2008	5.23
"B28120012"	2017	5.25
"B28692044"	2017	5.617
"A28086858"	2010	5.712
"A48031140"	2017	6
"A28396042"	2012	6
"A28086858"	2017	6.214
"A78097656"	2017	6.377
"A28273241"	2012	6.469
"A78097656"	2011	6.48
"A28086858"	2011	6.626
"A46105532"	2008	6.728
"A38013272"	2017	6.835
"A28145498"	2016	7.038
"A61427183"	2012	7.071
"A28273241"	2013	7.266
"A61427183"	2013	7.447
"A22174932"	2009	7.521
"A12363529"	2011	7.846
"B96952635"	2017	8.043
"A28086858"	2012	8.162
"B20023982"	2013	8.309
"A61427183"	2015	8.379
"B46012324"	2017	8.427
"B96952635"	2015	8.75
"A48031140"	2008	9.06
"B82424276"	2012	9.611
"A28086858"	2014	9.741
"A78400603"	2007	9.805
"A12363529"	2013	10.13
"B38927463"	2016	10.164
"A38013744"	2007	10.267
"A28058725"	2007	10.87
"A28923662"	2014	11
"A48031140"	2016	11
"A22174932"	2013	11
"B54055140"	2013	11.174
"B28120012"	2014	11.409
"A48031140"	2012	11.41
"A36605772"	2007	11.77
"A53552634"	2016	11.844
"A43020486"	2009	11.967
"A22174932"	2010	12
"A46099776"	2013	12.116
"A48031140"	2013	12.186
"A28487601"	2017	12.196
"A29076270"	2014	12.269
"A38013272"	2014	12.672
"A53552634"	2017	12.743
"A82683434"	2013	12.835
"A78097656"	2012	12.887
"A22174932"	2012	13
"A38013272"	2013	13.303
"A38013272"	2009	13.327
"B73070914"	2008	13.361
"B48907885"	2016	13.586
"B28120012"	2016	14.196
"A46023255"	2016	14.269
"A14580385"	2012	14.348
"A19180108"	2009	14.945
"A38013272"	2008	15.294
"A83048363"	2011	15.301
"B43952126"	2015	15.368
"A78267309"	2012	15.483
"B43579424"	2008	15.626
"B48907885"	2013	15.726
"V83443390"	2016	15.753
"B28376184"	2017	15.834
"B48907885"	2012	16.062
"B46039061"	2017	16.142
"A29076270"	2016	16.33
"A61427183"	2017	16.386
"A38013272"	2012	16.622
"A78097656"	2013	16.84
"A53552634"	2015	17.188
"A35515485"	2016	17.213
"B36853935"	2017	17.968
"A38013272"	2011	18.467
"A35753094"	2011	19
"A57082570"	2014	19.117
"A78097656"	2016	19.225
"B62916077"	2009	19.6
"A38013272"	2010	19.815
"A83048363"	2010	19.884
"A14530497"	2017	20.516
"A22174932"	2017	21
"B48907885"	2014	21.153
"A62977186"	2010	21.662
"A82501545"	2015	21.68
"A83048363"	2009	21.894
"A84911825"	2017	22.16
"B36853935"	2015	22.26
"B28934081"	2017	22.439
"A06017941"	2017	22.5
"B48907885"	2011	22.504
"A28814135"	2009	22.613
"A82307117"	2009	23
"A61427183"	2008	23.532
"A78097656"	2015	23.569
"A78905908"	2010	23.951
"A61427183"	2007	24.397
"B37416575"	2014	24.759
"A38027637"	2017	25
"B28120012"	2007	25.11
"B82424276"	2013	26.395
"B83495101"	2010	26.43
"A35811272"	2012	26.506
"B28934081"	2016	26.992
"A22174932"	2015	27
"A78097656"	2014	27.172
"B48907885"	2015	27.316
"A95249199"	2010	27.745
"A28148898"	2014	28
"A08105702"	2016	28.932
"A38013272"	2016	29.404
"A53552634"	2012	30
"A14530497"	2016	30.02
"A29076270"	2017	30.763
"B99004541"	2015	30.904
"B30041115"	2015	31.031
"A46023255"	2015	31.749
"A58664764"	2013	31.812
"A31194905"	2017	32
"A61427183"	2011	32.009
"A82501545"	2010	32.452
"B04348579"	2017	32.629
"B03035854"	2008	33.055
"B57362105"	2017	33.07
"A82501545"	2017	33.08
"B30041115"	2016	34.206
"B01015221"	2008	34.453
"A16007064"	2011	34.473
"A82501545"	2016	34.573
"A28693166"	2007	34.643
"A11000288"	2016	34.911
"A63645220"	2015	35.173
"A58664764"	2012	35.32
"A08105702"	2017	35.336
"A82501545"	2014	35.789
"A16007064"	2008	35.84
"B03035854"	2007	36.272
"A62415641"	2012	37.037
"A28814135"	2007	37.59
"A79201075"	2013	37.639
"A28814135"	2011	38.154
"B28934081"	2012	38.46
"B07029465"	2016	38.612
"A58664764"	2015	39.041
"B48969885"	2010	39.12
"A28396042"	2010	40
"B50067586"	2015	40.158
"B50067586"	2016	40.221
"B41070020"	2017	40.631
"A08145385"	2009	40.693
"B19179662"	2009	41.04
"A16007064"	2009	41.152
"A08105702"	2013	41.319
"B19179662"	2010	42.312
"A08105702"	2015	42.485
"A20037933"	2015	42.795
"B43241769"	2017	43.069
"B84363555"	2017	43.441
"V61861548"	2010	44.625
"A84911825"	2015	45.083
"B19179662"	2012	45.299
"A96862933"	2009	45.812
"A28814135"	2010	46.007
"A08105702"	2014	46.351
"B28934081"	2015	46.399
"A16007064"	2010	46.48
"B28934081"	2013	46.794
"B50067586"	2017	47.005
"A63645220"	2016	49.066
"A08999088"	2013	50
"A74136060"	2015	50.158
"B01213032"	2014	50.225
"A83741967"	2013	50.419
"B01015221"	2009	51.567
"A78400603"	2008	52.273
"B41070020"	2015	52.462
"B28120012"	2011	52.466
"A16007064"	2007	53.17
"A78267309"	2016	53.393
"A79201075"	2014	54.682
"A79201075"	2015	54.954
"B41070020"	2016	55.326
"A38013744"	2008	55.691
"A82501545"	2011	56.169
"A82854811"	2014	56.648
"A28329480"	2017	56.733
"B48907885"	2017	56.864
"A35569102"	2017	56.903
"B28934081"	2011	57.188
"A17006792"	2015	57.342
"B38484796"	2009	57.378
"A28396042"	2008	58
"A96862933"	2013	58.456
"A81041147"	2011	59
"A96862933"	2011	59.555
"B09417932"	2012	59.57
"B09417932"	2013	59.87
"A53552634"	2011	60.226
"A96862933"	2014	60.827
"A83150060"	2013	61
"A28814135"	2008	61.42
"B46131371"	2017	61.533
"A28148898"	2015	62
"B83495101"	2011	62.595
"B01015221"	2010	62.961
"A63645220"	2017	63.31
"B62173604"	2007	64.03
"A28814135"	2012	64.145
"A28148898"	2017	65
"A79201075"	2016	65.126
"B43952126"	2017	65.202
"A46105532"	2017	65.779
"B92709526"	2013	66.086
"A96862933"	2016	66.835
"A22174932"	2011	67
"A19180108"	2010	67.42
"A96862933"	2010	67.7
"B29212644"	2009	67.841
"A79201075"	2017	68.627
"A35517671"	2008	68.673
"A96862933"	2012	69.791
"A11000288"	2017	70.235
"A97789861"	2015	71
"A33614082"	2012	71.196
"B07029465"	2015	71.388
"A57277709"	2016	71.416
"A58534777"	2017	71.418
"A82501545"	2013	71.931
"B28403194"	2012	72
"A22174932"	2008	72.03
"A63645220"	2014	72.529
"B19179662"	2013	72.933
"A58534777"	2015	73.248
"B28403194"	2014	74
"B28934081"	2010	74.283
"B62173604"	2010	75
"A31737455"	2010	75.867
"A28273241"	2017	75.966
"B28403194"	2013	76
"A96862933"	2015	76.013
"B28403194"	2008	76.47
"A58534777"	2011	76.596
"A58534777"	2016	77.905
"A79201075"	2008	78.229
"A08093254"	2015	79.961
"B28403194"	2011	81
"A96862933"	2017	81.368
"A58393778"	2017	81.608
"B28403194"	2010	83
"A35510650"	2011	83.235
"A35115856"	2014	83.547
"A79201075"	2010	83.761
"A81041147"	2010	84
"A17007014"	2007	84.764
"A31194905"	2012	85
"A79201075"	2007	85.061
"A58393778"	2016	85.158
"B62173604"	2008	86
"B28403194"	2007	86.64
"A74136060"	2017	86.956
"A50335918"	2011	90.166
"B83588657"	2016	90.359
"A28148898"	2016	91
"A35811272"	2014	91.604
"A81041147"	2009	92
"A31194905"	2007	92.69
"A82854811"	2010	93.374
"A81041147"	2008	94
"B19179662"	2015	94.193
"A78400603"	2012	94.98
"B28403194"	2009	95
"A58534777"	2010	95.291
"A58534777"	2009	95.335
"A35101732"	2017	95.929
"B28250090"	2015	95.93
"B28403194"	2015	96
"A58534777"	2007	96.23
"A35046572"	2007	97.072
"A58534777"	2008	98.003
"A78400603"	2015	98.388
"A78400603"	2013	98.719
"A58534777"	2012	99.536
"A81041147"	2007	100.48
"B84363555"	2016	100.789
"A78400603"	2016	101.719
"B20023982"	2012	102.708
"A82501545"	2012	103.694
"A28245009"	2017	104.642
"V61861548"	2013	105.311
"A28118040"	2008	105.393
"B84894377"	2015	105.509
"B82988825"	2008	106.033
"A58534777"	2013	106.277
"B43952126"	2016	106.306
"B50997949"	2012	106.65
"A57346926"	2014	107
"A74136060"	2016	107.345
"A36010544"	2008	107.711
"B62173604"	2009	108
"B15596331"	2017	108.055
"A78400603"	2014	108.981
"A15685324"	2014	109.057
"B01213032"	2016	109.158
"A79201075"	2012	109.323
"A28396042"	2016	110
"B82988825"	2017	110.498
"A58534777"	2014	110.696
"A78343977"	2007	110.71
"A78400603"	2017	110.837
"A36010544"	2009	111.272
"B07029465"	2013	111.428
"V61861548"	2012	112.626
"A53552634"	2010	113.662
"A14530497"	2012	114.747
"A15685324"	2009	114.869
"A31194905"	2011	115
"A45012226"	2016	115.63
"A28487601"	2016	117.78
"V61861548"	2017	118.212
"B28227866"	2017	119.414
"V61861548"	2015	119.449
"A35811272"	2015	120.713
"A28283067"	2007	120.8
"B62173604"	2011	121
"A17018391"	2010	124.151
"A07427081"	2012	124.426
"B20023982"	2011	124.631
"B82988825"	2013	125.295
"A85279107"	2016	126.08
"A36615896"	2016	126.162
"B82988825"	2012	128.858
"A28416154"	2017	129.293
"B29006574"	2008	130
"B15596331"	2011	130.822
"A07059058"	2013	130.96
"B28341832"	2013	131.833
"A78400603"	2011	133.678
"B36853935"	2016	134.06
"B41008970"	2016	134.176
"A79049797"	2017	134.294
"B19179662"	2017	137.455
"A28273241"	2015	137.721
"A79201075"	2009	138.023
"B30020226"	2017	138.092
"B01213032"	2015	140.786
"A20056248"	2016	141.058
"B29212644"	2010	144.184
"A85279107"	2017	144.184
"A12524278"	2007	144.63
"A24011165"	2015	145
"A17007014"	2014	145.356
"A28711893"	2015	147.689
"A35101732"	2016	148.138
"B82988825"	2010	148.171
"A28329480"	2016	149.346
"A35569102"	2016	149.363
"A58393778"	2015	149.782
"A28273241"	2016	149.855
"A14015101"	2016	150.165
"B38425070"	2017	150.671
"V04509865"	2016	151.315
"B20023982"	2014	151.401
"V61861548"	2016	151.612
"B82988825"	2011	152.231
"B83495101"	2012	152.532
"V61861548"	2011	152.877
"B62173604"	2012	153
"V04509865"	2017	153.975
"A31194905"	2016	154
"B15596331"	2007	155.46
"B15596331"	2013	155.59
"A92153527"	2008	155.65
"B82988825"	2016	155.714
"A30046320"	2016	155.888
"A17007014"	2011	156.399
"A28292084"	2017	156.475
"A80632573"	2017	156.816
"A43035708"	2009	156.937
"A28290799"	2008	157.217
"A78343977"	2008	158.795
"B08552614"	2012	159.035
"A80632573"	2015	159.13
"A18565705"	2016	161.405
"A78343977"	2009	161.492
"B46039061"	2016	161.511
"B15596331"	2008	161.552
"A28711893"	2014	163.559
"A14530497"	2014	165.404
"V04509865"	2015	165.8
"B92217975"	2010	166.28
"A28711893"	2007	166.711
"B82988825"	2015	167.548
"B28028348"	2007	167.786
"A28487601"	2014	169.918
"A48016877"	2010	171.299
"A30046320"	2010	171.498
"A35811272"	2016	172.35
"A91291435"	2015	174.952
"A14530497"	2013	175.016
"B08912669"	2013	176
"A53242152"	2016	176.044
"A34129635"	2017	176.855
"B82988825"	2014	177.261
"A20056248"	2017	177.497
"A11957792"	2008	177.559
"A15685324"	2008	178.187
"A33614082"	2015	179.403
"A28814135"	2013	180.389
"A35811272"	2017	180.389
"A28487601"	2015	180.475
"A35014414"	2017	181.923
"B46043238"	2008	182.939
"B45005279"	2017	183.066
"B30041115"	2017	183.077
"B30566194"	2009	184.905
"A26270322"	2009	186.476
"A17007014"	2009	187.065
"A30046320"	2007	187.19
"A22174932"	2016	190
"B19179662"	2016	190.304
"A28184661"	2010	193.053
"A01292846"	2009	193.26
"B82432725"	2010	193.331
"B61914883"	2008	193.644
"A96918867"	2008	193.949
"A62703806"	2011	195.893
"A85279107"	2015	196.119
"A35046572"	2008	196.395
"A03028552"	2015	196.978
"B28218816"	2011	198.427
"B15862667"	2011	199.435
"A82683434"	2009	200.306
"B07762099"	2009	201.624
"A34129635"	2016	201.78
"A36608180"	2007	202.76
"A43030626"	2011	204.26
"A35811272"	2013	204.785
"A14336143"	2016	205
"A08999088"	2011	206
"B28227866"	2016	206.015
"A32225419"	2016	208.303
"A30038020"	2016	209.15
"A97043772"	2016	209.975
"A28080489"	2009	210.015
"A53552634"	2013	211
"A17007014"	2008	213.767
"A20037933"	2016	213.816
"A30046320"	2011	214.002
"A97043772"	2017	214.309
"B08359093"	2008	215.106
"A33614082"	2014	216.146
"A33014176"	2011	216.64
"A29350139"	2017	216.713
"B62263272"	2013	217.773
"A30046320"	2017	217.783
"A30046320"	2013	217.872
"A29955093"	2007	219.77
"A28273241"	2010	220.07
"A33014176"	2009	220.279
"A83150060"	2014	221
"A33014176"	2008	221.33
"A82683434"	2010	221.745
"A82026840"	2008	222.59
"A61831681"	2007	222.953
"B28250090"	2014	223.228
"A17007014"	2012	223.894
"B82988825"	2009	224.287
"A33014176"	2012	225.027
"A82683459"	2017	225.855
"A33014176"	2007	226.58
"A28574044"	2017	227.636
"A28080489"	2008	228.866
"A33014176"	2013	229.027
"A28290799"	2013	231.305
"A28711893"	2011	232.66
"A15020795"	2017	233.099
"B28218816"	2012	233.609
"A78343977"	2010	234.411
"A14530497"	2011	234.56
"A78267309"	2013	236.24
"B15596331"	2016	237.458
"B30034730"	2015	237.695
