nif	year	clientes
"A58534777"	2017	2.254
"B31067697"	2014	2.3
"B83588657"	2013	2.302
"B35980937"	2015	2.358
"A28164374"	2009	2.375
"A41008301"	2010	2.378
"B07685779"	2017	2.517
"A35046572"	2009	2.527
"A08802068"	2016	2.535
"A33614082"	2015	2.563
"B30041115"	2009	2.568
"A32006215"	2017	2.684
"A12021366"	2016	2.735
"A36619476"	2016	2.735
"A28814135"	2010	2.965
"A48031140"	2017	3
"B74114182"	2014	3
"B31067697"	2012	3.026
"A58534777"	2015	3.083
"A08626103"	2010	3.091
"A82501545"	2011	3.225
"A07427081"	2012	3.26
"A01012830"	2013	3.352
"A33614082"	2016	3.372
"A41049503"	2013	3.454
"A28023422"	2011	3.466
"A28491041"	2012	3.499
"A07216948"	2016	3.617
"B91172221"	2016	3.621
"B45493707"	2013	3.625
"B24008955"	2015	3.771
"B24008955"	2016	3.895
"A01012830"	2015	3.917
"A41049503"	2017	3.954
"B82956517"	2015	4
"B63031660"	2015	4
"A48840359"	2015	4
"A81931214"	2017	4.053
"A35046572"	2007	4.176
"B27013382"	2017	4.253
"A01012830"	2014	4.268
"B43587120"	2015	4.274
"B24008955"	2017	4.51
"A01012830"	2017	4.654
"A82198847"	2008	4.93
"B12023065"	2015	4.974
"B63031660"	2013	5
"A07427081"	2009	5.023
"A35046572"	2008	5.023
"A62415641"	2012	5.072
"B08271694"	2016	5.154
"A41049503"	2008	5.231
"A35046572"	2014	5.233
"A61831681"	2012	5.425
"A28283067"	2009	5.436
"A58534777"	2008	5.439
"B78908605"	2014	5.497
"A32006215"	2008	5.577
"B46151411"	2008	5.69
"A33614082"	2014	5.708
"A08626939"	2014	5.933
"A32006215"	2009	5.953
"B82956517"	2014	6
"A07026701"	2010	6.014
"B07685779"	2016	6.152
"A17483124"	2016	6.155
"B27013382"	2016	6.262
"A33014176"	2011	6.291
"A28023422"	2014	6.294
"A28649879"	2017	6.308
"A07216948"	2017	6.44
"A28023422"	2012	6.565
"B41070020"	2012	6.727
"A35004571"	2015	7
"A08093254"	2014	7.219
"A28273241"	2010	7.649
"A15020795"	2017	7.656
"A28345148"	2014	7.678
"A08626939"	2008	7.786
"A28192532"	2013	7.866
"A96560560"	2015	7.966
"A60045903"	2014	8
"A28581247"	2017	8.232
"A33614082"	2013	8.242
"A80632573"	2010	8.279
"A41008301"	2011	8.353
"A35811272"	2017	8.362
"A63736458"	2016	8.513
"A07216948"	2015	8.596
"A30037873"	2013	8.7
"A79049797"	2016	8.805
"A48031140"	2015	9
"B80146517"	2014	9
"B82956517"	2016	9
"A15020795"	2015	9.107
"A17483124"	2015	9.197
"A28487007"	2011	9.282
"A30037873"	2017	9.583
"A30037873"	2016	9.787
"A80632573"	2012	9.792
"A08626939"	2007	9.904
"A28148898"	2015	10
"B08373250"	2014	10.036
"B03072493"	2015	10.432
"B78908605"	2012	10.443
"A41008301"	2008	10.456
"A79049797"	2017	10.481
"B22004113"	2017	10.503
"A07026701"	2009	10.883
"A08507741"	2013	10.917
"A48016877"	2017	11.032
"A35046572"	2010	11.091
"A78526811"	2013	11.094
"A82501545"	2013	11.234
"B83325076"	2009	11.313
"B62409065"	2013	11.333
"B08373250"	2008	11.357
"A01012830"	2009	11.546
"A09022963"	2009	11.789
"A12017919"	2013	11.795
"A06017941"	2012	11.858
"B63149637"	2016	12
"B82956517"	2017	12
"B15276728"	2015	12.109
"B83393223"	2015	12.162
"A08375545"	2007	12.29
"A15020795"	2016	12.318
"A96646880"	2010	12.458
"A11000288"	2015	12.486
"A79049797"	2014	12.543
"A28283067"	2011	12.702
"A11000288"	2016	12.83
"A35101732"	2014	12.945
"A33014176"	2012	13.092
"B30041115"	2007	13.311
"B35015262"	2015	13.614
"A23372832"	2013	13.707
"A36619476"	2015	13.805
"A15020795"	2014	13.817
"A81047375"	2007	13.873
"B28701340"	2017	13.906
"B83325076"	2012	13.934
"B63031660"	2016	14
"B31067697"	2013	14.468
"B35015262"	2016	14.532
"B78908605"	2015	14.709
"A19180108"	2009	14.721
"A58534777"	2016	14.809
"A28192532"	2014	15.003
"A12017919"	2012	15.054
"A12105029"	2008	15.21
"A33618257"	2016	15.234
"B78908605"	2009	15.255
"B41666728"	2007	15.293
"B96952635"	2015	15.338
"B23015753"	2015	15.507
"A28749976"	2008	15.535
"B60552619"	2011	15.776
"B35015262"	2014	15.944
"A48016877"	2016	16.074
"A96560560"	2014	16.105
"A33618257"	2017	16.114
"B78908605"	2008	16.26
"A08626939"	2009	16.302
"B08552614"	2014	16.328
"A35811272"	2016	16.559
"A28329480"	2015	16.84
"B78908605"	2013	16.872
"A28283067"	2007	17
"A28283067"	2008	17
"B46039061"	2016	17.095
"B31067697"	2016	17.095
"A08802068"	2014	17.135
"B31067697"	2017	17.281
"A28283067"	2010	17.293
"A28245009"	2015	17.486
"B12026183"	2012	17.719
"B08552614"	2013	17.793
"A61831681"	2009	17.845
"A83048363"	2009	18.267
"A35046572"	2016	18.34
"A08802068"	2017	18.383
"A41049503"	2015	18.662
"A28487007"	2008	18.75
"B03078391"	2008	18.986
"A48050728"	2011	19.007
"B63533095"	2016	19.143
"B31067697"	2010	19.499
"A20056248"	2017	19.659
"A61831681"	2013	19.743
"B39019468"	2015	19.76
"A31030901"	2014	19.908
"A81496382"	2010	20.035
"A01012830"	2007	20.262
"A33014176"	2017	20.28
"V57525560"	2016	20.384
"A28293884"	2008	20.428
"V57525560"	2015	20.467
"A33014176"	2016	20.494
"A41008301"	2007	20.602
"B91172221"	2017	20.694
"B08271694"	2013	20.957
"A48031140"	2016	21
"A61831681"	2010	21.054
"A33618257"	2015	21.693
"B35015262"	2017	21.899
"B78908605"	2010	21.991
"B35015262"	2011	22.111
"B43579424"	2010	22.256
"A07256100"	2012	22.279
"B08271694"	2015	22.34
"B02419273"	2015	22.369
"A28491041"	2015	22.63
"B35015262"	2012	22.644
"B78908605"	2011	22.673
"A08670929"	2012	22.723
"B38238788"	2009	22.792
"A17483124"	2017	22.852
"A01012830"	2008	23.238
"B31067697"	2008	23.485
"B31067697"	2007	23.485
"B31067697"	2009	23.485
"B08271694"	2014	23.658
"B35015262"	2013	23.757
"A28219541"	2014	24.108
"A33014176"	2013	24.186
"A28649879"	2011	24.56
"B23015753"	2012	24.636
"B35015262"	2010	24.691
"A28485761"	2014	24.874
"A33055138"	2013	24.888
"A28290799"	2017	25.055
"A28070167"	2013	25.536
"A28075968"	2017	25.755
"B03078391"	2009	26.084
"A08301475"	2009	26.257
"A48050728"	2009	26.347
"A07026701"	2016	26.566
"A11957792"	2008	26.96
"B16007551"	2015	27.132
"B35015262"	2008	27.676
"A07033491"	2008	27.793
"A07086515"	2011	27.809
"A61831681"	2017	27.882
"B07025315"	2011	27.923
"A08061590"	2017	28.153
"A28485761"	2008	28.295
"B62409065"	2014	28.445
"A47214424"	2017	28.787
"B78908605"	2017	28.942
"A28396042"	2012	29
"B30041115"	2011	29.01
"B35980937"	2017	29.013
"A08670929"	2017	29.112
"B03078391"	2011	29.192
"B35015262"	2009	29.371
"B38425070"	2016	29.468
"A08375537"	2008	29.52
"B64555980"	2016	29.526
"A31030901"	2011	29.537
"A28053080"	2012	29.74
"A07256100"	2011	29.766
"A45012226"	2015	29.779
"B92116979"	2014	29.82
"B07029465"	2016	29.921
"A41049503"	2016	29.937
"A08061590"	2015	30.002
"B07029465"	2017	30.12
"A35811272"	2014	30.126
"A08646101"	2017	30.264
"B61425682"	2012	30.271
"A61831681"	2014	30.298
"A07026701"	2007	30.452
"B03078391"	2010	30.653
"A58534777"	2007	30.694
"A48080147"	2011	30.986
"A53242152"	2008	30.991
"A07016025"	2013	31.143
"A46055992"	2015	31.156
"A47214424"	2016	31.158
"B08271694"	2017	31.671
"B61428611"	2017	31.723
"V28961811"	2017	31.865
"B28494797"	2017	31.993
"B08552614"	2017	31.997
"B07985609"	2009	32.026
"B38425070"	2015	32.155
"A28219541"	2012	32.547
"A08375545"	2013	32.558
"A28485761"	2009	32.609
"B54055140"	2017	32.618
"A28649879"	2015	33.106
"A28485761"	2010	33.134
"A08061590"	2012	33.286
"A08626939"	2011	33.312
"V57525560"	2017	33.361
"B18573931"	2013	33.785
"B23015753"	2014	33.858
"A28219541"	2013	33.95
"A85125078"	2015	34
"A08626939"	2012	34.029
"A78753514"	2010	34.1
"A06017941"	2016	34.236
"A32225419"	2016	34.306
"A12105029"	2012	34.758
"A33615980"	2017	34.925
"A08375545"	2009	35.024
"V28664472"	2017	35.141
"A28485761"	2007	35.4
"B07985609"	2014	35.4
"A07427081"	2013	35.474
"B43587120"	2016	36.008
"A08670929"	2015	36.327
"A08105702"	2010	36.347
"V82171133"	2011	36.674
"A33014176"	2010	36.681
"A28396042"	2007	37
"A21006507"	2008	37.074
"B07029465"	2015	37.099
"B08373250"	2009	37.249
"B83495101"	2012	37.311
"A08061590"	2014	37.329
"A28075968"	2016	37.559
"A07123441"	2008	37.559
"A08802068"	2015	37.878
"V82171133"	2012	38.039
"B46051116"	2011	38.05
"B30041115"	2012	38.191
"A28485761"	2016	38.34
"A28058725"	2017	38.61
"A08148991"	2014	38.882
"B85010643"	2016	39.056
"A35046572"	2015	39.271
"B28115533"	2012	40.374
"A07256100"	2017	40.533
"B07029465"	2014	40.57
"A28485761"	2011	41.693
"A28345148"	2011	41.696
"A28145498"	2007	41.712
"A62415641"	2013	42.047
"A28485761"	2017	42.26
"A33014176"	2008	42.562
"A17034844"	2010	42.757
"A28345148"	2013	42.761
"A08273898"	2012	43.317
"A28219541"	2015	43.417
"B12026183"	2017	43.43
"B17014887"	2013	43.831
"B63149637"	2014	44
"B63149637"	2012	44
"A39005574"	2017	44.431
"B08373250"	2013	44.937
"B28701340"	2013	45.316
"A07026701"	2014	45.332
"B12523601"	2013	45.5
"B07029465"	2013	45.5
"B54055140"	2016	45.572
"B07985609"	2010	45.681
"A83048363"	2010	45.797
"A14000939"	2008	45.822
"A08670929"	2016	45.933
"A28683068"	2014	45.984
"A07256100"	2015	45.995
"B59886531"	2017	46
"A24011165"	2014	46
"A33615980"	2016	46.016
"A48080147"	2010	46.084
"B12023065"	2013	46.407
"B08912669"	2012	46.572
"A08375545"	2010	46.912
"B08912669"	2014	47
"A85125078"	2017	47
"A81496382"	2011	47.271
"B07985609"	2016	47.326
"A28485761"	2015	47.393
"B08552614"	2016	47.621
"A07427081"	2011	47.636
"A08670929"	2013	47.73
"A28814135"	2016	48
"A24011165"	2017	48
"A82716010"	2017	48.217
"B27013556"	2007	48.576
"B43587120"	2014	48.664
"A14336143"	2016	49
"B08912669"	2013	49
"B41008970"	2016	49.083
"A28086858"	2016	49.125
"A28485761"	2012	49.4
"A17020645"	2007	49.582
"A07026701"	2008	50.344
"B08552614"	2015	50.446
"B12019485"	2012	50.475
"A17034844"	2009	50.603
"B38425070"	2011	50.667
"A08273898"	2015	50.712
"A04413340"	2011	50.726
"A08273898"	2014	50.861
"B27013556"	2009	51.105
"A08375537"	2012	51.455
"A81931214"	2007	52.08
"B23015753"	2013	52.09
"A08375537"	2013	52.559
"A07016025"	2015	52.728
"B58222548"	2016	52.908
"A28086858"	2015	53.062
"A59736686"	2010	53.27
"A07123441"	2007	53.375
"B23015753"	2011	53.402
"A35101732"	2007	53.448
"B39019468"	2017	53.606
"A63736458"	2015	53.699
"A33615980"	2015	53.81
"B58613076"	2016	53.847
"B96952635"	2017	54.121
"B12023065"	2014	54.145
"B12023065"	2016	54.609
"A28024172"	2009	54.637
"A14000939"	2007	55.05
"B46051116"	2012	55.205
"A07010937"	2014	55.225
"A07010937"	2013	55.926
"B78077724"	2008	56
"A23372832"	2012	56.338
"A20056248"	2016	56.51
"A28491041"	2016	56.796
"A33014176"	2009	56.844
"B47572367"	2014	57.315
"A83932475"	2017	57.409
"B23015753"	2016	58.215
"A28023422"	2010	58.369
"B08373250"	2007	58.796
"A08141038"	2008	58.9
"A39005574"	2016	59.505
"A08375545"	2008	59.74
"B08156036"	2014	59.972
"A28491041"	2017	60.339
"A61831681"	2016	60.72
"B63533095"	2015	61.564
"A28485761"	2013	61.769
"A40004731"	2007	62.204
"A83932475"	2016	62.384
"A81496382"	2013	62.5
"B38425070"	2014	63.059
"A28345148"	2012	63.225
"A20056248"	2015	63.306
"A81841850"	2009	63.64
"B61428611"	2013	63.729
"B24008955"	2013	64.22
"A07026701"	2015	64.516
"B24008955"	2012	64.579
"B23357700"	2009	64.632
"A46048732"	2016	64.685
"A03167939"	2008	64.73
"A57082570"	2017	64.836
"B08424855"	2014	64.935
"B03036340"	2015	65.742
"A31070378"	2014	65.743
"B03036340"	2016	65.778
"A81944324"	2011	66
"B07025315"	2007	66.63
"B42141176"	2017	66.723
"A78526811"	2014	67.907
"A81931214"	2015	67.996
"A78526811"	2007	68.666
"A78526811"	2008	68.666
"A28198661"	2017	69
"B50031749"	2017	69.199
"B28499218"	2009	69.285
"B08373250"	2011	69.391
"A08141038"	2011	69.768
"A82198847"	2009	69.87
"A07190309"	2008	70.262
"B35980937"	2016	70.427
"B62409065"	2015	71.169
"B39019468"	2014	71.279
"A28270452"	2009	71.333
"A20574380"	2017	72
"A82716010"	2015	72.602
"B50031749"	2013	72.742
"A07026701"	2011	72.953
"A62415641"	2016	73.108
"B23357700"	2016	73.91
"A21006507"	2012	74.03
"A46169082"	2015	74.214
"A36605772"	2015	74.841
"A46030680"	2015	75.116
"A28091262"	2007	75.209
"A08518979"	2017	75.764
"B62409065"	2016	75.777
"A78753514"	2007	76.702
"A36017598"	2007	76.76
"A07256100"	2010	76.959
"A28396042"	2011	77
"A28173573"	2015	77.05
"B17593633"	2017	77.123
"A36017598"	2009	77.181
"A28711893"	2017	77.715
"A08105702"	2017	78.026
"B58222548"	2013	78.132
"A82716010"	2016	78.238
"A08999088"	2017	78.517
"B12029153"	2007	78.65
"A81841850"	2016	79.269
"B43587120"	2013	79.489
"B23357700"	2015	79.743
"B20193017"	2008	79.794
"A07089592"	2008	79.837
"B08373250"	2010	79.884
"A28987196"	2012	79.896
"A07427081"	2010	80.127
"A07010937"	2016	80.162
"B41591165"	2015	80.7
"A48016877"	2013	80.789
"A28148898"	2014	81
"A08141038"	2012	81.73
"B03036340"	2014	81.828
"A08069809"	2014	81.835
"A08375545"	2012	82.418
"A28173573"	2014	82.504
"B08373250"	2012	83.367
"B03045507"	2016	83.636
"A41049503"	2010	83.82
"A28198661"	2016	84
"A81931214"	2016	84.206
"B39019468"	2011	84.332
"A08218133"	2016	84.865
"B07025315"	2010	84.92
"A28148898"	2016	85
"A28173573"	2011	85.998
"A48080147"	2007	86.154
"A17017005"	2012	86.264
"A81931214"	2008	86.536
"A96646880"	2016	86.713
"B07985609"	2013	86.713
"A57082570"	2016	86.749
"A08218133"	2015	87.107
"B61967774"	2012	87.297
"A36017598"	2010	87.644
"A08061590"	2013	87.7
"A08121089"	2016	87.733
"A28173573"	2013	87.816
"B46039061"	2014	88.147
"A30046320"	2010	88.306
"A08273898"	2011	88.669
"B43241769"	2017	89.984
"B17016569"	2010	90.091
"A30046320"	2012	90.488
"A28024172"	2008	90.516
"A46023255"	2012	90.729
"A59736686"	2011	90.948
"A45012226"	2012	90.958
"B23357700"	2017	90.981
"A28024172"	2014	91.165
"B58222548"	2017	91.257
"A08141038"	2010	91.283
"V83443390"	2017	91.838
"A08273898"	2007	91.97
"A96646880"	2017	92.221
"A28023422"	2013	92.32
"B07029465"	2012	92.377
"A28024172"	2007	92.441
"A17045972"	2017	92.673
"A07190309"	2011	92.845
"A28024172"	2015	92.867
"A07123441"	2010	93.488
"B28120012"	2013	93.978
"A35753094"	2013	94
"A96862933"	2017	94.437
"A28574044"	2017	94.494
"A12105029"	2011	94.516
"B03045507"	2015	95.091
"A31030901"	2013	95.091
"A08218133"	2017	95.189
"A28695856"	2011	95.233
"B08271694"	2010	95.385
"A22003537"	2015	95.613
"A07123441"	2009	95.873
"B17593633"	2015	95.966
"A36017598"	2017	96.487
"A23020043"	2015	96.539
"A11006095"	2008	96.671
"A48080147"	2009	96.752
"B50031749"	2015	96.936
"A21006507"	2014	97.13
"B28757730"	2012	97.329
"A07190309"	2009	97.421
"A35101732"	2012	97.513
"A07086515"	2014	97.629
"B28120012"	2010	97.75
"B38425070"	2010	97.968
"A41049503"	2011	98.305
"A36017598"	2008	98.308
"A28024172"	2016	98.959
"A21006507"	2007	99.246
"A07190309"	2017	99.415
"B07029465"	2010	99.574
"A78343977"	2007	99.89
"A36017598"	2015	99.923
"A35046911"	2016	99.959
"A28396042"	2009	100
"A28396042"	2008	100
"A35101732"	2011	100.333
"A50012822"	2017	100.428
"A30046320"	2011	100.719
"A08105702"	2011	100.72
"A83932475"	2015	100.844
"A32007817"	2015	101.088
"A28164374"	2008	101.156
"A28270452"	2011	101.165
"A35811272"	2013	101.346
"B17016254"	2011	101.518
"B23357700"	2007	101.55
"A35101732"	2008	101.569
"A59736686"	2009	101.694
"A46055992"	2009	101.934
"A46055992"	2010	102.001
"A28687978"	2016	102.215
"B43590272"	2015	102.285
"A35101732"	2010	102.376
"A42000901"	2017	102.391
"A07010937"	2015	102.627
"A81841850"	2008	102.888
"A28574044"	2016	103.2
"A33617218"	2007	103.237
"A07016025"	2016	103.286
"B46051116"	2013	103.385
"B30041115"	2010	103.568
"B03045507"	2013	103.702
"B48074306"	2010	104.213
"A28024172"	2012	104.458
"B92116979"	2016	104.908
"A35101732"	2013	105.001
"B42141176"	2011	105.088
"A03167939"	2017	105.306
"B91172221"	2015	105.745
"B63149637"	2015	106
"B18573931"	2015	106.33
"A35046572"	2013	106.728
"A03167939"	2015	106.89
"A17020645"	2015	107.105
"B64555980"	2017	107.108
"A28091262"	2014	107.526
"A78753514"	2011	107.738
"A07190309"	2016	107.851
"B63149637"	2017	108
"A96785225"	2010	108.156
"A03167939"	2009	108.293
"A33617218"	2011	108.742
"B23357700"	2008	108.86
"A36017598"	2016	109.054
"A17020645"	2011	109.078
"A12019840"	2017	109.156
"A59736686"	2012	109.278
"A28987196"	2013	109.44
"A07026701"	2012	109.614
"A28427581"	2016	110.06
"B54055140"	2015	110.066
"A08141038"	2009	110.154
"A08375545"	2011	110.33
"B61441127"	2016	111
"B43587120"	2017	111.291
"A08518979"	2012	112.025
"A46063731"	2015	112.026
"A81496382"	2012	112.217
"A35101732"	2009	112.397
"A08105702"	2013	112.47
"B60031150"	2012	113.04
"B28379386"	2016	113.934
"A38014098"	2009	114.15
"A08518979"	2016	114.166
"A09022963"	2010	114.192
"A28164374"	2013	114.228
"A28164374"	2007	114.255
"A29018249"	2010	114.361
"B28120012"	2011	114.38
"A12029468"	2012	114.646
"B07025315"	2012	114.668
"A08182206"	2008	114.773
"B43587120"	2012	114.872
"A17017005"	2014	115.024
"A12029468"	2013	115.371
"A08105702"	2015	115.891
"A96862933"	2011	116.219
"A15020795"	2013	116.65
"B07985609"	2012	116.661
"B28341832"	2012	116.685
"A08105702"	2014	116.792
"V61861548"	2015	117.236
"A78343977"	2009	117.534
"A28024172"	2010	117.56
"B63031660"	2014	118
"A07010937"	2017	118.51
"B03045507"	2017	118.562
"B28023679"	2017	118.598
"A28270452"	2014	118.69
"B15862667"	2016	118.9
"A46169082"	2014	118.973
"A12029468"	2010	119.029
"A07190309"	2015	119.147
"A28487007"	2012	119.226
"B08424855"	2011	119.264
"A28164374"	2011	119.68
"A36017598"	2014	119.779
"A78343977"	2011	120.281
"A07089592"	2014	120.696
"A29350139"	2011	121.199
"B63533095"	2017	121.387
"B31067697"	2011	121.579
"A07035934"	2016	122.076
"B28644441"	2008	122.265
"A33617218"	2010	122.408
"A22003537"	2016	122.52
"A28106003"	2009	122.96
"B39019468"	2013	123.168
"A17017005"	2013	123.884
"B03045507"	2014	124.004
"A06017941"	2007	124.465
"A81841850"	2007	124.648
"A28574044"	2015	124.809
"A08275281"	2013	124.9
"A17034844"	2012	125.057
"A46048732"	2010	125.397
"A28058725"	2016	125.649
"B63031660"	2017	126
"A07190309"	2010	126.491
"A07089592"	2010	126.578
"B78908605"	2007	126.788
"A07007735"	2015	127.382
"A29063567"	2012	127.389
"A28070167"	2016	128.276
"B61967774"	2013	128.309
"A28571750"	2007	128.379
"B43579424"	2016	128.748
"A17020645"	2008	128.749
"A30046379"	2011	128.877
"A17483124"	2014	129.125
"A81496382"	2015	129.665
"A83741967"	2015	129.781
"B78908605"	2016	130.339
"A29063567"	2014	130.71
"B11900602"	2017	130.723
"A17020645"	2009	130.786
"A28427581"	2017	131.069
"A04006417"	2012	131.231
"A96785225"	2014	131.66
"A30046320"	2013	131.763
"B30604565"	2010	132.116
"A25022369"	2014	132.537
"A38014098"	2010	132.836
"A40004731"	2010	132.84
"B17593633"	2016	132.865
"A50025071"	2014	133.089
"B12029153"	2013	133.322
"B41666728"	2008	133.439
"A28392033"	2015	133.533
"A17045972"	2015	133.722
"A28091262"	2008	133.948
"B11018462"	2008	133.996
"A78343977"	2008	134.377
"B43590272"	2017	135.039
"A96862933"	2010	135.122
"A07024896"	2015	135.195
"A07089592"	2011	135.72
"A28024172"	2017	135.889
"B28644441"	2015	135.909
"B61425682"	2014	136.056
"B28644441"	2011	136.233
"A11006095"	2009	137.324
"B83481002"	2014	137.351
"A04006417"	2015	137.848
"B41070020"	2013	138.365
"A46156048"	2011	138.798
"A31070378"	2017	139.528
"B43579424"	2015	139.588
"B82435371"	2014	140
"A46055992"	2007	140.08
"A82683459"	2017	140.125
"A26270322"	2014	140.148
"A07190309"	2012	140.301
"A07427081"	2014	141.25
"A81841850"	2010	141.517
"B28379386"	2017	141.591
"B03026382"	2011	141.811
"A07089592"	2016	142.367
"A28058725"	2007	142.66
"A96862933"	2014	142.936
"B83325076"	2011	143.001
"A29076270"	2009	143.12
"A07086515"	2012	143.486
"B61425682"	2013	143.55
"A07086515"	2013	143.64
"A96862933"	2015	143.758
"A46048732"	2017	143.779
"A50008390"	2016	143.942
"B28644441"	2016	144.699
"A96785225"	2015	144.871
"B03026382"	2015	144.874
"B82435371"	2016	145
"A07040090"	2016	145.126
"A29063567"	2008	145.162
"A08147555"	2007	145.353
"A17045972"	2016	145.659
"A08999088"	2016	145.913
"B03026382"	2012	145.947
"B39019468"	2016	145.976
"B07029465"	2009	146.068
"A29063567"	2013	146.073
"A28427581"	2015	146.418
"A62415641"	2015	146.607
"A17020645"	2016	146.72
"B46142485"	2016	146.764
"A31030901"	2017	146.789
"A06017941"	2013	146.993
"A96785225"	2009	147.327
"B28757730"	2013	147.422
"A38010997"	2016	147.45
"A07059058"	2017	147.629
"A28091262"	2009	147.91
"A35753094"	2015	148
"A28087583"	2017	148.053
"A78343977"	2010	148.268
"A28024172"	2013	149.339
"B08156036"	2011	149.695
"A96785225"	2016	149.741
"B38425070"	2013	150.856
"B08156036"	2016	151.402
"A46063731"	2016	152.856
"A33617218"	2009	153.311
"A33014176"	2007	153.43
"A08703803"	2016	153.873
"A28070167"	2015	154.026
"A41049503"	2009	154.171
"A28040418"	2014	154.352
"A96773940"	2013	155
"A28173573"	2012	155.02
"A28392033"	2013	155.437
"A96862933"	2016	155.521
"A08273898"	2009	155.992
"B43590272"	2016	156.008
"A07035934"	2014	157.36
"B28644441"	2012	158.517
"A96862933"	2012	158.608
"B35329077"	2017	158.983
"B18573931"	2016	158.993
"B28379386"	2015	159.22
"A46048732"	2011	159.313
"B46012324"	2017	159.614
"B46012324"	2016	159.87
"A25022369"	2012	160.501
"A36006021"	2017	160.661
"A96862933"	2013	160.754
"B60031150"	2016	160.842
"A28456119"	2009	160.998
"A11006095"	2010	161.095
"B60031150"	2017	161.613
"A17017005"	2015	161.719
"A29018249"	2017	161.76
"A08121089"	2017	161.786
"A29018249"	2011	162.458
"A07033491"	2007	163.1
"A12029468"	2009	163.735
"A29018249"	2012	163.882
"B59886531"	2016	164
"A81841850"	2015	164.463
"A12029468"	2008	164.545
"V61861548"	2016	164.597
"A21006507"	2013	164.915
"B43361724"	2015	165.12
"A28571750"	2008	165.454
"A39000187"	2016	165.514
"A06388052"	2012	165.722
"A07016025"	2012	166.524
"A81841850"	2011	166.83
"A46055992"	2008	167.53
"A53242152"	2009	167.954
"A81000028"	2015	167.959
"A41027723"	2017	168.113
"A12029468"	2007	168.58
"A60045903"	2008	169
"B50031749"	2011	169.306
"B47572367"	2015	169.98
"A17045972"	2014	170.288
"B37024825"	2017	171.018
"A28024172"	2011	171.213
"A29018249"	2009	171.272
"A30046320"	2007	171.63
"B03026382"	2016	171.782
"A07007735"	2013	172.116
"A08170151"	2007	172.49
"A20779849"	2015	174.337
"A78343977"	2015	174.395
"A28148898"	2009	175
"A29350139"	2012	175.599
"B27013556"	2008	176.012
"A28023422"	2016	176.145
"B41666728"	2009	176.442
"A28392033"	2014	176.485
"A28148898"	2010	177
"A07010937"	2012	177.112
"B43361724"	2016	177.133
"B48074306"	2011	177.172
"A78343977"	2012	177.209
"B59886531"	2015	178
"A42000901"	2016	178.027
"A08121089"	2015	178.069
"A08703803"	2014	178.135
"A08703803"	2017	178.552
"A11006095"	2012	178.848
"B43241769"	2014	179.162
"B08156036"	2017	180.32
"A62977186"	2017	180.424
"A41027723"	2016	180.481
"A42000901"	2014	180.558
"A06007637"	2013	180.633
"A28070167"	2017	180.643
